transactions,number_of_users
1,1974
2,849
3,417
4,307
5,226
6,172
7,139
8,112
9,79
10,81
11,72
12,56
13,44
14,44
15,38
16,38
17,31
18,33
19,14
20,26
21,31
22,21
23,17
24,17
25,19
26,15
27,18
28,13
29,9
30,9
31,10
32,9
33,12
34,6
35,7
36,11
37,8
38,6
39,4
40,4
41,5
42,4
43,10
44,7
45,5
46,6
47,6
48,1
49,3
50,2
51,4
52,4
53,6
54,2
55,1
56,2
57,2
58,1
59,1
60,3
61,4
62,3
63,4
65,1
66,3
67,3
68,2
69,2
70,2
71,3
72,1
74,4
75,3
76,1
77,1
78,3
79,3
80,3
81,4
83,1
84,2
85,2
86,3
87,1
88,2
90,5
91,2
92,2
93,1
94,3
95,2
96,3
97,1
99,1
100,2
101,1
102,1
103,1
105,1
106,1
107,2
108,1
109,1
110,1
112,2
113,4
114,2
115,1
116,1
118,1
120,2
122,1
123,1
124,1
126,1
127,1
128,2
130,1
133,1
136,1
139,1
140,1
141,3
143,2
145,1
146,3
148,1
149,2
150,1
156,1
163,1
167,1
169,1
172,1
174,1
177,1
180,1
184,2
195,1
208,1
210,1
218,1
225,1
243,2
248,1
251,1
252,1
256,1
264,1
279,1
283,1
285,1
307,1
329,1
334,1
347,1
370,1
389,1
405,1
420,1
426,1
559,1
595,1
603,1
620,1
680,1
807,1
901,1
1312,1
2061,1
