region,transactions,number_of_users
Bali,1,106
Bali,2,35
Bali,3,9
Bali,4,10
Bali,5,5
Bali,6,3
Bali,8,4
Bali,9,1
Bali,10,1
Bali,11,3
Bali,17,1
Bali,18,1
Bali,20,1
Bali,41,1
Bali,64,1
Makassar,1,1587
Makassar,2,805
Makassar,3,430
Makassar,4,298
Makassar,5,242
Makassar,6,176
Makassar,7,137
Makassar,8,137
Makassar,9,94
Makassar,10,104
Makassar,11,87
Makassar,12,76
Makassar,13,61
Makassar,14,58
Makassar,15,51
Makassar,16,46
Makassar,17,35
Makassar,18,39
Makassar,19,33
Makassar,20,30
Makassar,21,19
Makassar,22,28
Makassar,23,33
Makassar,24,20
Makassar,25,28
Makassar,26,24
Makassar,27,21
Makassar,28,13
Makassar,29,12
Makassar,30,22
Makassar,31,12
Makassar,32,14
Makassar,33,17
Makassar,34,16
Makassar,35,14
Makassar,36,11
Makassar,37,7
Makassar,38,6
Makassar,39,9
Makassar,40,2
Makassar,41,9
Makassar,42,5
Makassar,43,2
Makassar,44,9
Makassar,45,2
Makassar,46,11
Makassar,47,8
Makassar,48,3
Makassar,49,4
Makassar,50,4
Makassar,51,3
Makassar,52,5
Makassar,53,4
Makassar,54,2
Makassar,55,5
Makassar,56,4
Makassar,57,5
Makassar,58,3
Makassar,59,2
Makassar,60,3
Makassar,61,1
Makassar,62,3
Makassar,63,5
Makassar,64,5
Makassar,65,1
Makassar,66,4
Makassar,67,3
Makassar,68,3
Makassar,69,4
Makassar,70,2
Makassar,71,2
Makassar,72,1
Makassar,73,2
Makassar,74,3
Makassar,75,4
Makassar,76,1
Makassar,77,1
Makassar,78,3
Makassar,79,2
Makassar,80,3
Makassar,81,2
Makassar,82,6
Makassar,83,1
Makassar,84,3
Makassar,85,4
Makassar,86,3
Makassar,87,2
Makassar,91,5
Makassar,93,2
Makassar,94,4
Makassar,95,2
Makassar,97,3
Makassar,99,1
Makassar,100,4
Makassar,101,1
Makassar,102,3
Makassar,103,3
Makassar,104,1
Makassar,106,1
Makassar,107,2
Makassar,108,3
Makassar,109,1
Makassar,110,1
Makassar,111,2
Makassar,113,2
Makassar,114,1
Makassar,115,3
Makassar,120,3
Makassar,121,1
Makassar,123,1
Makassar,124,2
Makassar,125,1
Makassar,128,3
Makassar,129,3
Makassar,130,3
Makassar,131,1
Makassar,132,2
Makassar,142,1
Makassar,143,2
Makassar,144,1
Makassar,145,2
Makassar,147,3
Makassar,148,2
Makassar,150,1
Makassar,151,2
Makassar,152,2
Makassar,154,1
Makassar,156,2
Makassar,157,1
Makassar,159,2
Makassar,162,1
Makassar,163,1
Makassar,164,1
Makassar,165,1
Makassar,167,1
Makassar,173,1
Makassar,174,1
Makassar,177,1
Makassar,182,3
Makassar,187,1
Makassar,192,1
Makassar,194,2
Makassar,195,1
Makassar,196,2
Makassar,198,2
Makassar,200,2
Makassar,202,1
Makassar,206,2
Makassar,214,1
Makassar,224,1
Makassar,226,1
Makassar,229,1
Makassar,236,1
Makassar,239,1
Makassar,246,1
Makassar,255,1
Makassar,263,1
Makassar,267,1
Makassar,272,1
Makassar,280,2
Makassar,312,1
Makassar,325,1
Makassar,331,1
Makassar,340,1
Makassar,361,1
Makassar,406,1
Makassar,411,1
Makassar,430,1
Makassar,436,1
Makassar,443,1
Makassar,454,1
Makassar,463,1
Makassar,473,1
Makassar,541,1
Makassar,566,1
Makassar,588,1
Makassar,598,1
Makassar,623,1
Makassar,678,1
Makassar,689,1
Makassar,755,1
Makassar,793,1
Makassar,873,1
Makassar,1050,1
Makassar,1462,1
Makassar,2299,1
