iter	RMSE
0	0.9175162472
1	0.9019187694
2	0.8873565697
3	0.8731331256
4	0.8612075892
5	0.8465634351
6	0.8335084922
7	0.8232490081
8	0.8112289502
9	0.7981490104
10	0.7876520904
11	0.7762304236
12	0.7678729997
13	0.7576976073
14	0.7481054309
15	0.7387790833
16	0.7294477859
17	0.7190502204
18	0.709299156
19	0.7016408017
20	0.6926611518
21	0.6845005571
22	0.6736403422
23	0.6647801886
24	0.6570327814
25	0.6517316317
26	0.6462828121
27	0.6390807487
28	0.6328535212
29	0.6259192045
30	0.6196955532
31	0.6129894366
32	0.6050750786
33	0.5999592795
34	0.5941812925
35	0.5883016703
36	0.580894763
37	0.5746853138
38	0.5691016764
39	0.5655432167
40	0.5605723437
41	0.5553155227
42	0.5499052027
43	0.5441356876
44	0.537176425
45	0.5320827622
46	0.5276625558
47	0.5229790652
48	0.5173113107
49	0.5136637038
50	0.51037226
51	0.5049264267
52	0.4999247412
53	0.495409709
54	0.4908328318
55	0.487065694
56	0.4843530383
57	0.4814282724
58	0.4769430543
59	0.473074181
60	0.4695075234
61	0.4666869505
62	0.4632109036
63	0.4595062012
64	0.4566445344
65	0.45280218
66	0.4494567506
67	0.4457076621
68	0.4426671084
69	0.4396360959
70	0.4369073436
71	0.4343427053
72	0.4317657022
73	0.4285405038
74	0.426209292
75	0.424546194
76	0.4212984804
77	0.4186281215
78	0.4162212101
79	0.4137270471
80	0.4111591687
81	0.4096569416
82	0.406988084
83	0.4045043273
84	0.40237875
85	0.4002129868
86	0.3979502828
87	0.3958695437
88	0.3938479563
89	0.3919935944
90	0.3896570443
91	0.3883532109
92	0.3866738376
93	0.3851197549
94	0.3834782921
95	0.3817310754
96	0.3802486135
97	0.3785222208
98	0.3770794331
99	0.3758527087
100	0.3746007796
101	0.3730732576
102	0.3717243365
103	0.3701913208
104	0.3687499071
105	0.3675144934
106	0.3661260371
107	0.36385003
108	0.3621253885
109	0.3604359512
110	0.3585335402
111	0.3570216351
112	0.3560050174
113	0.3544715603
114	0.352561433
115	0.3511249448
116	0.3496580635
117	0.3480975323
118	0.3467326414
119	0.3455478124
120	0.3445374131
121	0.3422705584
122	0.3412549562
123	0.3400762054
124	0.3385354529
125	0.3375142373
126	0.3368259902
127	0.3358460385
128	0.3347337286
129	0.3336636084
130	0.3327827613
131	0.3316178939
132	0.3305211907
133	0.3295057577
134	0.3287387666
135	0.3276804606
136	0.3267210067
137	0.3255339224
138	0.3246316087
139	0.3235521108
140	0.322834565
141	0.3216978862
142	0.3204096576
143	0.3193529114
144	0.3176354267
145	0.3164827767
146	0.3155929998
147	0.3144515271
148	0.313477177
149	0.3121421291
150	0.3104836687
151	0.3094597786
152	0.3085268819
153	0.3072871197
154	0.305572435
155	0.3045089876
156	0.3037360306
157	0.3022774407
158	0.3010994271
159	0.3004100481
160	0.2993429366
161	0.2984472639
162	0.2973860349
163	0.2965902974
164	0.2955207386
165	0.2945683218
166	0.2937468851
167	0.2928907707
168	0.2920261462
169	0.2908592408
170	0.2900130392
171	0.2888939251
172	0.2877777504
173	0.2866219527
174	0.2855797899
175	0.284858748
176	0.2837427946
177	0.2824426433
178	0.281765584
179	0.2811128849
180	0.2798342977
181	0.2787720383
182	0.2773916695
183	0.2763544515
184	0.2757809588
185	0.2751836711
186	0.2745478781
187	0.2731504305
188	0.2718243807
189	0.2710793741
190	0.2705058411
191	0.269818752
192	0.2686870774
193	0.267942636
194	0.2668750005
195	0.2659422673
196	0.2649884492
197	0.2640047452
198	0.2631761241
199	0.2624829779
200	0.2618852063
201	0.2612176955
202	0.2607283295
203	0.2598132588
204	0.2589577273
205	0.2580500769
206	0.2571859625
207	0.2563084616
208	0.25532092
209	0.2544317164
210	0.2536675458
211	0.2530467816
212	0.2523363956
213	0.2516534891
214	0.2506560381
215	0.2499303462
216	0.2488417928
217	0.2480837445
218	0.2471584248
219	0.246369639
220	0.2456532039
221	0.244539194
222	0.2436965056
223	0.2426681745
224	0.2418543756
225	0.2414714308
226	0.2405527349
227	0.2397920247
228	0.2389224415
229	0.2380931109
230	0.2372462421
231	0.2364652603
232	0.2354935118
233	0.2349017092
234	0.2344902699
235	0.2336144893
236	0.2328508426
237	0.2322520588
238	0.2315450359
239	0.2306816952
240	0.2301219196
241	0.228794069
242	0.2281134736
243	0.2270717518
244	0.2260444879
245	0.2252201423
246	0.224294739
247	0.2238024057
248	0.2228771094
249	0.2221521329
250	0.2214704711
251	0.2206330797
252	0.2197284594
253	0.2189960853
254	0.2181511465
255	0.2173162195
256	0.2164606221
257	0.2153494575
258	0.2146958853
259	0.2139707326
260	0.213205329
261	0.2122548276
262	0.2114587338
263	0.2105626544
264	0.2102157975
265	0.2097973875
266	0.2090933535
267	0.2086363761
268	0.2080586007
269	0.2075398433
270	0.2064961621
271	0.2054196496
272	0.2043579774
273	0.2036752515
274	0.2031472935
275	0.202616608
276	0.2018826153
277	0.2012084769
278	0.2004803869
279	0.1998707268
280	0.1989674742
281	0.1984338599
282	0.1980246228
283	0.1973922488
284	0.1970465627
285	0.1966660581
286	0.19583543
287	0.1952687624
288	0.1946293578
289	0.1940888897
290	0.1935332724
291	0.1930940948
292	0.1922742299
293	0.1918279684
294	0.1909803834
295	0.1904387214
296	0.1898606901
297	0.1893849473
298	0.1889367636
299	0.1886679224
300	0.1884408661
301	0.1877967527
302	0.1872453618
303	0.1865797432
304	0.1861387557
305	0.185871234
306	0.1849779039
307	0.184453749
308	0.1838825028
309	0.1833711301
310	0.1830093482
311	0.1824929256
312	0.1818015196
313	0.1812999954
314	0.1806728777
315	0.1799502337
316	0.1794590156
317	0.1788906883
318	0.17835634
319	0.1780364141
320	0.1774986963
321	0.1771039771
322	0.1767189602
323	0.1761740604
324	0.1754071368
325	0.1749221477
326	0.1744531547
327	0.1740197053
328	0.1734247727
329	0.1726361173
330	0.171995562
331	0.1715087559
332	0.1710442965
333	0.1702838174
334	0.1698206171
335	0.1694827044
336	0.1687984466
337	0.1682243449
338	0.1679540578
339	0.167488944
340	0.1666828705
341	0.1661214119
342	0.1658564927
343	0.1654477136
344	0.1649492204
345	0.1645482258
346	0.1639110275
347	0.1632741095
348	0.1628442352
349	0.1624485281
350	0.1618478548
351	0.1612118004
352	0.1607839222
353	0.1603144927
354	0.1597099243
355	0.1591764359
356	0.1589582708
357	0.158513106
358	0.1581008984
359	0.1577279243
360	0.1570316735
361	0.1567383267
362	0.1561294561
363	0.155860584
364	0.1552833372
365	0.1549940155
366	0.1546319878
367	0.1541596194
368	0.1539749581
369	0.1533961771
370	0.1527972794
371	0.1523989727
372	0.1522713146
373	0.1516638061
374	0.1511689252
375	0.1507205326
376	0.1502282668
377	0.1497957563
378	0.1493966693
379	0.1489295206
380	0.1488399813
381	0.1484257859
382	0.148150569
383	0.1475888954
384	0.1472092744
385	0.1467744903
386	0.1466319125
387	0.1460567337
388	0.1457775321
389	0.1453597991
390	0.144924402
391	0.1444601904
392	0.1440926112
393	0.1437230992
394	0.1432053353
395	0.1428259203
396	0.1423695091
397	0.1419111026
398	0.1413701793
399	0.1410684805
400	0.1409349439
401	0.140397652
402	0.1400141436
403	0.1395227137
404	0.139151099
405	0.1386180376
406	0.1382026839
407	0.1379614994
408	0.1375306288
409	0.1369573582
410	0.1364726176
411	0.1362324818
412	0.1357600499
413	0.1353022506
414	0.1348324187
415	0.1344314942
416	0.1340276872
417	0.1337572305
418	0.1335427102
419	0.1331961667
420	0.132684751
421	0.1323507196
422	0.1318991523
423	0.1317646408
424	0.1316972386
425	0.1312576501
426	0.1307799637
427	0.1304834149
428	0.130053578
429	0.1299762717
430	0.1296128966
431	0.1291841901
432	0.1288664146
433	0.1285230103
434	0.1281915426
435	0.1278916419
436	0.1277012027
437	0.127399086
438	0.1270067143
439	0.1266525175
440	0.1262849525
441	0.1259344154
442	0.1254913681
443	0.1251687066
444	0.1251161014
445	0.1250592175
446	0.1249229567
447	0.1248269379
448	0.1244308072
449	0.1243480281
450	0.1239783746
451	0.1234190823
452	0.1233543653
453	0.1232406355
454	0.1228366969
455	0.1223412722
456	0.1219357356
457	0.1215853171
458	0.1215366397
459	0.1210592574
460	0.1210136596
461	0.1208066434
462	0.1204721213
463	0.1202938036
464	0.1198248432
465	0.1193418221
466	0.1193017798
467	0.1190794501
468	0.118783309
469	0.1184856113
470	0.1183210044
471	0.1178572409
472	0.1174420347
473	0.1169702626
474	0.1165711171
475	0.1162730738
476	0.1157825129
477	0.1157166889
478	0.1153099636
479	0.1148535757
480	0.1144642262
481	0.1144206504
482	0.1141521029
483	0.113848335
484	0.1135343464
485	0.1131244106
486	0.1127541959
487	0.1126891674
488	0.1122928865
489	0.1119740401
490	0.1116057472
491	0.1112504797
492	0.1112118269
493	0.1108005623
494	0.1107390983
495	0.1106871644
496	0.1103432344
497	0.1100585811
498	0.1098320663
499	0.1093976031
500	0.1091204144
501	0.1088898536
502	0.1083951578
503	0.1079982754
504	0.107727188
505	0.1073868807
506	0.1071053317
507	0.1067450791
508	0.1065322837
509	0.1062610187
510	0.1060019005
511	0.1055622962
512	0.1053886192
513	0.1051338281
514	0.1048583339
515	0.1046076904
516	0.104507133
517	0.1040674011
518	0.10383072
519	0.103796309
520	0.103557801
521	0.1035264542
522	0.1031499854
523	0.1027757937
524	0.1027389381
525	0.1025338219
526	0.1025054284
527	0.1022180303
528	0.1019521579
529	0.1015229296
530	0.1012317957
531	0.1009669755
532	0.1007580513
533	0.1004339264
534	0.1001804925
535	0.1000965511
536	0.09993243666
537	0.09967305213
538	0.09953687461
539	0.09925737801
540	0.09899357466
541	0.09876425033
542	0.09850962568
543	0.09845473791
544	0.09840959167
545	0.09824966743
546	0.0980089499
547	0.09780214742
548	0.09759726807
549	0.09732043306
550	0.09713395687
551	0.09681744988
552	0.09643508605
553	0.09636686995
554	0.09611229881
555	0.09588543449
556	0.09564742243
557	0.09561274359
558	0.09557798651
559	0.09541350517
560	0.09516757266
561	0.09508918856
562	0.09477535063
563	0.09454354313
564	0.09424002397
565	0.09390147669
566	0.09356004818
567	0.09338006436
568	0.09320049956
569	0.09304933741
570	0.09277309306
571	0.09262898396
572	0.09243626355
573	0.09220147571
