iter	Passed	Remaining
0	193	193440
1	409	204586
2	532	176847
3	653	162702
4	770	153270
5	889	147281
6	1008	143032
7	1130	140219
8	1250	137687
9	1369	135570
10	1487	133712
11	1603	132039
12	1725	131031
13	1849	130252
14	1975	129716
15	2094	128808
16	2253	130318
17	2406	131290
18	2538	131090
19	2665	130589
20	2781	129657
21	2900	128936
22	3020	128309
23	3138	127619
24	3259	127102
25	3379	126599
26	3498	126067
27	3617	125571
28	3741	125269
29	3859	124789
30	3976	124312
31	4096	123929
32	4213	123456
33	4328	122971
34	4449	122672
35	4566	122271
36	4686	121977
37	4807	121694
38	4921	121274
39	5078	121880
40	5202	121696
41	5334	121678
42	5454	121396
43	5577	121189
44	5700	120972
45	5819	120681
46	5937	120392
47	6056	120117
48	6176	119875
49	6294	119602
50	6416	119395
51	6538	119206
52	6655	118928
53	6792	118993
54	6908	118696
55	7028	118478
56	7144	118200
57	7268	118046
58	7384	117777
59	7503	117552
60	7623	117352
61	7751	117273
62	7886	117292
63	8020	117293
64	8142	117132
65	8265	116974
66	8382	116723
67	8502	116539
68	8620	116319
69	8744	116179
70	8859	115928
71	8976	115692
72	9093	115479
73	9212	115279
74	9333	115109
75	9453	114934
76	9571	114737
77	9690	114543
78	9809	114366
79	9925	114147
80	10047	113991
81	10163	113783
82	10285	113637
83	10409	113511
84	10523	113286
85	10642	113109
86	10758	112904
87	10880	112766
88	10999	112585
89	11127	112508
90	11244	112317
91	11364	112164
92	11483	111992
93	11602	111832
94	11718	111638
95	11851	111604
96	11976	111495
97	12093	111313
98	12213	111156
99	12329	110964
100	12446	110782
101	12564	110620
102	12683	110459
103	12801	110286
104	12920	110134
105	13041	109994
106	13160	109836
107	13280	109691
108	13398	109527
109	13519	109382
110	13638	109231
111	13757	109079
112	13872	108895
113	13989	108728
114	14112	108606
115	14232	108465
116	14349	108297
117	14469	108154
118	14590	108017
119	14717	107931
120	14838	107792
121	14964	107691
122	15081	107531
123	15199	107376
124	15318	107230
125	15434	107058
126	15551	106898
127	15670	106753
128	15789	106608
129	15917	106524
130	16035	106373
131	16156	106243
132	16282	106141
133	16407	106034
134	16524	105877
135	16640	105717
136	16761	105586
137	16887	105488
138	17004	105329
139	17121	105173
140	17239	105028
141	17359	104892
142	17476	104737
143	17593	104586
144	17712	104442
145	17832	104307
146	17949	104158
147	18075	104055
148	18192	103904
149	18311	103764
150	18436	103657
151	18555	103518
152	18672	103372
153	18791	103231
154	18909	103085
155	19027	102945
156	19157	102862
157	19283	102765
158	19418	102709
159	19565	102718
160	19714	102733
161	19873	102801
162	19995	102678
163	20122	102576
164	20238	102417
165	20359	102287
166	20478	102146
167	20595	101997
168	20715	101861
169	20833	101716
170	20958	101607
171	21081	101483
172	21198	101335
173	21314	101183
174	21458	101161
175	21592	101093
176	21755	101155
177	21890	101088
178	22006	100936
179	22133	100832
180	22253	100695
181	22379	100583
182	22499	100447
183	22617	100305
184	22736	100161
185	22850	100002
186	22968	99858
187	23089	99727
188	23208	99589
189	23332	99469
190	23450	99327
191	23567	99179
192	23685	99036
193	23803	98893
194	23925	98769
195	24044	98632
196	24160	98483
197	24278	98340
198	24394	98192
199	24512	98049
200	24631	97911
201	24747	97763
202	24869	97638
203	24989	97506
204	25107	97368
205	25226	97231
206	25342	97084
207	25459	96943
208	25578	96805
209	25696	96668
210	25811	96519
211	25929	96380
212	26092	96409
213	26275	96506
214	26394	96370
215	26513	96234
216	26635	96108
217	26752	95966
218	26872	95832
219	26993	95703
220	27112	95566
221	27233	95438
222	27353	95307
223	27474	95178
224	27595	95052
225	27716	94922
226	27835	94789
227	27958	94667
228	28077	94530
229	28197	94400
230	28317	94267
231	28438	94141
232	28557	94007
233	28677	93875
234	28792	93729
235	28912	93596
236	29028	93453
237	29145	93313
238	29266	93186
239	29387	93059
240	29503	92917
241	29624	92792
242	29742	92655
243	29860	92518
244	29980	92387
245	30102	92265
246	30219	92125
247	30343	92008
248	30460	91871
249	30575	91726
250	30695	91597
251	30833	91521
252	30951	91386
253	31077	91273
254	31198	91148
255	31319	91023
256	31438	90889
257	31557	90757
258	31674	90621
259	31789	90476
260	31910	90352
261	32029	90221
262	32148	90090
263	32280	89994
264	32413	89902
265	32535	89777
266	32661	89665
267	32777	89525
268	32896	89394
269	33013	89257
270	33137	89140
271	33257	89012
272	33380	88891
273	33501	88767
274	33621	88637
275	33742	88514
276	33860	88379
277	33979	88247
278	34100	88124
279	34219	87993
280	34341	87871
281	34481	87792
282	34611	87689
283	34732	87565
284	34848	87427
285	34974	87313
286	35108	87221
287	35241	87125
288	35372	87023
289	35507	86931
290	35628	86805
291	35745	86671
292	35866	86543
293	36012	86479
294	36135	86357
295	36257	86234
296	36382	86117
297	36503	85991
298	36621	85858
299	36738	85723
300	36856	85590
301	36977	85464
302	37095	85331
303	37215	85204
304	37337	85080
305	37453	84944
306	37579	84830
307	37706	84716
308	37861	84666
309	37982	84542
310	38100	84409
311	38218	84277
312	38343	84160
313	38472	84052
314	38597	83933
315	38720	83812
316	38843	83691
317	38979	83598
318	39098	83467
319	39218	83338
320	39338	83210
321	39457	83081
322	39578	82954
323	39700	82832
324	39818	82699
325	39949	82594
326	40072	82472
327	40197	82356
328	40317	82227
329	40438	82102
330	40556	81971
331	40674	81839
332	40790	81703
333	40912	81580
334	41031	81449
335	41157	81335
336	41274	81202
337	41395	81076
338	41510	80939
339	41631	80814
340	41760	80704
341	41883	80582
342	42012	80473
343	42157	80393
344	42277	80265
345	42397	80138
346	42524	80024
347	42645	79898
348	42762	79765
349	42878	79631
350	43000	79507
351	43124	79389
352	43254	79278
353	43376	79155
354	43500	79036
355	43622	78911
356	43738	78778
357	43856	78647
358	43984	78535
359	44114	78426
360	44233	78296
361	44356	78174
362	44480	78054
363	44599	77927
364	44716	77794
365	44837	77668
366	44954	77537
367	45072	77407
368	45189	77275
369	45307	77145
370	45426	77017
371	45549	76894
372	45663	76758
373	45792	76646
374	45913	76523
375	46033	76396
376	46154	76271
377	46282	76157
378	46402	76031
379	46531	75919
380	46646	75784
381	46767	75660
382	46889	75537
383	47015	75420
384	47135	75294
385	47257	75171
386	47376	75042
387	47493	74912
388	47616	74791
389	47735	74662
390	47856	74539
391	47981	74420
392	48109	74306
393	48231	74183
394	48352	74059
395	48471	73931
396	48599	73816
397	48720	73692
398	48839	73565
399	48957	73435
400	49077	73310
401	49200	73189
402	49332	73080
403	49459	72964
404	49576	72834
