time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,86.0715,22.54775,75.2026,-8.4296,22.00288,-0.43105,-8.497869999999999,99.82549999999999,17.058239999999998,22.768199999999997,8.29951,1.52373,-53.07017,-16.64334,31.18668,74.22659999999999,80.31367999999999,37.066050000000004,77.12459999999999,2.97517,-37.7415
20,82.06954,-18.98564,104.01251,96.98219999999999,82.5492,70.12075,44.79616000000001,72.82424,72.79338,22.80834,-35.84672,-60.277440000000006,-54.100019999999994,3.4272199999999997,44.966789999999996,44.12446,-10.35443,-4.873,9.84045,20.94912,1.0686
40,88.3896,58.637420000000006,44.9316,7.593119999999999,29.651429999999998,33.629400000000004,-2.4021000000000003,3.83496,22.65588,51.13472,21.40776,26.35281,5.75168,11.9712,16.34992,45.34618,10.0008,-8.01792,15.871410000000001,-2.3401899999999998,-15.71038
60,62.19079000000001,-45.454080000000005,62.36598,52.39984,50.74575,71.19287999999999,33.59561,53.19828,67.11432,15.24096,-28.89425,-8.70625,-37.993410000000004,-14.75104,15.2835,24.5499,-33.585899999999995,-8.84576,-19.2375,-8.859399999999999,-3.70964
80,116.70200000000001,65.89592,71.43251000000001,67.84287,54.8711,68.31524,45.157000000000004,63.317119999999996,48.95976,97.24722,20.3619,19.824,21.013920000000002,25.820339999999998,54.0081,35.718790000000006,16.72062,13.591009999999999,3.4851499999999995,-5.287000000000001,2.31818
100,102.28023,58.12736,87.39756,72.73070000000001,95.95276,78.21829,52.713570000000004,63.06336,62.78453999999999,66.8057,24.662,42.505880000000005,49.000769999999996,19.997999999999998,-12.89739,72.55808,39.29459,18.979799999999997,15.136120000000002,31.945060000000005,33.15752
120,85.5756,74.9276,76.30749,77.02165000000001,71.84684,85.23096,58.050720000000005,34.779239999999994,60.68766,50.88277,48.710210000000004,50.2474,32.010760000000005,17.2445,47.15058,56.4889,14.06784,32.72586,23.1544,32.1045,21.250320000000002
140,102.14604,64.96784000000001,80.66798,84.33408,78.49755,78.00023,58.424659999999996,42.33504,63.081570000000006,63.5726,41.77375,40.154560000000004,34.9531,36.75168,46.89732,46.81116,26.23347,26.740799999999997,20.88444,31.31217,9.93894
160,100.76688,79.18619,79.68238000000001,57.1073,84.63185999999999,84.35991,39.40125,42.44648,69.73533,66.60888,31.85784,55.61000000000001,48.58192,44.606159999999996,54.068,68.4227,25.32964,32.21288,33.625800000000005,21.81578,46.34466
180,131.90854000000002,95.55386000000001,116.0892,121.85320000000002,112.75835999999998,98.73599000000002,63.49656000000001,75.76744,97.22018999999999,164.36498,67.77512,70.09116999999999,59.10954,53.676350000000006,61.57862,75.9564,77.08896,88.20441000000001,67.94997,69.07599,54.219969999999996
200,100.25706,93.67978,84.98661999999999,75.44901,125.91484,91.53396000000001,53.82096,69.01881,83.07878,175.46564999999998,56.4057,61.54074000000001,48.5436,36.7314,48.09111,77.87868,-2.92032,24.114750000000004,79.17887999999999,47.769110000000005,73.23228
220,117.35749999999999,107.12856000000001,85.29553,75.00282,125.33208,102.14145000000002,12.616629999999999,51.098850000000006,86.1025,191.11435,54.31028,56.20522,43.39524,93.0798,55.321560000000005,59.25565999999999,70.6563,74.80224,102.0112,61.788399999999996,84.29520000000001
240,156.47299999999998,147.30906000000002,117.35789999999999,80.07390000000001,203.8554,146.34468999999999,55.67408,97.19892,147.87071,280.03434000000004,98.8656,105.42466,42.91092,100.68336,91.48846000000002,107.85258,109.99065,107.77664,125.32024000000001,82.12191999999999,144.24124
260,264.53335,280.85645,161.73324,133.84509,285.4256,249.642,84.249,152.86482,261.85064000000006,490.92282,160.6572,168.6492,135.27423,211.34861999999998,188.14689,201.83984999999998,266.2128,223.39037000000002,228.15955000000002,139.10097000000002,194.60484
280,294.94235000000003,279.75423,165.46815,151.49488,352.842,283.40008,63.23135,171.4271,281.23928,551.6555400000001,202.62950999999998,150.9222,151.62181999999999,255.91181,193.35834,210.01995000000002,236.57176,169.98009,257.60679999999996,180.12657000000002,281.04672
300,345.29831,355.97727000000003,220.93800000000002,174.5976,425.36972000000003,343.52379,141.79054,192.44252,360.7149,616.20027,241.70762000000002,201.97076,163.76789000000002,291.08648,268.30503,237.05615999999998,240.24816,225.98125,295.89196,203.77653,337.50732
320,438.37946999999997,489.48186,340.82412,283.82417,544.3007399999999,486.35079,261.52607,314.0793,524.91418,743.70218,384.73663999999997,304.4249,283.75599,386.57748,365.92134,388.18674999999996,441.60382000000004,442.38716999999997,389.84,315.64169999999996,405.51858
340,377.48346000000004,433.4314,304.27,209.44592999999998,485.82352,407.4279,212.94063999999997,253.47,446.41084,627.7635,277.2144,283.32876,165.77474999999998,334.43368,294.01526,263.65664,358.0074,358.41651999999993,277.52153999999996,101.22656,293.90292
360,397.47994000000006,473.66202,339.3428,247.90220000000002,534.0535199999999,452.38169,220.62633,277.719,500.41884,704.8504800000001,349.6764,296.21648,215.7335,366.7968,362.78437999999994,232.00127999999998,290.17727999999994,391.20322,337.17438000000004,237.44240000000002,355.48696
380,451.77002999999996,554.3685,411.29301,308.29214999999994,594.17886,469.20184000000006,296.60168000000004,328.86081,599.2558200000001,741.46696,413.68452,355.58477999999997,280.072,459.36848999999995,432.43732000000006,353.02344000000005,459.6804,471.58110000000005,380.84383999999994,259.276,468.699
400,454.9615,546.08208,444.67266,289.25847,597.38612,450.10356,305.63325,327.45888,600.7551199999999,752.3053600000001,432.97793,365.21328,268.96233,369.2959,327.7448,326.16319999999996,450.23224999999996,484.28565,379.8036000000001,239.23377000000002,470.24016
420,428.83988,570.6904499999999,438.46716000000004,288.22038,574.8913799999999,459.14086000000003,280.01019,281.34608,610.36693,728.519,420.46192,329.45776,229.82288,394.27356,392.24744000000004,298.37856,357.51867000000004,450.78348,359.50824,236.05521,470.64901
440,456.60810000000004,610.61976,461.12626,283.56791999999996,605.754,528.6983,288.144,322.60358,659.5372000000001,764.3016,458.52547999999996,388.31634999999994,273.63214999999997,445.55840000000006,424.65680000000003,357.96723,478.06108000000006,523.66613,397.6359,286.35377,470.68178
460,480.52655999999996,661.1004,450.66077,331.19300000000004,642.37784,539.2684800000001,340.15214999999995,357.06268,670.77865,762.8550299999999,448.09536,367.18024,297.8002,449.38023,356.87399999999997,362.47183,479.09853000000004,512.53521,395.3991,245.75903,465.38388000000003
480,468.83015,642.35411,419.65139999999997,286.5248,636.1360400000001,475.59456000000006,314.67681,344.88894999999997,680.04117,754.4025,452.78252,368.49280000000005,269.00748,453.17542000000003,425.37519999999995,348.21072,449.66297999999995,501.6069999999999,341.3184,255.03199999999998,472.33831999999995
500,510.33360000000005,644.9835,467.36385,307.48975,677.72099,519.85,308.43865,334.94818,687.5378000000001,792.65832,449.90556000000004,396.31623,253.71723000000003,431.86671,255.65663999999998,221.94388999999998,378.1146,510.99997,296.42522,266.25023999999996,501.22859
520,563.19573,679.1655,528.24695,337.97932,696.0625299999999,553.2388799999999,367.136,405.94744000000003,732.87487,812.31568,517.4820799999999,430.98264000000006,366.09738000000004,491.79443999999995,495.6875,400.45047,528.44088,603.0019,407.63041,204.33952000000002,535.12974
540,491.61571,606.68664,477.28656,301.20519,653.97832,542.20528,322.49940000000004,382.87401,680.88746,774.1587799999999,469.13336999999996,387.27,303.91101,445.24249999999995,433.78393,349.46981999999997,457.47220000000004,573.70339,365.48785,254.59182,490.18211999999994
560,546.76908,668.5252399999999,580.9141799999999,365.84079999999994,665.11765,609.5452,343.22239999999994,412.28460000000007,728.28455,785.0341799999999,487.2018,426.44976,366.36516,495.52359999999993,483.36292,410.70969999999994,502.23168000000004,595.1627000000001,390.57928000000004,267.438,539.74925
580,564.5238,702.58125,561.42636,350.265,693.11484,590.33088,353.62638,394.45689999999996,772.1007000000001,784.0869400000001,460.53612000000004,412.80756,332.60450000000003,525.0375,483.93228,319.71821,460.48019999999997,486.34348,407.616,290.12218,563.2311
600,545.90625,677.82902,543.58794,357.00159999999994,670.40424,542.58288,349.1022,408.37914000000006,763.1011400000001,797.1652799999999,458.33607,405.93413,371.35777,494.65566,453.3489,380.96693999999997,522.87648,576.97725,391.44245,304.689,499.31204
620,585.9392,695.8025100000001,572.56299,385.63218,728.03259,615.4176000000001,380.73582000000005,459.84872,792.23556,823.17968,525.68934,466.48,372.6645,497.95099999999996,500.17494,435.93135,566.4661199999999,628.2863400000001,460.93670000000003,313.70064,594.72865
640,474.60511999999994,718.1375999999999,599.7828999999999,394.67091999999997,734.9136599999999,646.03024,407.42231999999996,481.56786000000005,832.09686,889.1798399999999,537.72551,452.0656,417.76608,537.46126,545.73814,480.01616,636.4485900000001,658.3524600000001,522.8483,333.29555999999997,508.57236
660,705.3416,823.39552,741.5408000000001,529.4634599999999,856.3777200000001,730.7296799999999,511.49868000000004,550.3016000000001,922.638,963.07266,642.76185,614.29104,546.04277,630.46002,636.0519300000001,589.9080200000001,704.3439199999999,753.84237,618.6969,483.54591999999997,692.41822
680,531.36991,664.04211,594.9068400000001,358.14156,729.64674,574.07392,352.79608,438.27642000000003,755.11434,829.50933,484.73721,423.0675,380.04179999999997,512.23268,489.10594000000003,234.8,585.13387,575.4312,470.02086,297.8434,567.3984999999999
700,570.7844800000001,694.77531,521.8591299999999,365.64432,717.0461300000001,548.92731,320.75016,378.89345,734.0902799999999,764.0508,417.7758,384.07702,368.49431,471.38654,470.05875000000003,341.62163999999996,546.8091,559.51631,429.04809000000006,280.67135,524.3776
720,588.14319,679.4943199999999,558.6984,376.84954000000005,745.7351699999999,589.97037,367.43625000000003,398.45300000000003,743.4023599999999,818.6357799999998,471.21054,430.4786399999999,413.0896,524.5025999999999,489.4604,456.5715,616.8725000000001,561.34656,471.24262999999996,306.59635999999995,585.6830799999999
740,741.6632000000001,843.48635,705.48952,544.49714,900.1579300000001,738.40572,521.4850700000001,539.1224,948.57987,939.8391099999999,635.9142400000001,572.41336,546.11757,658.5391999999999,635.28738,587.93992,708.6519499999999,719.92212,582.2078399999999,463.63128,742.20744
760,626.17575,755.7758,606.75246,444.8713399999999,762.9038199999999,606.43674,401.6549600000001,461.6259,836.58816,832.9702599999999,542.0475,466.79536,474.54224999999997,582.07464,539.69058,498.27833000000004,646.07244,598.06208,525.65255,363.72546000000006,609.50721
780,626.22748,785.7058400000001,629.18321,403.06578,760.7249400000001,610.8221599999999,435.04961000000003,475.3054,828.4540000000001,844.51846,532.3050000000001,529.35533,468.62088000000006,554.76949,606.6575,523.7645,617.81199,599.5112,520.93368,368.18316,627.11062
800,604.5615,762.69856,564.43226,364.35256,765.33813,559.88098,362.9472,427.79186999999996,826.2120600000001,881.22369,538.8992000000001,442.34317,454.24464,536.80158,521.4088399999999,463.78051999999997,624.5712199999999,549.91495,505.86375999999996,315.71131999999994,623.72268
820,740.6771400000001,933.6562,761.8576,544.5765,955.39367,765.84118,497.65745,604.24328,959.99848,1005.96415,682.5799200000001,618.71852,597.0008200000001,714.62235,672.5347199999999,653.5449199999999,775.27456,709.44066,678.5622,513.49974,733.5661799999999
840,600.5265699999999,729.2367,582.0711600000001,447.52167000000003,802.62,649.64697,408.73304,450.85728000000006,847.73563,860.1082600000001,558.35479,483.02495,497.27209999999997,582.1946399999999,521.75783,522.02975,682.06407,618.4394599999999,529.85016,373.76685000000003,611.46624
860,636.8340000000001,788.60816,630.2163700000001,469.57582,801.9274200000001,636.07302,410.13588,527.0361399999999,856.5009299999999,896.1701,600.9472,495.91126,518.4144,568.01109,575.16796,518.25645,668.18675,590.9579,560.88435,383.21626000000003,687.63492
880,590.3608199999999,747.94742,570.25016,393.06744,784.8750000000001,588.3147600000001,365.41901,444.25838,846.1896700000001,822.23532,494.38016000000005,435.23312000000004,463.869,535.61712,498.91639000000004,460.68749999999994,656.289,538.81763,524.1936000000001,276.22144,440.92087
900,618.34362,768.54536,575.88032,402.39144,768.84899,618.53875,400.73592,466.3347,871.8010200000001,894.6645400000001,521.0335,453.89905,517.90635,549.16512,532.37898,453.51935999999995,628.7127999999999,550.8492,570.3747000000001,297.39329000000004,451.25590000000005
920,580.4838699999999,767.9136200000002,546.02446,443.9175,825.5363799999999,635.9496,391.35906,498.98442000000006,856.7240000000002,896.2111600000001,531.29928,480.33085,524.45384,456.28671,576.213,517.1712799999999,656.6761599999999,572.70422,560.6258,292.70425,637.7042
940,679.65762,742.5197000000001,605.5105,417.13888000000003,863.1664699999999,666.3309300000001,395.88380000000006,486.66771,850.0167,838.94943,549.0843600000001,500.63853,518.40432,543.2783999999999,527.6564599999999,494.0439999999999,671.56614,594.95562,566.3939799999999,307.31669999999997,673.0871999999999
960,654.8142600000001,758.1269800000001,584.2614,425.88569999999993,879.3766800000001,630.0224000000001,418.67686,493.03314000000006,914.78772,945.4890399999999,557.02602,522.60516,577.2569400000001,570.64893,578.3279,465.76588,668.01672,605.7636,532.66968,355.74279,672.8275500000001
980,696.4641600000001,792.2545200000001,625.9568999999999,385.84056000000004,858.2977,638.7882600000002,374.93399999999997,498.04380000000003,900.6360000000001,945.7383600000001,585.8074200000001,507.10483999999997,545.24394,592.61577,559.40745,492.37718,666.2762399999999,638.55105,562.0032,342.70866,671.6835199999999
1000,706.0469400000001,766.5322600000001,627.59664,461.62107,868.96384,643.8873600000001,452.88765,451.34024999999997,932.25498,906.0891600000001,584.20425,532.9041800000001,583.46708,524.68628,558.22767,518.71928,626.45699,599.89536,543.54537,321.13356,655.33696
1020,643.4418000000001,768.9630800000001,558.7533900000001,393.48559,860.06998,634.63472,364.97982,480.98582999999996,867.8451600000001,882.62486,514.61616,520.1748,581.31891,554.9320700000001,539.46438,455.57693,623.28552,575.2205,519.71544,334.31649999999996,608.08412
1040,773.0979600000001,820.1930400000001,654.73804,494.62248,906.9496800000001,675.71934,483.08292000000006,559.79599,951.47201,956.2266,625.49256,624.94993,588.2223,618.88992,373.71487999999994,206.45617999999996,513.24602,643.86979,582.1500399999999,100.27654,524.26976
1060,775.67709,851.93178,665.4375,489.12398,926.3007299999999,672.5797200000001,418.80813,554.5925,966.3192,944.78568,638.1879200000001,561.81276,597.57356,610.0644,595.57272,513.9905,714.91637,643.17389,561.28384,331.16839999999996,697.91616
1080,798.51528,850.2249899999999,680.0460600000001,508.03679999999997,922.4779199999999,707.05194,479.96792999999997,582.7872,956.3879600000001,987.19596,638.94481,613.2256,613.1405,637.85547,586.8009,514.43362,726.7454899999999,680.11545,601.8066799999999,355.36976999999996,695.94604
1100,970.3702499999999,1044.3437999999999,876.0416,722.52635,1144.9512000000002,896.7579000000001,615.9104,750.9642,1123.2130499999998,1170.2518000000002,821.7776000000001,801.3112400000001,809.6694400000001,813.1578000000002,823.35248,745.6390199999998,890.781,854.59365,809.67579,598.27829,699.0101999999999
1120,797.02614,893.91561,721.38094,532.82352,952.6917,722.91024,494.1942000000001,600.98775,1012.8256,1000.82885,685.6026,644.89536,692.22969,655.9290000000001,642.7152600000001,595.57388,762.6172799999999,692.5613999999999,668.9002999999999,379.85024,754.78416
1140,841.23393,960.43484,762.61262,600.9822,1034.10439,805.35519,532.9848000000001,612.231,1072.4208,1076.2803000000001,710.6805,694.75805,784.8630600000001,690.45264,695.7363,670.4286400000001,845.6144200000001,771.8508000000002,722.66656,451.29555999999997,649.2696
1160,842.79129,814.9652,684.5506499999999,434.1864800000001,902.2459200000001,680.49602,428.97328000000005,551.47895,981.6949200000001,989.1641000000001,620.79046,579.5312,659.2894,633.27,604.8050400000001,591.94405,711.99194,634.8786,657.11196,332.40063999999995,700.16425
1180,791.34647,896.6602800000001,646.3260000000001,455.10222,920.39952,735.6825699999999,465.27666,562.0587499999999,1002.7215,976.2966,573.59504,612.2761,679.09314,630.75232,578.7654699999999,506.77902,702.1635499999999,652.11165,615.31162,331.21383,675.92756
1200,873.8847,886.4911399999999,699.8310000000001,474.27201,958.95268,719.25183,461.64612000000005,591.71625,1019.4406299999999,995.3288000000001,649.1169600000001,628.98147,713.80329,665.5,639.0799800000001,585.4473,738.3247200000001,137.21823,131.4144,34.775,704.6215200000001
1220,822.0097499999999,898.03588,691.7436000000001,533.56997,995.06176,770.5526400000001,495.9864400000001,574.6355,1042.93056,994.9445,678.49164,629.09707,686.34568,657.2613299999999,631.3158599999999,596.42442,754.67309,637.36665,653.7453200000001,375.7921,745.67062
1240,839.66832,910.134,746.76394,484.75570000000005,993.03056,718.2838,504.28854,567.4863799999999,1022.28718,1036.90926,687.67776,665.03925,701.38178,628.02687,636.55484,598.69075,696.4704499999999,666.2722600000001,688.80084,360.05399,729.4014
1260,1193.86295,1227.809,1027.6035000000002,823.24245,1297.9152000000001,1033.94434,820.66228,880.1265099999999,1328.63871,1354.6423599999998,1013.4090800000001,993.5010000000001,1036.14539,934.4723200000001,939.4581,929.6384999999999,996.24063,632.39151,1015.2041999999999,678.7718800000001,1065.26046
1280,861.74594,897.9801600000001,697.47708,472.01400000000007,968.00364,723.13696,516.60875,579.82584,1035.85968,1037.5306799999998,639.7818000000001,665.9802000000001,730.674,648.0102400000001,624.57915,637.5431699999999,716.7580199999999,696.0168000000001,639.32908,368.58103,725.6718299999999
1300,886.8280599999999,916.3644399999998,749.63888,504.59024,1014.7675499999999,756.05486,551.36835,632.9247,1050.8163,1035.5961,682.9669,696.5595,796.4355,673.1964,639.9285600000001,598.92805,721.84924,707.31456,709.90711,357.68640000000005,760.07121
1320,906.52672,965.7842099999999,764.4720000000001,590.8619199999999,1036.70118,785.79565,553.5489,627.7407499999999,1110.09846,1084.5689399999999,719.48709,715.0979,837.94514,706.2883,688.4276800000001,713.0112,776.4093200000001,790.1283200000001,601.5202,390.77334,809.58696
1340,954.23286,960.4712,757.70032,600.0514000000001,1058.1689999999999,815.17376,614.2300999999999,641.20832,1098.9158400000001,1064.4431200000001,769.82528,761.9587,836.52159,750.498,662.5603600000001,663.55884,780.71304,750.31502,714.3026000000001,411.07881000000003,783.88632
1360,954.11381,966.8197,739.127,559.7672600000001,1052.0892000000001,761.5238400000001,554.16572,679.2003899999999,1142.7966199999998,1077.21264,714.1357499999999,713.3720000000001,823.43412,692.2151,612.1364,494.18694,718.6644,614.87499,514.5710399999999,197.97168,770.7180000000001
1380,956.8613799999999,969.84264,787.8397,597.98718,1042.2317699999999,770.6928,594.6257899999999,657.59484,1108.39015,1154.21284,764.6918400000001,764.35206,862.42071,653.6091200000001,682.05269,631.617,746.4256199999999,732.9714,740.0659200000001,398.32748000000004,803.64384
1400,976.5327,921.83168,766.74492,521.1911,1035.68976,789.0454000000001,557.0968999999999,643.09556,1134.028,1050.82318,746.48248,741.39912,829.3152,670.9264800000001,453.735,659.24214,749.52475,741.0375,686.57952,449.65364999999997,823.80054
1420,994.1683299999999,949.0561199999999,800.26327,552.31101,1013.41752,795.06548,521.05208,648.1043999999999,1096.93234,1085.7444,783.5214800000001,728.50113,874.82916,646.97584,675.76147,645.5969699999999,750.76794,773.2131599999999,736.38378,422.05275,811.60002
1440,1046.42904,982.8194,842.4576,580.62816,1041.92511,830.9965599999999,646.4807999999999,702.41,1155.45184,1094.7153,801.0031399999999,825.97083,896.2136,715.5943699999999,685.7081,726.67894,790.49908,794.9492899999999,818.2406199999999,480.24600000000004,872.60274
