time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med_1,gfp_med_2,gfp_low
0,-7.9569,37.13337,36.204499999999996,51.528240000000004,-69.4512,115.31576,-63.42204,23.916059999999998,-1.48242,105.20895,22.423679999999997,49.37107999999999,44.90042,-25.874999999999996,87.76116999999999,33.8966,6.872750000000001,108.26865,-4.3568999999999996,50.447799999999994,89.96623999999998,139.27728,106.96520000000001,79.42248,35.28911,22.3553,71.04475000000001,10.300619999999999,-49.580369999999995,105.35016,-35.608520000000006,-25.768279999999997,47.10195,45.1416,1.91344,-13.130779999999998,50.91984,-42.1044,25.234800000000003,20.7126,-42.83216,91.81548000000001,-28.209059999999997,37.82805,45.495940000000004,9.131680000000001,-28.8558,-19.43282,48.3582,-16.943299999999997,-31.72297,33.10392,6.06326,21.4866,10.72344,-36.37305,48.293569999999995,18.10608,53.012879999999996,11.84084,-37.43285,-47.81088,37.53852,35.076029999999996,7.429680000000001,44.220240000000004,27.87036,56.179080000000006,47.616600000000005,42.26465,37.40205,-46.87892,4.29552,43.39956,-18.37311,19.2985,-36.5748,33.2278,-11.08791,-12.834179999999998,-13.49712,15.298499999999999,-3.7339199999999995,-36.07401,-6.43283,-22.31345,98.09123999999998,24.4776,81.01928,14.267759999999999,7089.362279999999,8551.14925,1328.8024
20,-171.07916,7.64335,-123.98541,95.13588,-86.64228,131.82396,-18.7629,27.6723,2.79384,102.22680000000001,-34.65518,-51.751599999999996,-166.52584,-122.75330000000001,22.59171,-15.739619999999999,0.67243,50.32326,4.39668,70.50588,99.97054,88.55669999999999,4.3197600000000005,-143.7453,-183.87516000000002,138.88660000000002,-164.09976,43.13631,-170.92404000000002,71.2149,-7.1667,-38.53695,-72.71964,98.36241000000001,7.779509999999999,-139.21797999999998,-10.5495,-33.6495,-38.206140000000005,-40.3995,-45.07987,25.89692,19.88216,-3.74152,113.84536000000001,53.63514,83.72165,38.801,-155.59937,117.72165,-198.7661,-21.606749999999998,-217.46009999999998,15.7152,-87.36922,-98.21472,-128.866,55.670100000000005,-0.38087,-41.11272,-169.52572,-131.23718,-102.36737000000001,-92.83632000000001,-57.924,-15.403900000000002,-28.876319999999996,5.89694,51.479150000000004,77.2701,152.23122,-177.76154,-339.11319,60.893480000000004,-311.75480000000005,3.01032,-229.06492,-24.02444,-182.78736,-82.17970000000001,-145.04182,24.55452,-144.28722,-217.04312000000002,-244.82403,-197.21797,17.799599999999998,-23.881,70.5613,-2.7570399999999995,7152.3989,6887.7289200000005,2076.9561
40,-249.72947999999997,-75.2941,-385.85716,118.499997,-125.93128,104.07142900000001,10.299,-151.78194,181.90476,18.85716,-30.952379999999998,-520.56705,-507.51183000000003,-366.30954,48.942870000000006,-107.99999,-20.55748,111.07142900000001,51.428580000000004,181.60713,231.98415,244.5767,-119.86485,-544.39175,-632.26896,352.51262999999994,-443.01239999999996,-34.352160000000005,-363.956,-121.75674,-44.947720000000004,-377.41984,222.3901,-54.92064,244.86684,-663.05018,-45.428549999999994,-235.1648,-209.1837,-167.70185999999998,-51.14555000000001,70.71428999999999,-5265.23391,32.571432,228.0,180.9524,241.71426,-176.71094999999997,-473.60806,304.6472,-567.67854,-45.563919999999996,-653.1955,-90.17855,-108.34584,-475.8579,-34.63134,151.60713,175.67944,-255.9392,-591.92639,-296.11114,-271.4286,-223.55020000000002,-209.95443,-59.87012000000001,-95.39172,40.499998,147.85713,109.57142,396.67452,-583.66352,-957.3627599999999,147.7381,-901.6250100000001,-48.6025,-535.8696,-142.46666000000002,-330.15879,-492.10569999999996,90.05495,-104.71428,-155.33832,-945.546,-765.15601,-636.8658399999999,-241.42858999999999,-147.28567999999999,108.642855,-96.07794,7599.3132,9038.253960000002,73.39384
60,16.877280000000003,18.0258,-14.892,74.05932,-11.25367,85.78219999999999,24.118029999999997,11.857600000000001,19.731,69.4312,-18.82909,-1.24961,-44.71425,-7.685440000000001,59.08010000000001,9.42723,28.20384,28.70616,54.280719999999995,46.1988,38.118,47.08568,3.8404000000000003,-51.3111,-87.44446,84.57393,-83.1426,19.384259999999998,-45.37296,45.182159999999996,17.538050000000002,-25.02584,-30.164419999999996,54.39496,39.1674,-71.59652000000001,41.1483,-19.537560000000003,-28.370790000000003,-44.32869,2.26176,27.810380000000002,19.7148,-12.9415,38.092600000000004,20.21928,34.60452,12.33828,-108.38223,78.30408,-100.71514,-12.79635,-106.46691,-3.45293,-47.040420000000005,-73.238,-72.62423999999999,51.71928,2.99266,-47.06636,-76.06719,-70.41736,-50.1228,-4.0572,-41.916000000000004,-4.9708,-146.58672,22.79981,27.578969999999998,7.4233,101.19928,-65.67989999999999,-179.11368,26.6112,-176.9966,-1.57692,-99.61728,-29.8246,-69.35292,-58.32456,-84.28125,19.058519999999998,-47.88316,-139.55865,-141.65865,-83.24968,-38.472030000000004,7.4440800000000005,61.07413,-23.63581,8943.14535,8485.8445,1946.4666
80,45.30954,65.97105,3.82501,50.824799999999996,16.56139,66.43464,43.68928999999999,40.265690000000006,34.72407,46.6518,3.20562,31.730640000000005,2.2602,44.91216,39.78866,16.282809999999998,45.333600000000004,48.358039999999995,29.978279999999998,39.865,23.368100000000002,6.419790000000001,7.27628,24.52334,-38.44952,25.020599999999998,-20.143680000000003,32.0382,15.492469999999999,54.212480000000006,6.97635,-1.4784000000000002,2.34737,9.27648,22.801609999999997,36.739889999999995,46.455839999999995,4.22628,-1.58214,-14.80387,8.02826,17.08549,8.413300000000001,-23.829040000000003,15.926699999999999,-5.4369000000000005,4.38009,5.29988,-19.08848,17.87049,-33.9528,-6.25415,-19.865039999999997,-33.66048000000001,-20.87202,-17.90391,-21.8052,5.05006,-24.41878,-4.34887,-16.165,8.33827,2.2959,0.051250000000000004,14.15361,-10.795039999999998,-4.236750000000001,15.904549999999999,-7.16166,0.25678,49.9264,19.912499999999998,-20.30036,18.20088,-36.43695,27.52097,-51.121379999999995,-1.01049,-13.667520000000001,-20.214460000000003,-48.28128,10.429559999999999,-21.62637,-2.90584,-24.93242,6.4883,34.956,22.511359999999996,41.34787,30.320159999999998,9129.37032,9837.702599999999,2385.3884199999998
100,30.7923,62.835589999999996,36.29976,52.6494,13.21575,48.3192,18.406019999999998,5.01975,9.221079999999999,29.9328,-31.50976,-10.03191,24.281650000000003,18.704069999999998,30.36822,-15.20962,25.902870000000004,28.027560000000005,-71.808,53.01681,37.90592,28.13933,28.183839999999996,-2.8672199999999997,-13.47845,10.268500000000001,11.16882,9.9168,13.74602,32.571509999999996,17.37854,-22.819680000000005,-12.80592,14.2506,1.3518399999999997,-1.38016,61.51444,12.135200000000003,-18.2497,-41.24958000000001,12.47999,-19.4528,11.246129999999999,-24.1152,14.645399999999999,-9.270800000000001,-3.54695,16.494480000000003,-37.292179999999995,13.9126,-3.13467,6.642219999999999,-36.24994,-34.412040000000005,-82.97676000000001,-6.435359999999999,-40.10948,-3.901,-60.458,12.93045,-32.54641,-1.9972799999999997,-44.72988,-12.342,-16.469610000000003,-38.642920000000004,6.4877400000000005,-16.28582,-5.6898,-8.32986,30.411719999999995,-18.53816,-85.6416,17.92838,-56.25105,-11.62368,-78.4662,2.82141,-28.87134,-56.16527000000001,-65.90766,-1.3310399999999998,-55.95168,-21.44436,-64.7273,-37.803290000000004,13.50048,28.529999999999998,11.3633,-9.208919999999999,11006.40833,11419.72458,2870.6823600000002
120,79.61771999999999,86.83788,39.46566,59.6124,27.64211,62.65038,22.3102,28.20399,66.00743999999999,48.214949999999995,46.93891000000001,20.63446,40.73904,51.67494,47.710280000000004,25.49489,18.39513,34.43826,20.1096,42.01048,27.160559999999997,28.447100000000002,56.1484,44.803329999999995,22.1616,40.174899999999994,33.30308,41.125550000000004,44.625220000000006,47.817,36.9801,7.798080000000001,22.65588,16.33072,17.306099999999997,25.576200000000004,110.58222,29.40615,11.761000000000001,49.85412,41.31958,29.797439999999998,24.20544,-2.51532,23.48485,22.78496,25.24755,55.324799999999996,-7.849530000000001,23.74503,16.54695,-22.53242,-0.58752,20.5574,19.79454,2.12721,-13.08312,-15.033100000000003,4.835000000000001,-4.646960000000001,21.606160000000003,-12.561,-6.11496,-58.80196,-32.06754,33.69865,38.010780000000004,-0.6598799999999999,1.617,-2.30594,24.65761,14.57541,-1.32193,27.59088,-27.02832,-40.09872000000001,-35.04694,1.6973600000000002,7.587439999999999,-2.54388,-9.52775,17.8204,-18.26304,-12.506399999999998,-0.0248,35.60814,45.6014,42.75609,38.646629999999995,-2.65005,13736.352840000001,14314.692030000002,3540.47193
140,60.8871,89.62525,28.5923,0.6551199999999999,21.983760000000004,44.930460000000004,9.1131,8.433570000000001,13.549320000000002,15.66736,8.7912,11.421629999999999,17.4189,-215.39764000000002,24.174079999999996,-8.631889999999999,35.06074,-1.62516,14.663250000000001,12.299550000000002,11.49438,-16.389120000000002,17.0766,32.289,4.16564,32.457,5.18301,52.03158,20.978509999999996,54.91751,31.818929999999995,-2.63175,10.095120000000001,22.296960000000002,39.96604,9.513,82.93428,-13.732410000000002,23.816100000000002,0.74576,21.768810000000002,-19.920450000000002,19.96002,-8.182899999999998,35.55936,5.376,-20.358,13.977400000000001,-5.64354,7.86045,-3.3402600000000002,20.11295,14.120700000000001,-8.98326,-2.0698,-25.035360000000004,-33.939,-16.237699999999997,-2.9962799999999996,-10.155470000000001,-46.065,-31.045079999999995,-17.865119999999997,-53.149319999999996,11.929359999999999,-28.3288,-29.521349999999998,26.38636,-22.71092,-34.32312,56.133120000000005,-26.4775,-28.03999,33.11448,-49.441919999999996,-24.51547,1.82225,8.37902,-4.71744,-29.33553,-59.23914,-18.093249999999998,-49.07644,-25.982879999999998,-9.3925,1.25772,13.15886,37.438140000000004,40.665749999999996,4.17792,16897.78752,17575.995880000002,4637.49564
160,65.8308,55.792759999999994,67.85849999999999,54.822329999999994,43.824000000000005,81.15289,78.52401,126.8489,60.215360000000004,94.1584,90.64095,97.54646000000001,41.02933999999999,99.04400000000001,37.141079999999995,59.92606000000001,54.76986,53.664320000000004,48.211200000000005,7.750560000000001,43.03040000000001,25.972649999999998,44.891000000000005,134.0335,73.65987,53.72672,50.001560000000005,68.57495999999999,81.80087999999999,56.572160000000004,57.552,22.894080000000002,23.593680000000003,42.0984,52.54546,95.31705,53.439659999999996,43.3809,49.934430000000006,52.400800000000004,51.341519999999996,27.59322,53.63289,14.640199999999998,15.384599999999999,-14.48709,12.69651,39.20115,11.617449999999998,24.203879999999998,14.724400000000001,-12.957580000000002,-12.318019999999999,24.74472,-15.727139999999999,22.878660000000004,-3.3607600000000004,13.451999999999998,15.050849999999999,64.33167999999999,34.27017,9.305040000000002,25.545519999999996,34.86144000000001,39.78241,44.24278,40.57594,40.76424,3.3667000000000002,3.74793,-13.35593,-3.3264,89.02632,25.459200000000003,17.65788,11.1996,-4.77139,16.839940000000002,26.60796,6.675199999999999,-10.9062,32.407239999999994,-16.81887,42.62895,76.35874,58.94856,118.07464999999999,60.55416,49.36417000000001,20.57094,21466.322190000003,22217.13405,6044.2467799999995
180,291.5367,639.0471,749.06865,66.33195,1452.5183799999998,1792.20945,46.27245,858.05732,98.18682,544.90188,115.54035,133.86262,129.3372,612.40452,51.0345,21.3538,38.9382,92.61046,83.93611,63.43131,73.0018,112.8764,55.39605,1263.08985,362.61039999999997,182.89216,872.92998,180.69675,21.49752,193.35036,43.968239999999994,36.57069,0.8447399999999999,611.5212,42.82278,157.37989,69.89529,844.40139,24.10107,73.44064,228.4905,1386.4571999999998,681.15059,1261.5446,151.27775000000003,766.28497,279.31295,59.94912,51.11625,81.45315,80.66801000000001,8.175,21.224840000000004,20.237750000000002,377.93091000000004,498.44255999999996,1022.61267,49.09125,270.93300000000005,1532.0726,321.16434999999996,870.6990400000001,1019.3317099999999,1108.91745,842.6270799999999,1552.3005300000002,450.9988200000001,536.35549,844.1881700000001,-32.116170000000004,-23.607360000000003,216.63055999999997,907.1794499999999,-71.25214999999999,6.870399999999999,210.22208999999998,327.76418,213.49522,242.70363999999998,667.98603,0.16932999999999998,10.292940000000002,10.49916,158.75811000000002,166.21195,178.3023,168.03976,70.38409,90.5008,26.20035,27975.2935,29101.907379999997,7998.84232
