time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med_1,gfp_med_2,gfp_low_1,gfp_low_2
0,124.60942,133.35354,-33.46314,0.35014,-30.004,42.292469999999994,-126.24874,-134.55392,-183.8317,-15.562990000000001,-159.57612000000003,-70.82831999999999,81.01696000000001,117.7643,-71.59262,-80.19438000000001,-32.22306,-52.01507,-33.93885,-164.7604,-112.30463,8.59353,-112.58475000000001,-87.14332,8.141900000000001,80.11785,-82.15899999999999,4.3984,-62.357,-37.47338,-64.82742999999999,-214.9884,-105.41751,0.8215000000000001,-95.03802,-119.83828,28.2952,-40.17468,-47.55472,-24.526349999999997,-72.93437999999999,-72.95312,-94.35700000000001,-50.663850000000004,-118.74912,-33.810100000000006,-59.94345,-137.06904,-44.181599999999996,14.41075,-70.01234,-41.052049999999994,-99.66469000000001,-59.724000000000004,-104.10687000000001,-83.77488,-83.46941999999999,-9.82492,-40.22326,-87.73020000000001,-43.4142,-48.53199,-1.20732,-35.373259999999995,-43.48656,-37.91844,-51.28006,-24.529999999999998,-5.56065,-11.930719999999999,-46.09738,-65.49536,-63.71988,-8.66188,-107.62487999999999,-63.20652,-80.69072,-52.12116,-89.90059,-85.78044,-62.12004,-19.16065,-70.00345000000002,-63.15657,-98.91792,-66.02445,-10.82664,6219.95415,6662.07982,773.84856,808.27758
20,11.2818,60.032959999999996,-1.44913,59.056340000000006,57.65736,72.24095999999999,9.5136,42.34802,52.2774,75.76788,-15.551499999999999,-8.4013,-8.91972,-19.91556,35.0634,22.10758,61.06808,24.90012,30.816959999999998,4.57083,54.9381,70.86321,-8.51214,-9.17169,-18.2427,30.080890000000004,-35.477999999999994,34.969170000000005,-21.452640000000002,15.093259999999999,22.429139999999997,-16.21506,-39.633720000000004,17.58447,-36.8778,0.036180000000000004,-31.91316,15.058750000000002,-6.06024,-9.9112,3.16998,-16.12896,-19.70518,26.55434,51.112320000000004,25.093899999999998,26.40848,7.2669999999999995,-66.02076,21.05634,-29.28318,-24.9518,-64.42947999999998,-3.35844,-11.58836,-30.429759999999998,1.3552,24.47577,-26.61744,-20.44146,-50.86414,-34.090469999999996,-7.1065000000000005,-19.187250000000002,-22.5864,-19.9295,-13.65063,14.56368,10.967489999999998,4.6123,-8.26,-9.394260000000001,-84.92853,-11.24354,-47.111869999999996,-0.37449,-81.67365,-14.2947,-24.94601,0.09432,-46.405,10.53087,-48.93619999999999,-36.83043,-43.47564,-44.895439999999994,-1.25528,5465.00608,5772.29068,729.09255,721.51182
40,38.697919999999996,49.805440000000004,30.527140000000003,68.2094,35.55823,49.140420000000006,71.06988,37.046699999999994,39.38819,53.13644,-12.25692,42.30522,8.797229999999999,-12.931519999999999,0.91916,7.8551899999999995,41.69772,29.411340000000003,27.283499999999997,9.747,24.69352,34.22384,17.47504,17.11261,-10.9032,7.42335,-26.22456,22.35432,-15.87968,9.43686,23.138720000000003,-30.428160000000002,21.93512,13.210920000000002,-25.73141,-1.69717,-24.25806,-8.00525,-11.733929999999999,-3.1975000000000002,-7.754449999999999,-20.65822,6.892159999999999,27.86256,41.337540000000004,22.136529999999997,16.0287,-5.39902,-15.70032,48.14667,-50.99868,2.68527,-13.405259999999998,-28.71757,2.9208900000000004,-16.49136,-7.7911600000000005,21.093049999999998,-29.2039,-8.29776,-34.720620000000004,-24.521,19.17372,-8.706719999999999,-16.29,-8.29269,-22.648,28.803739999999998,15.06987,3.5287,-4.5798,-9.03609,-55.468,21.791,-48.626369999999994,-25.3281,-46.869479999999996,-33.08481,-15.392299999999999,-38.37856,-6.2152199999999995,16.9902,-36.19006,-36.082530000000006,-59.754619999999996,-21.90123,-1.81376,5831.91546,6126.075690000001,864.2746000000001,984.79584
60,24.88928,74.579,-8.572799999999999,54.77028,29.30094,51.08415,28.40362,35.34266,16.7499,73.59176,-15.92331,21.314420000000002,-43.454190000000004,-26.325,-3.1549099999999997,6.1536,18.20637,9.7414,20.28975,26.999910000000003,25.056,29.017999999999997,-0.66225,-0.07689,-43.294979999999995,31.90755,-67.78800000000001,4.53582,-57.00528,-2.9672000000000005,8.504930000000002,-48.5802,-2.8511999999999995,23.712659999999996,-48.51652,-44.888099999999994,-35.6433,-24.047549999999998,-30.662820000000004,-31.081590000000002,-8.1917,-21.09123,-18.9442,10.14192,-3.22875,34.119,10.274489999999998,-17.082739999999998,-69.48245,29.622419999999998,-80.0208,17.48088,-129.19716,-50.00016,-33.92385,-73.96224000000001,-42.06447,-6.917999999999999,-45.1269,-35.123760000000004,-81.12219,-25.62112,-22.51496,-38.6991,4.83672,-19.786669999999997,-31.0148,-7.23435,19.92312,-1.37096,10.629579999999999,-42.78248,-94.02850000000001,4.9808,-153.59331,-20.0526,-120.89385000000001,-69.49368000000001,-46.430550000000004,-56.96964,-46.624399999999994,5.804369999999999,-73.82892,-25.678160000000002,-76.2849,-66.837,-17.8749,5987.5218,6803.716,1222.40208,1313.8782
80,36.86116,55.40562,30.88118,41.661,36.57,30.859840000000002,19.24162,25.5152,26.274599999999996,31.904599999999995,-33.99816,22.62672,-2.6618799999999996,8.181600000000001,5.2084600000000005,14.419650000000003,49.25283,17.66721,17.9052,21.50496,26.856550000000006,14.771899999999999,-14.61759,18.6456,-8.36892,14.79888,-41.42679,-5.45504,-31.946080000000002,-17.242880000000003,-8.30676,-35.2008,-35.1254,-10.50864,-34.20164,0.51557,-32.7593,-24.33749,-41.7004,-25.35,-30.110740000000003,-31.996799999999997,-35.04788,1.84173,5.1958400000000005,-10.0924,-14.88963,-0.50102,-31.82598,7.10884,-27.06825,-32.383750000000006,-19.794719999999998,-47.730000000000004,-34.85547,-38.39528,-29.219260000000002,21.11906,-22.761719999999997,-7.41062,-36.762,-21.99093,-4.98888,-15.313189999999999,-20.82675,-56.86989,-19.16704,-16.00047,4.24897,-9.65244,-16.328789999999998,-16.53615,-61.288920000000005,-25.51616,-48.223549999999996,-39.19010000000001,-44.54996,-45.04793,-14.996879999999999,-43.21056,-51.792840000000005,-25.728990000000003,-55.522479999999995,-29.778100000000002,-9.498000000000001,-15.045780000000002,-20.3573,6586.53187,7313.463,1574.0835000000002,1828.655
100,47.870129999999996,43.6832,38.0142,12.7468,32.03585,33.758939999999996,42.01734,37.61191,0.08370000000000001,58.465439999999994,9.393,16.7011,34.190999999999995,4.636,30.4164,14.50326,26.02404,-33.51008,-6.871479999999999,-4.0204,16.09956,-0.27047,-6.51529,2.4974400000000005,-2.10144,12.0039,-22.74096,8.70504,-2.22048,-32.37372,-15.185100000000002,-18.996,-26.33526,8.653929999999999,-20.146,-11.06799,0.85302,5.1528,-6.9513799999999994,-19.0026,-29.135830000000002,-11.98554,-1.89852,12.186720000000001,15.9875,-1.32264,-26.463500000000003,-17.56491,-38.00745,7.90627,-24.32342,-22.92557,-30.571279999999998,-22.169520000000002,-47.49006,-22.47882,-32.17574,-20.381300000000003,-19.95306,-10.6634,7.68709,2.93241,1.84782,-25.050479999999997,-28.38459,-19.666079999999997,-37.51137,-17.21676,-24.46902,-17.96956,-25.82752,3.2460000000000004,11.53856,9.12659,-45.04311,-40.06893,-32.74128,-27.31789,-29.591319999999996,-42.84412,-35.67174,-21.88352,-42.46262,-7.16661,0.41128,-0.74112,14.12752,7528.41727,8184.72844,2109.39792,2417.09604
120,76.86305,51.3329,57.82998,49.85024,73.18007999999999,64.06772,55.6344,47.32006,46.23867,73.44748,39.907740000000004,28.116299999999995,15.90062,26.288000000000004,14.98707,38.38248,35.12088,28.36107,27.816660000000002,22.0892,42.961299999999994,23.389620000000004,28.28545,67.45066,29.026719999999997,12.34646,24.063779999999998,41.63494,9.99845,-12.171109999999999,44.368840000000006,14.449879999999999,-7.21494,10.27667,-30.288800000000002,32.1068,11.203339999999999,17.94132,5.240400000000001,19.676599999999997,22.96161,5.7538800000000005,10.907399999999999,11.27074,-3.0732,-0.38418,9.36096,13.909320000000001,-7.166880000000001,4.42416,-7.75159,10.994750000000002,-17.09295,-17.188380000000002,-10.856,-11.19384,-31.938200000000002,-9.08246,-9.219440000000002,18.45771,9.068,28.461840000000002,19.34976,-21.39008,-18.947879999999998,-9.35308,-7.8168,10.907879999999999,-3.67458,-6.97425,-11.24382,-12.092640000000001,8.40567,15.401649999999998,8.31372,-38.831,-13.67418,-8.82354,-19.4468,-36.14289,-16.27248,6.98372,-23.502079999999996,5.16672,1.32108,23.012079999999997,28.374360000000003,8710.24807,9792.453300000001,2616.6933,2985.0471
140,82.2,65.76669,59.203689999999995,47.70064,44.84472,51.624649999999995,61.94034,35.30128,48.784,64.63572,50.106199999999994,56.406,58.3425,13.90208,32.634,62.57968,50.69961,21.894949999999998,13.384800000000002,45.46985,68.42985,11.0929,10.263060000000001,46.48923,27.89292,49.98798000000001,5.0952,34.452,19.846049999999998,1.8562999999999998,29.932000000000002,-9.43488,3.90122,19.241429999999998,-21.28768,4.06785,27.85745,29.31856,16.368519999999997,13.44196,9.54192,22.91414,43.035000000000004,35.896969999999996,40.8078,1.44329,-0.39298,46.82125,20.90631,23.68575,4.13946,9.144540000000001,0.90021,-19.10334,-4.14309,0.32832,-10.80432,-9.11268,-23.88054,-8.37792,-19.23416,14.047559999999999,1.2756,-2.7007200000000005,4.69,-14.9724,-2.886,-8.59647,11.945519999999998,-13.56854,-6.9282,37.398390000000006,6.16585,13.46352,-2.7186000000000003,-2.28975,-18.23228,-19.39714,28.09245,10.193930000000002,-19.142,-2.88192,-5.76531,-2.72688,-0.8886200000000001,27.81648,33.635000000000005,10614.79664,11868.949480000001,3316.59765,3815.93664
160,82.89366,89.2862,64.50164,56.42632,69.30624,88.14795,65.06150000000001,45.760239999999996,45.88288,71.80109999999999,47.01388,54.0911,24.58323,23.016510000000004,34.25823,60.307900000000004,35.79093,28.80582,36.250840000000004,66.2354,66.73281999999999,33.33303,8.45997,42.75836,34.563719999999996,27.048700000000004,4.72068,15.104000000000001,15.994200000000001,23.11092,20.3246,30.931800000000003,-9.658320000000002,-2.4024,-11.05173,20.43908,42.51390000000001,26.95475,41.28138,50.2873,21.41348,32.6808,-0.87429,26.64719,30.311120000000003,38.16159,7.745760000000001,52.86298,10.01328,48.994049999999994,40.07888,16.99542,10.453059999999999,-2.5379199999999997,15.742590000000002,1.74416,-8.21058,6.79383,-28.227439999999998,15.17376,0.16544,12.42881,5.53452,-9.3196,-17.427039999999998,-12.393939999999999,-24.792839999999998,18.417,-8.62784,-10.20195,8.268659999999999,4.456,-6.0877799999999995,8.387060000000002,0.5313,-7.503120000000001,-4.02246,-17.61758,11.244240000000001,7.8928,-6.565479999999999,-4.2775,-17.133200000000002,6.53961,2.4901799999999996,16.49136,2.3905600000000002,13024.823,14692.9965,4448.928000000001,4984.8744
180,67.59803,94.75862000000001,37.583259999999996,36.617490000000004,48.81473999999999,99.95268,46.404799999999994,44.41767,71.97169000000001,58.27185,23.6592,62.5568,38.12214,21.08408,24.02225,43.75512,59.85583999999999,16.90024,61.90211,90.70584,1234.90542,81.44927999999999,37.53689,62.91648000000001,34.64431999999999,-0.6357400000000001,2.37437,18.23466,12.04731,-38.12852,10.445640000000001,-8.14509,-9.22465,-8.37579,-33.945,12.971340000000001,67.5818,49.92592,26.864530000000002,33.09435,41.799150000000004,51.510250000000006,30.972,62.847840000000005,385.19095999999996,46.88685,24.27768,71.23284,23.884320000000002,41.2143,16.7912,6.685560000000001,11.1766,5.37103,0.57,2.6846200000000002,-22.70438,0.6832600000000001,-31.705230000000004,17.30559,-0.26558000000000004,9.47456,23.11459,-0.64008,3.8862,-9.443280000000001,-16.9174,-36.6855,8.32845,-4.22933,-11.27984,28.4872,0.9433600000000001,-7.0262,-7.6734,-45.303360000000005,-19.808249999999997,-39.32511,-20.47248,-9.1272,-19.410819999999998,-9.34032,-24.40362,13.1409,11.6094,29.8481,14.16356,16096.957999999999,18260.76054,5826.037410000001,6709.407119999999
