time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,-12754.63,-12604.07,-13033.99,-13463.8,-10236.63,-10225.61,-11519.52,-13810.1,-9219.58,-8731.05,-11705.84,-13409.14,-18627.95,-13317.47,-10761.14,-11373.22,1070.6,-9835.14,-11815.46,-9787.22,-8107.83
20,-4468.14,5868.06,24222.22,555.56,18269.84,20185.19,5464.65,38412.7,2401.71,13187.13,9204.2,-4566.4,-6269.84,-5433.46,8922.9,-3767.36,-1111.11,-607.24,-3742.69,4637.19,25555.56
40,2379.53,968.01,427.51,1068.56,3381.07,1265.85,274.64,2513.81,1135.38,724.82,1057.18,-85.17,652.37,-1781.43,976.63,582.14,124.1,-1012.5,-1354.39,-966.53,-96.29
60,-796.08,1328.11,3774.66,1733.36,3369.96,3188.55,327.52,4870.42,4208.32,2391.47,1221.11,-418.26,-1137.52,-774.63,2064.39,348.54,183.7,167.45,-871.11,206.32,971.66
80,-258.2,867.96,1062.65,402.61,1761.79,1527.39,35.51,2687.53,1948.02,166.68,2225.96,325.54,-1033.06,-854.04,420.1,-316.13,-661.35,-2083.26,-875.06,-471.75,453.39
100,1109.48,1371.33,3178.68,1683.8,2782.69,2103.64,1973.6,2652.35,2703.74,1439.71,1800.64,772.02,720.5,1122.86,1919.53,1473.4,1097.98,1241.98,362.45,799.93,1272.32
120,591.02,776.55,1086.44,845.31,1009.03,754.45,772.31,1278.5,1040.96,441.22,560.76,221.71,534.3,346.94,955.76,713.16,268.17,511.44,442.11,545.2,459.26
140,598.77,542.79,881.69,695.21,787.12,898.97,825.36,1345.48,1202.55,517.68,680.53,321.09,389.63,876.53,819.8,727.91,357.46,655.11,414.41,578.68,562.03
160,246.95,336.98,392.07,329.09,545.82,321.9,319.38,469.11,539.3,293.86,316.4,130.05,189.74,413.73,391.25,475.3,72.48,272.43,87.05,186.03,210.13
180,229.83,137.26,211.63,166.84,346.11,272.15,289.76,206.04,340.42,81.69,177.76,79.24,37.42,73.74,61.06,113.67,52.55,99.33,18.09,70.05,207.56
200,181.86,181.52,266.42,152.43,408.12,244.78,232.79,232.27,283.51,210.03,201.78,194.7,153.68,140.84,192.67,225.12,128.04,193.74,129.8,183.89,239.57
220,180.63,95.05,42.68,71.04,188.52,142.59,133.08,56.95,138.21,210.75,117.29,72.45,0.58,46.97,109.57,92.24,96.22,130.04,124.65,129.26,144.66
240,220.33,185.07,175.75,199.34,356.59,250.56,166.86,174.99,140.48,239.86,229.54,166.38,123.83,94.58,180.5,202.82,159.98,182.57,109.43,128.94,177.6
260,229.55,250.28,195.12,179.2,375.07,293.82,174.14,180.81,242.65,316.8,242.5,185.23,131.67,237.95,177.41,204.31,180.39,245.89,170.19,167.18,257.99
280,248.1,200.29,152.0,117.7,332.7,253.15,85.49,99.8,94.15,343.44,178.89,140.84,85.38,97.3,147.85,154.57,181.4,232.96,189.6,144.08,152.22
