time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med_1,gfp_med_2,gfp_low
0,-265.23,1375.31,1905.5,2147.01,-1653.6,14414.47,-1441.41,1138.86,-47.82,15029.85,1245.76,2244.14,2363.18,-718.75,12537.31,1694.83,274.91,12029.85,-145.23,3880.6,6920.48,34819.32,10696.52,4412.36,2075.83,1016.15,10149.25,468.21,-1340.01,26337.54,-1227.88,-1120.36,2479.05,3009.44,119.59,-505.03,5657.76,-1403.48,1484.4,1380.84,-1529.72,15302.58,-1044.78,2909.85,3249.71,570.73,-1442.79,-1022.78,4029.85,-770.15,-1669.63,2758.66,263.62,2148.66,765.96,-1732.05,3714.89,1508.84,5890.32,696.52,-1970.15,-1838.88,3128.21,3188.73,437.04,3685.02,2322.53,9363.18,7936.1,8452.93,12467.35,-2130.86,238.64,3616.63,-874.91,1929.85,-1828.74,3322.78,-652.23,-713.01,-843.57,1529.85,-207.44,-1717.81,-338.57,-970.15,7545.48,1529.85,10127.41,1097.52,2363120.76,1710229.85,83050.15
20,-6109.97,587.95,-5390.67,23783.97,-4813.46,43941.32,-1443.3,2767.23,199.56,25556.7,-2038.54,-2587.58,-6404.84,-5337.1,2510.19,-1210.74,61.13,8387.21,488.52,17626.47,49985.27,88556.7,359.98,-5323.9,-6566.97,-69443.3,-6837.49,6162.33,-6330.52,14242.98,-477.78,-2569.13,-4039.98,32787.47,864.39,-6328.09,-1054.95,-2243.3,-2729.01,-2693.3,-4098.17,3699.56,2485.27,-467.69,142306.7,26817.57,-167443.3,5543.0,-6765.19,-235443.3,-7644.85,-2400.75,-7248.67,2619.2,-4598.38,-6138.42,-6443.3,18556.7,-54.41,-3426.06,-6520.22,-6907.22,-6021.61,-5802.27,-3861.6,-1540.39,-2625.12,842.42,10295.83,25756.7,-25371.87,-8080.07,-8695.21,15223.37,-8907.28,334.48,-8180.89,-2184.04,-7616.14,-4834.1,-7633.78,4092.42,-6558.51,-7751.54,-7418.91,-6361.87,1369.2,-1837.0,14112.26,-250.64,1430479.78,2295909.64,115386.45
40,-19209.96,-10756.3,-22697.48,-169285.71,-15741.41,1040714.29,2574.75,-16864.66,-90952.38,4714.29,-5158.73,-22633.35,-24167.23,-21547.62,16314.29,-15428.57,-5139.37,1110714.29,25714.29,-60535.71,-46396.83,-48915.34,-17123.55,-21775.67,-26344.54,-39168.07,-24611.8,-8588.04,-22747.25,-17393.82,-11236.93,-23588.74,-44478.02,-13730.16,-40811.14,-25501.93,-9085.71,-23516.48,-20918.37,-18633.54,-10229.11,70714.29,-28771.77,40714.29,-57000.0,-45238.1,-40285.71,-19634.55,-24926.74,-38080.9,-25803.57,-11390.98,-26127.82,-18035.71,-18057.64,-26436.55,-11543.78,-50535.71,-43919.86,-23267.2,-25735.93,-22777.78,-22619.05,-22355.02,-23328.27,-14967.53,-15898.62,57857.14,-49285.71,-54785.71,-33056.21,-26530.16,-26593.41,-73869.05,-27321.97,-9720.5,-25517.6,-20352.38,-25396.83,-25900.3,-90054.95,-17452.38,-19417.29,-27015.6,-26384.69,-24494.84,-18571.43,-18410.71,-217285.71,-16012.99,-1519862.64,-2259563.49,5645.68
60,703.22,901.29,-496.4,6171.61,-489.29,8578.22,1269.37,741.1,789.24,6943.12,-607.39,-40.31,-1277.55,-274.48,3475.3,496.17,1762.74,2050.44,4175.44,4619.88,3811.8,5885.71,192.02,-1509.15,-2301.17,28191.31,-2771.42,1384.59,-1680.48,3765.18,1031.65,-1088.08,-1371.11,6799.37,3263.95,-2105.78,4114.83,-930.36,-1350.99,-2110.89,141.36,2139.26,1408.2,-995.5,5441.8,3369.88,5767.42,685.46,-3284.31,26101.36,-2962.21,-853.09,-3226.27,-265.61,-2240.02,-2929.52,-2793.24,8619.88,272.06,-2139.38,-2055.87,-2708.36,-2088.45,-193.2,-2095.8,-292.4,-3490.16,2072.71,3064.33,742.33,-14457.04,-2189.33,-3316.92,2661.12,-4022.65,-92.76,-3113.04,-1491.23,-2476.89,-2083.02,-2906.25,1466.04,-1841.66,-3245.55,-3147.97,-2030.48,-1424.89,354.48,4698.01,-1243.99,2981048.45,1697168.9,74864.1
80,984.99,1609.05,72.17,1411.8,352.37,1953.96,1016.03,982.09,738.81,1196.2,48.57,547.08,37.67,935.67,1047.07,378.67,1162.4,1272.58,832.73,1139.0,667.66,164.61,158.18,366.02,-630.32,834.02,-419.66,942.3,360.29,1694.14,188.55,-36.96,54.59,289.89,530.27,720.39,2580.88,103.08,-37.67,-361.07,211.27,461.77,240.38,-627.08,530.89,-155.34,132.73,143.24,-360.16,661.87,-707.35,-178.69,-382.02,-1051.89,-535.18,-416.37,-484.56,174.14,-595.58,-106.07,-265.0,177.41,51.02,1.25,345.21,-284.08,-121.05,513.05,-217.02,6.94,6240.8,442.5,-267.11,535.32,-662.49,743.81,-1002.38,-25.91,-284.74,-412.54,-1005.86,289.71,-379.41,-51.89,-341.54,99.82,699.12,523.52,1117.51,705.12,507187.24,447168.3,51856.27
100,439.89,1065.01,442.68,877.49,176.21,805.32,248.73,72.75,121.33,467.7,-305.92,-107.87,292.55,242.91,489.81,-214.22,386.61,424.66,-718.08,898.59,565.76,419.99,386.08,-28.11,-133.45,205.37,143.19,165.28,221.71,571.43,299.63,-330.72,-177.86,274.05,19.04,-18.16,2365.94,173.36,-260.71,-597.82,204.59,-303.95,178.51,-376.8,266.28,-165.55,-64.49,266.04,-433.63,267.55,-40.71,112.58,-458.86,-603.72,-999.72,-89.38,-542.02,-78.02,-795.5,198.93,-335.53,-27.74,-573.46,-164.56,-238.69,-576.76,102.98,-280.79,-94.83,-132.22,1689.54,-272.62,-713.68,309.11,-604.85,-181.62,-825.96,40.89,-365.46,-676.69,-844.97,-22.56,-582.83,-255.29,-588.43,-374.29,137.76,380.4,174.82,-121.17,355045.43,346052.26,36803.62
120,865.41,943.89,346.19,662.36,268.37,673.66,202.82,254.09,611.18,459.19,337.69,133.99,357.36,465.54,518.59,238.27,182.13,337.63,205.2,446.92,266.28,258.61,510.44,313.31,164.16,467.15,314.18,483.83,544.21,621.0,410.89,81.23,219.96,166.64,192.29,196.74,5265.82,291.15,117.61,513.96,439.57,310.39,252.14,-24.66,282.95,258.92,297.03,542.4,-67.09,300.57,160.65,-212.57,-5.44,250.7,192.18,21.93,-121.14,-176.86,48.35,-40.06,155.44,-118.5,-53.64,-442.12,-239.31,333.65,404.37,-7.02,15.4,-23.53,524.63,131.31,-8.11,293.52,-204.76,-288.48,-287.27,17.32,63.76,-21.93,-82.85,171.35,-148.48,-86.85,-0.16,252.54,350.78,385.19,375.21,-22.65,327056.02,349138.83,31331.61
140,392.82,626.75,152.9,4.31,128.56,284.37,49.26,42.81,74.04,86.56,39.6,45.87,93.65,-467.24,159.04,-47.69,207.46,-9.34,85.75,73.65,64.94,-85.36,94.87,141.0,18.68,209.4,30.31,344.58,176.29,395.09,222.51,-15.95,60.09,132.72,273.74,45.3,2303.73,-82.23,144.34,4.72,135.21,-120.73,123.21,-47.3,246.94,35.84,-135.72,82.22,-29.86,56.55,-21.69,138.71,85.58,-62.82,-13.1,-149.02,-188.55,-114.35,-17.22,-53.17,-207.5,-178.42,-98.16,-256.76,72.74,-166.64,-192.95,171.34,-143.74,-200.72,1169.44,-151.3,-110.83,205.68,-257.51,-152.27,9.85,49.58,-25.92,-144.51,-318.49,-103.39,-250.39,-113.96,-37.57,5.64,61.49,204.58,229.75,21.76,264027.93,288131.08,24667.53
160,276.6,236.41,238.1,220.17,166.0,315.77,277.47,437.41,221.38,336.28,270.57,286.06,144.98,360.16,150.98,213.26,199.89,200.24,178.56,28.92,153.68,87.45,163.24,400.1,229.47,209.87,190.12,278.76,444.57,247.04,239.8,84.48,89.37,155.92,217.13,327.55,876.06,160.67,182.91,192.65,180.78,101.82,205.49,51.55,61.05,-56.37,50.99,153.73,39.65,82.89,52.4,-46.61,-43.07,93.73,-55.77,86.01,-11.96,56.05,52.81,226.52,107.43,33.96,89.32,130.08,147.89,161.47,154.87,154.41,12.85,13.83,-137.69,-12.6,256.56,99.84,60.68,41.48,-16.51,62.14,93.69,22.4,-37.35,114.11,-54.43,135.33,220.69,181.94,387.13,217.04,178.21,69.03,193390.29,193192.47,21133.73
180,805.35,2116.05,2063.55,202.85,4198.03,5194.81,121.45,2194.52,268.27,1464.79,265.61,317.21,349.56,1682.43,154.65,55.9,106.68,255.83,232.51,175.71,192.11,287.95,151.77,3043.59,843.28,519.58,2486.98,555.99,81.43,642.36,139.14,104.19,2.34,1698.67,132.99,421.93,720.57,2365.27,67.51,217.28,652.83,3851.27,1962.97,3409.58,465.47,2247.17,833.77,178.42,136.31,256.95,243.71,25.0,61.88,62.27,1058.63,1416.03,2642.41,151.05,694.7,4031.77,773.89,2366.03,2620.39,3038.13,2366.93,4276.31,1330.38,1572.89,2461.19,-87.51,-140.52,629.74,2085.47,-126.11,18.08,595.53,849.13,615.26,650.68,1699.71,0.41,26.46,25.86,397.89,373.51,418.55,415.94,185.71,238.16,66.33,159858.82,159900.59,20405.21
