time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
0,-9789.72,-7655.709999999999,-514.68,-490.24999999999983,-4908.19,362.03333333333285,-4815.759999999999,-3490.89,-3871.853333333333,1180.68,-3797.16,-2304.4,-6531.03,1335.0900000000001,3766.3999999999996,184.64000000000001,-2170.9766666666665,1716.0733333333337,-1725.62,403.69333333333344,3410.813333333333,21739.483333333334,2124.276666666667,-1148.7666666666667,4993.39,2869.8966666666674,3909.4266666666663,-1271.46,-3661.193333333333,6748.010000000001,-4119.916666666667,-3010.72,-2225.2866666666664,-2219.39,-3071.6566666666663,-3921.7433333333333,2191.1699999999996,-2836.0400000000004,-640.3499999999999,-2251.8799999999997,-2558.806666666667,3729.786666666667,-2924.3666666666663,207.76666666666642,1060.706666666667,-2181.83,-1715.2066666666667,-3959.15,-1235.0533333333333,20460.95,-2871.593333333333,748.4100000000002,-3406.813333333333,2049.1633333333334,-2779.7066666666665,-2877.2899999999995,-1601.36,3303.15,1436.1566666666665,-3296.33,-2354.98,-1076.1766666666665,-310.9333333333334,754.9966666666666,-1160.1999999999998,-999.3233333333333,170.8100000000001,1655.8166666666666,1772.306666666667,8717.476666666667,929.2200000000003,-4203.893333333333,-2373.27,2612.403333333333,-2676.99,20.333333333333332,-4294.983333333334,-806.9266666666667,-3916.18,-2204.1366666666668,-2634.82,877.873333333333,-3865.7966666666666,-4788.34,-2888.9300000000003,-3618.313333333333,2288.1666666666665,-1401.4133333333332,4237.5233333333335,-1667.5600000000002,1497356.5033333332,1598068.1566666665,54985.41333333333
20,7024.206666666666,15961.929999999998,6594.193333333334,9591.01,7048.41,16920.256666666664,-38037.25666666666,37047.45,-491.10666666666674,-15877.486666666666,6875.446666666667,5478.123333333333,4688.7733333333335,8939.246666666666,33245.53666666667,-142903.9233333333,-17277.1,-20149.053333333333,-5700.463333333333,6616.816666666667,20593.52,37870.36666666666,12197.630000000003,4045.6333333333337,4043.3266666666664,-16206.236666666666,4511.846666666667,-1776.12,4634.8533333333335,-2506.4500000000003,14967.013333333334,7213.643333333333,21638.780000000002,9988.35,-7982.320000000001,3889.68,6913.046666666666,10372.116666666667,8171.066666666666,12116.853333333333,30233.33333333334,-64079.916666666664,-19082.23,164.52000000000012,49605.700000000004,12655.833333333334,-44964.369999999995,7711.086666666666,3321.69,-71715.49666666666,3022.31,-36126.71666666667,3947.52,36063.003333333334,17223.29666666667,3477.47,-1420.82,5748.330000000001,3492.33,4482.446666666668,3802.7466666666664,7377.0999999999985,7062.043333333332,7164.6033333333335,10916.960000000001,10661.44,18020.16,1635.97,6117.28,13919.36,-516.86,2986.653333333333,2568.773333333333,1936.1666666666667,2397.24,11808.01,2760.5566666666673,21766.43,6206.803333333334,4589.356666666667,-50582.87333333333,-14003.696666666669,5156.71,2791.093333333333,3603.44,3215.223333333334,8114.473333333332,9857.203333333333,64896.65666666667,238722.8533333333,498634.45,976634.1566666667,72589.56666666667
40,-6314.846666666667,-2349.2499999999995,-8626.296666666667,-53920.536666666674,-6374.086666666666,346944.12,-209.73666666666668,-6204.509999999999,-31427.016666666666,3150.16,-3353.683333333333,-8875.783333333333,-8480.01,-8077.633333333334,5462.75,-5642.556666666666,-1896.1299999999999,369790.61000000004,9121.256666666666,-19744.086666666666,-15383.85,-14288.166666666666,-6086.016666666666,-9075.073333333332,-9811.036666666667,-6579.416666666665,-9701.966666666665,-1655.766666666667,-9359.38,-4002.026666666666,-4960.986666666667,-8988.9,-15975.496666666666,-4287.663333333333,-14743.223333333333,-10137.883333333333,-2291.983333333333,-8585.923333333332,-7383.066666666666,-5952.95,-3851.7533333333336,23149.149999999998,-9769.12,13250.539999999999,-19023.833333333332,-15209.593333333332,-13674.51,-7744.733333333333,-9180.676666666668,-1331.7233333333334,-10099.853333333334,-2420.3733333333334,-10007.156666666668,-4912.7266666666665,-7427.389999999999,-10245.08,-4752.863333333334,-17231.31,-13353.076666666666,-9507.25,-9615.573333333334,-8376.066666666666,-8608.823333333334,-8326.853333333334,-7865.06,-6402.923333333335,-6335.063333333333,18442.213333333333,-17561.966666666664,-13965.166666666664,-25393.766666666663,-10701.206666666667,-10253.050000000001,-23471.293333333335,-10232.663333333332,-3318.0200000000004,-10474.666666666666,-7031.386666666666,-10336.986666666668,-10070.583333333334,-31622.806666666667,-7249.590000000001,-8089.64,-11188.336666666664,-9800.696666666667,-9616.94,-6313.7300000000005,-6338.349999999999,-71960.02666666666,-5683.356666666667,96585.71333333333,-52712.67333333342,26999.95
60,601.4,1407.3433333333332,-429.8333333333333,5420.7266666666665,-144.87666666666664,5171.973333333333,1227.27,2168.11,744.1199999999999,6603.31,-1031.04,112.93333333333335,-1032.72,88.37,995.5600000000001,671.8266666666667,825.0066666666667,985.98,1833.6433333333332,3051.6299999999997,2583.826666666667,3732.3366666666666,-551.4166666666666,-651.32,-1392.9866666666667,16119.046666666667,-1412.7733333333333,2063.4933333333333,-1078.7033333333334,3544.1699999999996,-84.87999999999995,-420.21999999999997,-1245.8866666666665,10662.326666666666,158.77333333333323,-967.3433333333334,1080.1633333333332,-433.2633333333333,-875.5133333333333,284.8300000000001,412.03999999999996,1924.0233333333333,624.2833333333334,-387.2166666666667,2352.8566666666666,2409.0633333333335,4401.926666666666,-71.54999999999995,-2091.79,11899.136666666667,-1701.7966666666664,520.9966666666667,-2027.243333333333,52.12666666666669,-1301.8733333333332,-1758.2966666666664,-1377.7333333333333,-90353.86333333333,-458.71,-1025.47,-1349.0833333333333,-1702.68,-707.5633333333332,527.6166666666667,-553.5166666666668,-405.34666666666664,-1599.8566666666666,691.1933333333333,1688.9466666666667,1999.9066666666665,-3151.966666666667,-1195.2566666666664,-2275.23,1986.1066666666666,-2327.1266666666666,98.6133333333333,-2066.146666666667,-675.8266666666667,-1634.323333333333,-1479.006666666667,-1974.2399999999998,803.8233333333334,-2001.7266666666667,-1754.3733333333337,-1803.0600000000002,-1734.653333333333,-429.45666666666665,-135.53666666666672,2190.9166666666665,-173.4033333333334,1593879.4533333334,1224651.0599999998,51403.756666666675
80,620.1333333333333,1055.1699999999998,225.5333333333334,1828.0733333333335,-134.64000000000001,1523.2333333333333,964.1833333333334,542.44,670.4833333333333,1510.3466666666666,-548.8333333333334,320.97333333333336,-424.25,366.58666666666664,462.0466666666666,284.3333333333333,1496.2266666666667,588.7066666666666,739.8133333333334,1512.3999999999999,1881.2666666666664,3089.796666666667,-365.7966666666666,-364.0233333333333,-538.53,2782.47,-295.40000000000003,589.6166666666667,-347.7966666666666,951.52,269.4433333333333,-881.1966666666667,-187.01999999999998,1015.9699999999999,-0.2799999999999727,1.9366666666666486,769.6,-264.7366666666667,-124.87666666666667,389.1699999999999,590.6533333333333,907.3966666666666,378.27000000000004,-176.49,1022.82,1586.83,3485.773333333333,205.05333333333337,-839.09,2392.7,-978.9433333333333,-186.85666666666665,-898.6999999999999,-246.98000000000005,-416.0566666666666,-659.3833333333333,-375.99333333333334,1115.64,7.293333333333369,-686.4733333333334,-785.3766666666667,30.0,-230.36666666666667,-348.3766666666666,-381.0533333333333,-619.6,-281.35999999999996,-6.206666666666668,503.79333333333335,979.5166666666668,4274.176666666666,21.07333333333334,-1077.4533333333331,1137.0766666666668,-1164.91,227.1633333333333,-1273.1699999999998,-779.68,-422.96000000000004,-908.7866666666667,-700.1966666666667,54.10666666666666,-1052.0600000000002,-601.7733333333333,-802.88,-853.9933333333333,286.08666666666664,30.160000000000007,405.60666666666674,686.4166666666666,974528.1033333334,1912314.7433333334,43812.950000000004
100,160.33,599.1166666666667,223.63000000000002,990.8533333333334,-96.10333333333334,578.46,-36.68666666666669,176.15666666666667,-151.37,476.87999999999994,-482.50666666666666,-213.10999999999999,-78.07,-59.37666666666669,341.6133333333334,-47.11999999999998,285.87,347.75666666666666,-16.216666666666658,459.5933333333333,84.46000000000001,501.7533333333333,-53.79,-208.3166666666667,-341.07,480.32666666666665,-150.20333333333335,359.81,-169.40666666666667,268.0333333333333,3.9266666666666574,-538.1700000000001,-444.98,416.89000000000004,-387.72,-230.54333333333332,616.5000000000001,-73.51666666666665,-352.7866666666667,-104.69666666666667,68.10333333333334,14.99666666666669,-136.58,-257.49666666666667,86.84666666666665,-220.07666666666668,-97.5466666666667,-357.62999999999994,-579.9,865.2199999999999,-470.6233333333333,313.68666666666667,-787.54,-70.68666666666668,-892.5433333333334,-320.74666666666667,-372.12000000000006,-95.94333333333331,-813.0533333333333,-320.4733333333333,-579.87,-246.56000000000003,-692.7999999999998,-479.6166666666666,-498.73,-366.52,-495.1133333333334,-359.00666666666666,-35.21333333333333,-318.5466666666667,1114.9466666666667,-531.6566666666666,-760.4699999999999,-280.2033333333333,-833.9733333333334,-244.84,-917.3366666666667,-115.44666666666666,-363.8166666666666,-744.1466666666666,-798.9866666666667,21.75999999999999,-933.3966666666665,-523.9933333333333,-577.9366666666666,-763.1700000000001,-163.10333333333332,132.96666666666667,-30.083333333333332,-133.80666666666667,374486.9733333333,424678.58666666667,32009.796666666665
120,557.3733333333333,922.5100000000001,426.53999999999996,475.76,383.16,666.1666666666666,290.92,263.82666666666665,455.60999999999996,561.4699999999999,89.49333333333334,224.19666666666672,273.5866666666667,442.55,466.1366666666666,253.59333333333333,378.14000000000004,497.91,314.18333333333334,324.5733333333333,297.25333333333333,208.8066666666667,412.05333333333334,463.32666666666665,212.12,572.5966666666667,182.12,409.66333333333336,372.21333333333337,460.9566666666667,396.0733333333333,67.63000000000001,224.64333333333335,369.70666666666665,140.77666666666667,221.36000000000004,2050.003333333333,322.97999999999996,160.04333333333335,828.8366666666666,436.70666666666665,472.5933333333333,222.78,368.90000000000003,187.9433333333333,415.60666666666674,299.06,312.5833333333333,-9.38,293.25333333333333,78.49333333333334,92.63666666666666,15.046666666666667,175.09,-169.60666666666665,-264.3866666666667,-4.396666666666666,92.37,-140.60333333333332,180.07333333333335,27.23,209.4,77.85333333333334,-95.56666666666668,6.806666666666653,113.12333333333333,109.38999999999999,161.09,14.59666666666667,60.35666666666666,656.4566666666666,-93.78666666666668,49.85999999999999,257.00333333333333,39.95333333333334,-10.986666666666679,-5.383333333333326,-118.64,-168.35666666666665,-299.2633333333333,29.556666666666672,178.12,-218.7833333333333,-47.25,-14.453333333333333,43.46333333333333,230.94999999999996,368.23333333333335,394.6233333333333,205.04333333333332,364896.43333333335,375548.0366666666,28475.61
140,446.55,561.6733333333333,377.7833333333333,357.40000000000003,317.13666666666666,400.49,283.34,292.17,205.94333333333336,282.84666666666664,232.07333333333335,181.3033333333333,161.95666666666668,-0.6333333333333352,265.8566666666666,167.1,369.55333333333334,10.74,116.91333333333334,180.55000000000004,188.98333333333335,17.460000000000004,134.96,287.0566666666667,183.06000000000003,337.6033333333333,380.4633333333333,627.5666666666667,250.21666666666667,341.8633333333333,246.1533333333333,127.70333333333333,116.51333333333334,269.5266666666667,207.41,39.70333333333333,1117.5566666666666,233.71333333333334,259.58,467.54333333333335,298.6666666666667,173.28666666666663,194.66333333333333,44.93,197.35999999999999,190.10999999999999,134.53666666666666,19.116666666666667,78.02666666666666,256.12666666666667,232.59333333333333,327.7366666666667,223.39000000000001,116.62666666666667,187.06333333333336,45.96,-84.56333333333333,40.4,20.393333333333334,144.87,23.34,134.28666666666666,163.46,66.65333333333334,174.69333333333336,50.74000000000001,11.360000000000005,189.17,-15.75,-71.96000000000002,693.5533333333333,88.17,105.27,308.06,-5.249999999999997,164.9466666666667,-7.09,89.71,188.71333333333334,-51.79,-91.63000000000001,-10.62,-79.89333333333333,99.29333333333334,198.73000000000002,77.0,347.99333333333334,347.26,214.03,213.35333333333332,309829.9633333333,323237.06666666665,24264.096666666665
160,252.42333333333332,332.19666666666666,266.6666666666667,255.38666666666666,147.47333333333333,287.64666666666665,206.15666666666667,259.89000000000004,222.9766666666667,268.2366666666667,191.51666666666665,163.35,153.67333333333332,304.8666666666667,147.99666666666664,223.68999999999997,187.79333333333332,138.26333333333335,157.88666666666668,116.50666666666666,156.25333333333333,134.98333333333332,86.82666666666667,275.5133333333333,194.49666666666667,239.98000000000002,180.66333333333333,270.00333333333333,272.24666666666667,172.85666666666665,137.97333333333333,74.91000000000001,147.68333333333337,211.99666666666667,133.11666666666667,207.71333333333334,444.16333333333336,208.1533333333333,117.89999999999999,340.0,253.23666666666668,166.98,117.13333333333333,37.12,101.84333333333332,20.620000000000005,62.54666666666666,49.46666666666666,80.27,240.26999999999998,230.01333333333332,110.49000000000001,139.38333333333333,98.45,-68.37333333333333,24.926666666666666,-4.903333333333336,24.50333333333334,46.1,118.89333333333333,81.94333333333333,103.42666666666668,96.52333333333333,187.44333333333336,78.39333333333333,65.87,76.01666666666667,134.41666666666666,83.95,86.06333333333333,105.37,61.419999999999995,164.23333333333332,114.54333333333334,80.45,105.85666666666667,-17.013333333333335,67.84,18.3,-23.743333333333336,48.03666666666666,36.47,48.01666666666667,50.370000000000005,130.24666666666667,102.46,258.57,217.04999999999998,204.80333333333337,107.56333333333333,256164.83,280541.92,20909.28
180,422.03,877.1866666666666,758.5300000000001,210.22,1479.0,1874.0033333333333,115.75666666666666,847.1633333333333,252.35,590.9366666666666,154.10333333333335,222.1833333333333,276.9133333333333,673.8166666666667,117.36000000000001,103.72333333333334,161.75666666666666,162.45333333333335,154.06,156.1933333333333,135.92333333333332,142.27,108.37333333333333,1176.3033333333333,412.13999999999993,307.72,955.6300000000001,346.34999999999997,164.64666666666668,308.0833333333333,214.86999999999998,108.17999999999999,58.56,689.0966666666667,187.25,189.29,401.0133333333333,865.3466666666667,95.50666666666666,253.52666666666667,299.0,1341.3100000000002,693.6500000000001,1177.4433333333334,227.76666666666668,802.1866666666668,332.52666666666664,141.60666666666665,125.44666666666666,188.53,210.89666666666665,140.86,61.85333333333333,106.33666666666666,390.8333333333334,458.42,1043.6000000000001,163.31,248.2966666666667,1361.11,343.8566666666666,873.1233333333333,876.2633333333333,1051.2533333333333,830.6,1427.3333333333333,518.0366666666667,609.57,821.8833333333333,15.049999999999997,76.26666666666667,260.3333333333333,775.4466666666666,59.40333333333333,16.586666666666666,277.65,329.94,235.75333333333333,243.54999999999998,589.0933333333334,65.65,-42.36,6.710000000000001,152.95000000000002,214.67,186.81333333333336,261.88000000000005,207.41666666666666,186.04,121.05,200916.75,212182.36,19467.196666666667
