time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,0.031,0.039,0.042,0.046,0.036,0.034,0.039,0.063,0.067,0.015,0.031,0.053,0.014,0.031,0.038,0.052,0.05,0.029,0.031,0.041,0.035
20,0.013,0.007,0.023,-0.001,-0.003,0.001,0.003,-0.004,0.005,-0.002,0.015,0.031,0.018,0.005,0.002,0.006,0.002,0.003,0.007,0.0,-0.003
40,0.027,0.021,0.031,0.018,0.015,0.018,0.021,0.018,0.015,0.013,0.019,0.035,0.018,0.02,0.017,0.024,0.021,0.016,0.022,0.017,0.013
60,0.024,0.016,0.034,0.009,0.006,0.013,0.013,0.007,0.01,0.009,0.022,0.038,0.03,0.022,0.015,0.018,0.015,0.014,0.02,0.013,0.091
80,0.037,0.026,0.037,0.018,0.017,0.024,0.023,0.016,0.02,0.027,0.032,0.053,0.04,0.027,0.028,0.029,0.027,0.061,0.036,0.025,0.018
100,0.057,0.041,0.056,0.032,0.03,0.039,0.041,0.03,0.038,0.049,0.046,0.065,0.058,0.043,0.043,0.046,0.045,0.046,0.056,0.042,0.032
120,0.092,0.071,0.084,0.058,0.056,0.072,0.068,0.058,0.069,0.093,0.071,0.089,0.09,0.073,0.074,0.081,0.081,0.085,0.097,0.078,0.06
140,0.118,0.083,0.096,0.064,0.064,0.09,0.08,0.072,0.087,0.133,0.081,0.104,0.098,0.087,0.087,0.094,0.101,0.102,0.171,0.094,0.069
160,0.249,0.2,0.211,0.181,0.178,0.219,0.201,0.189,0.218,0.279,0.197,0.232,0.22,0.206,0.206,0.222,0.238,0.237,0.312,0.229,0.19
180,0.337,0.308,0.317,0.289,0.289,0.316,0.303,0.299,0.315,0.381,0.299,0.323,0.323,0.313,0.409,0.356,0.335,0.333,0.366,0.325,0.293
200,0.455,0.413,0.422,0.378,0.38,0.438,0.412,0.407,0.435,0.489,0.401,0.432,0.426,0.425,0.418,0.442,0.463,0.456,0.49,0.449,0.402
220,0.561,0.514,0.511,0.487,0.477,0.534,0.506,0.503,0.535,0.622,0.515,0.542,0.542,0.527,0.52,0.542,0.572,0.589,0.64,0.548,0.504
240,0.704,0.651,0.651,0.61,0.591,0.669,0.642,0.641,0.679,0.747,0.649,0.677,0.701,0.675,0.665,0.692,0.719,0.716,0.823,0.714,0.648
260,0.807,0.786,0.788,0.742,0.712,0.788,0.775,0.759,0.788,0.823,0.791,0.816,0.813,0.836,0.785,0.807,0.837,0.947,0.924,0.839,0.796
280,0.856,0.858,0.871,0.832,0.806,0.852,0.858,0.828,0.853,0.868,0.861,0.881,0.879,0.856,0.852,0.87,0.886,0.888,0.892,0.888,0.841
300,0.896,0.913,0.932,0.892,0.859,0.895,0.916,0.877,0.896,0.909,0.921,0.926,0.92,0.902,0.9,0.949,1.078,1.053,0.975,0.934,0.96
320,0.939,0.962,0.965,0.925,0.894,0.934,0.946,0.919,0.94,0.941,0.961,0.972,0.963,0.943,0.941,0.97,0.979,1.088,0.98,0.975,0.928
340,0.956,0.981,0.997,0.963,0.935,0.963,0.977,0.948,0.964,0.964,0.997,1.004,0.995,0.972,0.973,0.999,1.004,1.001,0.995,1.005,0.957
360,0.981,1.01,1.015,0.986,0.955,0.989,1.004,0.977,0.988,0.994,1.024,1.028,1.019,1.003,1.0,1.023,1.035,1.017,1.024,1.034,0.981
380,0.993,1.028,1.033,0.997,0.979,0.996,1.012,0.995,0.999,1.011,1.038,1.049,1.032,1.08,1.019,1.024,1.055,1.038,1.047,1.054,0.991
400,1.031,1.052,1.057,1.022,1.01,1.019,1.043,1.025,1.029,1.044,1.063,1.076,1.065,1.049,1.048,1.049,1.078,1.059,1.076,1.085,1.013
420,1.04,1.062,1.074,1.031,1.026,1.036,1.056,1.041,1.044,1.052,1.071,1.081,1.078,1.076,1.071,1.052,1.093,1.08,1.077,1.091,1.021
440,1.059,1.086,1.099,1.064,1.055,1.059,1.08,1.06,1.053,1.067,1.087,1.116,1.101,1.093,1.091,1.092,1.116,1.095,1.08,1.114,1.037
460,1.067,1.109,1.125,1.075,1.073,1.074,1.089,1.08,1.069,1.078,1.099,1.13,1.111,1.126,1.107,1.094,1.134,1.117,1.094,1.126,1.059
480,1.075,1.106,1.122,1.081,1.075,1.082,1.098,1.081,1.072,1.082,1.09,1.124,1.116,1.117,1.115,1.095,1.133,1.111,1.088,1.125,1.064
500,1.083,1.115,1.125,1.082,1.086,1.09,1.112,1.089,1.082,1.085,1.09,1.135,1.115,1.117,1.283,1.226,1.136,1.108,1.121,1.134,1.066
520,1.077,1.124,1.146,1.098,1.101,1.098,1.115,1.095,1.088,1.095,1.088,1.134,1.128,1.125,1.127,1.107,1.14,1.14,1.159,1.253,1.093
540,1.078,1.123,1.141,1.09,1.097,1.094,1.1,1.091,1.077,1.091,1.08,1.132,1.11,1.126,1.122,1.085,1.144,1.107,1.081,1.146,1.081
560,1.071,1.135,1.146,1.096,1.101,1.096,1.103,1.095,1.084,1.094,1.095,1.136,1.12,1.132,1.125,1.086,1.148,1.118,1.083,1.158,1.09
580,1.091,1.131,1.143,1.099,1.108,1.097,1.102,1.098,1.084,1.098,1.105,1.141,1.127,1.136,1.131,1.077,1.215,1.238,1.084,1.156,1.082
600,1.082,1.123,1.149,1.101,1.108,1.095,1.103,1.103,1.093,1.103,1.105,1.141,1.122,1.142,1.135,1.091,1.163,1.129,1.091,1.152,1.09
620,1.079,1.127,1.125,1.089,1.105,1.09,1.106,1.102,1.086,1.1,1.117,1.131,1.118,1.149,1.135,1.083,1.155,1.123,1.18,1.262,1.087
