time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
0,0.013333333333333334,0.011999999999999999,0.016333333333333335,0.021666666666666667,0.038,0.022333333333333334,0.03333333333333333,0.023666666666666666,0.027,0.017,0.02666666666666667,0.02,0.009000000000000001,0.018666666666666665,0.010333333333333333,0.017333333333333333,0.018,0.01333333333333333,0.018,0.01,0.01,0.010333333333333333,0.011000000000000001,0.016333333333333335,0.011333333333333334,0.004999999999999999,0.009333333333333334,0.021,0.025333333333333333,0.012000000000000002,0.025333333333333333,0.016999999999999998,0.02033333333333333,0.018666666666666665,0.015,0.020666666666666667,0.013666666666666667,0.019666666666666666,0.013333333333333334,0.019666666666666666,0.018666666666666668,0.010333333333333333,0.02,0.011000000000000001,0.012333333333333335,0.013666666666666667,0.013,0.018333333333333337,0.013666666666666667,0.009,0.017,0.011333333333333334,0.019666666666666666,0.008333333333333333,0.014666666666666666,0.015666666666666666,0.014666666666666666,0.008333333333333333,0.009,0.016,0.014666666666666666,0.015999999999999997,0.012999999999999998,0.011000000000000001,0.012666666666666668,0.013,0.010666666666666666,0.010666666666666666,0.007666666666666666,0.004,0.010333333333333333,0.017666666666666667,0.015666666666666666,0.008,0.019666666666666666,0.01,0.019000000000000003,0.01,0.016,0.013999999999999999,0.015333333333333332,0.009,0.016666666666666666,0.02,0.016333333333333335,0.02033333333333333,0.011333333333333334,0.012666666666666666,0.007666666666666666,0.010333333333333333,0.005,0.004333333333333334,0.015
20,0.021,0.009000000000000001,0.018000000000000002,0.0016666666666666663,0.016,0.0016666666666666668,0.0074333333333333335,0.008333333333333333,0.008333333333333333,0.004033333333333333,0.017666666666666667,0.02033333333333333,0.024333333333333332,0.016,0.008333333333333333,0.008933333333333333,0.007333333333333333,0.004666666666666666,0.005666666666666667,0.0016666666666666668,0.0003333333333333333,-0.001,0.009333333333333334,0.024333333333333335,0.028999999999999998,-0.0030000000000000005,0.021666666666666667,0.005666666666666667,0.024000000000000004,0.005666666666666667,0.012333333333333333,0.016333333333333335,0.014333333333333332,0.004,0.009333333333333334,0.021333333333333333,0.016333333333333335,0.013999999999999999,0.014,0.013999999999999999,0.009333333333333334,0.0062,0.007333333333333333,0.004333333333333333,0.0022666666666666664,0.0,-0.0035,0.015,0.029666666666666664,-0.002166666666666667,0.029333333333333333,0.009099999999999999,0.026333333333333334,0.007666666666666666,0.013999999999999999,0.023999999999999997,0.012333333333333333,0.0036666666666666666,0.004,0.016666666666666666,0.02666666666666667,0.016,0.015,0.013666666666666667,0.012333333333333333,0.009333333333333332,0.009333333333333332,0.005,0.002,-0.001,-0.005666666666666667,0.021666666666666667,0.038,0.004,0.037333333333333336,0.010333333333333333,0.028999999999999998,0.008666666666666668,0.017,0.019333333333333334,0.014166666666666666,0.0061,0.020666666666666667,0.02766666666666667,0.03,0.03766666666666666,0.016666666666666666,0.012333333333333333,0.007166666666666666,0.008033333333333332,0.0019999999999999996,-0.0006666666666666664,0.01833333333333333
40,0.021,0.011000000000000001,0.021333333333333333,0.0061,0.020666666666666667,0.009366666666666667,0.014333333333333332,0.014666666666666666,0.013333333333333334,0.008333333333333333,0.020666666666666667,0.023333333333333334,0.024333333333333335,0.02,0.012333333333333333,0.013666666666666666,0.012000000000000002,0.009366666666666667,0.009333333333333334,0.005999999999999999,0.004666666666666667,0.0036666666666666666,0.011666666666666667,0.025333333333333333,0.028666666666666663,0.0010000000000000002,0.022333333333333334,0.009,0.02366666666666667,0.009,0.015666666666666666,0.018666666666666668,0.013999999999999999,0.008333333333333333,0.009333333333333334,0.023999999999999997,0.015666666666666666,0.016333333333333335,0.017,0.018333333333333333,0.012333333333333335,0.011000000000000001,0.07166666666666667,0.0086,0.006333333333333333,0.004,0.004333333333333334,0.016999999999999998,0.02566666666666667,0.0013333333333333333,0.027666666666666662,0.010666666666666666,0.027333333333333334,0.009,0.016,0.020666666666666667,0.015,0.005333333333333333,0.008333333333333333,0.017,0.025333333333333333,0.018,0.016333333333333335,0.015666666666666666,0.014333333333333332,0.013333333333333334,0.012333333333333333,0.010233333333333332,0.004666666666666667,0.0023333333333333335,-0.0025,0.02033333333333333,0.03233333333333333,0.006333333333333333,0.03166666666666667,0.012666666666666666,0.028999999999999998,0.012000000000000002,0.01933333333333333,0.01933333333333333,0.015666666666666666,0.009333333333333334,0.02033333333333333,0.028333333333333335,0.03,0.035,0.018666666666666668,0.014666666666666666,0.0095,0.011333333333333334,0.004333333333333334,0.0023333333333333335,0.01933333333333333
60,0.02866666666666667,0.01933333333333333,0.028333333333333332,0.011000000000000001,0.025333333333333333,0.009666666666666667,0.017333333333333336,0.014333333333333332,0.022000000000000002,0.009333333333333332,0.03466666666666667,0.025333333333333336,0.036666666666666674,0.025666666666666667,0.018333333333333337,0.01833333333333333,0.016333333333333335,0.013999999999999999,0.013999999999999999,0.010666666666666666,0.010666666666666666,0.009666666666666667,0.018333333333333333,0.02666666666666667,0.03866666666666666,0.005,0.03,0.013333333333333334,0.029666666666666664,0.011000000000000001,0.021333333333333333,0.019,0.027333333333333334,0.006333333333333333,0.021333333333333333,0.023000000000000003,0.02366666666666667,0.022000000000000002,0.023000000000000003,0.020666666666666667,0.017,0.013,0.014,0.012333333333333333,0.01,0.008333333333333333,0.005666666666666667,0.02033333333333333,0.042333333333333334,0.006000000000000001,0.038,0.015,0.036333333333333336,0.012666666666666666,0.02266666666666667,0.021,0.028333333333333332,0.004633333333333333,0.018,0.019,0.03666666666666666,0.024999999999999998,0.023000000000000003,0.02033333333333333,0.019333333333333334,0.016666666666666666,0.025333333333333333,0.012666666666666666,0.01,0.007333333333333333,0.0003333333333333333,0.024333333333333332,0.051333333333333335,0.012666666666666666,0.043333333333333335,0.017666666666666667,0.041,0.016,0.025333333333333333,0.022333333333333334,0.029666666666666664,0.009333333333333334,0.032,0.03,0.041,0.046000000000000006,0.027666666666666662,0.022333333333333334,0.015333333333333332,0.016,0.006000000000000001,0.005333333333333333,0.02666666666666667
80,0.04066666666666666,0.03266666666666667,0.04133333333333333,0.023999999999999997,0.038,0.024000000000000004,0.02766666666666667,0.03133333333333333,0.032,0.023999999999999997,0.04833333333333334,0.04033333333333333,0.050666666666666665,0.03833333333333334,0.029666666666666664,0.03133333333333333,0.025333333333333333,0.024999999999999998,0.024333333333333332,0.021333333333333333,0.020666666666666667,0.02,0.031,0.044333333333333336,0.05366666666666667,0.018,0.042666666666666665,0.026333333333333334,0.036333333333333336,0.024000000000000004,0.028999999999999998,0.03466666666666667,0.03366666666666667,0.018666666666666665,0.030333333333333334,0.036333333333333336,0.029333333333333336,0.03333333333333333,0.035,0.03166666666666667,0.02666666666666667,0.024333333333333332,0.025000000000000005,0.023000000000000003,0.021,0.018333333333333333,0.015666666666666666,0.03133333333333333,0.05266666666666666,0.017666666666666667,0.05366666666666667,0.028666666666666663,0.043333333333333335,0.026,0.029666666666666664,0.03666666666666667,0.03266666666666667,0.017333333333333333,0.02766666666666667,0.033,0.05266666666666666,0.03666666666666667,0.034666666666666665,0.03266666666666667,0.031,0.02766666666666667,0.02566666666666667,0.02266666666666667,0.019,0.017333333333333333,0.007,0.035666666666666666,0.06266666666666666,0.02366666666666667,0.06,0.03833333333333333,0.04566666666666667,0.03466666666666667,0.03233333333333333,0.042333333333333334,0.036333333333333336,0.021666666666666667,0.04466666666666667,0.043000000000000003,0.05833333333333333,0.065,0.04133333333333333,0.035333333333333335,0.02733333333333333,0.02766666666666667,0.010666666666666666,0.008666666666666668,0.04033333333333333
100,0.06366666666666666,0.049999999999999996,0.06333333333333334,0.04133333333333333,0.06033333333333333,0.041666666666666664,0.051666666666666666,0.052666666666666674,0.05566666666666666,0.041666666666666664,0.07633333333333332,0.062,0.07200000000000001,0.059666666666666666,0.05066666666666667,0.05199999999999999,0.04700000000000001,0.04633333333333334,0.057,0.03933333333333333,0.04466666666666667,0.043000000000000003,0.050666666666666665,0.06366666666666666,0.08233333333333333,0.03766666666666667,0.06366666666666666,0.044000000000000004,0.05499999999999999,0.041,0.04800000000000001,0.05566666666666667,0.05833333333333333,0.034999999999999996,0.05366666666666666,0.05366666666666666,0.04533333333333334,0.05633333333333334,0.057,0.05133333333333334,0.04800000000000001,0.04666666666666667,0.04700000000000001,0.044000000000000004,0.042666666666666665,0.036666666666666674,0.03666666666666667,0.050666666666666665,0.07833333333333332,0.03766666666666667,0.06866666666666667,0.04466666666666667,0.06633333333333334,0.043000000000000003,0.057666666666666665,0.055999999999999994,0.056999999999999995,0.03166666666666667,0.05366666666666666,0.04833333333333334,0.078,0.057999999999999996,0.065,0.06833333333333334,0.052666666666666674,0.04933333333333333,0.04533333333333334,0.04533333333333334,0.04033333333333333,0.03733333333333333,0.020666666666666667,0.051333333333333335,0.09200000000000001,0.05266666666666667,0.08633333333333333,0.053,0.081,0.05133333333333334,0.055999999999999994,0.06166666666666667,0.05933333333333333,0.039,0.07133333333333333,0.06066666666666667,0.08600000000000001,0.09133333333333334,0.071,0.056999999999999995,0.050333333333333334,0.050666666666666665,0.02266666666666667,0.021333333333333333,0.069
120,0.08433333333333333,0.07233333333333333,0.08666666666666667,0.06333333333333334,0.07866666666666666,0.064,0.074,0.08133333333333333,0.079,0.067,0.10033333333333333,0.09600000000000002,0.10066666666666668,0.085,0.07333333333333333,0.07866666666666666,0.07066666666666667,0.06999999999999999,0.07033333333333333,0.06266666666666666,0.07033333333333333,0.07133333333333333,0.07433333333333333,0.09033333333333333,0.10833333333333334,0.06499999999999999,0.08333333333333333,0.06466666666666666,0.06733333333333334,0.05833333333333333,0.06933333333333333,0.07466666666666667,0.08333333333333333,0.06233333333333333,0.06733333333333333,0.08166666666666667,0.061,0.07866666666666668,0.07866666666666666,0.071,0.07033333333333333,0.07266666666666667,0.06899999999999999,0.06699999999999999,0.06466666666666666,0.056,0.055,0.07233333333333332,0.09800000000000002,0.07033333333333333,0.09533333333333333,0.07666666666666666,0.084,0.06633333333333334,0.08433333333333333,0.09066666666666667,0.081,0.053,0.07233333333333333,0.08066666666666666,0.105,0.081,0.08633333333333333,0.08700000000000001,0.08566666666666667,0.072,0.067,0.06766666666666667,0.06566666666666666,0.059000000000000004,0.03966666666666666,0.07866666666666666,0.118,0.06899999999999999,0.09833333333333334,0.09233333333333334,0.08766666666666667,0.07633333333333334,0.07666666666666666,0.09133333333333334,0.084,0.06499999999999999,0.09100000000000001,0.09533333333333333,0.11733333333333333,0.12233333333333334,0.09433333333333334,0.081,0.074,0.07633333333333332,0.028666666666666663,0.027333333333333334,0.09733333333333334
140,0.13266666666666668,0.11199999999999999,0.12833333333333333,0.105,0.12033333333333333,0.10866666666666668,0.12,0.13533333333333333,0.128,0.118,0.144,0.155,0.14933333333333332,0.22533333333333336,0.11466666666666665,0.12666666666666668,0.11399999999999999,0.11666666666666665,0.119,0.10733333333333334,0.11966666666666666,0.12200000000000001,0.11733333333333333,0.144,0.15766666666666665,0.11399999999999999,0.12133333333333333,0.10566666666666667,0.08866666666666667,0.09600000000000002,0.10733333333333332,0.11466666666666665,0.129,0.107,0.09933333333333333,0.133,0.08066666666666666,0.12066666666666666,0.126,0.10533333333333333,0.11233333333333333,0.11599999999999999,0.11433333333333333,0.11433333333333333,0.11166666666666665,0.09300000000000001,0.09599999999999999,0.118,0.139,0.11133333333333333,0.113,0.09966666666666667,0.11466666666666668,0.09599999999999999,0.11333333333333333,0.111,0.13066666666666668,0.08933333333333332,0.11533333333333333,0.124,0.15266666666666664,0.12266666666666666,0.12200000000000001,0.12833333333333333,0.11666666666666665,0.11733333333333335,0.102,0.11,0.10566666666666664,0.11066666666666668,0.061,0.11466666666666668,0.16533333333333333,0.117,0.13433333333333333,0.11800000000000001,0.13866666666666666,0.11599999999999999,0.115,0.134,0.132,0.11133333333333333,0.12600000000000003,0.146,0.17233333333333334,0.171,0.1406666666666667,0.123,0.11800000000000001,0.12233333333333335,0.041666666666666664,0.03966666666666666,0.15033333333333335
160,0.19899999999999998,0.17800000000000002,0.19899999999999998,0.16666666666666666,0.18533333333333335,0.17333333333333334,0.18499999999999997,0.2113333333333333,0.19500000000000003,0.18533333333333335,0.22166666666666668,0.23199999999999998,0.23399999999999999,0.20733333333333334,0.18366666666666667,0.20366666666666666,0.18700000000000003,0.18133333333333335,0.18900000000000003,0.17366666666666666,0.19433333333333336,0.19633333333333333,0.18133333333333335,0.21966666666666668,0.24733333333333332,0.19033333333333335,0.19100000000000003,0.17333333333333334,0.13399999999999998,0.16166666666666665,0.17066666666666666,0.19200000000000003,0.20133333333333336,0.17433333333333334,0.15566666666666665,0.20166666666666666,0.135,0.19666666666666668,0.2026666666666667,0.17533333333333334,0.18999999999999997,0.18733333333333335,0.18233333333333335,0.18400000000000002,0.18333333333333335,0.156,0.15833333333333333,0.18166666666666667,0.22033333333333335,0.19099999999999998,0.19200000000000003,0.17900000000000002,0.18600000000000003,0.17233333333333334,0.19766666666666666,0.18233333333333335,0.206,0.146,0.18966666666666665,0.19733333333333333,0.23666666666666666,0.20266666666666666,0.20099999999999998,0.18800000000000003,0.19200000000000003,0.20133333333333336,0.18533333333333335,0.18233333333333332,0.167,0.16633333333333333,0.11066666666666668,0.18233333333333335,0.24499999999999997,0.18833333333333332,0.20433333333333334,0.19266666666666668,0.214,0.18566666666666667,0.18066666666666667,0.20833333333333334,0.21166666666666667,0.17800000000000002,0.19799999999999998,0.22133333333333335,0.26366666666666666,0.26666666666666666,0.21666666666666665,0.19566666666666668,0.19133333333333336,0.19366666666666665,0.065,0.06233333333333333,0.2313333333333333
180,0.2996666666666667,0.25666666666666665,0.283,0.24666666666666667,0.26899999999999996,0.25966666666666666,0.2763333333333333,0.3076666666666667,0.2836666666666667,0.2723333333333333,0.3146666666666667,0.321,0.31966666666666665,0.2976666666666667,0.26833333333333337,0.301,0.27566666666666667,0.27399999999999997,0.282,0.2623333333333333,0.29033333333333333,0.285,0.26666666666666666,0.3063333333333333,0.345,0.2846666666666667,0.28099999999999997,0.25366666666666665,0.206,0.2336666666666667,0.25033333333333335,0.27699999999999997,0.29233333333333333,0.26366666666666666,0.22066666666666668,0.2936666666666667,0.21,0.2926666666666667,0.292,0.25166666666666665,0.27466666666666667,0.28733333333333333,0.27666666666666667,0.2793333333333333,0.274,0.23633333333333337,0.23700000000000002,0.26333333333333336,0.3113333333333333,0.265,0.267,0.24966666666666668,0.2673333333333333,0.2356666666666667,0.27599999999999997,0.2613333333333333,0.30466666666666664,0.2193333333333333,0.2846666666666667,0.2856666666666667,0.33,0.294,0.28933333333333333,0.284,0.2856666666666667,0.2833333333333333,0.24333333333333332,0.263,0.24933333333333332,0.25133333333333335,0.18799999999999997,0.26199999999999996,0.33666666666666667,0.35200000000000004,0.297,0.291,0.312,0.26699999999999996,0.26499999999999996,0.297,0.31833333333333336,0.2683333333333333,0.28633333333333333,0.30633333333333335,0.35600000000000004,0.36399999999999993,0.3156666666666667,0.29,0.283,0.2826666666666667,0.103,0.10133333333333333,0.3276666666666666
