gate,fluo
e11x32STPhoRadA_00,0.002171441
e11x32STPhoRadA_01,0.002120147
e11x32STPhoRadA_02,5.98E-05
e11x32STPhoRadA_03,0.001470425
e11x32STPhoRadA_04,0.000213725
e11x32STPhoRadA_05,0.000495841
e11x32STPhoRadA_10,0.00252195
e11x32STPhoRadA_11,0.172766365
e11x32STPhoRadA_12,0.663469348
e11x32STPhoRadA_13,0.793653236
e11x32STPhoRadA_14,0.766903473
e11x32STPhoRadA_15,0.691424517
e11x32STPhoRadA_20,0.008266865
e11x32STPhoRadA_21,0.506612637
e11x32STPhoRadA_22,2.584015115
e11x32STPhoRadA_23,2.801629436
e11x32STPhoRadA_24,2.364195156
e11x32STPhoRadA_25,2.047070692
e11x32STPhoRadA_30,0.009933916
e11x32STPhoRadA_31,0.747360502
e11x32STPhoRadA_32,3.857283305
e11x32STPhoRadA_33,4.277764954
e11x32STPhoRadA_34,3.046121755
e11x32STPhoRadA_35,2.569037299
e11x32STPhoRadA_40,0.008318159
e11x32STPhoRadA_41,0.45480581
e11x32STPhoRadA_42,3.975567011
e11x32STPhoRadA_43,4.842228548
e11x32STPhoRadA_44,3.326750618
e11x32STPhoRadA_45,2.790729485
e11x32STPhoRadA_50,0.004317236
e11x32STPhoRadA_51,0.530669471
e11x32STPhoRadA_52,4.386687526
e11x32STPhoRadA_53,4.8556419
e11x32STPhoRadA_54,3.433467552
e11x32STPhoRadA_55,2.941482222
e15x32NpuSspS2_00,0.003086182
e15x32NpuSspS2_01,0.002906654
e15x32NpuSspS2_02,0.003445239
e15x32NpuSspS2_03,0.001137015
e15x32NpuSspS2_04,0.000393253
e15x32NpuSspS2_05,0.001162661
e15x32NpuSspS2_10,0.007984749
e15x32NpuSspS2_11,0.028810067
e15x32NpuSspS2_12,0.043198003
e15x32NpuSspS2_13,0.047865747
e15x32NpuSspS2_14,0.047404102
e15x32NpuSspS2_15,0.046609047
e15x32NpuSspS2_20,0.009215802
e15x32NpuSspS2_21,0.073358809
e15x32NpuSspS2_22,0.145837074
e15x32NpuSspS2_23,0.176100468
e15x32NpuSspS2_24,0.175356706
e15x32NpuSspS2_25,0.184179255
e15x32NpuSspS2_30,0.009420977
e15x32NpuSspS2_31,0.115265916
e15x32NpuSspS2_32,0.278072718
e15x32NpuSspS2_33,0.350268865
e15x32NpuSspS2_34,0.375377224
e15x32NpuSspS2_35,0.392688911
e15x32NpuSspS2_40,0.008677216
e15x32NpuSspS2_41,0.094825302
e15x32NpuSspS2_42,0.36298975
e15x32NpuSspS2_43,0.518153762
e15x32NpuSspS2_44,0.539466373
e15x32NpuSspS2_45,0.551212673
e15x32NpuSspS2_50,0.009420977
e15x32NpuSspS2_51,0.125729869
e15x32NpuSspS2_52,0.450061125
e15x32NpuSspS2_53,0.606994777
e15x32NpuSspS2_54,0.634847358
e15x32NpuSspS2_55,0.653287511
e16x33NrdA2_00,0.007818076
e16x33NrdA2_01,0.006050295
e16x33NrdA2_02,0.005328243
e16x33NrdA2_03,0.004805378
e16x33NrdA2_04,0.00179268
e16x33NrdA2_05,0.001842477
e16x33NrdA2_10,0.006622956
e16x33NrdA2_11,0.030799236
e16x33NrdA2_12,0.155639472
e16x33NrdA2_13,0.200456469
e16x33NrdA2_14,0.188231388
e16x33NrdA2_15,0.13507345
e16x33NrdA2_20,0.007967466
e16x33NrdA2_21,0.170204996
e16x33NrdA2_22,1.147688605
e16x33NrdA2_23,1.187127562
e16x33NrdA2_24,1.480429911
e16x33NrdA2_25,1.218374969
e16x33NrdA2_30,0.009411569
e16x33NrdA2_31,0.272039173
e16x33NrdA2_32,2.284148062
e16x33NrdA2_33,3.075890115
e16x33NrdA2_34,3.112366171
e16x33NrdA2_35,2.984413644
e16x33NrdA2_40,0.011602623
e16x33NrdA2_41,0.32820981
e16x33NrdA2_42,2.994821147
e16x33NrdA2_43,3.824209478
e16x33NrdA2_44,4.096846211
e16x33NrdA2_45,3.945190472
e16x33NrdA2_50,0.011303843
e16x33NrdA2_51,0.264395386
e16x33NrdA2_52,3.025695078
e16x33NrdA2_53,4.024516557
e16x33NrdA2_54,4.259930285
e16x33NrdA2_55,4.321354469
e20x32gp411_00,0.005776413
e20x32gp411_01,0.009660553
e20x32gp411_02,0.013370404
e20x32gp411_03,0.014391236
e20x32gp411_04,0.011901403
e20x32gp411_05,0.014441032
e20x32gp411_10,0.008938501
e20x32gp411_11,0.220549423
e20x32gp411_12,0.861955349
e20x32gp411_13,0.964411984
e20x32gp411_14,1.181475641
e20x32gp411_15,1.191086397
e20x32gp411_20,0.009187484
e20x32gp411_21,0.235438626
e20x32gp411_22,1.350236534
e20x32gp411_23,1.971300523
e20x32gp411_24,2.123180347
e20x32gp411_25,2.275931613
e20x32gp411_30,0.008988298
e20x32gp411_31,0.192140427
e20x32gp411_32,1.312615155
e20x32gp411_33,2.153929787
e20x32gp411_34,2.386729189
e20x32gp411_35,2.563631837
e20x32gp411_40,0.008116856
e20x32gp411_41,0.17105154
e20x32gp411_42,1.279973442
e20x32gp411_43,2.120341937
e20x32gp411_44,2.47745871
e20x32gp411_45,2.666835422
e20x32gp411_50,0.007643788
e20x32gp411_51,0.132135447
e20x32gp411_52,1.120574322
e20x32gp411_53,2.077840485
e20x32gp411_54,2.449024815
e20x32gp411_55,2.775392149
e32x30SspGyrB_00,0.008633094
e32x30SspGyrB_01,0.008633094
e32x30SspGyrB_02,0.01241312
e32x30SspGyrB_03,0.01268138
e32x30SspGyrB_04,0.010413364
e32x30SspGyrB_05,0.008730643
e32x30SspGyrB_10,0.009803682
e32x30SspGyrB_11,0.07047921
e32x30SspGyrB_12,0.165101817
e32x30SspGyrB_13,0.196561395
e32x30SspGyrB_14,0.193634923
e32x30SspGyrB_15,0.150518229
e32x30SspGyrB_20,0.013510547
e32x30SspGyrB_21,0.227703939
e32x30SspGyrB_22,0.724033654
e32x30SspGyrB_23,0.865235947
e32x30SspGyrB_24,0.864187294
e32x30SspGyrB_25,0.85270089
e32x30SspGyrB_30,0.017363736
e32x30SspGyrB_31,0.376758932
e32x30SspGyrB_32,1.538909889
e32x30SspGyrB_33,1.935690769
e32x30SspGyrB_34,2.055237166
e32x30SspGyrB_35,2.117083283
e32x30SspGyrB_40,0.017095476
e32x30SspGyrB_41,0.379465919
e32x30SspGyrB_42,1.980002439
e32x30SspGyrB_43,2.702304597
e32x30SspGyrB_44,3.025655408
e32x30SspGyrB_45,3.152932569
e32x30SspGyrB_50,0.014364102
e32x30SspGyrB_51,0.303743446
e32x30SspGyrB_52,1.924301914
e32x30SspGyrB_53,2.98865992
e32x30SspGyrB_54,3.442482624
e32x30SspGyrB_55,3.671869284
e34x30MjaKlbA_00,0.011632728
e34x30MjaKlbA_01,0.010754786
e34x30MjaKlbA_02,0.012559444
e34x30MjaKlbA_03,0.012047311
e34x30MjaKlbA_04,0.009754908
e34x30MjaKlbA_05,0.012242409
e34x30MjaKlbA_10,0.010706011
e34x30MjaKlbA_11,0.028679429
e34x30MjaKlbA_12,0.027362517
e34x30MjaKlbA_13,0.019582978
e34x30MjaKlbA_14,0.021558347
e34x30MjaKlbA_15,0.023875137
e34x30MjaKlbA_20,0.013461773
e34x30MjaKlbA_21,0.149664675
e34x30MjaKlbA_22,0.169467138
e34x30MjaKlbA_23,0.159248872
e34x30MjaKlbA_24,0.138641629
e34x30MjaKlbA_25,0.143372759
e34x30MjaKlbA_30,0.01616876
e34x30MjaKlbA_31,0.406291916
e34x30MjaKlbA_32,0.838312401
e34x30MjaKlbA_33,0.826167541
e34x30MjaKlbA_34,0.808998903
e34x30MjaKlbA_35,0.82492379
e34x30MjaKlbA_40,0.016071211
e34x30MjaKlbA_41,0.464016583
e34x30MjaKlbA_42,1.457383246
e34x30MjaKlbA_43,1.574759176
e34x30MjaKlbA_44,1.665260334
e34x30MjaKlbA_45,1.799878064
e34x30MjaKlbA_50,0.015217656
e34x30MjaKlbA_51,0.387001585
e34x30MjaKlbA_52,1.394561639
e34x30MjaKlbA_53,1.637849043
e34x30MjaKlbA_54,1.801292525
e34x30MjaKlbA_55,2.089354957
e38x32gp418_00,0.012647598
e38x32gp418_01,0.011542219
e38x32gp418_02,0.012519066
e38x32gp418_03,0.012621892
e38x32gp418_04,0.01087385
e38x32gp418_05,0.009897003
e38x32gp418_10,0.017891724
e38x32gp418_11,0.146449932
e38x32gp418_12,0.352153348
e38x32gp418_13,0.406394064
e38x32gp418_14,0.375597676
e38x32gp418_15,0.320585765
e38x32gp418_20,0.021207863
e38x32gp418_21,0.304185018
e38x32gp418_22,0.911141197
e38x32gp418_23,1.048311083
e38x32gp418_24,0.9890576
e38x32gp418_25,0.816335624
e38x32gp418_30,0.022493188
e38x32gp418_31,0.359839591
e38x32gp418_32,1.110443694
e38x32gp418_33,1.270029648
e38x32gp418_34,1.183989992
e38x32gp418_35,1.025612243
e38x32gp418_40,0.020333842
e38x32gp418_41,0.335598362
e38x32gp418_42,1.084531542
e38x32gp418_43,1.33252215
e38x32gp418_44,1.324218951
e38x32gp418_45,1.105379514
e38x32gp418_50,0.020513787
e38x32gp418_51,0.30498192
e38x32gp418_52,1.102140495
e38x32gp418_53,1.409975836
e38x32gp418_54,1.382289935
e38x32gp418_55,1.179851245
e41x32NrdJ1_00,0.007943309
e41x32NrdJ1_01,0.006992168
e41x32NrdJ1_02,0.009459992
e41x32NrdJ1_03,0.009614231
e41x32NrdJ1_04,0.007891896
e41x32NrdJ1_05,0.009922709
e41x32NrdJ1_10,0.021953351
e41x32NrdJ1_11,0.065525869
e41x32NrdJ1_12,0.091900739
e41x32NrdJ1_13,0.108378605
e41x32NrdJ1_14,0.106836215
e41x32NrdJ1_15,0.106399205
e41x32NrdJ1_20,0.021619167
e41x32NrdJ1_21,0.191487721
e41x32NrdJ1_22,0.375006427
e41x32NrdJ1_23,0.464644993
e41x32NrdJ1_24,0.447318812
e41x32NrdJ1_25,0.432974585
e41x32NrdJ1_30,0.01755754
e41x32NrdJ1_31,0.284236774
e41x32NrdJ1_32,0.916513856
e41x32NrdJ1_33,1.109543967
e41x32NrdJ1_34,1.137975356
e41x32NrdJ1_35,1.077513667
e41x32NrdJ1_40,0.012904663
e41x32NrdJ1_41,0.286421827
e41x32NrdJ1_42,1.261520797
e41x32NrdJ1_43,1.710433412
e41x32NrdJ1_44,1.824981577
e41x32NrdJ1_45,1.672979041
e41x32NrdJ1_50,0.01233912
e41x32NrdJ1_51,0.244545938
e41x32NrdJ1_52,1.504498638
e41x32NrdJ1_53,2.029502494
e41x32NrdJ1_54,2.150837175
e41x32NrdJ1_55,2.058653665
e42x32STIMPDH1_00,0.005416257
e42x32STIMPDH1_01,0.004621759
e42x32STIMPDH1_02,0.006185127
e42x32STIMPDH1_03,0.006159498
e42x32STIMPDH1_04,0.002699586
e42x32STIMPDH1_05,0.002930246
e42x32STIMPDH1_10,0.00710777
e42x32STIMPDH1_11,0.073614967
e42x32STIMPDH1_12,0.152962283
e42x32STIMPDH1_13,0.128307206
e42x32STIMPDH1_14,0.109059844
e42x32STIMPDH1_15,0.105420529
e42x32STIMPDH1_20,0.006569561
e42x32STIMPDH1_21,0.122258767
e42x32STIMPDH1_22,0.519917987
e42x32STIMPDH1_23,0.533860151
e42x32STIMPDH1_24,0.503464184
e42x32STIMPDH1_25,0.533168169
e42x32STIMPDH1_30,0.005416257
e42x32STIMPDH1_31,0.114365042
e42x32STIMPDH1_32,0.808397762
e42x32STIMPDH1_33,0.98872325
e42x32STIMPDH1_34,0.987595575
e42x32STIMPDH1_35,1.128273034
e42x32STIMPDH1_40,0.005441886
e42x32STIMPDH1_41,0.080586049
e42x32STIMPDH1_42,0.876852762
e42x32STIMPDH1_43,1.173303148
e42x32STIMPDH1_44,1.206979625
e42x32STIMPDH1_45,1.463269403
e42x32STIMPDH1_50,0.004314211
e42x32STIMPDH1_51,0.067130836
e42x32STIMPDH1_52,0.907094955
e42x32STIMPDH1_53,1.339891504
e42x32STIMPDH1_54,1.454017342
e42x32STIMPDH1_55,1.711614198
