time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,-58.050599999999996,-52.065,-40.220040000000004,-118.90908,-53.804159999999996,-24.025760000000002,-52.19019,-163.17945,-168.93246000000002,87.2199,-56.2929,-136.44478999999998,-27.23686,-63.603939999999994,-99.15796,-64.62612,-112.7415,-26.24268,-27.54567,-100.65213,-52.920350000000006
20,-1449.1473099999998,-712.99998,-2652.3404499999997,176.92308,450.9375,-19.09091,-249.23076,588.10812,-487.7778,317.5,-1713.42285,-3610.5882899999997,-2058.13188,-507.0,-150.0,-580.67796,-127.77778,-258.88890000000004,-747.01494,-0.0,432.72726000000006
40,-78.26814,-1.1062800000000002,-66.65868,-18.676439999999996,-22.1094,-3.3751799999999994,-40.5762,-13.44132,-1.98705,-0.28262,-53.304309999999994,-150.44155,-45.07037999999999,-56.3612,-21.10516,-47.34528,-68.56815,-37.985440000000004,-70.13423999999999,-43.30308,-7.57393
60,75.33192,91.7024,62.56680000000001,67.93037999999999,85.48031999999999,71.87401,65.12948,77.29785,74.0482,74.40759,43.747879999999995,23.02154,48.7251,55.51545999999999,57.675599999999996,88.011,64.65915,61.903380000000006,23.0436,23.35411,-55.68017
80,-43.40914,32.591,-2.77426,10.54638,10.95072,13.474319999999999,30.2772,30.06064,42.6114,-8.453429999999999,-50.34176,-116.04562,-70.5724,-3.77757,-25.5822,12.4091,-0.50733,-159.97433,-59.265719999999995,-44.6525,-0.855
100,-13.7769,43.6978,14.495600000000001,17.89344,53.6979,36.43614,22.212979999999998,41.7789,19.473100000000002,-5.92018,-3.2351799999999997,-43.960800000000006,-36.65716,24.85185,6.49515,32.17332,8.54685,4.10688,-24.473119999999998,-10.799040000000002,5.51616
120,26.62756,74.98949,39.91344,31.50328,41.163920000000005,31.4532,38.359480000000005,50.23322,26.98797,25.205789999999997,-1.6635299999999997,14.346799999999998,-9.6021,18.264599999999998,28.476679999999998,21.65292,-0.09396,-2.29415,-0.9855200000000001,-24.14022,2.2176
140,4.10404,49.257180000000005,47.241600000000005,47.32672,66.02816,26.371799999999997,68.848,54.260639999999995,38.098169999999996,9.54674,25.770149999999997,10.30952,6.081880000000001,23.5509,34.820879999999995,61.57282,16.11455,19.814519999999998,-79.87068000000001,-20.26734,31.80486
160,18.51564,78.364,57.90262,35.99547,63.42496,40.7997,47.852070000000005,40.98087,56.32466,68.09553000000001,31.693360000000002,37.1548,19.1488,45.445660000000004,23.549919999999997,28.25616,19.720679999999998,35.59977,-4.78296,-1.4472800000000001,40.47
180,53.18871000000001,81.30892,56.83176,43.59564999999999,82.41124,50.15552,38.95065,45.34036,63.04409999999999,49.503330000000005,14.52243,17.57443,26.57321,42.75893000000001,-18.38455,21.1286,57.3922,37.24938,32.56302,4.67675,21.53843
200,84.5299,77.73898999999999,84.05818,64.40742,99.97800000000001,58.70514,40.20296,51.55469,86.28224999999999,172.34805,18.34976,30.09312,39.13236,56.65675,40.87204,68.48348,79.27949,76.8132,88.4401,32.507600000000004,69.28872000000001
220,122.14653000000001,122.66096,119.26740000000001,55.15275,122.63192999999998,108.95736000000001,67.60666,77.15517,125.08835,227.2477,62.33045,62.010220000000004,64.07524000000001,119.82399000000001,97.2972,112.45416,123.27171999999999,110.86157999999999,82.66879999999999,60.70196,128.52504
240,182.04031999999998,189.77952,159.95721,94.306,224.40860999999998,154.55907000000002,92.48010000000001,102.04719999999999,189.78729,322.83846,87.46573000000001,115.87532,67.28198,127.67625000000001,132.07565000000002,190.45224000000002,181.13766999999999,153.99728,121.64762999999999,101.71644,165.62232
260,265.10757,290.26194000000004,207.33068000000003,123.53558000000001,264.63616,212.98852000000002,90.148,143.8305,247.81024000000002,529.6828,126.85267,136.89216,140.64087,192.69799999999998,242.5179,317.48187,264.65103,154.13371999999998,193.50408,109.43077,230.97532
280,309.2728,424.76148,238.12268999999998,121.39711999999999,331.90274000000005,281.6286,97.22855999999999,193.23863999999998,320.52328,630.08988,174.37833,185.44169000000002,171.51927,287.04247999999995,378.3306,438.16679999999997,357.62504,303.10104,335.49904000000004,144.53976,309.37867
300,366.88512000000003,530.26127,316.17168000000004,140.39188,397.26173,373.92205,142.63952,232.1419,397.48352,731.6541,225.99498,254.47406,235.77759999999998,374.87120000000004,480.852,556.08553,326.22436000000005,266.86179,317.02124999999995,219.27518000000003,345.2928
320,439.23602999999997,663.0007800000001,422.94019999999995,242.27600000000004,493.38072,426.3243,243.20713999999995,287.04965000000004,489.2888,809.67404,301.13896,280.19843999999995,276.4773,491.1049699999999,585.3960999999999,686.3137999999999,523.03075,353.37152000000003,425.957,262.43100000000004,477.67872000000006
340,365.58396,682.96239,440.45466,221.9715,521.81415,470.87811,241.97358999999997,266.1036,490.87843999999996,817.91544,267.9936,284.4332,261.58549999999997,458.47296,612.94135,700.31898,559.36856,474.66418999999996,420.43725,269.4405,529.74735
360,450.77931,728.9271,478.8465499999999,243.17718,570.50745,472.46508,266.78288000000003,306.70961,527.9378,836.3913600000001,317.16352,285.31112,275.70063999999996,466.67583999999994,634.3,754.1249099999999,569.4052499999999,513.06633,387.82976,232.50524000000001,543.09141
380,470.19543,776.1502800000001,472.08099999999996,224.66398,565.3235500000001,533.48748,283.07664000000005,287.15700000000004,542.31714,864.98127,305.70138000000003,278.55146,310.50816000000003,433.8036000000001,657.63203,805.50912,632.3775499999999,509.04558000000003,431.92938,261.87684,543.8508899999999
400,457.56811,840.35864,504.59065999999996,275.79692,615.3122000000001,551.62546,307.92489,317.89349999999996,580.4589,894.98988,346.25099,296.47028,299.79749999999996,552.84398,746.78384,824.2727299999999,661.66562,526.9901699999999,403.9842,285.5937,613.5437099999999
420,506.5632,929.4517800000001,576.8131800000001,319.26977,650.69946,589.7222800000001,356.31552000000005,347.22555,641.0160000000001,914.06176,377.90235,354.85986999999994,345.20794000000006,537.193,768.07836,914.5036,746.63923,599.8428,477.3264,324.48522,655.20633
440,538.1837999999999,940.46514,597.13066,308.56,682.9437,650.4272100000001,388.40040000000005,372.37800000000004,698.0968799999999,916.73439,436.5392,325.30284000000006,314.45661,588.24167,821.43572,920.20656,776.9480400000001,601.4834999999999,519.9012,338.55574000000007,674.7344199999999
460,555.36283,997.24607,622.54125,369.241,712.1179099999999,647.3105400000001,425.34162,375.89400000000006,705.48655,969.85504,422.35669,332.6268,381.51739999999995,569.9248999999999,848.61513,973.1348800000001,801.0689399999999,627.40773,546.84684,346.06483999999995,693.25317
480,577.41475,971.5104,624.1686,346.47130999999996,676.2394999999999,629.8863,425.6506800000001,369.45336999999995,729.62464,947.6372400000001,419.21400000000006,373.48272000000003,350.07804000000004,614.97552,833.4625,926.808,781.95128,638.30283,538.5056000000001,326.49750000000006,665.40432
500,581.65764,1043.194,637.965,371.8834,723.97104,668.0828,443.54344000000003,408.36411,713.3950600000001,980.95935,480.22130000000004,375.85524999999996,386.86039999999997,646.37439,626.86097,728.47694,822.9070399999999,679.74692,520.37941,374.84369999999996,711.08596
520,565.4573099999999,1021.3675600000001,597.0889199999999,343.15794,717.3675599999999,668.3855400000001,440.7149,388.6374,763.1884800000001,956.53725,501.04576000000003,352.63998,357.58727999999996,625.905,867.99286,983.7687599999999,843.144,610.1963999999999,448.34756,172.71352,737.37059
540,620.97112,1008.49892,635.45713,382.74260000000004,726.77347,684.7127200000001,474.232,389.48699999999997,760.5558599999999,974.1429899999999,502.6752,360.17976,413.142,638.6108999999999,869.9539200000002,990.20355,802.03552,696.51333,582.8752000000001,348.91115999999994,733.999
