time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
0,16.7139,34.83998999999999,42.55942999999999,13.331760000000001,6.802320000000001,57.558400000000006,0.86812,28.20153,20.191850000000002,53.85072,24.453899999999997,24.0845,36.514959999999995,-0.48023999999999994,54.85074,5.4474,14.077250000000001,50.40476999999999,18.912899999999997,20.37308,46.00635,54.501160000000006,48.946400000000004,39.73338,15.967590000000001,15.675659999999999,35.0,15.675659999999999,-5.06086,60.06124,-16.91918,8.464229999999999,32.035709999999995,9.3741,3.32192,-6.888699999999999,30.754979999999996,9.0747,7.51196,8.265749999999999,-3.9905600000000003,28.469459999999998,1.00737,11.38566,17.36112,9.64992,-4.4776,4.88053,3.2982000000000005,-15.34522,9.08789,7.58916,-0.9883099999999999,6.081,5.67378,-12.447750000000001,18.952309999999997,9.324,10.87119,-7.96059,-5.1193599999999995,-21.13358,20.25936,9.09128,5.963430000000001,19.547040000000003,10.127400000000002,34.0149,17.95242,12.25605,23.50746,-9.30842,-0.38376,26.591879999999996,-6.447840000000001,10.3582,8.2316,26.8431,4.48069,17.616239999999998,2.84144,1.2749,-7.429859999999999,3.6176700000000004,-2.11945,1.10883,41.94385,8.45008,30.49144,5.09873,3708.0529199999996,4414.1791,709.19136
20,-15.182440000000001,42.666779999999996,-9.8486,42.418,10.2933,68.4219,16.49479,39.49,13.91754,42.69072,0.70941,4.175,-21.01034,0.7658999999999999,27.03672,20.91349,23.242449999999998,34.366620000000005,9.53136,24.10932,31.988220000000002,45.6045,11.36724,-14.17716,-30.61016,38.15464,-11.06736,14.493990000000002,-19.85067,39.074200000000005,7.89195,0.0819,2.3374800000000002,15.34497,16.36452,0.07325999999999999,0.4404,-0.65985,10.917480000000001,-3.1335,24.21584,17.95878,24.14336,6.69848,28.938144,15.714920000000001,21.28866,25.10942,-17.81902,34.28866000000001,-20.65362,-1.1745899999999998,-51.145199999999996,7.03608,-10.35937,-14.89568,-26.794,31.498800000000003,-9.29124,14.58936,-28.010319999999997,-19.58767,1.2457600000000002,-15.59616,-2.3853,14.0326,9.64953,17.95878,30.59165,29.468040000000002,45.46392,-33.023979999999995,-66.77502,18.40868,-47.84290000000001,5.804099999999999,-53.29968,5.2606399999999995,-36.17664,-26.22828,-7.75219,14.53608,-28.314,-40.05036,-41.78922,-23.34982,27.432339999999996,-7.9146600000000005,28.780050000000003,-9.1762,3720.76725,3556.97391,1068.8763599999997
40,-230.59529999999998,-77.50001,-309.7143300000001,99.500002,-115.66,86.64285699999999,-22.657799999999998,-136.35341999999997,131.5873,-5.1428400000000005,-64.28574,-461.19876,-403.43604000000005,-315.71431,15.68571,-95.00001,-7.45644,71.64285699999999,40.35714,126.96429,178.96825,191.0053,-86.48647,-497.92025000000007,-490.08408,271.43694,-360.69876,-36.61128,-304.3224,-99.72970000000001,-33.79792,-315.08224,181.3187,-42.063480000000006,193.293,-539.5754000000001,-46.857150000000004,-186.6758,-174.4898,-161.27325,-48.989200000000004,27.33766,-4244.533109999999,40.142856,165.14284,147.61904,198.42858,-133.65449999999998,-397.19043999999997,245.43888,-458.66061999999994,-46.91728,-544.75125,-70.98215,-90.90227999999999,-366.96725999999995,-1.0368600000000001,131.65179,134.28572,-193.08201,-476.42867,-238.33329,-231.57503999999997,-167.3975,-149.90876999999998,-40.64936,-91.10598,45.5,115.71429,106.14286,321.2178,-463.81588,-777.36276,87.9762,-723.0234,-64.59625,-437.17401000000007,-122.0667,-245.55557,-380.56543999999997,66.64835000000001,-89.42856,-121.20304,-762.6437000000001,-602.4109100000001,-544.6441,-217.69838999999996,-106.57144000000001,80.785715,-77.06496,3980.3571500000003,4738.73016,260.16873999999996
60,7.0176,22.5984,-12.4905,18.33636,-6.666319999999999,57.0906,-5.870620000000001,11.46624,-12.515250000000002,39.287600000000005,-24.82108,-24.04236,-31.6463,-11.20252,11.798,-7.82933,21.904,28.39914,16.319679999999998,15.2217,19.0856,46.55856,-14.0526,-11.661660000000001,-59.555499999999995,49.80575999999999,-38.050799999999995,10.95626,-26.72055,12.73956,10.30404,-24.14517,-13.386999999999999,19.77504,20.45796,-48.22968,20.0957,-11.6109,-17.985870000000002,-13.378890000000002,4.3511999999999995,-1.2376,-6.80666,-12.532129999999999,33.37096,19.25436,38.803560000000004,-8.50734,-46.99761,36.43275,-52.64560000000001,-6.087,-59.73561000000001,15.04802,-28.35231,-30.56875,-37.90592,21.75438,7.68009,-23.10418,-50.00771999999999,-33.415459999999996,-21.982560000000003,-7.924980000000001,-14.7402,-9.9416,-65.42256,5.98367,12.63159,6.3252999999999995,62.209630000000004,-58.6623,-103.98726,8.7659,-86.01823999999999,-22.3856,-59.54592,-12.333800000000002,-51.0244,-40.50844,-46.75844,5.4678,-46.0642,-85.86455,-71.5518,-51.49969,1.51416,-4.14393,22.42097,-16.99246,4620.52005,4395.579650000001,1046.3047399999998
80,41.11802,44.609230000000004,27.74444,45.23256,34.52808,49.895340000000004,34.01085,35.731500000000004,18.18571,26.42289,20.508180000000003,45.07296,23.3736,31.491360000000004,19.81016,21.297039999999996,32.24988,36.00158,28.21464,22.44515,28.117600000000003,24.844559999999998,34.73598,13.43417,16.75609,29.7075,24.269280000000002,20.79304,28.97555,28.674560000000003,15.545549999999999,25.5328,15.324769999999997,25.46944,18.016569999999998,27.152909999999995,50.48298,15.715300000000001,2.14074,3.71829,16.32062,18.57807,32.75405000000001,-1.60816,28.020599999999998,-0.26565,0.47883000000000003,20.2057,-5.13146,11.74149,7.13472,-5.23355,0.6780799999999999,0.84896,13.67652,-2.31254,-5.1543,13.866640000000002,-8.054860000000001,19.549210000000002,13.96229,5.44119,8.3196,10.650979999999999,-12.081470000000001,13.431479999999999,6.870150000000001,11.83115,8.39718,8.679829999999999,30.05984,5.47605,-14.47116,3.99092,-0.28435,8.876669999999999,-13.24317,17.16351,10.67568,9.20759,4.94496,17.458199999999998,-8.262720000000002,7.73584,-5.756049999999999,-4.784,49.6135,24.414969999999997,37.78588,19.790319999999998,4757.39334,5062.570479999999,1198.82348
100,20.753600000000002,40.80735,19.94732,31.0278,25.40175,24.723,19.158599999999996,16.14945,20.199279999999998,24.15232,4.79362,39.84306,14.614640000000001,22.70114,-4.05852,4.61145,12.537040000000001,4.61208,-13.180000000000001,17.58908,4.84276,7.61723,17.75068,39.37302,-3.17443,30.9325,13.16718,2.538,19.60006,8.5557,8.7783,-0.7817700000000001,7.069679999999999,17.04092,-12.44417,17.38728,25.96958,3.8304000000000005,-6.3021,-4.97421,-5.60346,-9.1072,5.15592,0.6873600000000001,3.0079499999999997,-0.04256,-6.3723,24.43916,-13.746239999999998,8.279959999999999,-22.31768,1.15581,-10.72899,1.6159500000000002,-25.481830000000002,-28.871999999999996,-12.474920000000001,-9.624,-20.66212,8.59365,-26.05517,-13.980239999999998,-0.22932,-7.249499999999999,-7.67556,-2.72422,1.5983100000000001,-11.42078,-6.6672,-9.689400000000001,23.71842,0.051680000000000004,-14.0448,11.59942,-27.691679999999998,-1.5168,-41.880750000000006,-7.9080900000000005,-11.94796,-14.55903,-12.8271,-3.1712499999999997,-12.79872,5.59524,-18.3359,3.10373,1.9678399999999998,27.519000000000002,8.7581,-2.5726,5645.93793,5872.65393,1489.1557200000002
120,40.50116,41.58032,41.53248,57.0888,31.614819999999998,38.246249999999996,29.5471,47.22495,41.978519999999996,52.828649999999996,39.07985,45.36532,52.180080000000004,46.44684,42.58404,34.44972,40.52019,37.77876,28.6601,24.70414,20.125619999999998,37.6134,39.479,39.9113,40.73895,45.45271999999999,36.101479999999995,36.68005,35.27066,44.182599999999994,27.8037,35.0592,22.64043,35.278040000000004,19.938599999999997,40.2909,43.045590000000004,20.49997,32.447,8.778500000000001,23.818659999999998,23.0592,29.247360000000004,6.24036,17.97946,15.68776,22.7222,37.1943,31.055310000000002,27.60576,26.57091,11.70664,10.149840000000001,13.6694,7.723969999999999,4.5522100000000005,3.33288,21.60445,4.9190000000000005,31.43484,26.354400000000002,11.70664,27.2574,13.345220000000001,7.88858,21.60895,2.70344,12.84134,7.080150000000001,24.471580000000003,27.21253,31.40634,27.465500000000002,21.53822,6.456119999999999,10.042750000000002,18.63184,30.478,22.749229999999997,8.53412,-0.161,11.43792,17.264280000000003,24.490079999999995,26.7964,46.3608,55.7999,34.03593,31.05244,10.209420000000001,6991.14108,7322.57007,1800.3047
140,48.02675,38.2954,35.38601,45.10903999999999,20.56275,53.80058,24.46995,27.743510000000004,33.99408,48.90439,30.778079999999996,49.13268,22.71804,-46.3305,34.40976,19.71452,29.93666,26.035619999999998,32.43186,34.87795,17.38671,21.88992,37.961999999999996,49.170880000000004,12.56605,39.78385,23.173920000000003,30.70434,53.23941,36.55283000000001,28.365479999999998,16.7178,17.35776,24.45408,23.2359,23.0202,47.84616,15.856650000000002,12.44265,29.283720000000002,23.02944,5.565449999999999,20.714940000000002,3.6762499999999996,22.852799999999995,24.791999999999998,12.940499999999998,40.443000000000005,5.94783,27.029940000000003,15.3153,13.6996,10.57155,4.46017,18.81938,4.289040000000001,-5.0238,12.7374,-4.65972,8.90442,16.8387,8.36244,21.162959999999998,3.4134299999999995,4.88556,-4.1837,18.57267,3.2632600000000003,14.01144,21.467340000000004,20.60784,11.7075,7.78481,17.74059,-7.15584,18.88047,-5.6943,26.095290000000002,8.273719999999999,-4.08436,4.8732,0.91525,19.4432,-1.0602,10.8275,32.61598,49.69294,17.94864,47.96877,12.662400000000002,8761.91552,9071.46128,2400.25804
160,29.200219999999998,44.663,44.454299999999996,34.140390000000004,29.071680000000004,54.23471,31.820519999999995,68.4313,42.203520000000005,56.646800000000006,42.1028,70.05163,47.09403,46.612500000000004,22.81896,30.52503,22.9749,36.93576,35.7264,25.9558,30.576000000000004,35.93106,40.50750000000001,76.30965,44.195280000000004,31.54688,39.15281,37.51746,38.45968,29.10819,18.0336,39.590390000000006,24.94272,18.6651,27.532339999999998,48.16340999999999,21.39026,30.820500000000003,39.0663,13.3008,23.714,21.39816,13.49109,4.86208,19.38888,2.44664,19.07091,24.7911,9.79792,7.104359999999999,17.42481,9.12118,9.380799999999999,9.0156,16.189619999999998,19.58292,21.370050000000003,0.9912,12.5628,22.71432,34.50623,19.71704,18.30114,9.06108,10.999410000000001,10.735320000000002,24.452460000000002,21.03024,18.33214,9.485000000000001,4.87425,5.99016,50.741809999999994,42.9726,3.33486,5.7159,4.61822,-0.47425000000000006,16.85256,15.79996,16.02496,5.7509999999999994,26.47203,30.18645,25.898099999999996,26.31528,67.4782,25.846560000000004,30.265020000000003,15.7493,10962.26454,11428.142249999999,3070.86208
180,126.85566,287.43152,349.08984,38.1282,680.97298,860.84055,22.00656,413.50596,65.00526,273.16332,24.0381,48.21772,49.9537,301.22456,9.8373,0.49660000000000004,16.43595,49.3768,29.0966,28.84029,24.4036,40.87776,33.69315,597.09785,177.78779999999998,90.91103999999999,406.99152,78.36075000000001,10.10856,69.10358000000001,33.85624,14.289209999999999,4.07208,289.9296,8.53944,73.86519,35.71152,401.4822,22.33392,21.22978,113.79549999999999,688.41,316.23151,598.5601,90.66199999999999,354.52065000000005,114.79780000000001,29.54784,19.15875,28.545849999999998,32.62005,-5.97429,-2.56564,9.63625,198.24209999999997,242.19711999999996,491.93505000000005,23.556,124.98720000000002,726.9172,159.62144999999998,420.20815999999996,486.70902000000007,521.40615,406.13192,742.17891,212.47503,229.06675,403.4125900000001,-9.15298,3.67584,112.11304,447.876,-57.8334,-11.666,93.04726999999998,159.04744000000002,83.91153999999999,94.00346,303.88725,-6.2776,-16.808690000000002,-19.8534,63.548730000000006,74.5108,65.79144,69.99704,32.6319,41.1464,12.916500000000001,14234.568249999998,14865.13756,4075.70632
