time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med,gfp_med,gfp_low,gfp_low
0,52.96547,78.19452,1.8288600000000002,-3.5743400000000003,1.6444,21.21823,-34.113330000000005,-43.151360000000004,-62.32492,-9.19751,-62.5383,-28.55616,42.22128,47.203660000000006,-31.759639999999997,-22.296120000000002,-11.336579999999998,-11.315370000000001,-7.55145,-65.3233,-37.68856,9.04211,-30.737250000000003,-15.4307,2.9114999999999998,43.39817,-23.409000000000002,-4.1739999999999995,-27.5594,-6.3978600000000005,-21.89142,-73.084,-36.51986,2.0183,-43.837289999999996,-36.616,-1.3500999999999999,-26.72334,-16.8112,-4.4208,-25.5627,-34.738879999999995,-26.963400000000004,-14.93355,-37.3226,-6.613300000000001,-17.5266,-42.71784,-16.83465,11.00915,-33.22492,-11.936209999999999,-36.26739,-15.426179999999999,-50.5596,-23.96034,-40.28309999999999,1.21282,-35.82614,-39.107600000000005,-15.77808,-12.17619,-9.74352,-12.19205,-21.524749999999997,-5.48388,-24.72743,-7.566789999999999,-14.931359999999998,-3.08896,-26.03594,-17.2976,-17.22476,7.35972,-61.57998,-15.959190000000001,-39.027519999999996,-14.951429999999998,-34.40653,-30.485159999999997,-26.6604,7.49895,-39.223420000000004,-39.10124,-37.85456,-13.472549999999998,1.01223,3239.0937,3515.9228499999995,393.08838000000003,369.69426
20,17.7624,23.44823,3.83554,24.136,13.429680000000001,35.57521,14.806560000000001,6.92802,9.71271,34.1946,-12.339360000000001,6.815,-14.582159999999998,-5.95336,10.3192,8.40774,18.88632,20.84376,25.00656,15.76449,18.90825,29.28321,14.11032,2.21529,-7.8502600000000005,25.377869999999998,-0.34847999999999996,6.989210000000001,-9.952480000000001,18.29581,2.53299,-4.49732,-1.0236800000000001,9.628739999999999,-8.3472,-2.98755,-17.04908,-8.468250000000001,-2.62272,11.89422,7.9325399999999995,-6.66096,5.274719999999999,15.403870000000001,20.03638,11.016,3.00328,11.08068,-30.549870000000002,11.7525,-16.7675,9.9466,-38.107459999999996,2.9496599999999997,-3.23652,-10.463040000000001,-6.715520000000001,19.911329999999996,-15.889090000000001,-11.210939999999999,-38.12274,-14.028390000000002,-4.60275,-15.211500000000001,-3.8688,-13.01984,-14.66346,2.3104,10.607399999999998,5.690299999999999,-1.4806400000000002,-1.5990600000000001,-38.71578,17.58229,-24.04281,-5.00612,-48.73994999999999,1.6392,-22.74036,-0.53112,-17.227500000000003,0.82565,-25.068979999999996,-13.46409,-30.72615,-13.79096,-9.047220000000001,2847.86506,3019.8500899999995,366.8661,374.13549
40,25.89802,22.23312,15.571550000000002,22.586759999999998,21.00958,25.23514,21.83385,7.18497,19.11599,33.62184,-12.22377,21.71313,-5.206110000000001,4.56484,12.8117,16.17544,15.789959999999999,12.765270000000001,15.6078,11.31462,18.91862,3.8609199999999997,3.4099999999999997,13.41482,-17.644550000000002,-0.42547999999999997,-17.325,-0.71094,-16.55168,-11.340359999999999,11.36896,-10.71968,-21.119449999999997,10.8996,-15.84995,10.866579999999999,-13.45238,0.38875000000000004,-11.762820000000001,1.2990000000000002,1.3135299999999999,1.4544199999999998,-12.07514,-0.39671999999999996,1.96044,-5.2640899999999995,-3.7919,2.58221,-14.69376,5.552369999999999,-12.110039999999998,-7.448189999999999,-17.231479999999998,-19.016399999999997,-6.825840000000001,-23.4005,-19.897019999999998,3.48282,-5.249639999999999,-13.983839999999999,-15.551580000000001,-5.27525,-11.17846,-7.28442,-9.72624,-8.86473,-7.448189999999999,-0.6582800000000001,1.86012,0.0543,-19.18035,2.6060399999999997,-32.79178,-13.38554,-22.32672,-9.13038,-21.49164,-13.884870000000001,-10.18226,-16.37312,-23.0796,-8.5995,-20.16204,-0.9072,-24.30062,1.51281,5.37368,3003.11004,3149.5478700000003,449.14968,507.50874
60,35.44323,44.889799999999994,20.479680000000002,29.1432,21.63996,27.720029999999998,30.66797,28.382009999999998,28.928099999999997,21.26896,15.37614,16.47287,17.25789,17.885399999999997,18.53455,11.370000000000001,22.365660000000002,16.029600000000002,16.5027,26.276390000000003,22.02225,17.34898,26.4135,40.44876,23.61302,28.63705,2.63592,4.38246,15.538319999999999,-4.9754000000000005,-1.42086,10.04436,-2.41186,-3.8797199999999994,0.86164,9.0444,18.66228,15.876,6.42168,15.485579999999999,13.390299999999998,-8.51437,-0.33065999999999995,15.21792,15.8964,5.292,-1.78668,13.441500000000001,1.74041,4.34736,7.4712000000000005,9.722159999999999,-0.6642,-6.723599999999999,3.33109,5.32134,-1.62978,-0.9543,3.2651499999999998,7.349160000000001,5.692030000000001,6.27228,12.5658,-7.359929999999999,3.1694400000000003,-0.51313,-8.8484,-5.88105,-2.4502800000000002,-4.479760000000001,-6.46139,3.8781,11.116,4.67648,0.24150000000000002,7.0848,-16.86465,-13.80216,-4.35267,-2.11896,-8.8484,-10.887839999999999,3.54057,9.3449,10.23705,9.915500000000002,12.7944,3109.2003999999997,3515.8266,640.056,703.2801
80,30.43109,51.97986,35.20334,35.538599999999995,50.1836,28.86528,33.00448,27.582800000000002,49.880160000000004,34.439339999999994,19.065849999999998,33.60192,29.224,12.081720000000002,19.031840000000003,27.016150000000003,34.815000000000005,29.42775,20.228399999999997,41.89824,23.2288,21.36758,8.09338,42.237179999999995,15.49314,13.315439999999999,17.4012,30.08064,5.77852,14.2992,15.228190000000001,7.65408,13.495280000000001,24.11304,-5.525079999999999,5.981299999999999,14.090580000000001,-3.7532799999999997,15.9384,9.270800000000001,3.4656200000000004,7.6165199999999995,7.6024,-3.0620700000000003,11.9824,1.0327,-1.45635,21.34255,13.16736,4.04064,8.737319999999999,8.270150000000001,-3.11136,-10.0264,-0.30783,14.33636,-5.60796,7.0219000000000005,6.792839999999999,16.50641,1.1088,6.5882700000000005,6.53133,9.28182,11.795000000000002,8.07279,1.30272,12.47076,-4.57539,3.6670200000000004,-0.82458,27.221399999999996,5.7796199999999995,-1.88768,4.77142,1.3715600000000001,-7.72616,4.6699,-1.3834799999999998,-1.41588,-7.129980000000001,7.68621,-8.68348,11.950800000000001,10.7958,20.90262,10.49536,3410.44857,3741.9873,846.2378100000001,955.3905000000001
100,28.354979999999998,33.788180000000004,19.75337,21.2544,15.61115,19.8766,14.2093,6.61941,16.95204,26.09332,-4.02132,25.55475,21.49065,6.152000000000001,6.644400000000001,23.82477,15.01578,4.04846,10.35452,7.5003,5.20182,10.121769999999998,2.8466299999999998,6.96828,9.072000000000001,7.6149000000000004,0.28896,10.6457,-4.88448,2.5251,6.57216,5.096640000000001,-10.525620000000002,-4.899539999999999,-14.758000000000003,-3.43599,-8.46342,0.42674,6.690799999999999,-8.53438,-10.01958,2.6829600000000005,6.89637,-1.3461,-5.99,2.9642399999999998,-7.684250000000001,15.597839999999998,3.8960999999999997,-0.5336,12.280159999999999,7.32785,-17.04649,-11.01465,-20.018649999999997,-14.704360000000001,-23.37836,-11.232240000000001,-14.944090000000001,-3.5546499999999996,2.33495,-9.01173,1.28037,-0.8188099999999999,-11.82012,-7.216199999999999,-11.866919999999999,-5.7486,1.77822,-6.06172,-13.14048,0.0035000000000000005,1.54572,-3.7369400000000006,-20.41931,-4.63683,-12.71088,-21.96124,-13.49964,-21.581999999999997,-14.95104,-11.159360000000001,-23.171,-5.61906,4.7986200000000006,12.28896,1.1361999999999999,3909.39512,4197.8188,1103.83536,1234.9885399999998
120,29.974970000000003,18.765320000000003,37.43766,22.198400000000003,22.36206,18.84349,22.190399999999997,7.93291,5.44887,21.2092,10.046289999999999,12.93156,4.813400000000001,7.623200000000001,6.81219,6.0904799999999994,15.44184,2.25354,2.4322500000000002,1.0185000000000002,23.1211,6.230700000000001,2.8526000000000002,15.811390000000001,2.2179399999999996,16.63614,5.60898,7.74456,-3.88003,-6.5785,12.795960000000001,-3.5757999999999996,-9.720979999999999,3.55569,-20.1704,7.61552,10.366700000000002,-9.17623,6.829680000000001,-13.522019999999998,-6.146909999999999,2.5383600000000004,-3.0234,-8.73948,-12.4215,4.44999,-6.15496,16.34094,-3.68307,-1.41336,-5.744199999999999,-4.80935,-6.22398,-21.361560000000004,2.61842,-8.72208,-17.997700000000002,-1.54403,-15.076960000000001,-0.7671799999999999,-1.0016,-15.252600000000001,-1.5366400000000002,-15.42848,-6.1784099999999995,-5.11096,-10.911,-15.115379999999998,-7.436520000000001,-9.0678,-20.57814,5.2222800000000005,-2.86741,-17.73475,-12.15738,-47.385000000000005,-11.2671,-6.2297400000000005,-8.31125,-15.52983,-15.04462,-11.96828,-7.57316,-14.06404,-5.92264,-0.59514,3.99084,4460.391439999999,4976.611080000001,1329.64742,1534.1151
140,33.84625,33.43428,33.419959999999996,26.264159999999997,29.86816,28.96014,31.43019,34.664,24.4048,40.20438,19.148699999999998,27.89648,14.905,14.937600000000002,17.683000000000003,15.490639999999999,28.47546,25.17647,28.24965,18.0458,13.3255,15.7665,17.450100000000003,35.43131,19.42644,13.703190000000001,2.3052,10.23264,17.37252,3.3221499999999997,4.857,5.8788800000000005,-1.3803,-6.288149999999999,3.7964800000000003,-6.426779999999999,20.888959999999997,11.404319999999998,16.99392,-1.21146,16.864189999999997,11.42543,3.4295,25.88314,12.590100000000001,7.539650000000001,9.38546,17.635,17.41926,18.183,2.59128,25.231820000000003,9.11754,-6.11708,-0.14933000000000002,-5.79528,-2.91276,2.1042599999999996,-10.67043,5.463359999999999,0.08107,-4.93344,12.4668,10.19007,5.707000000000001,11.8683,2.30769,-0.02958,11.85192,0.4182,0.9710999999999999,-3.5010600000000003,2.11709,-5.1668400000000005,-17.49978,10.97775,-14.9435,-11.613980000000002,10.47945,-6.616510000000001,-8.145000000000001,-2.51408,-13.29257,3.99456,13.37797,5.4285,8.972600000000002,5481.59976,6080.3447400000005,1708.7098500000002,1954.8051400000002
160,40.95433,34.86725,37.27528,23.846079999999997,27.17568,30.028399999999998,28.50526,17.477819999999998,13.66016,37.95498,19.90776,32.3057,28.85841,12.99867,19.35603,18.6751,24.96501,14.465219999999999,20.651300000000003,11.197560000000001,24.157,17.69038,11.63109,27.089100000000002,25.26336,7.184200000000001,5.41632,19.7536,16.5395,4.239540000000001,15.90634,4.52352,2.82912,3.916,-10.56528,5.58193,4.291950000000001,14.289100000000001,11.84358,8.654499999999999,19.904680000000003,20.44686,19.75986,6.46847,18.02124,8.81019,12.062000000000001,24.93823,8.08864,25.2648,20.11488,12.17592,-3.5639,-3.1539200000000003,26.118930000000002,-2.01872,-7.47014,7.02981,0.95128,18.4688,1.14116,7.95921,-4.76748,-14.07416,-15.092999999999998,3.06746,0.16653,-0.497,-1.4946400000000002,12.7332,-9.045399999999999,6.228000000000001,-2.48124,6.024640000000001,-10.2837,-6.4436800000000005,0.16686,-5.635700000000001,1.9306200000000002,-3.3472000000000004,-4.04378,-1.2330999999999999,-21.58296,-3.3818400000000004,-0.9728399999999998,17.22168,4.56704,6722.762900000001,7523.01264,2269.0756,2583.5805600000003
180,35.060379999999995,32.34352,47.99652,26.42094,18.71142,50.7213,30.50099,26.377470000000002,37.63053,42.2331,30.6931,27.2512,24.211020000000005,22.312479999999997,21.393399999999996,33.056039999999996,27.613319999999998,2.2092199999999997,40.21132,50.996320000000004,584.9774,41.446079999999995,19.63572,38.51185,5.1011299999999995,12.25196,1.8677999999999997,16.07058,11.70205,1.42635,16.58956,14.66058,2.43535,7.8765,1.32,12.90854,26.99554,11.58905,2.8764600000000002,14.30133,27.415440000000004,18.870500000000003,7.824,19.480560000000004,186.46627999999998,21.9096,21.57372,38.74764,19.537760000000002,28.430519999999998,14.039000000000001,22.81356,11.89335,5.32117,7.215,2.41562,2.72084,0.41426,-4.67865,12.51946,11.97549,0.70656,11.99027,-2.37384,16.90905,12.067440000000001,1.9829,16.399140000000003,1.1739,-6.43622,-6.43331,7.4144000000000005,10.532399999999999,13.15155,-2.06976,1.08568,-2.5137,-13.58181,-6.0674399999999995,-2.2128,1.1495,-10.75125,-10.36563,7.9913,9.8505,24.70035,4.02907,8279.559,9333.05118,2964.49965,3432.7203299999996
