time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-47.0,-48.0,-1.0,2.0,9.0,43.0,26.0,24.0,58.0,32.0,10572.0,
20,68.0,72.0,22.0,22.0,32.0,84.0,65.0,30.0,44.0,36.0,9220.0,
40,70.0,13.0,42.0,16.0,16.0,72.0,49.0,7.0,47.0,8.0,9241.0,
60,49.0,47.0,23.0,44.0,34.0,71.0,97.0,42.0,17.0,44.0,9655.0,
80,68.0,46.0,25.0,30.0,62.0,94.0,86.0,30.0,58.0,50.0,9976.0,
100,95.0,117.0,111.0,74.0,150.0,186.0,176.0,130.0,86.0,69.0,11012.0,
120,201.0,170.0,141.0,186.0,533.0,333.0,328.0,208.0,87.0,94.0,11924.0,
140,496.0,311.0,272.0,405.0,1203.0,782.0,831.0,563.0,86.0,102.0,13579.0,
160,1265.0,937.0,890.0,1265.0,3173.0,1657.0,1818.0,2587.0,150.0,131.0,15711.0,
180,3575.0,1703.0,2814.0,3407.0,6994.0,3830.0,2897.0,6377.0,312.0,214.0,18494.0,
200,7024.0,2736.0,6047.0,6421.0,11522.0,6273.0,4027.0,10301.0,847.0,272.0,22422.0,
220,11003.0,3820.0,10322.0,10218.0,17412.0,8860.0,5531.0,14442.0,1862.0,376.0,27602.0,
240,15809.0,5033.0,15812.0,14973.0,24291.0,12020.0,7514.0,18912.0,3494.0,500.0,33386.0,
260,20782.0,6762.0,22984.0,20294.0,31892.0,15733.0,10175.0,24219.0,5540.0,643.0,41064.0,
280,26987.0,8681.0,31601.0,27586.0,41170.0,20145.0,12059.0,30855.0,7739.0,738.0,49903.0,
300,33684.0,10389.0,41503.0,36272.0,50801.0,25635.0,13763.0,38117.0,10646.0,902.0,59280.0,
320,41201.0,11625.0,51289.0,47907.0,64074.0,30645.0,15378.0,43708.0,14420.0,1061.0,70887.0,
340,46103.0,12761.0,61188.0,58315.0,74746.0,34727.0,17266.0,47584.0,22489.0,1212.0,85336.0,
360,51363.0,13997.0,72102.0,70583.0,84508.0,39402.0,19232.0,51310.0,33503.0,1332.0,100870.0,
380,55279.0,15180.0,82766.0,84730.0,96593.0,44804.0,20905.0,54947.0,44160.0,1419.0,118946.0,
400,57748.0,16204.0,93672.0,101240.0,110074.0,50907.0,22983.0,58424.0,55373.0,1567.0,140533.0,
420,60516.0,17154.0,104021.0,115477.0,123123.0,56706.0,24709.0,61727.0,66672.0,1705.0,164251.0,
440,63337.0,17946.0,113349.0,128062.0,134676.0,62091.0,26363.0,65094.0,77604.0,1843.0,188192.0,
460,66714.0,18325.0,120079.0,137651.0,144444.0,66928.0,27548.0,67546.0,86695.0,1970.0,215088.0,
480,70019.0,18470.0,123235.0,142730.0,150328.0,71242.0,28280.0,69040.0,95076.0,2043.0,238433.0,
500,73664.0,18629.0,125450.0,146975.0,154291.0,72555.0,28609.0,70030.0,102042.0,2180.0,256704.0,
520,78780.0,18908.0,128656.0,148994.0,154756.0,73847.0,29210.0,70623.0,107722.0,2169.0,256664.0,
540,83195.0,19107.0,132061.0,151381.0,155293.0,74734.0,29904.0,70487.0,110865.0,2266.0,256670.0,
560,89030.0,19177.0,135870.0,155196.0,156287.0,76590.0,30690.0,71648.0,113171.0,2352.0,256670.0,
580,94102.0,19231.0,138205.0,158263.0,156393.0,77373.0,31153.0,71548.0,114369.0,2417.0,256645.0,
600,99068.0,19193.0,139924.0,161142.0,156250.0,77686.0,31344.0,71404.0,115036.0,2420.0,256640.0,
620,104379.0,19454.0,142015.0,164931.0,157461.0,78681.0,32058.0,71804.0,116885.0,2546.0,256671.0,
640,110139.0,19507.0,143928.0,168349.0,157723.0,79201.0,32526.0,72398.0,118290.0,2578.0,256647.0,
660,113332.0,19568.0,145376.0,171810.0,158922.0,79534.0,32814.0,72224.0,118557.0,2627.0,256644.0,
680,118260.0,19655.0,146834.0,174276.0,159914.0,80177.0,33170.0,72622.0,119162.0,2654.0,256628.0,
700,120512.0,19615.0,147224.0,174064.0,159076.0,80060.0,33374.0,72432.0,119063.0,2782.0,256672.0,
720,123159.0,19567.0,147530.0,175580.0,159519.0,80421.0,33552.0,72353.0,119462.0,2774.0,256624.0,
740,126397.0,19715.0,148312.0,174689.0,159998.0,80529.0,33725.0,72304.0,119909.0,2841.0,256633.0,
760,128525.0,19778.0,149157.0,174511.0,159747.0,80947.0,33995.0,72537.0,120446.0,2878.0,256623.0,
780,131308.0,19780.0,149583.0,174132.0,159625.0,81145.0,34346.0,72681.0,120986.0,2936.0,256624.0,
800,133105.0,19854.0,149535.0,174167.0,160586.0,81319.0,34622.0,72933.0,121442.0,2957.0,256615.0,
820,134264.0,20006.0,150424.0,173834.0,160525.0,81223.0,34918.0,72393.0,121380.0,3027.0,256606.0,
840,136162.0,19917.0,150844.0,173109.0,161337.0,81153.0,35056.0,72343.0,121116.0,3044.0,256594.0,
