time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-35.0,-29.0,-20.0,-2.0,2.0,14.0,39.0,52.0,74.0,54.0,5350.0,
20,47.0,52.0,89.0,37.0,60.0,108.0,47.0,58.0,72.0,102.0,4350.0,
40,20.0,26.0,22.0,30.0,17.0,26.0,2.0,34.0,24.0,2.0,4601.0,
60,60.0,59.0,46.0,36.0,52.0,62.0,32.0,30.0,75.0,54.0,4976.0,
80,54.0,43.0,42.0,47.0,43.0,32.0,45.0,38.0,38.0,31.0,5479.0,
100,13.0,62.0,27.0,26.0,41.0,63.0,47.0,15.0,54.0,48.0,6127.0,
120,35.0,42.0,24.0,25.0,32.0,29.0,46.0,58.0,39.0,43.0,7309.0,
140,38.0,87.0,59.0,43.0,93.0,75.0,48.0,70.0,87.0,60.0,8967.0,
160,47.0,113.0,62.0,84.0,94.0,72.0,63.0,74.0,70.0,85.0,11090.0,
180,70.0,99.0,113.0,84.0,85.0,83.0,94.0,84.0,66.0,95.0,14173.0,
200,113.0,168.0,160.0,109.0,155.0,162.0,180.0,128.0,152.0,149.0,18495.0,
220,230.0,303.0,302.0,270.0,299.0,284.0,341.0,258.0,180.0,272.0,23868.0,
240,338.0,420.0,452.0,416.0,444.0,372.0,502.0,375.0,240.0,361.0,33394.0,
260,445.0,607.0,637.0,561.0,607.0,501.0,663.0,493.0,349.0,503.0,45581.0,
280,575.0,756.0,820.0,715.0,750.0,656.0,884.0,629.0,491.0,622.0,62722.0,
300,790.0,965.0,1042.0,888.0,969.0,888.0,1107.0,873.0,608.0,796.0,83721.0,
320,936.0,1115.0,1216.0,1060.0,1194.0,1042.0,1308.0,1037.0,801.0,968.0,109025.0,
340,1013.0,1226.0,1359.0,1236.0,1388.0,1232.0,1480.0,1194.0,998.0,1051.0,143467.0,
360,1117.0,1400.0,1525.0,1374.0,1589.0,1387.0,1596.0,1338.0,1207.0,1199.0,171776.0,
380,1226.0,1463.0,1665.0,1513.0,1715.0,1491.0,1738.0,1488.0,1360.0,1279.0,188201.0,
400,1292.0,1612.0,1759.0,1619.0,1898.0,1689.0,1873.0,1600.0,1554.0,1385.0,203270.0,
420,1377.0,1658.0,1890.0,1655.0,2072.0,1774.0,1907.0,1723.0,1700.0,1452.0,217492.0,
440,1485.0,1722.0,1947.0,1744.0,2174.0,1935.0,2016.0,1882.0,1827.0,1517.0,231904.0,
460,1570.0,1795.0,1980.0,1916.0,2268.0,1980.0,2088.0,1969.0,1950.0,1556.0,245094.0,
480,1709.0,1907.0,2137.0,1976.0,2364.0,2089.0,2220.0,2080.0,2060.0,1686.0,254503.0,
500,1820.0,1964.0,2221.0,2069.0,2454.0,2230.0,2288.0,2154.0,2162.0,1742.0,256646.0,
520,1871.0,2000.0,2168.0,2077.0,2462.0,2266.0,2346.0,2155.0,2229.0,1805.0,256610.0,
540,1977.0,2106.0,2287.0,2176.0,2593.0,2352.0,2426.0,2282.0,2322.0,1855.0,256630.0,
560,2002.0,2126.0,2345.0,2232.0,2592.0,2355.0,2443.0,2280.0,2363.0,1888.0,256595.0,
580,2098.0,2183.0,2371.0,2257.0,2659.0,2374.0,2462.0,2352.0,2413.0,1961.0,256591.0,
600,2158.0,2210.0,2413.0,2368.0,2738.0,2462.0,2554.0,2367.0,2533.0,1994.0,256602.0,
620,2211.0,2250.0,2476.0,2324.0,2774.0,2483.0,2603.0,2452.0,2522.0,2020.0,256579.0,
640,2294.0,2332.0,2564.0,2466.0,2894.0,2549.0,2690.0,2519.0,2614.0,2119.0,256596.0,
660,2365.0,2354.0,2591.0,2488.0,2891.0,2659.0,2696.0,2526.0,2653.0,2148.0,256578.0,
680,2379.0,2433.0,2629.0,2547.0,2984.0,2657.0,2740.0,2593.0,2705.0,2180.0,256581.0,
700,2475.0,2443.0,2681.0,2577.0,3054.0,2709.0,2841.0,2637.0,2732.0,2245.0,256587.0,
720,2487.0,2542.0,2712.0,2576.0,3027.0,2775.0,2845.0,2680.0,2822.0,2245.0,256575.0,
740,2515.0,2503.0,2746.0,2630.0,3114.0,2781.0,2874.0,2703.0,2826.0,2265.0,256563.0,
760,2636.0,2583.0,2830.0,2664.0,3144.0,2867.0,2975.0,2788.0,2891.0,2276.0,256577.0,
780,2623.0,2550.0,2793.0,2697.0,3180.0,2878.0,2961.0,2812.0,2927.0,2376.0,256563.0,
800,2661.0,2587.0,2830.0,2709.0,3253.0,2942.0,2986.0,2807.0,2969.0,2356.0,256567.0,
820,2666.0,2629.0,2838.0,2701.0,3243.0,2921.0,2978.0,2824.0,2917.0,2397.0,256530.0,
840,2771.0,2671.0,2925.0,2825.0,3303.0,2993.0,3049.0,2895.0,3034.0,2422.0,256559.0,
860,2798.0,2703.0,2973.0,2847.0,3393.0,2996.0,3066.0,2916.0,3039.0,2460.0,256552.0,
880,2811.0,2747.0,3009.0,2886.0,3353.0,3027.0,3079.0,2959.0,3009.0,2529.0,256541.0,
900,2852.0,2799.0,3056.0,2899.0,3409.0,3139.0,3197.0,2944.0,3058.0,2529.0,256540.0,
920,2874.0,2805.0,3063.0,2962.0,3446.0,3180.0,3186.0,3025.0,3121.0,2513.0,256525.0,
940,2935.0,2845.0,3120.0,3016.0,3497.0,3188.0,3284.0,3022.0,3205.0,2640.0,256557.0,
960,2896.0,2829.0,3061.0,2974.0,3494.0,3181.0,3195.0,3038.0,3168.0,2573.0,256494.0,
980,2992.0,2860.0,3151.0,3028.0,3551.0,3235.0,3300.0,3042.0,3184.0,2655.0,256506.0,
1000,3006.0,2898.0,3175.0,3042.0,3593.0,3239.0,3291.0,3067.0,3207.0,2659.0,256518.0,
1020,3045.0,2901.0,3178.0,3035.0,3574.0,3301.0,3319.0,3114.0,3248.0,2665.0,256495.0,
1040,3059.0,2943.0,3200.0,3098.0,3637.0,3366.0,3322.0,3139.0,3309.0,2686.0,256492.0,
1060,3110.0,3004.0,3245.0,3144.0,3685.0,3398.0,3388.0,3163.0,3318.0,2711.0,256498.0,
1080,3115.0,3025.0,3279.0,3169.0,3677.0,3365.0,3349.0,3162.0,3339.0,2745.0,256475.0,
1100,3178.0,3051.0,3248.0,3164.0,3704.0,3421.0,3344.0,3192.0,3326.0,2756.0,256486.0,
1120,3178.0,3093.0,3270.0,3169.0,3733.0,3413.0,3428.0,3242.0,3326.0,2786.0,256478.0,
1140,3246.0,3088.0,3327.0,3215.0,3769.0,3480.0,3439.0,3301.0,3412.0,2809.0,256507.0,
1160,3265.0,3077.0,3351.0,3180.0,3759.0,3480.0,3426.0,3249.0,3384.0,2834.0,256483.0,
1180,3277.0,3121.0,3330.0,3234.0,3769.0,3474.0,3487.0,3267.0,3439.0,2815.0,256485.0,
1200,3330.0,3163.0,3375.0,3296.0,3877.0,3576.0,3535.0,3321.0,3523.0,2877.0,256525.0,
1220,3324.0,3129.0,3404.0,3319.0,3874.0,3530.0,3506.0,3317.0,3541.0,2925.0,256505.0,
1240,3379.0,3199.0,3418.0,3342.0,3907.0,3595.0,3561.0,3331.0,3574.0,2945.0,256515.0,
1260,3344.0,3152.0,3397.0,3332.0,3886.0,3568.0,3532.0,3347.0,3584.0,2885.0,256482.0,
1280,3397.0,3229.0,3416.0,3302.0,3930.0,3628.0,3598.0,3366.0,3621.0,2942.0,256478.0,
1300,3460.0,3243.0,3476.0,3392.0,3946.0,3661.0,3533.0,3367.0,3688.0,3000.0,256497.0,
1320,3464.0,3233.0,3456.0,3358.0,3922.0,3652.0,3548.0,3414.0,3620.0,3018.0,256498.0,
1340,3492.0,3226.0,3433.0,3358.0,3922.0,3672.0,3618.0,3410.0,3652.0,2932.0,256482.0,
