ara,ohc14,E20,E38
0.0,0.0,0.034337836384606496,0.011238542884782826
0.0,0.436,0.05689640336695479,0.015418014206620919
0.0,1.128,0.042568492243870104,0.016321051352122903
0.0,2.827,0.04199172560448011,0.019809834707110428
0.0,10.0,0.041207512353966316,0.021016907102911084
0.055,0.0,0.04261900435131849,0.009995353688427487
0.055,0.436,0.08712476221330923,0.023769028479996655
0.055,1.128,0.06389942818507494,0.02138153600155992
0.055,2.827,0.06643600217131446,0.02281405107248583
0.055,10.0,0.05936885998201928,0.034452735882757234
0.161,0.0,0.053668220509035205,0.011648465956203209
0.161,0.436,0.24055869978171274,0.046373577623457354
0.161,1.128,0.1775659648614742,0.043943416482052175
0.161,2.827,0.1652527364053188,0.045274791967966306
0.161,10.0,0.15377294489365018,0.10181690523873557
0.692,0.0,0.1261144481566131,0.014051077598338766
0.692,0.436,1.614331522383377,0.3656120836025023
0.692,1.128,1.3853646136553714,0.36971498996523366
0.692,2.827,1.3797119601315275,0.35891904828849974
0.692,10.0,1.309084175146105,0.46136573525405855
13.0,0.0,0.40816082330987274,0.025928709514407094
13.0,0.436,2.9026051237253228,0.8786116326178125
13.0,1.128,2.777076794698707,0.8436552369720487
13.0,2.827,2.6484396040497487,0.9324730653090034
13.0,10.0,2.4484535701904013,0.9437797641908783
