ara,ohc14,E20
0,0,0.052070458
0,0.236,0.089121271
0,0.436,0.067417425
0,0.713,0.051422507
0,1.128,0.048855418
0,1.772,0.04207421
0,2.827,0.050067002
0,4.763,0.05385598
0.026,0,0.0575835
0.026,0.236,0.101517234
0.026,0.436,0.074820999
0.026,0.713,0.056826627
0.026,1.128,0.050916866
0.026,1.772,0.04464679
0.026,2.827,0.051267055
0.026,4.763,0.053932726
0.055,0,0.068850915
0.055,0.236,0.169302104
0.055,0.436,0.127181095
0.055,0.713,0.081584404
0.055,1.128,0.069854596
0.055,1.772,0.06531167
0.055,2.827,0.065607023
0.055,4.763,0.068724643
0.097,0,0.07924804
0.097,0.236,0.311111504
0.097,0.436,0.217132199
0.097,0.713,0.15248377
0.097,1.128,0.107263038
0.097,1.772,0.099183302
0.097,2.827,0.094479114
0.097,4.763,0.111000292
0.161,0,0.089222155
0.161,0.236,0.434977772
0.161,0.436,0.385252648
0.161,0.713,0.259815576
0.161,1.128,0.227236631
0.161,1.772,0.183212901
0.161,2.827,0.205153484
0.161,4.763,0.183612545
0.268,0,0.108552541
0.268,0.236,0.760219832
0.268,0.436,0.708597833
0.268,0.713,0.585609133
0.268,1.128,0.513833347
0.268,1.772,0.485781926
0.268,2.827,0.511544833
0.268,4.763,0.502306007
0.469,0,0.142026102
0.469,0.236,1.466211557
0.469,0.436,1.352901949
0.469,0.713,1.158578089
0.469,1.128,1.102274754
0.469,1.772,1.048875816
0.469,2.827,1.126112523
0.469,4.763,1.034373686
0.971,0,0.236218147
0.971,0.236,2.605724275
0.971,0.436,2.516524673
0.971,0.713,2.258410381
0.971,1.128,2.16305835
0.971,1.772,2.097979707
0.971,2.827,2.340479619
0.971,4.763,2.146638833
