name,0,ara,ohc14,sal,ara_,ohc14_,sal_
E38-E11_000,0.00020298325261804538,0,0,0,0.0,0.0,0
E38-E11_001,0.00046872675526590866,0,0,1,0.0,0.0,25
E38-E11_002,0.000562477642572907,0,0,2,0.0,0.0,50
E38-E11_003,0.0008718101491863097,0,0,3,0.0,0.0,100
E38-E11_010,0.00011752372089933722,0,1,0,0.0,2.5,0
E38-E11_011,0.0005852113485083399,0,1,1,0.0,2.5,25
E38-E11_012,0.001036371039281166,0,1,2,0.0,2.5,50
E38-E11_013,0.0009657612651688687,0,1,3,0.0,2.5,100
E38-E11_020,0.00017259619262236626,0,2,0,0.0,5.0,0
E38-E11_021,0.00040172519292977114,0,2,1,0.0,5.0,25
E38-E11_022,0.0014281040593805297,0,2,2,0.0,5.0,50
E38-E11_023,0.0016400552786471029,0,2,3,0.0,5.0,100
E38-E11_030,2.200331574656323e-05,0,3,0,0.0,10.0,0
E38-E11_031,0.0014743532921558025,0,3,1,0.0,10.0,25
E38-E11_032,0.0015469289098468363,0,3,2,0.0,10.0,50
E38-E11_033,0.0012161840457645193,0,3,3,0.0,10.0,100
E38-E11_100,0.00023081413818235282,1,0,0,0.8125,0.0,0
E38-E11_101,0.0010716027819231417,1,0,1,0.8125,0.0,25
E38-E11_102,0.0010698482364198464,1,0,2,0.8125,0.0,50
E38-E11_103,0.0014377943233904711,1,0,3,0.8125,0.0,100
E38-E11_110,0.0033987344777756555,1,1,0,0.8125,2.5,0
E38-E11_111,0.012122449698872492,1,1,1,0.8125,2.5,25
E38-E11_112,0.0036751157021160516,1,1,2,0.8125,2.5,50
E38-E11_113,0.003838796258485557,1,1,3,0.8125,2.5,100
E38-E11_120,0.003679235973046031,1,2,0,0.8125,5.0,0
E38-E11_121,0.05315120874405964,1,2,1,0.8125,5.0,25
E38-E11_122,0.14155453047098515,1,2,2,0.8125,5.0,50
E38-E11_123,0.029201364865343783,1,2,3,0.8125,5.0,100
E38-E11_130,0.0032772358220478468,1,3,0,0.8125,10.0,0
E38-E11_131,0.21788301088069645,1,3,1,0.8125,10.0,25
E38-E11_132,0.20623476097306567,1,3,2,0.8125,10.0,50
E38-E11_133,0.19612658389660975,1,3,3,0.8125,10.0,100
E38-E11_200,0.00023713798666064745,2,0,0,3.25,0.0,0
E38-E11_201,0.002096684715708257,2,0,1,3.25,0.0,25
E38-E11_202,0.0023190618301875327,2,0,2,3.25,0.0,50
E38-E11_203,0.0025052630555279943,2,0,3,3.25,0.0,100
E38-E11_210,0.004274673951097496,2,1,0,3.25,2.5,0
E38-E11_211,0.006171325392121671,2,1,1,3.25,2.5,25
E38-E11_212,0.005111346059819796,2,1,2,3.25,2.5,50
E38-E11_213,0.007149832288091184,2,1,3,3.25,2.5,100
E38-E11_220,0.005175013455344138,2,2,0,3.25,5.0,0
E38-E11_221,0.5695662759433475,2,2,1,3.25,5.0,25
E38-E11_222,0.09846240148582014,2,2,2,3.25,5.0,50
E38-E11_223,0.0215187217295707,2,2,3,3.25,5.0,100
E38-E11_230,0.005895826118858387,2,3,0,3.25,10.0,0
E38-E11_231,0.5034575523483134,2,3,1,3.25,10.0,25
E38-E11_232,0.4662626098012088,2,3,2,3.25,10.0,50
E38-E11_233,0.5770894645849082,2,3,3,3.25,10.0,100
E38-E11_300,5.313161707950356e-06,3,0,0,13.0,0.0,0
E38-E11_301,0.0030917472018664287,3,0,1,13.0,0.0,25
E38-E11_302,0.003084533120275706,3,0,2,13.0,0.0,50
E38-E11_303,0.003310038313817724,3,0,3,13.0,0.0,100
E38-E11_310,0.005481167959285308,3,1,0,13.0,2.5,0
E38-E11_311,0.04544671616607651,3,1,1,13.0,2.5,25
E38-E11_312,0.6423109353273333,3,1,2,13.0,2.5,50
E38-E11_313,0.02566490700743112,3,1,3,13.0,2.5,100
E38-E11_320,0.0056653164266683405,3,2,0,13.0,5.0,0
E38-E11_321,0.0427184144478834,3,2,1,13.0,5.0,25
E38-E11_322,0.5692225619510429,3,2,2,13.0,5.0,50
E38-E11_323,0.4118484277025697,3,2,3,13.0,5.0,100
E38-E11_330,0.007745753315283871,3,3,0,13.0,10.0,0
E38-E11_331,0.6810010693069619,3,3,1,13.0,10.0,25
E38-E11_332,0.7196930763039974,3,3,2,13.0,10.0,50
E38-E11_333,0.5566098047350756,3,3,3,13.0,10.0,100
