e20,e38
0.035684379,0.007030747
0.04325499,0.010832117
0.032156258,0.011966471
0.024100934,0.013026962
0.023386319,0.013647915
0.023928403,0.015458252
0.030581932,0.006967995
0.038897512,0.010626171
0.032234096,0.012400523
0.022505146,0.012775042
0.023602584,0.013975607
0.023357115,0.016193968
0.041465623,0.006165654
0.069582185,0.011467042
0.053015437,0.01534599
0.036599039,0.01682576
0.0375685,0.022998848
0.051415765,0.026530854
0.070463693,0.007462852
0.453849976,0.071526364
0.473477496,0.107450443
0.395022226,0.143631946
0.494927281,0.146704794
0.589596187,0.157001652
0.160460526,0.014088215
1.364571532,0.276129046
1.29131944,0.445519263
1.301124933,0.498722772
1.464279386,0.487692818
1.312752143,0.512258709
0.299103903,0.028353553
1.95005299,0.476816708
1.847955812,0.760532949
1.916433207,0.744228779
1.672484011,0.678352622
1.790990907,0.765687108
