e20,e38
0.041406559,0.01446498
0.063490384,0.01948431
0.070773776,0.02670831
0.053473859,0.02731756
0.04817796,0.02726969
0.04907767,0.02807552
0.044805918,0.01333451
0.077365145,0.01900757
0.092816894,0.02945188
0.068778639,0.03071675
0.06191321,0.03201134
0.062464285,0.03442528
0.066754445,0.01369006
0.201214536,0.02937821
0.391098604,0.07179837
0.317790908,0.07528054
0.280290778,0.08212563
0.284480643,0.0916166
0.138115045,0.01706105
0.654397703,0.12566861
1.618578776,0.35789375
1.369627144,0.37786393
1.357277723,0.40507919
1.363867571,0.44051259
0.306237729,0.02444109
1.190169945,0.21120303
2.393351339,0.70689932
2.212278595,0.76832871
2.144651015,0.77575567
2.124832697,0.83367742
0.434889397,0.03023282
1.365059438,0.30144862
2.594070887,0.79813265
2.355031056,0.90306325
2.307379119,0.93263954
2.248110749,0.99768836
