sal,ara,fluo
0,0,0.01368555
1.5625,0,0.01315801
6.25,0,0.012434418
25,0,0.011525646
100,0,0.011758281
400,0,0.010663865
0,0.203125,0.015460836
1.5625,0.203125,0.01457847
6.25,0.203125,0.013748611
25,0.203125,0.012292279
100,0.203125,0.012805007
400,0.203125,0.010210166
0,0.8125,0.037537713
1.5625,0.8125,0.0359978
6.25,0.8125,0.030178319
25,0.8125,0.02645644
100,0.8125,0.027760508
400,0.8125,0.026846887
0,3.25,0.155925516
1.5625,3.25,0.185721048
6.25,3.25,0.165036597
25,3.25,0.149735105
100,3.25,0.148527657
400,3.25,0.162889732
0,13,0.301844022
1.5625,13,0.412235747
6.25,13,0.415363147
25,13,0.376737574
100,13,0.348973768
400,13,0.343947017
0,52,0.367377092
1.5625,52,0.547916959
6.25,52,0.584908679
25,52,0.513213964
100,52,0.450742662
400,52,0.439328611
