ara,ohc14,fluo
0.05078125,0.0390625,0.012770083
0.05078125,0.15625,0.022534947
0.05078125,0.625,0.021624253
0.05078125,2.5,0.018533738
0.05078125,10,0.018482307
0.05078125,40,0.017882786
0.203125,0.0390625,0.019475079
0.203125,0.15625,0.059928654
0.203125,0.625,0.08564277
0.203125,2.5,0.075025528
0.203125,10,0.076193247
0.203125,40,0.077582871
0.8125,0.0390625,0.040812438
0.8125,0.15625,0.305970332
0.8125,0.625,0.546823902
0.8125,2.5,0.482785622
0.8125,10,0.455442278
0.8125,40,0.470179964
3.25,0.0390625,0.089386217
3.25,0.15625,0.485694846
3.25,0.625,0.998392379
3.25,2.5,0.88461388
3.25,10,0.862067305
3.25,40,0.853334377
13,0.0390625,0.130597407
13,0.15625,0.531364604
13,0.625,1.202656899
13,2.5,1.000349912
13,10,0.982259735
13,40,1.047412148
52,0.0390625,0.140552365
52,0.15625,0.583720741
52,0.625,1.184532136
52,2.5,1.053963715
52,10,1.020176302
52,40,1.008648496
