ohc14,ara,fluo
0.0390625,0.05078125,0.00710186
0.0390625,0.203125,0.139467175
0.0390625,0.8125,0.34089937
0.0390625,3.25,0.398955956
0.0390625,13,0.426675699
0.0390625,52,0.467784286
0.15625,0.05078125,0.006581841
0.15625,0.203125,0.131077667
0.15625,0.8125,0.515286954
0.15625,3.25,0.660605251
0.15625,13,0.73879588
0.15625,52,0.828246226
0.625,0.05078125,0.006425534
0.625,0.203125,0.104032133
0.625,0.8125,0.594011813
0.625,3.25,0.849102352
0.625,13,0.965807353
0.625,52,1.043578828
2.5,0.05078125,0.007190161
2.5,0.203125,0.090712366
2.5,0.8125,0.47934691
2.5,3.25,0.757778222
2.5,13,0.867639007
2.5,52,0.903404854
10,0.05078125,0.007331279
10,0.203125,0.07816919
10,0.8125,0.408992332
10,3.25,0.663533831
10,13,0.804895394
10,52,0.831808683
40,0.05078125,0.005902467
40,0.203125,0.082149348
40,0.8125,0.44264401
40,3.25,0.682898176
40,13,0.77736175
40,52,0.90942378
