ohc14,sal,fluo
0.0390625,0.390625,0.007414466
0.0390625,1.5625,0.006727424
0.0390625,6.25,0.007006027
0.0390625,25,0.006544082
0.0390625,100,0.007020202
0.0390625,400,0.007103357
0.15625,0.390625,0.121786229
0.15625,1.5625,0.094752579
0.15625,6.25,0.111318338
0.15625,25,0.109225182
0.15625,100,0.087622337
0.15625,400,0.064314776
0.625,0.390625,0.482686408
0.625,1.5625,0.43082671
0.625,6.25,0.566331374
0.625,25,0.638088625
0.625,100,0.500355244
0.625,400,0.515440278
2.5,0.390625,0.682341046
2.5,1.5625,0.636732422
2.5,6.25,0.774395505
2.5,25,0.961381867
2.5,100,0.91263568
2.5,400,0.866270555
10,0.390625,0.756285667
10,1.5625,0.743007154
10,6.25,0.905299526
10,25,1.14479942
10,100,1.016680843
10,400,0.96366362
40,0.390625,0.772197157
40,1.5625,0.739266831
40,6.25,0.913356835
40,25,1.156155203
40,100,1.104958966
40,400,1.102438632
