sal,ara,fluo
0.390625,0.05078125,0.01368555
0.390625,0.203125,0.015460836
0.390625,0.8125,0.037537713
0.390625,3.25,0.155925516
0.390625,13,0.301844022
0.390625,52,0.367377092
1.5625,0.05078125,0.01315801
1.5625,0.203125,0.01457847
1.5625,0.8125,0.0359978
1.5625,3.25,0.185721048
1.5625,13,0.412235747
1.5625,52,0.547916959
6.25,0.05078125,0.012434418
6.25,0.203125,0.013748611
6.25,0.8125,0.030178319
6.25,3.25,0.165036597
6.25,13,0.415363147
6.25,52,0.584908679
25,0.05078125,0.011525646
25,0.203125,0.012292279
25,0.8125,0.02645644
25,3.25,0.149735105
25,13,0.376737574
25,52,0.513213964
100,0.05078125,0.011758281
100,0.203125,0.012805007
100,0.8125,0.027760508
100,3.25,0.148527657
100,13,0.348973768
100,52,0.450742662
400,0.05078125,0.010663865
400,0.203125,0.010210166
400,0.8125,0.026846887
400,3.25,0.162889732
400,13,0.343947017
400,52,0.439328611
