sal,ohc14,fluo
0.390625,0.0390625,0.010166445
0.390625,0.15625,0.01137204
0.390625,0.625,0.017319123
0.390625,2.5,0.03745853
0.390625,10,0.064911981
0.390625,40,0.084234651
1.5625,0.0390625,0.013602225
1.5625,0.15625,0.016071336
1.5625,0.625,0.056748194
1.5625,2.5,0.291582376
1.5625,10,0.431225092
1.5625,40,0.570925224
6.25,0.0390625,0.015125734
6.25,0.15625,0.0178068
6.25,0.625,0.055278785
6.25,2.5,0.379080806
6.25,10,0.698779431
6.25,40,0.848670041
25,0.0390625,0.012003857
25,0.15625,0.016201381
25,0.625,0.049384365
25,2.5,0.347103185
25,10,0.644368976
25,40,0.785963389
100,0.0390625,0.011919102
100,0.15625,0.012759293
100,0.625,0.050628172
100,2.5,0.3573504
100,10,0.648177696
100,40,0.797830977
400,0.0390625,0.015733493
400,0.15625,0.015418452
400,0.625,0.05443537
400,2.5,0.370471608
400,10,0.670501198
400,40,0.799670669
