ara,pbad,ohc14,pcin,sal,psalttc
2.48E-05,0.028932236,7.63E-05,0.000614725,0.006103516,0.006646513
4.96E-05,0.028538758,0.000152588,0.000361007,0.012207031,0.006537272
9.92E-05,0.027996759,0.000305176,0.000290727,0.024414063,0.006845906
0.000198364,0.028671375,0.000610352,0.000425637,0.048828125,0.006862926
0.000396729,0.02858176,0.001220703,0.000333161,0.09765625,0.007025059
0.000793457,0.028273561,0.002441406,0.000217559,0.1953125,0.006767366
0.001586914,0.029412874,0.004882813,0.000354964,0.390625,0.007378745
0.003173828,0.030054256,0.009765625,0.000365632,0.78125,0.00665143
0.006347656,0.031575865,0.01953125,0.000319853,1.5625,0.007404637
0.012695313,0.036755542,0.0390625,0.000397152,3.125,0.008321197
0.025390625,0.047531047,0.078125,0.000378516,6.25,0.01258255
0.05078125,0.090415805,0.15625,0.000797548,12.5,0.026475943
0.1015625,0.172499836,0.3125,0.001657689,25,0.072823817
0.203125,0.394367081,0.625,0.002701152,50,0.127005405
0.40625,0.838327122,1.25,0.012781843,100,0.22738523
0.8125,1.7025284,2.5,0.04842028,200,0.313190812
1.625,2.510963891,5,0.135581187,400,0.336939268
3.25,3.070682982,10,0.258068242,800,0.356825846
6.5,3.126711514,20,0.364226409,,
13,3.301300652,40,0.440439417,,
26,3.463594965,80,0.473243477,,
52,3.133512025,160,0.48583894,,
104,3.350651332,320,0.46135317,,
208,3.283220566,640,0.492338905,,
