name,short_name,construct_id
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP1-P(Cym)-32-sM86,e11x32M86,A1
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP2-P(Cym)-30-sNpuSsp.S1,e11x30NpuSspS1,A4
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP3-P(Cym)-32-sgp41-1,e11x32gp411,A5
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP4-P(Cym)-30-sgp41-8,e11x30gp418,A6
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP4-P(Cym)-32-sgp41-8,e11x32gp418,A7
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP5-P(Cym)-32-sNrdJ-1,e11x32NrdJ1,A8
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP5-P(Cym)-33-sNrdJ-1,e11x33NrdJ1,A9
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP6-P(Cym)-32-(ST)sIMPDH-1,e11x32STIMPDH1,A11
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP7-P(Cym)-30-(ST)sSspDnaX,e11x30STsSspDnaX,A12
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP8-P(Cym)-30-sSspGyrB,e11x30SspGyrB,A13
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP11-P(Cym)-30-(ST)sPhoRadA,e11x30STPhoRadA,A17
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP11-P(Cym)-32-(ST)sPhoRadA,e11x32STPhoRadA,A18
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP20-P(Cym)-30-sCth_Ter,e11x30CthTer,A19
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP20-P(Cym)-32-sCth_Ter,e11x32CthTer,A20
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP27-P(Cym)-30-sMP-M_DnaB,e11x30MPMDnaB,A21
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP29-P(Cym)-30-sSaP_dpol,e11x30SaPdpol,A22
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP31-P(Cym)-32-sNrdA-2,e11x32NrdA2,A23
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP31-P(Cym)-33-sNrdA-2,e11x33NrdA2,A24
3K3-P11*-gfp-B15-P(ara)-sECF11*-SP33-P(Cym)-33-sMja_KlbA,e11x33MjaKlbA,A26
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP1-P(Cym)-32-sM86,e15x32M86,A27
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e15x30STNpuSspS2,A28
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP2-P(Cym)-32-sNpuSsp.S2,e15x32NpuSspS2,A29
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP2-P(Cym)-30-sNpuSsp.S1,e15x30NpuSspS1,A30
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP3-P(Cym)-32-sgp41-1,e15x32gp411,A31
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP4-P(Cym)-30-sgp41-8,e15x30gp418,A32
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP4-P(Cym)-32-sgp41-8,e15x32gp418,A33
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP5-P(Cym)-32-sNrdJ-1,e15x32NrdJ1,A34
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP6-P(Cym)-30-(ST)sIMPDH-1,e15x30STIMPDH1,A36
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP6-P(Cym)-32-(ST)sIMPDH-1,e15x32STIMPDH1,A37
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP7-P(Cym)-30-(ST)sSspDnaX,e15x30STsSspDnaX,A38
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP8-P(Cym)-30-sSspGyrB,e15x30SspGyrB,A39
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP9-P(Cym)-30-sTerThyX.S2,e15x30TerThyXS2,A40
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP9-P(Cym)-30-sTerThyX.S1,e15x30TerThyXS1,A41
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP10-P(Cym)-30-sTvoVMA,e15x30TvoVMA,A42
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP11-P(Cym)-30-(ST)sPhoRadA,e15x30STPhoRadA,A43
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP11-P(Cym)-32-(ST)sPhoRadA,e15x32STPhoRadA,A44
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP20-P(Cym)-30-sCth_Ter,e15x30CthTer,A45
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP20-P(Cym)-32-sCth_Ter,e15x32CthTer,A46
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP31-P(Cym)-32-sNrdA-2,e15x32NrdA2,A49
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP31-P(Cym)-33-sNrdA-2,e15x33NrdA2,A50
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP33-P(Cym)-30-sMja_KlbA,e15x30MjaKlbA,A51
3K3-P15*-gfp-B15-P(ara)-sECF15*-SP33-P(Cym)-33-sMja_KlbA,e15x33MjaKlbA,A52
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP1-P(Cym)-32-sM86,e16x32M86,A53
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP2-P(Cym)-32-sNpuSsp.S2,e16x32NpuSspS2,A55
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP2-P(Cym)-30-sNpuSsp.S1,e16x30NpuSspS1,A56
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP3-P(Cym)-32-sgp41-1,e16x32gp411,A57
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP4-P(Cym)-30-sgp41-8,e16x30gp418,A58
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP4-P(Cym)-32-sgp41-8,e16x32gp418,A59
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP5-P(Cym)-32-sNrdJ-1,e16x32NrdJ1,A60
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP5-P(Cym)-33-sNrdJ-1,e16x33NrdJ1,A61
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP6-P(Cym)-32-(ST)sIMPDH-1,e16x32STIMPDH1,A63
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP7-P(Cym)-30-(ST)sSspDnaX,e16x30STsSspDnaX,A64
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP8-P(Cym)-30-sSspGyrB,e16x30SspGyrB,A65
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP9-P(Cym)-30-sTerThyX.S2,e16x30TerThyXS2,A66
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP9-P(Cym)-30-sTerThyX.S1,e16x30TerThyXS1,A67
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP11-P(Cym)-30-(ST)sPhoRadA,e16x30STPhoRadA,A69
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP11-P(Cym)-32-(ST)sPhoRadA,e16x32STPhoRadA,A70
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP20-P(Cym)-30-sCth_Ter,e16x30CthTer,A71
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP20-P(Cym)-32-sCth_Ter,e16x32CthTer,A72
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP27-P(Cym)-30-sMP-M_DnaB,e16x30MPMDnaB,A73
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP29-P(Cym)-30-sSaP_dpol,e16x30SaPdpol,A74
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP31-P(Cym)-32-sNrdA-2,e16x32NrdA2,A75
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP31-P(Cym)-33-sNrdA-2,e16x33NrdA2,A76
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP33-P(Cym)-30-sMja_KlbA,e16x30MjaKlbA,A77
3K3-P16*-gfp-B15-P(ara)-sECF16*-SP33-P(Cym)-33-sMja_KlbA,e16x33MjaKlbA,A78
3K3-P17*-gfp-B15-P(ara)-sECF17*-Ln-SP1-P(Cym)-32-sM86,linker split,A79
3K3-P17*-gfp-B15-P(ara)-sECF17*-SP1-P(Cym)-32-sM86,e17x32M86,A79II
