time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,0.022,0.036,0.044,0.04,0.024,0.021,0.024,0.039,0.019,0.019,0.026,0.036,-0.01,0.025,0.018,0.033,0.003,0.012,0.026,0.015,0.012
20,0.021,0.006,0.003,0.008,0.004,0.003,0.006,0.001,0.007,0.004,0.004,0.016,0.025,0.018,0.005,0.019,0.01,0.009,0.011,0.005,0.002
40,0.016,0.018,0.018,0.018,0.013,0.015,0.015,0.011,0.017,0.017,0.014,0.016,0.013,0.023,0.014,0.023,0.018,0.019,0.022,0.018,0.015
60,0.033,0.019,0.013,0.019,0.014,0.016,0.018,0.009,0.013,0.015,0.011,0.021,0.034,0.036,0.016,0.028,0.023,0.022,0.026,0.017,0.012
80,0.039,0.024,0.019,0.024,0.019,0.023,0.023,0.014,0.019,0.025,0.013,0.021,0.041,0.037,0.021,0.037,0.031,0.082,0.037,0.023,0.019
100,0.052,0.037,0.028,0.034,0.028,0.034,0.033,0.022,0.027,0.043,0.03,0.037,0.052,0.047,0.03,0.048,0.044,0.04,0.052,0.037,0.03
120,0.087,0.067,0.058,0.066,0.058,0.066,0.058,0.046,0.046,0.081,0.054,0.067,0.081,0.087,0.057,0.081,0.082,0.075,0.087,0.068,0.053
140,0.124,0.094,0.082,0.087,0.08,0.096,0.076,0.059,0.056,0.12,0.079,0.095,0.107,0.086,0.083,0.101,0.11,0.104,0.129,0.104,0.078
160,0.204,0.169,0.149,0.161,0.146,0.171,0.138,0.118,0.106,0.221,0.142,0.158,0.169,0.144,0.146,0.181,0.191,0.183,0.224,0.183,0.14
180,0.301,0.282,0.252,0.261,0.243,0.267,0.218,0.194,0.168,0.319,0.228,0.243,0.266,0.232,0.244,0.28,0.305,0.291,0.323,0.285,0.228
200,0.395,0.362,0.338,0.35,0.323,0.349,0.29,0.276,0.264,0.423,0.309,0.323,0.341,0.312,0.327,0.361,0.392,0.373,0.426,0.373,0.3
220,0.492,0.484,0.455,0.47,0.438,0.458,0.375,0.366,0.343,0.527,0.427,0.446,0.458,0.388,0.433,0.489,0.514,0.491,0.539,0.486,0.414
240,0.628,0.612,0.569,0.576,0.53,0.571,0.471,0.457,0.439,0.657,0.507,0.544,0.556,0.462,0.545,0.597,0.644,0.643,0.738,0.611,0.507
260,0.757,0.763,0.736,0.738,0.676,0.709,0.582,0.59,0.57,0.77,0.637,0.691,0.699,0.523,0.693,0.749,0.801,0.751,0.822,0.759,0.654
280,0.824,0.858,0.852,0.834,0.778,0.788,0.714,0.717,0.714,0.818,0.761,0.789,0.806,0.616,0.82,0.836,0.874,0.842,0.89,0.837,0.775
300,0.869,0.911,0.932,0.894,0.838,0.849,0.822,0.791,0.816,0.86,0.833,0.843,0.873,0.731,0.896,0.906,0.929,0.908,0.935,0.89,0.845
320,0.923,0.953,0.976,0.936,0.879,0.89,0.882,0.85,0.876,0.897,0.871,0.878,0.911,0.814,0.947,0.947,0.974,0.943,0.975,0.931,0.885
340,0.947,0.97,1.001,0.975,0.915,0.928,0.909,0.884,0.913,0.927,0.911,0.915,0.945,0.855,0.973,0.975,1.01,0.977,1.0,0.96,0.918
360,0.965,1.001,1.044,1.0,0.95,0.955,0.947,0.925,0.959,0.943,0.956,0.954,0.975,0.892,1.015,1.012,1.036,1.015,1.039,0.992,0.962
380,0.984,1.02,1.063,1.015,0.967,0.971,0.962,0.957,0.978,0.961,0.983,0.98,0.99,0.919,1.034,1.013,1.046,1.03,1.048,1.02,1.055
400,1.011,1.031,1.089,1.039,0.995,1.004,0.989,0.981,1.005,0.981,0.996,0.99,1.02,0.948,1.056,1.03,1.07,1.057,1.073,1.025,1.011
420,1.025,1.046,1.099,1.046,1.013,1.011,0.989,1.005,1.036,0.992,1.025,1.016,1.025,0.975,1.077,1.048,1.074,1.061,1.089,1.054,1.027
440,1.04,1.055,1.123,1.083,1.042,1.041,1.019,1.027,1.064,1.009,1.047,1.038,1.058,1.0,1.105,1.081,1.112,1.079,1.101,1.089,1.054
460,1.049,1.068,1.149,1.091,1.054,1.056,1.049,1.041,1.087,1.018,1.076,1.065,1.074,1.015,1.118,1.096,1.115,1.096,1.113,1.073,1.079
480,1.059,1.08,1.149,1.099,1.061,1.072,1.06,1.061,1.094,1.027,1.074,1.071,1.086,1.015,1.134,1.11,1.125,1.092,1.114,1.107,1.082
500,1.06,1.088,1.157,1.113,1.07,1.069,1.091,1.073,1.099,1.033,1.086,1.082,1.096,1.032,1.141,1.099,1.128,1.093,1.116,1.104,1.075
520,1.069,1.116,1.159,1.132,1.085,1.077,1.11,1.08,1.131,1.039,1.103,1.093,1.102,1.068,1.155,1.114,1.138,1.111,1.137,1.119,1.099
540,1.074,1.096,1.164,1.12,1.086,1.068,1.113,1.075,1.113,1.037,1.095,1.087,1.1,1.068,1.157,1.114,1.143,1.119,1.124,1.102,1.103
560,1.055,1.089,1.158,1.124,1.083,1.08,1.115,1.088,1.111,1.047,1.098,1.091,1.103,1.066,1.163,1.115,1.139,1.114,1.124,1.108,1.101
580,1.062,1.073,1.161,1.127,1.086,1.095,1.121,1.095,1.116,1.045,1.105,1.096,1.111,1.061,1.165,1.121,1.142,1.125,1.124,1.117,1.097
600,1.065,1.085,1.158,1.122,1.092,1.097,1.127,1.089,1.11,1.041,1.098,1.089,1.108,1.069,1.169,1.119,1.144,1.122,1.126,1.113,1.108
620,1.057,1.087,1.154,1.121,1.093,1.094,1.114,1.093,1.105,1.041,1.098,1.084,1.104,1.073,1.172,1.125,1.139,1.126,1.116,1.096,1.08
640,1.048,1.083,1.141,1.112,1.087,1.092,1.111,1.098,1.096,1.042,1.085,1.083,1.089,1.061,1.165,1.107,1.135,1.11,1.118,1.131,1.087
660,1.045,1.096,1.138,1.106,1.093,1.086,1.107,1.101,1.115,1.044,1.096,1.084,1.097,1.069,1.162,1.093,1.13,1.114,1.111,1.091,1.092
680,1.051,1.089,1.145,1.118,1.096,1.093,1.142,1.106,1.125,1.049,1.103,1.091,1.11,1.117,1.185,1.141,1.133,1.132,1.119,1.118,1.112
700,1.054,1.077,1.136,1.12,1.089,1.098,1.13,1.108,1.12,1.052,1.103,1.095,1.107,1.081,1.167,1.115,1.135,1.134,1.114,1.125,1.101
720,1.052,1.086,1.147,1.129,1.094,1.093,1.138,1.109,1.133,1.053,1.101,1.095,1.106,1.083,1.164,1.109,1.129,1.136,1.106,1.139,1.101
740,1.052,1.07,1.142,1.112,1.084,1.094,1.131,1.106,1.143,1.056,1.103,1.105,1.11,1.083,1.17,1.107,1.127,1.14,1.106,1.138,1.092
760,1.065,1.06,1.138,1.103,1.077,1.079,1.114,1.112,1.137,1.054,1.092,1.1,1.099,1.074,1.158,1.095,1.114,1.128,1.096,1.115,1.082
