time,ECF20/33_00,ECF20/33_01,ECF20/33_10,ECF20/33_11,ECF11/15_00,ECF11/15_01,ECF11/15_10,ECF11/15_11
0,0.017,0.009,0.016,0.018,0.026,0.028,0.018,0.015
20,0.01,0.009,0.01,0.014,0.018,0.017,-0.003,0.014
40,0.011,0.012,0.012,0.014,0.018,0.017,0.013,0.014
60,0.012,0.012,0.016,0.017,0.022,0.02,0.016,0.018
80,0.017,0.017,0.019,0.021,0.028,0.027,0.02,0.021
100,0.023,0.024,0.025,0.028,0.035,0.033,0.027,0.028
120,0.033,0.038,0.034,0.036,0.048,0.046,0.036,0.038
140,0.057,0.06,0.05,0.054,0.069,0.112,0.082,0.054
160,0.089,0.1,0.078,0.081,0.111,0.108,0.072,0.075
180,0.144,0.168,0.121,0.129,0.175,0.177,0.105,0.108
200,0.231,0.257,0.19,0.199,0.26,0.257,0.152,0.159
220,0.308,0.33,0.271,0.274,0.405,0.404,0.212,0.22
240,0.395,0.414,0.329,0.34,0.425,0.415,0.257,0.271
260,0.481,0.476,0.413,0.433,0.512,0.477,0.308,0.338
280,0.59,0.541,0.497,0.521,0.624,0.561,0.354,0.401
300,0.731,0.622,0.59,0.622,0.746,0.668,0.403,0.466
320,0.847,0.695,0.699,0.732,0.911,0.748,0.446,0.524
340,0.904,0.769,0.806,0.829,0.896,0.861,0.49,0.595
360,0.931,0.838,0.899,0.908,0.934,0.95,0.54,0.67
380,0.972,0.872,0.974,0.961,1.057,1.022,0.594,0.742
400,1.006,0.892,1.005,1.005,1.012,1.081,0.646,0.806
420,1.038,0.903,1.044,1.019,1.003,1.129,0.701,0.866
440,1.051,0.914,1.066,1.077,1.06,1.179,0.756,0.915
460,1.07,0.93,1.088,1.093,1.078,1.22,0.729,0.946
480,1.085,0.937,1.1,1.103,1.087,1.29,0.825,0.972
500,1.095,0.941,1.111,1.12,1.103,1.289,0.833,0.99
520,1.104,0.947,1.117,1.141,1.144,1.311,0.905,1.015
540,1.115,0.956,1.119,1.154,1.124,1.292,0.911,1.031
560,1.119,0.961,1.118,1.164,1.124,1.346,0.923,1.056
580,1.117,0.956,1.116,1.18,1.126,1.333,0.943,1.071
600,1.114,0.975,1.114,1.2,1.156,1.34,0.975,1.097
620,1.111,0.961,1.116,1.196,1.125,1.333,0.983,1.107
640,1.12,0.95,1.111,1.204,1.134,1.321,0.991,1.118
660,1.117,0.957,1.103,1.188,1.25,1.507,1.009,1.122
680,1.128,0.976,1.102,1.179,1.312,1.489,1.024,1.131
700,1.135,0.949,1.096,1.194,1.176,1.276,1.032,1.13
720,1.138,0.939,1.091,1.182,1.162,1.263,1.039,1.132
740,1.142,0.931,1.082,1.161,1.263,1.338,1.05,1.135
760,1.145,0.937,1.074,1.169,1.166,1.225,1.069,1.135
780,1.135,0.905,1.075,1.153,1.16,1.167,1.063,1.141
800,1.128,0.905,1.065,1.137,1.167,1.304,1.073,1.138
820,1.134,0.891,1.057,1.131,1.153,1.17,1.083,1.139
840,1.124,0.893,1.052,1.124,1.151,1.15,1.094,1.145
860,1.114,0.865,1.048,1.118,1.147,1.136,1.05,1.144
880,1.112,0.858,1.042,1.11,1.143,1.12,1.082,1.149
900,1.112,0.858,1.046,1.116,1.194,1.176,1.086,1.144
920,1.105,0.858,1.039,1.111,1.133,1.099,1.066,1.149
940,1.101,0.837,1.044,1.102,1.127,1.081,1.076,1.154
960,1.092,0.837,1.043,1.085,1.119,1.006,1.018,1.161
980,1.094,0.83,1.04,1.084,1.12,1.037,1.064,1.14
1000,1.082,0.823,1.038,1.099,1.21,1.088,1.053,1.157
1020,1.078,0.811,1.031,1.073,1.07,0.984,1.055,1.155
1040,1.078,0.809,1.03,1.067,1.111,1.104,1.043,1.15
1060,1.065,0.796,1.026,1.074,1.097,0.973,1.038,1.158
1080,1.065,0.794,1.023,1.077,1.091,0.953,1.033,1.158
1100,1.05,0.781,1.021,1.06,1.084,0.905,1.025,1.166
1120,1.051,0.781,1.022,1.046,1.083,0.904,1.023,1.162
1140,1.044,0.783,1.015,1.06,1.084,0.923,1.02,1.164
1160,1.04,0.795,1.009,1.144,1.137,0.894,1.017,1.174
1180,1.031,0.759,1.009,1.043,1.074,0.902,1.058,1.18
1200,1.024,0.752,1.0,1.123,1.073,0.882,1.017,1.183
1220,1.02,0.762,0.999,1.023,1.058,0.866,1.017,1.168
1240,1.016,0.772,0.993,1.029,1.053,0.87,1.006,1.174
1260,1.009,0.773,0.992,1.025,1.052,0.861,1.001,1.172
1280,1.005,0.752,0.981,1.021,1.056,0.823,0.997,1.155
1300,0.998,0.743,0.979,1.008,1.049,0.841,0.992,1.164
1320,0.991,0.765,0.98,1.006,1.034,0.9,0.98,1.157
1340,0.987,0.722,0.985,0.997,1.028,0.867,0.918,1.185
1360,0.978,0.749,0.963,0.997,1.055,0.936,0.964,1.175
1380,0.978,0.748,0.959,0.994,1.02,0.87,0.951,1.171
1400,0.975,0.737,0.959,0.983,1.015,0.84,0.942,1.171
1420,0.967,0.748,0.948,0.978,1.01,0.772,0.915,1.166
1440,0.967,0.695,0.951,0.98,1.0,0.83,0.924,1.175
