time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,6,6,6,0,8,-8,-12,-6,-10,-12,-16,-20,12,12,10,-8,-16,-12,0,-18,-4,-4,-14,-20,16,10,14,6,14,4,-10,-8,-14,-20,-22,-32,16,12,22,10,20,2,12,8,16,14,0,-10,120,82,92,112,218,64,0,6,4,-2,-6,-4,8,6,4,2,4,2,6,6,10,8,-2,-4,0,6,2,0,2,-10,,,14,8,,,18,12,437,428
20,6,6,6,0,8,-8,-12,-6,-10,-12,-16,-20,12,12,10,-8,-16,-12,0,-18,-4,-4,-14,-20,16,10,14,6,14,4,-10,-8,-14,-20,-22,-32,16,12,22,10,20,2,12,8,16,14,0,-10,120,82,92,112,218,64,0,6,4,-2,-6,-4,8,6,4,2,4,2,6,6,10,8,-2,-4,0,6,2,0,2,-10,,,14,8,,,18,12,437,428
40,15,10,12,7,5,11,-1,-1,-5,0,-5,1,8,5,4,-12,-7,0,-8,-13,-6,-4,-12,-6,6,21,31,29,30,29,-5,-3,-6,-7,-11,-11,13,62,82,90,96,94,10,8,13,10,6,4,249,260,262,263,267,252,9,9,7,9,6,4,3,-2,-2,2,30,51,5,9,2,2,4,9,7,30,41,36,33,41,,,14,13,,,14,10,400,422
60,20,20,8,12,12,12,4,6,0,6,6,0,12,12,6,-8,-12,12,-4,-20,0,-2,2,-6,10,38,50,64,74,78,-2,-8,-4,-6,-2,-8,16,144,196,214,228,226,14,14,14,6,12,10,392,408,406,408,398,388,6,12,10,14,10,4,0,0,0,4,54,94,10,12,12,8,4,2,14,106,118,120,110,128,,,20,14,,,16,21,523,541
80,20,10,4,10,6,14,4,4,4,-4,0,2,14,6,0,-10,-10,34,-8,-16,0,-8,-4,-4,2,40,66,106,130,136,-4,-8,-4,-8,-6,-4,12,252,350,412,426,446,16,18,12,0,12,10,594,602,596,590,588,560,6,8,8,12,10,6,-4,4,0,-4,98,170,4,10,16,6,8,12,2,258,284,272,268,302,,,14,12,,,24,21,650,677
100,20,24,20,28,46,62,12,10,12,10,16,24,24,18,10,-4,-2,112,10,-8,8,4,6,8,20,48,96,168,238,262,8,6,2,2,10,6,26,432,662,778,812,832,18,18,16,24,16,20,916,912,878,870,854,826,16,10,14,16,20,18,14,10,10,16,186,346,20,24,16,20,14,16,12,588,658,644,622,690,,,20,20,,,32,33,765,803
120,35,30,29,78,176,230,22,14,18,19,53,86,25,23,11,0,-1,258,10,-8,11,8,18,8,21,64,128,262,398,453,7,2,4,1,10,8,30,681,1079,1280,1379,1405,26,25,19,27,31,39,1441,1397,1320,1279,1277,1200,19,22,21,24,21,26,18,5,13,29,303,599,18,15,21,19,29,28,18,1075,1224,1198,1158,1296,,,29,23,,,37,35,920,984
140,34.5,31.5,49.5,269.5,563.5,675.5,23.5,15.5,25.5,59.5,167.5,233.5,35.5,24.5,15.5,-1.5,-1.5,491.5,15.5,-9.5,15.5,14.5,27.5,35.5,23.5,75.5,204.5,486.5,786.5,902.5,14.5,15.5,14.5,11.5,24.5,31.5,40.5,1097.5,1748.5,2106.5,2226.5,2279.5,24.5,21.5,28.5,38.5,66.5,87.5,2250.5,2187.5,2048.5,1980.5,1948.5,1865.5,22.5,26.5,29.5,32.5,42.5,46.5,25.5,22.5,21.5,39.5,522.5,1032.5,20.5,27.5,26.5,28.5,46.5,49.5,26.5,1776.5,2094.5,2082.5,2014.5,2245.5,,,28.5,29.5,,,44,43,1162,1223
160,49.5,58.5,272.5,1020.5,1518.5,1638.5,24.5,30.5,58.5,224.5,490.5,598.5,41.5,36.5,23.5,-3.5,-1.5,847.5,26.5,-6.5,30.5,40.5,61.5,62.5,37.5,110.5,353.5,900.5,1444.5,1648.5,23.5,23.5,20.5,29.5,56.5,81.5,59.5,1812.5,2783.5,3255.5,3447.5,3528.5,33.5,28.5,38.5,74.5,144.5,180.5,3225.5,3153.5,3014.5,2910.5,2876.5,2749.5,39.5,41.5,39.5,52.5,84.5,79.5,37.5,35.5,25.5,72.5,944.5,1714.5,40.5,42.5,37.5,52.5,96.5,104.5,38.5,2783.5,3352.5,3290.5,3191.5,3558.5,,,41.5,38.5,,,63,62,1482,1581
180,71.5,958.5,2332.5,3511.5,3972.5,3859.5,48.5,178.5,733.5,1160.5,1467.5,1469.5,57.5,55.5,45.5,-1.5,11.5,1757.5,40.5,3.5,118.5,143.5,178.5,173.5,57.5,217.5,777.5,1721.5,2545.5,2792.5,36.5,52.5,181.5,262.5,370.5,381.5,112.5,3219.5,4364.5,5082.5,5294.5,5351.5,48.5,50.5,106.5,245.5,390.5,379.5,4427.5,4456.5,4345.5,4294.5,4216.5,4041.5,55.5,58.5,73.5,144.5,217.5,194.5,55.5,55.5,56.5,185.5,2113.5,3264.5,53.5,55.5,77.5,199.5,355.5,303.5,61.5,4572.5,5557.5,5372.5,5097.5,5670.5,,,69.5,65.5,,,82.5,88.5,2009.5,2135.5
200,100.5,4459.5,6702.5,7893.5,8091.5,7565.5,57.5,1031.5,2425.5,2845.5,2964.5,2742.5,79.5,68.5,51.5,-1.5,14.5,4242.5,56.5,6.5,445.5,457.5,452.5,355.5,70.5,338.5,1301.5,2876.5,4143.5,4480.5,56.5,337.5,1226.5,1365.5,1412.5,1248.5,203.5,5992.5,7533.5,8174.5,8275.5,8210.5,48.5,116.5,554.5,918.5,1048.5,891.5,5642.5,5859.5,5995.5,6163.5,6078.5,5814.5,72.5,92.5,179.5,329.5,441.5,388.5,75.5,74.5,96.5,429.5,4501.5,6182.5,71.5,73.5,292.5,816.5,1047.5,812.5,97.5,7320.5,9136.5,8641.5,8046.5,8797.5,,,92.5,84.5,,,128.5,131.5,2779.5,2983.5
220,178.5,10275.5,12132.5,12910.5,12796.5,11884.5,105.5,3040.5,4741.5,4912.5,4720.5,4090.5,111.5,103.5,67.5,-5.5,27.5,7396.5,89.5,21.5,1079.5,1024.5,865.5,617.5,104.5,548.5,2014.5,4227.5,6005.5,6475.5,92.5,1625.5,3232.5,3220.5,3050.5,2473.5,332.5,9294.5,11533.5,12591.5,12877.5,12845.5,79.5,278.5,1328.5,1970.5,2010.5,1669.5,7040.5,7279.5,7724.5,8308.5,8285.5,8089.5,95.5,139.5,325.5,614.5,745.5,620.5,116.5,118.5,144.5,869.5,8045.5,10200.5,97.5,138.5,836.5,2005.5,2208.5,1615.5,145.5,9168.5,14575.5,13624.5,12501.5,13393.5,,,127.5,123.5,,,173.5,165.5,3836.5,4128.5
240,240.5,17745.5,18872.5,19074.5,18449.5,16828.5,138.5,6071.5,7731.5,7558.5,6838.5,5730.5,149.5,136.5,103.5,-4.5,49.5,11934.5,124.5,88.5,1911.5,1753.5,1383.5,918.5,136.5,824.5,2966.5,6019.5,8360.5,8960.5,128.5,3983.5,6212.5,6001.5,5367.5,4086.5,447.5,13239.5,16705.5,18039.5,18217.5,18065.5,101.5,579.5,2525.5,3407.5,3226.5,2573.5,8912.5,9388.5,10444.5,11736.5,11727.5,11327.5,130.5,209.5,524.5,940.5,1059.5,850.5,162.5,165.5,204.5,1212.5,12541.5,15800.5,130.5,259.5,1792.5,3844.5,3816.5,2686.5,218.5,9553.5,19618.5,20179.5,18583.5,19484.5,,,164.5,155.5,,,225.5,229.5,5227.5,5558.5
260,314,26289,26639,26137,25032,22716,181,9730,11221,10481,9129,7485,193,181,138,5,71,16070,170,304,2926,2660,2059,1315,189,1204,4308,8514,11471,12186,189,7017,9769,9368,8210,6094,543,16550,22217,24712,25294,25055,131,1088,4072,5110,4645,3612,11161,11926,13635,16238,16387,16040,172,304,806,1356,1473,1092,211,212,267,1490,17018,21686,176,540,3248,6272,5910,4012,287,9576,22761,27296,25525,26483,,,214,205,,,274,279,6223,6558
280,387,35094,35238,34051,32653,29696,233,14189,15534,13980,11780,9343,233,223,186,16,121,20708,218,868,4430,3948,2977,1841,228,1445,5109,10419,14953,16242,232,11280,14249,13330,11533,8553,650,19554,27592,31293,32535,32795,171,1978,6030,7025,6165,4646,13857,14974,17783,21691,21941,21375,214,461,1268,2032,2060,1424,254,266,320,1752,20799,28457,227,1106,5680,9469,8597,5721,348,9478,24006,35611,33002,34036,,,245,242,,,314,325,6926,7268
300,472,46040,44360,42433,40868,37248,281,19434,20451,18186,14950,11578,269,260,227,35,181,26638,268,1547,6005,5564,4255,2516,256,1607,5509,11263,16355,18444,282,16335,19798,18721,15795,11469,746,21966,33264,38887,40095,40438,203,3245,8384,9330,7914,5743,17164,18536,22849,28938,29001,28378,258,588,1724,2855,2892,1860,314,315,376,1954,23787,33869,266,1705,8737,13909,12501,7930,420,9301,24676,45215,41585,42383,,,285,276,,,366,367,7738,8132
320,538.5,57050.5,54369.5,51388.5,49750.5,45827.5,320.5,25738.5,24706.5,22743.5,18861.5,14177.5,306.5,289.5,270.5,42.5,270.5,34376.5,304.5,2477.5,7467.5,7258.5,5544.5,3289.5,295.5,1758.5,5863.5,11901.5,17278.5,19407.5,338.5,22561.5,26175.5,24732.5,21180.5,15083.5,829.5,24252.5,38070.5,45964.5,48874.5,49401.5,228.5,4603.5,10912.5,12010.5,9989.5,7010.5,21345.5,23221.5,28546.5,37233.5,37718.5,37033.5,288.5,689.5,2066.5,3646.5,3749.5,2406.5,359.5,351.5,427.5,2069.5,25839.5,37935.5,301.5,2161.5,11917.5,18747.5,16641.5,10813.5,475.5,9392.5,24927.5,55187.5,50991.5,51801.5,,,316.5,312.5,,,404.5,403.5,8551.5,8967.5
340,592,69778,64037,60884,58851,54514,372,31712,30335,26472,22205,17152,353,336,310,76,423,41328,349,3786,8767,8664,6745,4034,343,1859,6175,12351,17900,20073,390,29202,33236,31658,27371,19354,908,26012,42475,52509,57264,58791,261,5797,13885,15020,12368,8440,25755,28122,35771,46365,46854,46331,323,754,2288,4141,4520,2993,409,408,479,2161,26957,41232,346,2469,14844,23916,21184,14169,551,9404,24789,63119,61849,62311,,,359,347,,,452,441,9321,9785
