time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,4,36,28,0,8,-12,-18,-46,-68,-48,-42,-66,82,40,20,-20,-44,-16,-10,-80,-4,-36,-48,-88,34,70,62,36,62,44,-48,-32,-50,-64,-76,-92,66,60,52,46,72,30,72,36,40,28,-2,20,430,374,394,500,794,360,48,30,42,48,-4,-4,36,38,42,10,22,18,26,38,36,16,-12,-4,20,52,38,-2,14,-30,,,54,40,,,74,62,1584,1518
20,4,36,28,0,8,-12,-18,-46,-68,-48,-42,-66,82,40,20,-20,-44,-16,-10,-80,-4,-36,-48,-88,34,70,62,36,62,44,-48,-32,-50,-64,-76,-92,66,60,52,46,72,30,72,36,40,28,-2,20,430,374,394,500,794,360,48,30,42,48,-4,-4,36,38,42,10,22,18,26,38,36,16,-12,-4,20,52,38,-2,14,-30,,,54,40,,,74,62,1584,1518
40,56,24,18,18,12,6,-8,-4,8,-30,-8,-28,36,24,-16,-40,-42,4,-14,-64,-14,-24,-14,-32,30,84,126,126,150,126,-10,-36,-32,-60,-48,-54,76,302,378,394,420,412,32,20,28,46,14,36,1036,1078,1068,1080,1080,1048,30,56,34,24,44,10,4,-6,-6,20,150,186,26,48,26,-8,16,-4,24,146,138,148,138,158,,,52,22,,,54,57,1626,1723
60,61,57,52,32,29,53,20,14,-8,25,10,17,50,42,7,-24,-49,44,-11,-70,-15,-21,-14,-13,41,138,216,275,289,290,-2,-23,-19,-28,-20,-23,76,608,803,923,957,958,53,49,64,41,47,37,1617,1650,1643,1644,1634,1570,46,48,48,60,35,30,39,15,24,18,250,400,42,43,32,19,28,35,50,473,511,490,488,533,,,61,57,,,54,71,2122,2221
80,80,42,46,46,26,58,28,34,4,0,8,-2,56,44,20,-24,-34,132,4,-42,-4,-2,-6,12,44,178,270,412,536,608,8,-6,-26,-24,-12,-4,72,1056,1492,1742,1806,1888,42,42,52,56,36,48,2428,2476,2410,2396,2420,2336,60,64,46,64,58,40,36,28,28,32,430,756,38,56,34,56,76,62,38,1138,1232,1224,1198,1346,,,72,70,,,77,86,2639,2746
100,69,69,56,77,194,261,47,32,33,47,85,96,86,69,41,-32,-29,486,12,-33,7,11,19,26,62,195,374,668,986,1087,1,11,-6,-9,-4,10,98,1793,2719,3225,3404,3481,71,73,91,64,60,60,3795,3718,3591,3534,3528,3330,68,73,70,83,69,67,58,34,46,89,757,1453,86,63,68,65,70,49,47,2490,2755,2698,2594,2934,,,85,73,,,88,102,3071,3228
120,86,67,78,292,744,993,51,20,24,79,226,322,65,65,24,-21,-30,1044,27,-54,12,9,28,39,78,215,478,1053,1672,1893,16,4,16,6,4,43,127,2754,4413,5319,5684,5820,82,88,70,91,132,145,5910,5779,5384,5278,5223,4952,96,77,73,66,92,95,52,61,62,93,1224,2479,82,77,72,50,109,116,66,4398,5066,5002,4821,5406,,,101,96,,,133,142,3749,3962
140,106,114,156,1132,2399,2870,82,54,79,227,688,989,116,93,50,-39,-31,2015,18,-46,43,49,95,118,91,304,797,1982,3254,3741,62,49,42,40,92,109,171,4581,7213,8606,9150,9384,85,81,95,160,275,360,9136,8928,8450,8174,8021,7619,107,123,119,114,180,204,90,79,79,161,2181,4260,84,122,115,121,190,194,107,7350,8667,8574,8319,9303,,,158,138,,,185.5,189.5,4737.5,4994.5
160,173,281,1343,4500,6536,6953,117,134,284,1025,2097,2496,170,131,89,-25,-3,3530,93,-37,120,178,261,264,148,446,1494,3723,6022,6742,95,114,118,144,281,348,258,7535,11407,13510,14226,14509,156,131,168,309,634,731,13173,12993,12324,12062,11870,11298,162,167,165,216,353,378,153,151,140,287,3943,7073,166,175,164,221,432,431,189,11479,13936,13651,13148,14701,,,197,185,,,256,251,6048,6442
180,254.5,4358.5,10228.5,14972.5,16764.5,16220.5,169.5,809.5,3252.5,4954.5,6150.5,6093.5,230.5,198.5,124.5,-24.5,11.5,7354.5,135.5,-10.5,493.5,615.5,734.5,681.5,215.5,892.5,3241.5,7085.5,10443.5,11547.5,142.5,201.5,832.5,1198.5,1668.5,1689.5,461.5,13337.5,18069.5,20648.5,21619.5,21910.5,166.5,172.5,460.5,1073.5,1657.5,1557.5,18062.5,18161.5,17801.5,17671.5,17432.5,16555.5,205.5,230.5,329.5,580.5,891.5,831.5,210.5,231.5,237.5,774.5,8907.5,13649.5,199.5,219.5,332.5,867.5,1525.5,1274.5,265.5,18981.5,22825.5,22260.5,21075.5,23331.5,,,275.5,261.5,,,354.5,374.5,8152.5,8714.5
200,388.5,19104.5,28104.5,32775.5,33507.5,31318.5,233.5,4489.5,10160.5,11737.5,12144.5,11177.5,296.5,274.5,164.5,-23.5,43.5,17618.5,221.5,-5.5,1912.5,1915.5,1845.5,1450.5,274.5,1395.5,5286.5,11659.5,17049.5,18406.5,236.5,1495.5,5184.5,5831.5,5933.5,5211.5,800.5,24680.5,30881.5,33677.5,34045.5,33652.5,219.5,490.5,2370.5,3883.5,4394.5,3712.5,22516.5,23661.5,24491.5,25361.5,24953.5,23888.5,265.5,341.5,731.5,1361.5,1812.5,1572.5,319.5,300.5,373.5,1824.5,18651.5,25612.5,285.5,320.5,1234.5,3454.5,4427.5,3363.5,387.5,29719.5,37681.5,35591.5,33129.5,36166.5,,,369.5,341.5,,,508.5,504.5,11222.5,11982.5
220,657.5,42678.5,50285.5,52925.5,52278.5,48354.5,405.5,12729.5,19567.5,20184.5,19085.5,16655.5,432.5,406.5,281.5,-12.5,90.5,30332.5,347.5,93.5,4481.5,4208.5,3544.5,2469.5,410.5,2229.5,8153.5,16975.5,24134.5,26113.5,369.5,6817.5,13357.5,13418.5,12569.5,10228.5,1384.5,37724.5,46914.5,51379.5,52309.5,52321.5,326.5,1157.5,5590.5,8182.5,8276.5,6867.5,28295.5,29562.5,31506.5,34025.5,33866.5,32805.5,385.5,560.5,1366.5,2529.5,3040.5,2506.5,466.5,484.5,594.5,3573.5,32799.5,41598.5,402.5,573.5,3467.5,8382.5,9196.5,6681.5,598.5,36541.5,59461.5,55955.5,51518.5,54813.5,,,504.5,516.5,,,697.5,708.5,15551.5,16571.5
240,994,71838,77008,77686,74910,68066,574,24668,31513,30635,27912,23207,587,540,408,11,189,48027,513,374,7799,7018,5611,3734,575,3333,12119,24507,33874,36285,540,16393,25265,24508,21928,16805,1802,53428,67694,73249,74455,73490,437,2377,10449,14023,13264,10469,35785,38186,42656,47930,47965,46240,559,854,2174,3768,4343,3435,676,660,819,4899,50967,64001,551,1099,7367,15699,15625,10945,868,38198,79318,82165,75732,79275,,,681,663,,,912.5,915.5,20998.5,22350.5
