time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,0.011,0.02,0.021,0.026,0.012,-0.004,-0.006,-0.006,-0.009,-0.002,-0.004,-0.00055,0.006,-0.00045,-0.005,-0.009,0.009,0.005,0.003,-0.003,-0.01,-0.009,0.003,-0.002,0.014,0.014,-0.005,0.007,-0.007,-0.004,0.004,0.007,0.00055,-0.00095,0.016,0.011,0.003,0.011,-0.002,-0.004,0.004,-0.004,0.002,0.004,0.01,0.014,0.002,0.039,0.009,0.00075,-0.003,0.002,0.00025,-0.004,0.002,0.005,0.009,0.018,0.00055,-0.00095,0.001,0.006,-0.007,0.002,0.02,0.003,-0.003,0.006,0.004,5e-05,-0.003,0.034,0.00075,0.025,0.033,0.012,-0.00075,-0.002,,,0.003,0.004,,,0.02,0.022,0.037,0.024
20,0.016,0.018,0.01,0.011,0.007,0.007,0.011,0.006,0.009,0.012,0.012,0.015,0.01,0.012,0.008,0.009,0.013,0.014,0.009,0.009,0.008,0.011,0.012,0.011,0.016,0.013,0.007,0.009,0.007,0.008,0.01,0.01,0.009,0.01,0.009,0.014,0.006,0.01,0.007,0.01,0.009,0.007,0.009,0.01,0.013,0.012,0.009,0.012,0.01,0.007,0.008,0.012,0.012,0.008,0.008,0.01,0.01,0.013,0.01,0.01,0.011,0.012,0.008,0.014,0.01,0.014,0.012,0.014,0.011,0.011,0.011,0.021,0.011,0.014,0.014,0.014,0.012,0.012,,,0.019,0.017,,,0.018,0.022,0.028,0.029
40,0.019,0.016,0.011,0.015,0.009,0.008,0.011,0.009,0.011,0.012,0.014,0.016,0.011,0.013,0.01,0.011,0.014,0.015,0.008,0.01,0.01,0.011,0.013,0.012,0.015,0.014,0.008,0.01,0.008,0.009,0.008,0.011,0.01,0.012,0.011,0.016,0.008,0.011,0.01,0.012,0.01,0.01,0.011,0.011,0.012,0.018,0.01,0.014,0.012,0.011,0.011,0.013,0.012,0.012,0.011,0.012,0.011,0.012,0.012,0.013,0.013,0.014,0.013,0.016,0.012,0.014,0.013,0.016,0.012,0.013,0.014,0.021,0.015,0.016,0.016,0.017,0.014,0.016,,,0.021,0.02,,,0.024,0.027,0.032,0.033
60,0.024,0.021,0.017,0.019,0.015,0.013,0.017,0.015,0.017,0.017,0.021,0.021,0.019,0.019,0.015,0.016,0.018,0.018,0.014,0.013,0.015,0.016,0.019,0.019,0.019,0.017,0.014,0.015,0.015,0.014,0.016,0.015,0.014,0.017,0.016,0.022,0.015,0.015,0.016,0.016,0.015,0.013,0.016,0.016,0.017,0.018,0.014,0.018,0.016,0.014,0.014,0.038,0.016,0.015,0.016,0.016,0.017,0.017,0.018,0.018,0.02,0.022,0.019,0.023,0.018,0.021,0.02,0.022,0.028,0.021,0.019,0.028,0.024,0.022,0.023,0.022,0.021,0.022,,,0.029,0.026,,,0.034,0.037,0.041,0.044
80,0.035,0.03,0.027,0.028,0.026,0.025,0.027,0.025,0.026,0.028,0.028,0.031,0.031,0.03,0.029,0.028,0.03,0.03,0.021,0.023,0.024,0.024,0.028,0.027,0.031,0.026,0.024,0.025,0.024,0.024,0.024,0.025,0.025,0.028,0.027,0.033,0.025,0.025,0.023,0.026,0.023,0.021,0.026,0.025,0.026,0.03,0.025,0.028,0.022,0.02,0.02,0.022,0.023,0.019,0.027,0.029,0.029,0.034,0.029,0.03,0.035,0.036,0.032,0.036,0.035,0.034,0.032,0.035,0.032,0.036,0.034,0.039,0.039,0.035,0.035,0.035,0.032,0.031,,,0.045,0.039,,,0.052,0.054,0.057,0.062
100,0.054,0.049,0.045,0.047,0.045,0.044,0.044,0.04,0.041,0.042,0.045,0.049,0.053,0.052,0.052,0.046,0.046,0.046,0.038,0.039,0.042,0.04,0.045,0.042,0.048,0.045,0.042,0.042,0.039,0.037,0.042,0.043,0.044,0.044,0.042,0.051,0.043,0.039,0.036,0.041,0.034,0.031,0.041,0.042,0.041,0.042,0.039,0.041,0.031,0.029,0.027,0.027,0.026,0.022,0.046,0.048,0.046,0.046,0.05,0.051,0.057,0.058,0.054,0.056,0.055,0.061,0.054,0.055,0.054,0.049,0.05,0.059,0.066,0.055,0.053,0.052,0.047,0.048,,,0.074,0.063,,,0.086,0.09,0.085,0.095
120,0.089,0.084,0.078,0.08,0.076,0.075,0.077,0.071,0.072,0.072,0.071,0.079,0.088,0.086,0.08,0.08,0.077,0.078,0.063,0.068,0.07,0.069,0.076,0.074,0.079,0.078,0.071,0.069,0.065,0.062,0.072,0.072,0.074,0.074,0.076,0.082,0.077,0.071,0.061,0.071,0.053,0.05,0.068,0.07,0.069,0.069,0.064,0.067,0.045,0.039,0.036,0.039,0.034,0.032,0.08,0.082,0.082,0.079,0.082,0.082,0.099,0.099,0.091,0.096,0.092,0.106,0.087,0.093,0.092,0.084,0.087,0.094,0.111,0.084,0.081,0.078,0.084,0.07,,,0.124,0.104,,,0.146,0.148,0.137,0.149
140,0.148,0.141,0.136,0.132,0.132,0.13,0.124,0.12,0.118,0.121,0.116,0.12,0.153,0.149,0.148,0.14,0.14,0.135,0.114,0.123,0.13,0.12,0.123,0.12,0.141,0.134,0.126,0.122,0.116,0.11,0.126,0.129,0.128,0.13,0.128,0.135,0.137,0.12,0.098,0.102,0.128,0.08,0.113,0.116,0.116,0.111,0.106,0.107,0.066,0.06,0.052,0.055,0.105,0.062,0.138,0.141,0.138,0.137,0.14,0.133,0.174,0.168,0.165,0.168,0.164,0.165,0.146,0.151,0.153,0.15,0.15,0.148,0.185,0.134,0.124,0.126,0.116,0.111,,,0.213,0.175,,,0.235,0.234,0.22,0.241
160,0.239,0.231,0.223,0.222,0.218,0.212,0.21,0.205,0.201,0.199,0.19,0.194,0.254,0.241,0.246,0.232,0.231,0.222,0.193,0.204,0.215,0.203,0.208,0.208,0.226,0.227,0.214,0.208,0.194,0.183,0.218,0.225,0.227,0.222,0.215,0.226,0.239,0.201,0.166,0.173,0.137,0.129,0.193,0.206,0.192,0.188,0.176,0.177,0.101,0.09,0.08,0.078,0.07,0.065,0.229,0.234,0.231,0.221,0.232,0.226,0.274,0.271,0.261,0.269,0.266,0.248,0.238,0.243,0.246,0.237,0.242,0.237,0.259,0.216,0.198,0.194,0.182,0.185,,,0.308,0.27,,,0.339,0.335,0.318,0.336
180,0.326,0.318,0.318,0.307,0.307,0.299,0.299,0.304,0.295,0.284,0.277,0.277,0.345,0.338,0.346,0.326,0.326,0.319,0.304,0.313,0.321,0.307,0.305,0.295,0.321,0.328,0.309,0.304,0.286,0.276,0.312,0.323,0.316,0.313,0.301,0.31,0.326,0.298,0.258,0.249,0.21,0.202,0.271,0.289,0.282,0.266,0.256,0.249,0.151,0.143,0.123,0.113,0.102,0.118,0.347,0.328,0.334,0.313,0.326,0.306,0.37,0.371,0.36,0.362,0.359,0.327,0.324,0.333,0.336,0.326,0.325,0.316,0.344,0.309,0.283,0.282,0.269,0.25,,,0.408,0.363,,,0.441,0.436,0.413,0.43
