time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,30.0,48.0,38.0,43.0,34.0,36.0,13.0,27.0,30.0,27.0,33.0,31.0,44.0,41.0,47.0,39.0,47.0,47.0,35.0,31.0,31.0,42.0,41.0,42.0,40.0,50.0,46.0,58.0,55.0,54.0,38.0,42.0,35.0,41.0,36.0,40.0,37.0,42.0,37.0,50.0,42.0,49.0,18.0,39.0,27.0,29.0,34.0,38.0,25.0,41.0,39.0,35.0,44.0,32.0,6.0,9.0,16.0,16.0,22.0,15.0,9.0,36.0,34.0,22.0,38.0,34.0,20.0,31.0,28.0,32.0,35.0,24.0,,,6.0,26.0,,,16.5,19.5,96.5,52.5
20,14.5,19.5,21.5,28.5,20.5,25.5,-2.5,12.5,17.5,14.5,19.5,18.5,17.5,32.5,26.5,28.5,28.5,28.5,14.5,25.5,25.5,19.5,26.5,22.5,19.5,31.5,39.5,36.5,37.5,45.5,18.5,28.5,24.5,28.5,22.5,23.5,20.5,35.5,24.5,42.5,36.5,31.5,14.5,33.5,26.5,28.5,32.5,38.5,23.5,29.5,32.5,34.5,32.5,33.5,-3.5,13.5,-2.5,9.5,7.5,11.5,5.5,26.5,27.5,17.5,24.5,26.5,11.5,22.5,14.5,14.5,18.5,19.5,,,23.5,16.5,,,17.0,30.0,90.0,63.0
40,19.5,31.5,19.5,26.5,20.5,27.5,-0.5,14.5,22.5,18.5,15.5,23.5,24.5,25.5,33.5,28.5,28.5,34.5,23.5,23.5,22.5,29.5,25.5,25.5,24.5,34.5,28.5,45.5,37.5,42.5,17.5,26.5,24.5,26.5,31.5,26.5,17.5,29.5,28.5,43.5,38.5,33.5,19.5,33.5,28.5,30.5,30.5,32.5,18.5,31.5,37.5,36.5,32.5,24.5,0.5,13.5,12.5,4.5,10.5,11.5,10.5,36.5,30.5,23.5,24.5,28.5,11.5,24.5,14.5,19.5,19.5,19.5,,,24.5,19.5,,,19.5,28.5,110.5,72.5
60,21.0,25.0,28.0,28.0,20.0,25.0,2.0,15.0,21.0,21.0,10.0,20.0,25.0,33.0,33.0,35.0,31.0,34.0,13.0,26.0,28.0,26.0,26.0,25.0,27.0,36.0,32.0,49.0,50.0,41.0,13.0,25.0,27.0,31.0,25.0,23.0,23.0,24.0,30.0,40.0,40.0,34.0,30.0,33.0,27.0,33.0,33.0,36.0,31.0,34.0,34.0,32.0,28.0,34.0,6.0,10.0,8.0,4.0,11.0,8.0,17.0,40.0,32.0,24.0,35.0,29.0,10.0,30.0,20.0,24.0,25.0,19.0,,,45.0,21.0,,,26.0,26.0,138.0,81.0
80,22.0,28.0,18.0,28.0,23.0,35.0,13.0,24.0,22.0,22.0,22.0,23.0,27.0,36.0,27.0,35.0,32.0,42.0,25.0,21.0,30.0,28.0,24.0,29.0,21.0,37.0,30.0,60.0,55.0,55.0,23.0,33.0,28.0,34.0,30.0,28.0,22.0,29.0,29.0,48.0,53.0,40.0,26.0,35.0,35.0,30.0,39.0,34.0,18.0,37.0,35.0,34.0,47.0,35.0,4.0,17.0,6.0,8.0,13.0,12.0,23.0,51.0,29.0,27.0,38.0,22.0,14.0,31.0,17.0,25.0,23.0,24.0,,,52.0,17.0,,,23.5,35.5,162.5,92.5
100,20.5,29.5,22.5,36.5,24.5,60.5,12.5,22.5,22.5,20.5,22.5,23.5,21.5,31.5,29.5,42.5,31.5,86.5,26.5,24.5,34.5,26.5,26.5,34.5,23.5,35.5,33.5,113.5,118.5,129.5,32.5,33.5,25.5,28.5,28.5,30.5,31.5,24.5,28.5,72.5,85.5,63.5,34.5,37.5,24.5,30.5,41.5,42.5,27.5,41.5,36.5,53.5,83.5,41.5,18.5,20.5,13.5,5.5,15.5,13.5,19.5,47.5,36.5,25.5,35.5,29.5,10.5,25.5,22.5,15.5,20.5,21.5,,,55.5,24.5,,,29.5,24.5,190.5,102.5
120,24.5,26.5,19.5,48.5,31.5,135.5,16.5,25.5,28.5,33.5,32.5,44.5,30.5,37.5,28.5,76.5,48.5,208.5,39.5,23.5,36.5,27.5,27.5,62.5,23.5,35.5,49.5,274.5,295.5,334.5,48.5,31.5,29.5,36.5,49.5,58.5,33.5,37.5,29.5,136.5,181.5,121.5,40.5,38.5,30.5,37.5,68.5,54.5,39.5,41.5,42.5,78.5,164.5,81.5,24.5,21.5,12.5,7.5,37.5,23.5,39.5,55.5,39.5,36.5,62.5,35.5,17.5,38.5,14.5,23.5,28.5,23.5,,,82.5,24.5,,,43.5,28.5,216.5,109.5
140,17.0,22.0,22.0,73.0,49.0,314.0,29.0,14.0,38.0,26.0,29.0,62.0,20.0,36.0,34.0,138.0,86.0,491.0,51.0,24.0,51.0,37.0,44.0,121.0,31.0,33.0,57.0,666.0,677.0,734.0,52.0,29.0,39.0,57.0,87.0,96.0,31.0,36.0,35.0,308.0,393.0,251.0,55.0,41.0,30.0,35.0,122.0,90.0,35.0,51.0,48.0,166.0,365.0,147.0,30.0,24.0,6.0,7.0,77.0,40.0,43.0,82.0,49.0,41.0,119.0,35.0,22.0,43.0,18.0,17.0,35.0,22.0,,,112.0,26.0,,,56.0,29.0,249.0,132.0
160,29.0,32.0,32.0,142.0,93.0,988.0,46.0,26.0,88.0,49.0,45.0,111.0,30.0,39.0,53.0,315.0,168.0,1336.0,77.0,29.0,125.0,72.0,95.0,230.0,38.0,51.0,104.0,1686.0,1332.0,1415.0,79.0,41.0,55.0,116.0,182.0,188.0,48.0,38.0,54.0,932.0,841.0,488.0,78.0,61.0,52.0,74.0,259.0,168.0,56.0,93.0,88.0,537.0,1066.0,283.0,59.0,44.0,19.0,28.0,192.0,92.0,75.0,338.0,86.0,68.0,388.0,67.0,47.0,53.0,27.0,25.0,51.0,37.0,,,155.0,31.0,,,80.5,38.5,317.5,161.5
180,33.0,36.0,48.0,442.0,160.0,2054.0,77.0,33.0,565.0,104.0,71.0,189.0,41.0,51.0,87.0,922.0,325.0,2698.0,100.0,35.0,639.0,156.0,161.0,405.0,36.0,63.0,204.0,3292.0,2432.0,2422.0,118.0,54.0,86.0,242.0,333.0,294.0,64.0,54.0,94.0,1824.0,1355.0,833.0,115.0,81.0,77.0,131.0,506.0,286.0,86.0,548.0,297.0,1397.0,2031.0,640.0,91.0,59.0,31.0,56.0,492.0,165.0,112.0,1038.0,338.0,191.0,962.0,94.0,65.0,81.0,30.0,35.0,108.0,44.0,,,209.0,32.0,,,114.5,45.5,423.5,201.5
