time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,92.5,129.5,133.5,138.5,142.5,116.5,52.5,88.5,103.5,116.5,106.5,115.5,135.5,172.5,182.5,144.5,158.5,169.5,106.5,116.5,111.5,115.5,130.5,107.5,118.5,176.5,164.5,197.5,208.5,198.5,129.5,127.5,126.5,166.5,142.5,129.5,118.5,151.5,125.5,190.5,178.5,201.5,84.5,124.5,101.5,119.5,123.5,142.5,115.5,146.5,117.5,140.5,148.5,156.5,33.5,62.5,49.5,57.5,48.5,44.5,43.5,143.5,110.5,87.5,111.5,140.5,56.5,95.5,105.5,91.5,121.5,108.5,,,34.5,67.5,,,77.5,68.5,381.5,212.5
20,58.5,90.5,87.5,81.5,76.5,95.5,-1.5,75.5,76.5,55.5,61.5,68.5,74.5,135.5,104.5,124.5,105.5,127.5,48.5,84.5,80.5,91.5,113.5,96.5,78.5,106.5,128.5,136.5,152.5,145.5,60.5,99.5,90.5,117.5,87.5,86.5,79.5,116.5,96.5,157.5,144.5,124.5,90.5,138.5,104.5,125.5,116.5,109.5,77.5,112.5,116.5,126.5,152.5,103.5,13.5,50.5,26.5,37.5,31.5,29.5,56.5,133.5,130.5,62.5,102.5,104.5,26.5,104.5,63.5,70.5,94.5,84.5,,,103.5,92.5,,,57.0,105.0,341.0,248.0
40,39.0,71.0,65.0,69.0,61.0,61.0,-11.0,49.0,37.0,38.0,67.0,52.0,88.0,97.0,85.0,77.0,73.0,106.0,45.0,78.0,82.0,78.0,64.0,93.0,82.0,97.0,96.0,133.0,132.0,109.0,50.0,83.0,65.0,87.0,55.0,73.0,57.0,80.0,88.0,135.0,137.0,97.0,49.0,109.0,82.0,83.0,93.0,116.0,71.0,108.0,89.0,102.0,119.0,73.0,-6.0,24.0,20.0,0.0,22.0,13.0,30.0,128.0,103.0,64.0,76.0,95.0,14.0,88.0,51.0,49.0,68.0,84.0,,,109.0,54.0,,,65.0,64.0,428.0,251.0
60,54.5,77.5,74.5,91.5,89.5,102.5,12.5,60.5,62.5,60.5,46.5,83.5,84.5,117.5,102.5,98.5,104.5,127.5,72.5,66.5,68.5,82.5,90.5,87.5,81.5,123.5,92.5,167.5,149.5,142.5,62.5,112.5,121.5,115.5,79.5,114.5,107.5,117.5,102.5,148.5,158.5,131.5,96.5,136.5,113.5,108.5,129.5,125.5,71.5,133.5,106.5,109.5,129.5,110.5,14.5,54.5,20.5,23.5,58.5,47.5,51.5,135.5,130.5,96.5,109.5,118.5,69.5,111.5,82.5,76.5,98.5,75.5,,,160.5,97.5,,,58.0,110.0,510.0,310.0
80,49.0,62.0,60.0,74.0,65.0,109.0,18.0,49.0,57.0,36.0,40.0,65.0,54.0,95.0,114.0,109.0,86.0,158.0,62.0,66.0,81.0,70.0,88.0,106.0,49.0,102.0,122.0,211.0,193.0,208.0,82.0,90.0,79.0,92.0,95.0,78.0,75.0,117.0,112.0,150.0,194.0,133.0,89.0,118.0,81.0,107.0,122.0,115.0,101.0,119.0,92.0,135.0,180.0,113.0,20.0,45.0,2.0,15.0,37.0,38.0,68.0,145.0,98.0,68.0,98.0,96.0,60.0,99.0,58.0,51.0,77.0,78.0,,,196.0,74.0,,,103.5,91.5,653.5,374.5
100,47.5,92.5,94.5,120.5,83.5,223.5,10.5,64.5,70.5,54.5,75.5,76.5,95.5,114.5,98.5,157.5,94.5,340.5,109.5,85.5,99.5,72.5,89.5,130.5,86.5,140.5,142.5,484.5,488.5,546.5,115.5,115.5,111.5,115.5,106.5,109.5,116.5,130.5,102.5,271.5,334.5,229.5,130.5,145.5,111.5,114.5,165.5,123.5,109.5,124.5,123.5,179.5,308.5,169.5,49.5,57.5,44.5,34.5,76.5,56.5,96.5,212.5,133.5,102.5,146.5,99.5,65.5,132.5,78.5,102.5,104.5,99.5,,,265.5,83.5,,,116.5,83.5,709.5,397.5
120,61.0,102.0,71.0,176.0,120.0,562.0,64.0,52.0,113.0,88.0,68.0,152.0,102.0,115.0,116.0,267.0,194.0,861.0,160.0,80.0,147.0,114.0,118.0,246.0,88.0,140.0,170.0,1150.0,1262.0,1391.0,177.0,111.0,116.0,150.0,162.0,212.0,112.0,134.0,117.0,531.0,775.0,502.0,169.0,152.0,109.0,133.0,253.0,221.0,144.0,150.0,158.0,325.0,667.0,333.0,94.0,71.0,47.0,38.0,147.0,94.0,142.0,221.0,168.0,129.0,249.0,135.0,116.0,154.0,85.0,99.0,125.0,103.0,,,335.0,91.0,,,178.0,90.0,849.0,468.0
140,91.0,91.0,93.0,305.0,198.0,1329.0,111.0,80.0,166.0,136.0,122.0,241.0,119.0,139.0,146.0,606.0,355.0,2077.0,200.0,116.0,205.0,169.0,224.0,516.0,134.0,169.0,231.0,2799.0,2804.0,3096.0,218.0,136.0,158.0,222.0,355.0,431.0,146.0,139.0,134.0,1378.0,1667.0,1091.0,241.0,191.0,153.0,184.0,531.0,394.0,162.0,187.0,220.0,723.0,1606.0,640.0,178.0,128.0,68.0,76.0,335.0,213.0,199.0,376.0,202.0,199.0,514.0,194.0,130.0,165.0,87.0,78.0,161.0,121.0,,,467.0,102.0,,,245.0,106.0,1020.0,536.0
160,83.0,102.0,90.0,581.0,347.0,4198.0,155.0,85.0,385.0,194.0,164.0,411.0,117.0,151.0,198.0,1325.0,669.0,5551.0,265.0,111.0,533.0,314.0,347.0,937.0,136.0,206.0,401.0,6986.0,5485.0,5777.0,319.0,163.0,191.0,472.0,737.0,714.0,203.0,137.0,224.0,3869.0,3461.0,2025.0,318.0,217.0,195.0,294.0,1071.0,675.0,212.0,386.0,349.0,2254.0,4459.0,1156.0,217.0,148.0,94.0,86.0,788.0,365.0,294.0,1471.0,356.0,307.0,1670.0,262.0,167.0,212.0,89.0,92.0,194.0,144.0,,,618.0,107.0,,,348.5,138.5,1278.5,656.5
180,88.5,117.5,148.5,1883.5,644.5,8451.5,267.5,125.5,2408.5,399.5,260.5,753.5,149.5,167.5,311.5,3964.5,1347.5,11062.5,390.5,152.5,2642.5,630.5,632.5,1659.5,166.5,266.5,816.5,13540.5,9976.5,9844.5,456.5,192.5,354.5,953.5,1334.5,1185.5,243.5,195.5,350.5,7468.5,5549.5,3403.5,450.5,290.5,285.5,520.5,2078.5,1151.5,311.5,2333.5,1259.5,5808.5,8277.5,2698.5,357.5,220.5,99.5,222.5,2084.5,681.5,427.5,4313.5,1409.5,788.5,3973.5,381.5,246.5,326.5,92.5,111.5,436.5,157.5,,,816.5,113.5,,,504.0,191.0,1725.0,841.0
