time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,73.0,47.0,47.0,43.0,47.0,28.0,57.0,41.0,38.0,34.0,33.0,33.0,85.0,71.0,56.0,53.0,45.0,63.0,73.0,50.0,37.0,55.0,46.0,50.0,100.0,71.0,57.0,63.0,58.0,68.0,72.0,39.0,47.0,44.0,52.0,43.0,90.0,60.0,59.0,53.0,43.0,44.0,74.0,45.0,53.0,36.0,48.0,41.0,76.0,48.0,45.0,38.0,36.0,36.0,63.0,48.0,46.0,54.0,40.0,37.0,53.0,37.0,43.0,41.0,40.0,34.0,63.0,34.0,38.0,36.0,44.0,33.0,74.0,58.0,41.0,61.0,30.0,39.0,62.0,36.0,44.0,44.0,27.0,39.0,,,50.0,40.0,,,40.0,45.0,549.0,605.0
20,55.0,22.0,33.0,8.0,21.0,20.0,51.0,25.0,14.0,27.0,25.0,21.0,70.0,45.0,38.0,45.0,30.0,50.0,66.0,29.0,33.0,45.0,24.0,46.0,86.0,70.0,47.0,52.0,50.0,55.0,70.0,39.0,44.0,44.0,31.0,35.0,77.0,43.0,55.0,39.0,42.0,42.0,71.0,41.0,43.0,28.0,51.0,22.0,73.0,40.0,37.0,33.0,32.0,39.0,61.0,44.0,36.0,47.0,36.0,47.0,52.0,26.0,38.0,32.0,27.0,30.0,54.0,35.0,32.0,23.0,16.0,39.0,72.0,36.0,43.0,37.0,28.0,33.0,51.0,28.0,34.0,39.0,36.0,32.0,,,30.0,54.0,,,27.0,44.0,596.0,621.0
40,58.0,36.0,29.0,18.0,18.0,33.0,42.0,21.0,26.0,33.0,30.0,32.0,79.0,56.0,37.0,46.0,37.0,43.0,59.0,26.0,37.0,37.0,20.0,37.0,86.0,65.0,43.0,59.0,46.0,52.0,59.0,33.0,35.0,30.0,29.0,25.0,73.0,36.0,43.0,29.0,43.0,47.0,57.0,41.0,40.0,34.0,36.0,38.0,55.0,35.0,24.0,36.0,36.0,29.0,68.0,26.0,39.0,37.0,44.0,34.0,59.0,26.0,39.0,30.0,30.0,27.0,55.0,26.0,37.0,33.0,7.0,22.0,73.0,48.0,44.0,37.0,32.0,41.0,72.0,47.0,44.0,42.0,34.0,34.0,,,31.0,56.0,,,44.0,41.0,811.0,862.0
60,50.0,31.0,20.0,13.0,24.0,17.0,54.0,9.0,21.0,22.0,15.0,23.0,78.0,52.0,41.0,29.0,28.0,39.0,48.0,34.0,30.0,39.0,24.0,48.0,85.0,62.0,45.0,45.0,35.0,47.0,52.0,35.0,34.0,31.0,12.0,22.0,68.0,43.0,40.0,27.0,33.0,36.0,57.0,40.0,43.0,16.0,34.0,21.0,72.0,42.0,38.0,28.0,31.0,23.0,49.0,27.0,31.0,36.0,28.0,41.0,52.0,31.0,32.0,25.0,21.0,36.0,45.0,16.0,31.0,36.0,22.0,47.0,57.0,47.0,32.0,39.0,34.0,39.0,62.0,41.0,31.0,35.0,26.0,26.0,,,32.0,50.0,,,48.0,61.0,1079.0,1152.0
80,65.0,31.0,37.0,20.0,25.0,31.0,60.0,27.0,28.0,33.0,29.0,45.0,76.0,58.0,50.0,35.0,45.0,43.0,63.0,28.0,34.0,44.0,30.0,43.0,100.0,62.0,50.0,52.0,58.0,64.0,64.0,47.0,45.0,45.0,39.0,32.0,87.0,52.0,50.0,30.0,41.0,51.0,69.0,36.0,35.0,28.0,34.0,35.0,71.0,42.0,40.0,39.0,24.0,38.0,54.0,39.0,23.0,38.0,38.0,48.0,62.0,35.0,45.0,42.0,36.0,28.0,53.0,27.0,29.0,31.0,27.0,31.0,72.0,47.0,40.0,35.0,38.0,44.0,66.0,49.0,43.0,42.0,31.0,36.0,,,36.0,62.0,,,61.5,59.5,1326.5,1430.5
100,63.0,41.0,34.0,33.0,32.0,28.0,53.0,30.0,19.0,21.0,29.0,45.0,76.0,64.0,38.0,32.0,38.0,69.0,60.0,34.0,36.0,27.0,29.0,61.0,93.0,63.0,54.0,41.0,78.0,139.0,64.0,40.0,36.0,42.0,44.0,45.0,79.0,51.0,45.0,45.0,48.0,73.0,68.0,40.0,33.0,32.0,36.0,57.0,67.0,38.0,41.0,28.0,35.0,72.0,69.0,34.0,38.0,38.0,38.0,39.0,55.0,28.0,28.0,25.0,30.0,43.0,54.0,24.0,30.0,24.0,32.0,33.0,80.0,52.0,42.0,36.0,37.0,37.0,69.0,33.0,39.0,33.0,40.0,29.0,,,46.0,46.0,,,63.0,70.0,1582.0,1705.0
120,80.5,54.5,46.5,40.5,56.5,92.5,74.5,44.5,43.5,41.5,47.5,83.5,93.5,63.5,59.5,63.5,68.5,160.5,77.5,45.5,47.5,41.5,66.5,147.5,117.5,78.5,74.5,83.5,146.5,394.5,73.5,57.5,53.5,44.5,58.5,98.5,104.5,68.5,62.5,58.5,72.5,182.5,83.5,56.5,47.5,45.5,57.5,104.5,101.5,47.5,58.5,45.5,56.5,171.5,68.5,43.5,54.5,46.5,63.5,96.5,71.5,48.5,49.5,53.5,44.5,76.5,76.5,39.5,45.5,29.5,38.5,53.5,82.5,54.5,62.5,59.5,56.5,101.5,73.5,50.5,46.5,42.5,56.5,71.5,,,59.5,66.5,,,83.5,82.5,1891.5,2038.5
140,99.5,52.5,74.5,46.5,79.5,227.5,94.5,74.5,51.5,41.5,71.5,168.5,113.5,77.5,70.5,74.5,124.5,383.5,88.5,55.5,63.5,64.5,114.5,344.5,139.5,102.5,93.5,108.5,303.5,932.5,97.5,62.5,66.5,70.5,102.5,252.5,130.5,88.5,82.5,86.5,125.5,417.5,90.5,73.5,70.5,67.5,85.5,219.5,99.5,76.5,75.5,60.5,104.5,375.5,83.5,52.5,57.5,69.5,79.5,200.5,84.5,53.5,64.5,51.5,67.5,131.5,76.5,59.5,56.5,51.5,57.5,53.5,92.5,55.5,57.5,51.5,76.5,227.5,74.5,64.5,59.5,61.5,73.5,157.5,,,70.5,85.5,,,87.0,82.0,2334.0,2524.0
160,116.5,79.5,82.5,95.5,247.5,572.5,108.5,77.5,82.5,91.5,186.5,403.5,132.5,102.5,81.5,109.5,311.5,889.5,103.5,83.5,81.5,103.5,315.5,765.5,162.5,123.5,123.5,217.5,796.5,1956.5,101.5,84.5,83.5,92.5,179.5,521.5,156.5,116.5,121.5,157.5,377.5,915.5,107.5,87.5,89.5,86.5,161.5,482.5,121.5,99.5,99.5,122.5,411.5,936.5,100.5,77.5,69.5,84.5,133.5,422.5,100.5,79.5,80.5,81.5,119.5,257.5,95.5,71.5,74.5,71.5,65.5,91.5,99.5,66.5,63.5,78.5,125.5,571.5,82.5,76.5,52.5,62.5,107.5,372.5,,,100.5,107.5,,,136.5,141.5,2913.5,3182.5
180,151.0,113.0,245.0,1001.0,1766.0,2170.0,130.0,123.0,182.0,780.0,1141.0,1523.0,183.0,159.0,313.0,982.0,1834.0,2602.0,125.0,103.0,221.0,861.0,1677.0,2216.0,231.0,236.0,604.0,1606.0,2785.0,4050.0,139.0,113.0,138.0,287.0,596.0,1137.0,191.0,169.0,310.0,970.0,1543.0,1882.0,131.0,114.0,124.0,254.0,547.0,1076.0,164.0,153.0,308.0,941.0,1904.0,2393.0,126.0,102.0,129.0,265.0,739.0,1459.0,139.0,113.0,130.0,271.0,533.0,759.0,111.0,97.0,92.0,110.0,140.0,194.0,119.0,90.0,110.0,456.0,819.0,1487.0,107.0,96.0,86.0,140.0,444.0,898.0,,,113.0,137.0,,,186.5,169.5,3798.5,4209.5
200,239.0,269.0,1267.0,3926.0,5128.0,5075.0,193.0,201.0,868.0,2804.0,3326.0,3687.0,248.0,326.0,1349.0,4004.0,5202.0,5616.0,174.0,196.0,931.0,3337.0,4500.0,4762.0,383.0,609.0,2432.0,5032.0,6373.0,7032.0,194.0,177.0,480.0,1467.0,2068.0,2560.0,281.0,334.0,1191.0,2893.0,3533.0,3222.0,178.0,181.0,416.0,1342.0,1927.0,2163.0,260.0,334.0,1166.0,2967.0,4306.0,4458.0,174.0,160.0,287.0,1102.0,2527.0,3430.0,194.0,156.0,327.0,1055.0,1508.0,1759.0,167.0,147.0,187.0,403.0,494.0,549.0,155.0,147.0,497.0,2853.0,3498.0,3614.0,136.0,136.0,220.0,1172.0,2180.0,2362.0,,,172.0,197.0,,,290.5,255.5,5182.5,5784.5
