time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,118.0,73.0,44.0,64.0,59.0,49.0,79.0,50.0,59.0,36.0,45.0,49.0,168.0,122.0,94.0,97.0,108.0,92.0,132.0,61.0,81.0,83.0,82.0,94.0,219.0,135.0,119.0,117.0,121.0,111.0,126.0,83.0,78.0,65.0,98.0,89.0,155.0,92.0,110.0,96.0,76.0,85.0,147.0,77.0,93.0,59.0,106.0,80.0,162.0,90.0,73.0,75.0,64.0,79.0,133.0,81.0,93.0,78.0,93.0,80.0,123.0,75.0,73.0,76.0,77.0,72.0,106.0,67.0,76.0,72.0,77.0,74.0,125.0,113.0,87.0,93.0,64.0,65.0,127.0,82.0,97.0,96.0,52.0,84.0,,,77.0,112.0,,,67.0,82.0,1040.0,1168.0
20,70.0,47.0,39.0,23.0,42.0,48.0,102.0,33.0,29.0,45.0,23.0,44.0,128.0,93.0,62.0,61.0,57.0,95.0,122.0,58.0,71.0,66.0,45.0,49.0,153.0,124.0,113.0,88.0,88.0,113.0,128.0,67.0,56.0,55.0,63.0,53.0,148.0,78.0,96.0,65.0,85.0,63.0,116.0,88.0,69.0,66.0,67.0,58.0,143.0,97.0,84.0,40.0,62.0,55.0,126.0,59.0,68.0,78.0,59.0,68.0,101.0,61.0,65.0,47.0,39.0,44.0,86.0,48.0,40.0,41.0,50.0,60.0,125.0,66.0,52.0,81.0,43.0,75.0,106.0,65.0,55.0,68.0,73.0,55.0,,,52.0,109.0,,,102.0,90.0,1173.0,1249.0
40,87.0,21.0,52.0,53.0,27.0,27.0,66.0,19.0,33.0,23.0,12.0,22.0,145.0,89.0,64.0,52.0,50.0,51.0,99.0,27.0,39.0,46.0,13.0,62.0,160.0,91.0,82.0,76.0,62.0,86.0,94.0,33.0,47.0,35.0,42.0,37.0,110.0,57.0,71.0,47.0,44.0,52.0,109.0,49.0,56.0,37.0,58.0,37.0,118.0,56.0,55.0,40.0,33.0,43.0,78.0,34.0,37.0,52.0,53.0,58.0,84.0,28.0,39.0,38.0,47.0,42.0,75.0,26.0,15.0,45.0,43.0,62.0,122.0,65.0,63.0,49.0,60.0,33.0,102.0,49.0,60.0,37.0,46.0,37.0,,,74.0,93.0,,,81.5,81.5,1596.5,1676.5
60,100.5,37.5,61.5,34.5,37.5,34.5,98.5,47.5,41.5,51.5,38.5,57.5,152.5,103.5,90.5,64.5,49.5,83.5,100.5,49.5,73.5,49.5,49.5,60.5,163.5,126.5,107.5,83.5,87.5,105.5,105.5,74.5,59.5,53.5,47.5,56.5,145.5,107.5,73.5,84.5,77.5,80.5,110.5,64.5,82.5,57.5,74.5,66.5,147.5,86.5,56.5,43.5,50.5,79.5,110.5,62.5,57.5,66.5,49.5,73.5,103.5,44.5,75.5,56.5,63.5,66.5,89.5,55.5,24.5,52.5,55.5,69.5,165.5,96.5,88.5,87.5,67.5,79.5,123.5,61.5,57.5,73.5,56.5,58.5,,,75.5,130.5,,,97.5,104.5,2107.5,2226.5
80,117.0,71.0,76.0,61.0,54.0,54.0,106.0,44.0,36.0,48.0,76.0,66.0,160.0,124.0,87.0,71.0,68.0,82.0,125.0,76.0,64.0,68.0,48.0,109.0,193.0,136.0,102.0,109.0,117.0,136.0,132.0,78.0,70.0,77.0,93.0,75.0,181.0,98.0,115.0,75.0,91.0,108.0,135.0,90.0,113.0,57.0,70.0,80.0,168.0,93.0,68.0,78.0,55.0,91.0,114.0,68.0,90.0,55.0,60.0,82.0,123.0,90.0,65.0,74.0,66.0,81.0,110.0,58.0,59.0,53.0,55.0,94.0,140.0,92.0,86.0,78.0,81.0,72.0,128.0,69.0,62.0,75.0,80.0,77.0,,,81.0,118.0,,,99.0,112.0,2600.0,2748.0
100,127.5,69.5,71.5,61.5,45.5,85.5,105.5,63.5,65.5,58.5,57.5,80.5,209.5,104.5,108.5,94.5,57.5,138.5,130.5,61.5,77.5,84.5,57.5,129.5,201.5,129.5,114.5,129.5,141.5,274.5,125.5,89.5,75.5,64.5,88.5,78.5,170.5,124.5,109.5,98.5,110.5,180.5,143.5,97.5,86.5,97.5,68.5,105.5,152.5,107.5,80.5,60.5,91.5,150.5,133.5,66.5,80.5,65.5,77.5,88.5,124.5,63.5,75.5,46.5,60.5,88.5,131.5,70.5,57.5,69.5,62.5,89.5,169.5,89.5,88.5,80.5,79.5,102.5,126.5,87.5,72.5,70.5,66.5,72.5,,,91.5,123.5,,,137.0,121.0,3093.0,3315.0
120,160.5,89.5,74.5,77.5,110.5,180.5,151.5,80.5,76.5,94.5,92.5,165.5,210.5,132.5,109.5,111.5,160.5,327.5,157.5,102.5,98.5,115.5,109.5,307.5,229.5,166.5,153.5,164.5,279.5,804.5,163.5,108.5,105.5,93.5,110.5,201.5,214.5,136.5,128.5,114.5,161.5,366.5,174.5,124.5,94.5,95.5,134.5,179.5,194.5,95.5,92.5,96.5,131.5,335.5,157.5,84.5,105.5,87.5,106.5,200.5,164.5,115.5,97.5,103.5,95.5,136.5,145.5,68.5,75.5,98.5,76.5,114.5,166.5,121.5,98.5,113.5,105.5,173.5,162.5,100.5,100.5,101.5,98.5,151.5,,,102.5,148.5,,,159.0,170.0,3713.0,4000.0
140,170.5,106.5,120.5,117.5,194.5,443.5,174.5,126.5,121.5,124.5,147.5,309.5,226.5,154.5,138.5,127.5,247.5,744.5,175.5,112.5,126.5,123.5,215.5,681.5,259.5,192.5,178.5,192.5,614.5,1853.5,182.5,140.5,137.5,148.5,194.5,467.5,239.5,185.5,150.5,177.5,264.5,839.5,170.5,132.5,139.5,134.5,151.5,434.5,205.5,145.5,148.5,134.5,226.5,752.5,189.5,119.5,104.5,121.5,152.5,386.5,167.5,129.5,114.5,127.5,126.5,261.5,148.5,88.5,107.5,107.5,75.5,112.5,183.5,114.5,98.5,114.5,139.5,460.5,170.5,115.5,106.5,107.5,156.5,330.5,,,156.5,171.5,,,218.5,208.5,4544.5,4960.5
160,239.0,134.0,140.0,183.0,498.0,1152.0,202.0,164.0,151.0,193.0,377.0,831.0,261.0,210.0,171.0,218.0,636.0,1787.0,212.0,166.0,180.0,211.0,627.0,1565.0,310.0,243.0,248.0,416.0,1574.0,3879.0,208.0,173.0,166.0,167.0,353.0,1032.0,279.0,228.0,227.0,278.0,763.0,1835.0,215.0,162.0,171.0,157.0,303.0,931.0,257.0,166.0,198.0,264.0,859.0,1889.0,214.0,159.0,142.0,156.0,255.0,871.0,216.0,148.0,170.0,150.0,217.0,534.0,200.0,135.0,126.0,133.0,129.0,193.0,190.0,136.0,120.0,146.0,246.0,1145.0,167.0,153.0,145.0,121.0,216.0,749.0,,,179.0,207.0,,,270.0,308.0,5687.0,6228.0
180,304.0,246.0,513.0,2090.0,3604.0,4316.0,279.0,252.0,387.0,1602.0,2373.0,3081.0,350.0,327.0,646.0,2013.0,3700.0,5236.0,273.0,229.0,463.0,1812.0,3408.0,4466.0,449.0,468.0,1275.0,3272.0,5588.0,8062.0,290.0,252.0,267.0,580.0,1232.0,2305.0,378.0,360.0,636.0,2012.0,3129.0,3788.0,268.0,229.0,263.0,498.0,1154.0,2148.0,359.0,325.0,604.0,1922.0,3823.0,4783.0,261.0,226.0,243.0,565.0,1530.0,2912.0,275.0,240.0,252.0,590.0,1076.0,1518.0,234.0,216.0,205.0,245.0,305.0,383.0,239.0,186.0,232.0,1010.0,1741.0,3019.0,222.0,188.0,168.0,321.0,940.0,1839.0,,,265.0,291.0,,,378.5,366.5,7512.5,8279.5
