time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,0.0008,-0.004,0.004,0.01,0.013,0.014,0.012,0.005,0.019,0.008,0.018,0.012,0.01,-0.005,-0.001,0.001,0.002,0.005,0.025,0.009,0.001,0.007,0.029,0.032,0.008,-0.005,-0.007,-0.003,-0.002,0.012,0.008,-0.006,-0.002,0.004,0.002,0.011,0.009,-0.003,0.002,0.008,0.005,0.001,0.006,0.002,0.003,0.004,0.006,0.006,0.003,-0.004,-0.006,-0.004,-0.003,0.011,0.005,-0.0004,-0.004,-0.004,0.017,-0.002,0.014,0.0,-0.004,-0.004,0.004,0.012,0.011,0.008,0.004,0.01,0.023,0.006,0.014,0.013,0.008,0.022,0.002,-0.004,0.018,-0.0009,-0.005,-0.003,0.006,0.009,,,0.004,0.011,,,0.021,0.015,0.026,0.029
20,0.016,0.015,0.012,0.015,0.014,0.013,0.016,0.014,0.018,0.016,0.022,0.023,0.016,0.014,0.013,0.011,0.012,0.014,0.013,0.013,0.014,0.015,0.02,0.021,0.018,0.011,0.01,0.011,0.012,0.012,0.011,0.013,0.013,0.011,0.011,0.018,0.011,0.008,0.013,0.011,0.011,0.011,0.014,0.014,0.011,0.012,0.014,0.017,0.01,0.011,0.009,0.008,0.009,0.011,0.012,0.014,0.01,0.009,0.009,0.014,0.015,0.012,0.01,0.012,0.014,0.012,0.015,0.011,0.012,0.008,0.011,0.015,0.017,0.016,0.014,0.015,0.014,0.012,0.013,0.014,0.01,0.012,0.014,0.059,,,0.02,0.018,,,0.025,0.023,0.027,0.027
40,0.023,0.039,0.013,0.014,0.015,0.013,0.019,0.017,0.02,0.02,0.023,0.026,0.017,0.013,0.016,0.014,0.015,0.017,0.016,0.016,0.015,0.017,0.022,0.023,0.017,0.011,0.012,0.012,0.014,0.013,0.012,0.014,0.013,0.014,0.014,0.02,0.208,0.014,0.017,0.014,0.014,0.014,0.015,0.014,0.014,0.013,0.016,0.017,0.013,0.014,0.026,0.012,0.014,0.015,0.015,0.019,0.012,0.012,0.013,0.016,0.018,0.015,0.013,0.014,0.015,0.015,0.018,0.016,0.015,0.015,0.015,0.017,0.02,0.018,0.018,0.017,0.015,0.014,0.017,0.018,0.014,0.016,0.018,0.021,,,0.024,0.022,,,0.029,0.028,0.037,0.031
60,-3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
80,0.04,0.038,0.033,0.032,0.035,0.033,0.039,0.04,0.044,0.042,0.046,0.049,0.038,0.031,0.032,0.03,0.031,0.034,0.033,0.035,0.034,0.037,0.042,0.042,0.04,0.033,0.031,0.031,0.033,0.034,0.028,0.031,0.029,0.028,0.028,0.035,0.042,0.039,0.04,0.037,0.04,0.039,0.031,0.034,0.03,0.03,0.031,0.035,0.038,0.037,0.064,0.035,0.035,0.037,0.03,0.038,0.03,0.029,0.03,0.034,0.042,0.04,0.036,0.035,0.038,0.037,0.041,0.039,0.038,0.037,0.037,0.038,0.037,0.034,0.037,0.036,0.032,0.03,0.034,0.036,0.029,0.034,0.036,0.039,,,0.048,0.047,,,0.061,0.056,0.053,0.058
100,0.069,0.061,0.059,0.058,0.061,0.058,0.066,0.071,0.077,0.071,0.07,0.077,0.064,0.057,0.059,0.055,0.054,0.057,0.057,0.062,0.06,0.061,0.067,0.068,0.072,0.058,0.058,0.056,0.059,0.058,0.051,0.054,0.05,0.048,0.047,0.053,0.073,0.067,0.07,0.066,0.063,0.067,0.051,0.056,0.052,0.051,0.05,0.058,0.07,0.066,0.065,0.061,0.063,0.064,0.055,0.062,0.053,0.05,0.052,0.055,0.068,0.066,0.064,0.062,0.064,0.063,0.064,0.063,0.064,0.059,0.059,0.061,0.056,0.053,0.057,0.057,0.052,0.045,0.058,0.059,0.046,0.054,0.056,0.057,,,0.079,0.076,,,0.103,0.093,0.083,0.097
120,0.112,0.102,0.097,0.1,0.099,0.1,0.113,0.119,0.125,0.115,0.118,0.124,0.106,0.096,0.098,0.092,0.093,0.092,0.092,0.103,0.102,0.1,0.104,0.108,0.12,0.104,0.099,0.096,0.1,0.099,0.082,0.09,0.086,0.083,0.078,0.087,0.128,0.118,0.12,0.116,0.112,0.115,0.083,0.095,0.09,0.086,0.086,0.09,0.12,0.114,0.109,0.102,0.108,0.107,0.091,0.101,0.092,0.089,0.087,0.087,0.114,0.108,0.105,0.102,0.102,0.103,0.107,0.107,0.104,0.096,0.092,0.091,0.09,0.086,0.091,0.093,0.084,0.074,0.09,0.096,0.08,0.088,0.088,0.085,,,0.129,0.125,,,0.17,0.152,0.136,0.148
140,0.191,0.175,0.169,0.168,0.17,0.17,0.184,0.196,0.202,0.195,0.185,0.189,0.182,0.168,0.167,0.156,0.158,0.156,0.156,0.173,0.17,0.174,0.169,0.164,0.2,0.177,0.173,0.169,0.171,0.168,0.145,0.156,0.149,0.145,0.134,0.136,0.222,0.209,0.202,0.199,0.194,0.194,0.147,0.161,0.156,0.148,0.144,0.152,0.209,0.199,0.233,0.182,0.181,0.179,0.156,0.18,0.154,0.152,0.142,0.143,0.193,0.188,0.181,0.174,0.175,0.171,0.18,0.184,0.175,0.16,0.149,0.142,0.148,0.139,0.151,0.152,0.133,0.123,0.15,0.157,0.135,0.141,0.14,0.133,,,0.214,0.203,,,0.264,0.25,0.216,0.23
160,0.304,0.28,0.278,0.272,0.27,0.263,0.277,0.295,0.303,0.294,0.284,0.284,0.288,0.274,0.277,0.257,0.253,0.249,0.25,0.269,0.269,0.266,0.265,0.259,0.313,0.288,0.282,0.272,0.273,0.266,0.241,0.256,0.244,0.232,0.218,0.21,0.326,0.313,0.31,0.302,0.294,0.292,0.235,0.258,0.25,0.236,0.233,0.233,0.316,0.298,0.299,0.282,0.278,0.27,0.256,0.263,0.253,0.24,0.229,0.226,0.298,0.286,0.276,0.272,0.274,0.259,0.275,0.277,0.268,0.251,0.228,0.214,0.238,0.226,0.242,0.248,0.218,0.194,0.238,0.251,0.216,0.224,0.219,0.203,,,0.309,0.3,,,0.353,0.336,0.306,0.323
180,0.404,0.378,0.369,0.357,0.353,0.348,0.37,0.385,0.396,0.372,0.368,0.361,0.389,0.373,0.369,0.353,0.347,0.338,0.338,0.363,0.361,0.359,0.352,0.352,0.416,0.379,0.373,0.357,0.354,0.343,0.341,0.352,0.342,0.334,0.307,0.302,0.43,0.408,0.406,0.393,0.379,0.373,0.339,0.354,0.349,0.338,0.331,0.332,0.42,0.402,0.463,0.411,0.36,0.338,0.35,0.363,0.348,0.335,0.323,0.304,0.393,0.378,0.37,0.356,0.353,0.34,0.368,0.369,0.363,0.336,0.308,0.289,0.338,0.319,0.332,0.338,0.308,0.277,0.332,0.341,0.311,0.313,0.305,0.281,,,0.413,0.406,,,0.463,0.443,0.406,0.424
