time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,80.0,25.0,15.0,19.0,16.0,-14.0,-9.0,15.0,-22.0,23.0,3.0,8.0,29.0,13.0,21.0,29.0,7.0,23.0,6.0,22.0,24.0,13.0,40.0,37.0,13.0,64.0,46.0,45.0,34.0,32.0,32.0,21.0,28.0,30.0,30.0,37.0,30.0,62.0,25.0,34.0,24.0,60.0,10.0,14.0,5.0,30.0,0.0,52.0,5.0,245.0,28.0,16.0,7.0,19.0,2.0,-1.0,10.0,525.0,12.0,134.0,-1.0,6.0,9.0,-9.0,-3.0,5.0,-4.0,-3.0,-7.0,-5.0,-13.0,-9.0,10.0,7.0,0.0,5.0,-15.0,-11.0,-4.0,7.0,-6.0,14.0,26.0,15.0,,,-3.0,-19.0,,,18.0,13.0,1686.0,2062.0
20,64.5,11.5,13.5,5.5,-0.5,4.5,-5.5,17.5,-0.5,-6.5,2.5,4.5,31.5,31.5,19.5,10.5,5.5,3.5,4.5,10.5,8.5,17.5,32.5,48.5,30.5,43.5,34.5,41.5,32.5,38.5,20.5,33.5,31.5,25.5,15.5,30.5,29.5,140.5,19.5,64.5,21.5,127.5,5.5,11.5,4.5,97.5,0.5,160.5,12.5,242.5,12.5,10.5,5.5,4.5,-2.5,-5.5,1.5,480.5,-8.5,249.5,6.5,8.5,10.5,4.5,2.5,0.5,-13.5,-4.5,-16.5,22.5,-18.5,8.5,13.5,25.5,-8.5,0.5,-13.5,-4.5,-5.5,13.5,-5.5,7.5,2.5,25.5,,,4.5,-8.5,,,11.5,13.5,1300.5,1951.5
40,82.5,28.5,22.5,7.5,12.5,2.5,-10.5,-1.5,-7.5,18.5,6.5,7.5,40.5,38.5,12.5,9.5,3.5,15.5,20.5,16.5,6.5,8.5,32.5,51.5,22.5,61.5,43.5,48.5,35.5,55.5,31.5,65.5,27.5,101.5,21.5,83.5,18.5,488.5,24.5,213.5,19.5,484.5,17.5,44.5,16.5,528.5,1.5,732.5,18.5,420.5,12.5,16.5,8.5,-3.5,4.5,-6.5,3.5,929.5,4.5,460.5,9.5,11.5,-2.5,-2.5,9.5,-9.5,-6.5,3.5,-10.5,212.5,-14.5,151.5,27.5,52.5,15.5,-3.5,-8.5,-9.5,11.5,19.5,-8.5,60.5,13.5,70.5,,,6.5,-5.5,,,23.0,32.0,1713.0,2587.0
60,61.0,31.0,17.0,7.0,-1.0,-2.0,0.0,-4.0,-10.0,13.0,8.0,24.0,40.0,25.0,11.0,12.0,9.0,6.0,3.0,14.0,8.0,35.0,31.0,48.0,32.0,52.0,51.0,55.0,45.0,55.0,25.0,153.0,24.0,248.0,23.0,191.0,42.0,883.0,45.0,396.0,17.0,951.0,16.0,80.0,2.0,1145.0,-3.0,1481.0,32.0,671.0,10.0,4.0,2.0,-3.0,-10.0,-5.0,1.0,1499.0,-6.0,749.0,17.0,12.0,6.0,-2.0,15.0,-3.0,-5.0,-9.0,-5.0,413.0,-8.0,346.0,13.0,118.0,-4.0,-1.0,-6.0,6.0,-4.0,-1.0,1.0,167.0,11.0,168.0,,,28.0,1.0,,,11.5,20.5,2310.5,3564.5
80,74.0,27.0,1.0,5.0,-6.0,-12.0,-23.0,0.0,-22.0,2.0,-9.0,27.0,31.0,21.0,24.0,-4.0,-3.0,1.0,-6.0,12.0,-8.0,113.0,17.0,89.0,24.0,47.0,39.0,40.0,27.0,51.0,7.0,257.0,16.0,486.0,15.0,321.0,22.0,1352.0,54.0,643.0,5.0,1651.0,2.0,121.0,-4.0,1999.0,-12.0,2637.0,9.0,1045.0,2.0,9.0,-10.0,-1.0,-16.0,-7.0,2.0,2257.0,-29.0,1150.0,7.0,2.0,2.0,-8.0,-7.0,-19.0,-12.0,1.0,-27.0,752.0,-20.0,596.0,0.0,225.0,-3.0,1.0,-26.0,-11.0,-6.0,-3.0,-21.0,380.0,-9.0,371.0,,,14.0,8.0,,,19.5,21.5,3014.5,4657.5
100,98.5,49.5,18.5,21.5,11.5,-4.5,-1.5,14.5,-7.5,130.5,35.5,176.5,50.5,41.5,37.5,27.5,14.5,10.5,5.5,23.5,19.5,441.5,25.5,225.5,38.5,66.5,63.5,65.5,55.5,64.5,24.5,405.5,39.5,885.5,26.5,532.5,28.5,1982.5,98.5,1072.5,27.5,2844.5,12.5,249.5,14.5,3454.5,4.5,4512.5,18.5,1669.5,21.5,1.5,0.5,-3.5,4.5,-1.5,14.5,3439.5,-3.5,1718.5,17.5,14.5,22.5,-5.5,15.5,-3.5,1.5,-6.5,-16.5,1454.5,-4.5,1138.5,23.5,427.5,19.5,7.5,5.5,4.5,12.5,9.5,-4.5,813.5,2.5,741.5,,,49.5,14.5,,,28.5,35.5,3641.5,5573.5
120,107.5,60.5,11.5,10.5,12.5,-4.5,-6.5,44.5,-5.5,609.5,237.5,695.5,57.5,45.5,32.5,23.5,13.5,21.5,-7.5,25.5,11.5,874.5,24.5,464.5,40.5,70.5,42.5,65.5,46.5,66.5,17.5,677.5,22.5,1511.5,26.5,858.5,30.5,2616.5,106.5,1645.5,30.5,4481.5,18.5,406.5,25.5,5612.5,-4.5,7272.5,27.5,2611.5,23.5,13.5,3.5,1.5,-9.5,6.5,10.5,5194.5,-3.5,2622.5,8.5,8.5,-7.5,-1.5,2.5,-21.5,-12.5,-3.5,-4.5,2441.5,2.5,1909.5,15.5,673.5,13.5,5.5,-10.5,-12.5,6.5,11.5,-7.5,1487.5,13.5,1351.5,,,58.5,39.5,,,29.5,54.5,4164.5,6292.5
140,123.0,64.0,18.0,23.0,8.0,0.0,-10.0,130.0,27.0,2304.0,744.0,2126.0,73.0,51.0,46.0,20.0,30.0,11.0,0.0,19.0,2.0,1488.0,25.0,730.0,47.0,84.0,62.0,68.0,59.0,88.0,16.0,1198.0,32.0,2704.0,17.0,1435.0,27.0,3397.0,146.0,2255.0,23.0,6491.0,19.0,602.0,17.0,8448.0,8.0,11078.0,14.0,3740.0,34.0,3.0,7.0,3.0,0.0,2.0,3.0,7885.0,-19.0,3928.0,1.0,13.0,-8.0,-13.0,-7.0,-3.0,-12.0,-19.0,-10.0,3646.0,5.0,2900.0,7.0,988.0,3.0,9.0,-15.0,-5.0,6.0,11.0,-7.0,2499.0,3.0,2234.0,,,83.0,49.0,,,50.5,63.5,4790.5,7116.5
160,185.0,139.0,38.0,24.0,16.0,15.0,16.0,450.0,146.0,8014.0,1822.0,6047.0,106.0,81.0,59.0,58.0,54.0,33.0,-4.0,56.0,-5.0,2512.0,26.0,1128.0,72.0,125.0,84.0,95.0,48.0,122.0,10.0,2177.0,38.0,4531.0,39.0,2449.0,31.0,5303.0,208.0,3218.0,39.0,9294.0,37.0,928.0,37.0,12126.0,2.0,15785.0,11.0,5059.0,60.0,7.0,10.0,17.0,-6.0,5.0,9.0,11716.0,3.0,5810.0,9.0,8.0,2.0,-4.0,-3.0,-12.0,-13.0,5.0,-10.0,5443.0,8.0,4234.0,16.0,1385.0,24.0,18.0,-13.0,1.0,-1.0,12.0,2.0,3987.0,19.0,3574.0,,,101.0,84.0,,,63.0,92.0,5717.0,8553.0
180,333.0,589.0,93.0,295.0,49.0,22.0,49.0,2008.0,377.0,17788.0,4261.0,13821.0,152.0,115.0,85.0,84.0,64.0,60.0,1.0,77.0,-1.0,5847.0,37.0,1728.0,105.0,169.0,113.0,125.0,85.0,169.0,35.0,4100.0,62.0,7489.0,26.0,4064.0,27.0,9659.0,319.0,4795.0,74.0,13832.0,61.0,1396.0,69.0,17262.0,26.0,22572.0,32.0,6424.0,80.0,21.0,23.0,20.0,-1.0,13.0,28.0,16615.0,6.0,8405.0,7.0,19.0,7.0,-5.0,-15.0,-12.0,-14.0,-15.0,-14.0,7981.0,27.0,6058.0,19.0,1958.0,17.0,26.0,9.0,8.0,18.0,20.0,9.0,6150.0,15.0,5484.0,,,161.0,139.0,,,89.0,125.0,7132.0,10807.0
200,523.0,2986.0,639.0,3097.0,725.0,97.0,186.0,7334.0,864.0,29664.0,9848.0,23990.0,230.0,175.0,144.0,135.0,116.0,76.0,17.0,139.0,8.0,11605.0,51.0,3241.0,151.0,247.0,147.0,188.0,130.0,327.0,39.0,6741.0,94.0,11175.0,45.0,6423.0,40.0,16050.0,497.0,7409.0,114.0,21983.0,76.0,2097.0,112.0,26562.0,39.0,33538.0,39.0,7662.0,123.0,21.0,45.0,39.0,22.0,49.0,43.0,22820.0,15.0,12022.0,10.0,38.0,1.0,-1.0,12.0,-9.0,-1.0,11.0,15.0,12972.0,47.0,8559.0,19.0,3098.0,55.0,23.0,26.0,42.0,31.0,41.0,35.0,9392.0,58.0,8264.0,,,249.0,200.0,,,158.5,199.5,9342.5,14160.5
220,723.5,7602.5,3620.5,11282.5,5630.5,1449.5,809.5,16489.5,1806.5,44073.5,18602.5,36150.5,302.5,228.5,199.5,198.5,165.5,128.5,25.5,215.5,9.5,20296.5,73.5,6784.5,217.5,321.5,195.5,247.5,214.5,711.5,60.5,10037.5,159.5,15911.5,81.5,9130.5,53.5,23256.5,779.5,12827.5,175.5,31985.5,120.5,3121.5,179.5,37610.5,70.5,46251.5,50.5,9366.5,160.5,39.5,61.5,47.5,26.5,73.5,68.5,32155.5,28.5,16803.5,14.5,63.5,13.5,-8.5,0.5,1.5,1.5,18.5,16.5,20647.5,74.5,11982.5,20.5,4961.5,75.5,38.5,30.5,48.5,44.5,46.5,43.5,14642.5,79.5,12235.5,,,310.5,286.5,,,217.5,275.5,12300.5,16570.5
