time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,144.0,62.0,22.0,23.0,37.0,10.0,-19.0,12.0,-37.0,51.0,-14.0,14.0,31.0,35.0,82.0,37.0,20.0,32.0,16.0,34.0,44.0,49.0,93.0,65.0,18.0,102.0,98.0,100.0,77.0,71.0,47.0,53.0,56.0,51.0,64.0,75.0,32.0,121.0,73.0,83.0,33.0,144.0,16.0,34.0,12.0,74.0,27.0,85.0,30.0,491.0,64.0,18.0,24.0,31.0,13.0,17.0,31.0,1026.0,14.0,297.0,0.0,15.0,26.0,-1.0,23.0,-2.0,2.0,-8.0,-18.0,-8.0,-14.0,5.0,13.0,40.0,41.0,-5.0,-32.0,-3.0,5.0,20.0,23.0,28.0,42.0,36.0,,,7.0,-20.0,,,30.5,45.5,3141.5,3953.5
20,134.0,40.0,18.0,-23.0,-16.0,2.0,-19.0,-9.0,-26.0,-11.0,-21.0,-11.0,47.0,22.0,35.0,13.0,14.0,3.0,1.0,13.0,19.0,27.0,35.0,75.0,27.0,108.0,78.0,88.0,67.0,55.0,39.0,35.0,51.0,62.0,49.0,84.0,44.0,298.0,67.0,138.0,40.0,262.0,9.0,30.0,7.0,199.0,-21.0,326.0,34.0,471.0,22.0,-14.0,7.0,0.0,1.0,1.0,9.0,927.0,-27.0,473.0,19.0,4.0,-1.0,2.0,18.0,-12.0,-29.0,-5.0,-33.0,67.0,-32.0,48.0,4.0,33.0,-5.0,-17.0,-42.0,13.0,7.0,-19.0,-28.0,31.0,-6.0,34.0,,,37.0,-25.0,,,45.0,48.0,2522.0,3827.0
40,149.0,38.0,12.0,-9.0,-6.0,-18.0,-20.0,5.0,-28.0,16.0,-14.0,11.0,70.0,50.0,42.0,24.0,-3.0,24.0,5.0,37.0,11.0,32.0,56.0,81.0,21.0,102.0,83.0,77.0,61.0,62.0,25.0,121.0,68.0,172.0,21.0,156.0,59.0,979.0,67.0,413.0,15.0,960.0,0.0,88.0,7.0,1012.0,-23.0,1421.0,43.0,838.0,16.0,6.0,21.0,-8.0,0.0,-18.0,-16.0,1821.0,-32.0,897.0,36.0,45.0,-10.0,-7.0,-4.0,-9.0,-39.0,-30.0,-32.0,394.0,-7.0,330.0,39.0,109.0,36.0,12.0,-33.0,-26.0,15.0,9.0,-26.0,142.0,-4.0,155.0,,,27.0,-13.0,,,31.0,63.0,3333.0,5105.0
60,147.5,47.5,-2.5,8.5,-21.5,-14.5,-23.5,-6.5,-38.5,39.5,3.5,13.5,63.5,54.5,45.5,30.5,19.5,23.5,1.5,29.5,3.5,52.5,42.5,114.5,70.5,102.5,74.5,91.5,95.5,102.5,41.5,294.5,39.5,500.5,30.5,364.5,37.5,1692.5,68.5,744.5,29.5,1854.5,20.5,154.5,0.5,2198.5,-21.5,2915.5,40.5,1348.5,22.5,-1.5,16.5,10.5,-30.5,-20.5,-12.5,2958.5,-9.5,1474.5,8.5,11.5,-3.5,-5.5,0.5,-15.5,-53.5,-25.5,-7.5,788.5,-22.5,683.5,23.5,215.5,14.5,-8.5,-49.5,-20.5,4.5,11.5,-37.5,343.5,8.5,354.5,,,42.5,9.5,,,31.0,45.0,4519.0,6976.0
80,159.5,57.5,12.5,3.5,10.5,-13.5,-41.5,1.5,-43.5,39.5,4.5,59.5,92.5,49.5,41.5,16.5,2.5,7.5,3.5,27.5,-2.5,231.5,38.5,155.5,46.5,89.5,62.5,86.5,85.5,136.5,16.5,509.5,38.5,963.5,22.5,645.5,54.5,2639.5,125.5,1289.5,17.5,3290.5,2.5,254.5,22.5,3980.5,-3.5,5225.5,39.5,2065.5,6.5,-0.5,-6.5,-9.5,-22.5,-24.5,5.5,4479.5,-24.5,2254.5,19.5,-13.5,-0.5,-9.5,4.5,-29.5,-37.5,-29.5,-47.5,1475.5,-33.5,1211.5,37.5,446.5,-1.5,-10.5,-25.5,-16.5,-2.5,20.5,-2.5,741.5,-5.5,737.5,,,47.5,10.5,,,37.0,56.0,5962.0,9098.0
100,171.0,71.0,31.0,36.0,17.0,5.0,-37.0,39.0,-12.0,288.0,101.0,356.0,75.0,78.0,53.0,28.0,33.0,32.0,4.0,32.0,10.0,883.0,62.0,466.0,55.0,136.0,89.0,109.0,90.0,172.0,37.0,798.0,76.0,1739.0,51.0,1025.0,42.0,3870.0,160.0,2108.0,65.0,5606.0,10.0,475.0,24.0,6799.0,-1.0,8854.0,34.0,3302.0,39.0,-2.0,20.0,-18.0,-41.0,-31.0,1.0,6756.0,-14.0,3395.0,34.0,36.0,-16.0,-8.0,7.0,0.0,-14.0,-36.0,6.0,2882.0,-8.0,2197.0,35.0,843.0,10.0,2.0,-18.0,-7.0,9.0,4.0,-5.0,1577.0,18.0,1470.0,,,62.0,41.0,,,42.5,84.5,7085.5,10913.5
120,213.5,79.5,24.5,3.5,4.5,-0.5,-29.5,81.5,-9.5,1240.5,472.5,1442.5,121.5,92.5,54.5,15.5,33.5,37.5,-11.5,63.5,9.5,1755.5,40.5,881.5,69.5,152.5,113.5,119.5,96.5,136.5,34.5,1309.5,45.5,2962.5,31.5,1642.5,53.5,5058.5,232.5,3182.5,47.5,8730.5,-0.5,822.5,34.5,11018.5,2.5,14324.5,53.5,5109.5,49.5,12.5,-4.5,16.5,10.5,-4.5,7.5,10288.5,-19.5,5177.5,10.5,10.5,-16.5,-21.5,-21.5,-11.5,-23.5,-20.5,-11.5,4788.5,-26.5,3766.5,19.5,1339.5,18.5,-12.5,-5.5,-11.5,-10.5,7.5,-3.5,2928.5,47.5,2657.5,,,98.5,71.5,,,78.5,91.5,8169.5,12150.5
140,267.0,150.0,37.0,31.0,8.0,11.0,-27.0,280.0,74.0,4710.0,1488.0,4285.0,165.0,112.0,82.0,63.0,59.0,33.0,-1.0,53.0,-14.0,2973.0,58.0,1431.0,103.0,196.0,123.0,153.0,113.0,160.0,23.0,2381.0,69.0,5341.0,47.0,2843.0,53.0,6609.0,294.0,4366.0,94.0,12829.0,42.0,1251.0,59.0,16475.0,13.0,21633.0,48.0,7324.0,90.0,6.0,39.0,4.0,17.0,18.0,23.0,15411.0,-30.0,7740.0,28.0,26.0,-23.0,19.0,12.0,-2.0,-6.0,-5.0,-23.0,7187.0,7.0,5697.0,35.0,1955.0,27.0,19.0,-17.0,26.0,12.0,0.0,8.0,4919.0,38.0,4431.0,,,143.0,115.0,,,94.5,141.5,9226.5,13801.5
160,369.0,272.0,71.0,64.0,26.0,15.0,18.0,899.0,297.0,15984.0,3639.0,12094.0,237.0,149.0,120.0,93.0,92.0,89.0,2.0,106.0,15.0,5003.0,87.0,2237.0,140.0,253.0,148.0,185.0,123.0,219.0,39.0,4346.0,77.0,8951.0,61.0,4818.0,40.0,10415.0,409.0,6348.0,89.0,18276.0,77.0,1801.0,74.0,23675.0,29.0,30818.0,56.0,9845.0,86.0,14.0,7.0,8.0,10.0,23.0,17.0,22954.0,-20.0,11414.0,27.0,29.0,-20.0,-19.0,0.0,-34.0,-40.0,-26.0,-14.0,10685.0,10.0,8337.0,35.0,2726.0,33.0,18.0,-5.0,30.0,19.0,28.0,20.0,7863.0,55.0,7034.0,,,226.0,160.0,,,141.5,184.5,11159.5,16696.5
180,651.0,1217.0,183.0,630.0,101.0,60.0,80.0,4138.0,746.0,35084.0,8536.0,27252.0,298.0,215.0,163.0,153.0,131.0,120.0,14.0,170.0,9.0,11687.0,77.0,3366.0,210.0,356.0,196.0,239.0,160.0,345.0,38.0,8005.0,121.0,14650.0,71.0,8087.0,66.0,19008.0,626.0,9473.0,115.0,27306.0,88.0,2745.0,131.0,33918.0,33.0,44163.0,61.0,12447.0,171.0,35.0,43.0,4.0,-15.0,39.0,35.0,32591.0,6.0,16527.0,6.0,34.0,-6.0,-16.0,-1.0,-16.0,-33.0,-12.0,-10.0,15618.0,34.0,11916.0,26.0,3852.0,71.0,37.0,-4.0,38.0,48.0,45.0,33.0,12078.0,70.0,10835.0,,,345.0,277.0,,,217.0,265.0,13857.0,21096.0
