time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,0.544,0.547,0.583,0.526,0.494,0.52,0.486,0.429,0.453,0.434,0.414,0.393,0.55,0.621,0.638,0.611,0.607,0.59,0.636,0.598,0.623,0.612,0.562,0.444,0.445,0.554,0.542,0.586,0.539,0.56,0.636,0.598,0.571,0.531,0.495,0.427,0.448,0.491,0.554,0.575,0.552,0.588,0.662,0.637,0.59,0.548,0.47,0.435,0.446,0.471,0.528,0.56,0.544,0.538,0.629,0.557,0.53,0.424,0.416,0.437,0.48,0.462,0.479,0.475,0.457,0.517,0.474,0.448,0.448,0.414,0.412,0.418,,,0.533,0.489,,,0.618,0.556,0.687,0.585
20,0.605,0.584,0.608,0.586,0.585,0.604,0.55,0.52,0.546,0.526,0.519,0.486,0.63,0.611,0.626,0.63,0.616,0.58,0.593,0.586,0.581,0.582,0.569,0.543,0.505,0.504,0.506,0.518,0.489,0.485,0.574,0.566,0.565,0.536,0.532,0.53,0.513,0.519,0.535,0.523,0.511,0.565,0.56,0.568,0.552,0.545,0.539,0.526,0.506,0.519,0.572,0.505,0.502,0.503,0.554,0.572,0.563,0.528,0.527,0.52,0.539,0.555,0.561,0.563,0.545,0.568,0.551,0.546,0.548,0.515,0.51,0.504,,,0.607,0.558,,,0.698,0.642,0.668,0.654
40,0.756,0.731,0.752,0.716,0.714,0.734,0.688,0.646,0.66,0.64,0.615,0.56,0.785,0.759,0.767,0.776,0.757,0.703,0.739,0.725,0.714,0.736,0.677,0.637,0.652,0.627,0.616,0.627,0.589,0.563,0.719,0.706,0.694,0.656,0.653,0.614,0.648,0.653,0.66,0.642,0.636,0.654,0.703,0.716,0.697,0.675,0.659,0.629,0.649,0.656,0.639,0.623,0.619,0.606,0.704,0.714,0.704,0.664,0.652,0.61,0.684,0.686,0.677,0.675,0.657,0.672,0.692,0.682,0.679,0.63,0.614,0.596,,,0.759,0.708,,,0.827,0.783,0.811,0.792
60,0.897,0.874,0.894,0.85,0.847,0.859,0.838,0.794,0.798,0.774,0.744,0.643,0.931,0.903,0.912,0.918,0.893,0.838,0.892,0.875,0.852,0.874,0.813,0.726,0.795,0.775,0.762,0.757,0.709,0.677,0.868,0.865,0.878,0.805,0.782,0.712,0.788,0.794,0.8,0.783,0.775,0.803,0.872,0.856,0.835,0.803,0.792,0.731,0.79,0.808,0.761,0.759,0.752,0.734,0.859,0.863,0.84,0.79,0.775,0.704,0.824,0.827,0.808,0.813,0.791,0.79,0.83,0.817,0.814,0.752,0.734,0.675,,,0.879,0.836,,,0.939,0.894,0.922,0.911
80,1.004,0.988,0.999,0.956,0.96,0.974,0.961,0.923,0.922,0.887,0.854,0.733,1.025,1.002,1.027,1.02,0.999,0.94,1.007,0.977,0.975,0.968,0.891,0.82,0.92,0.892,0.882,0.877,0.824,0.786,0.997,0.985,1.007,0.923,0.887,0.811,0.926,0.935,0.929,0.912,0.882,0.921,0.982,0.962,0.951,0.929,0.905,0.832,0.92,1.0,0.87,0.864,0.855,0.923,1.08,0.975,0.943,0.907,0.877,0.792,0.94,0.95,0.929,0.918,0.892,0.906,1.004,0.947,0.928,0.859,0.839,0.766,,,0.984,0.942,,,1.029,0.973,1.013,1.008
100,1.067,1.07,1.078,1.038,1.034,1.061,1.044,1.013,1.009,0.973,0.953,0.841,1.092,1.08,1.133,1.101,1.089,1.053,1.081,1.063,1.074,1.071,1.008,0.913,1.017,0.992,1.001,0.993,0.945,0.895,1.083,1.054,1.096,1.001,0.993,0.903,1.018,1.04,1.046,1.03,0.996,1.045,1.082,1.037,1.037,1.007,0.998,0.928,1.013,1.032,0.978,0.967,0.95,0.935,1.062,1.058,1.097,0.997,0.974,0.891,1.028,1.042,1.017,1.012,0.986,0.993,1.05,1.036,1.033,0.965,0.932,0.87,,,1.051,1.02,,,1.067,1.02,1.062,1.049
120,1.102,1.107,1.12,1.072,1.081,1.107,1.099,1.069,1.099,1.028,1.03,0.916,1.12,1.119,1.142,1.133,1.106,1.086,1.131,1.097,1.114,1.079,1.039,0.971,1.042,1.036,1.06,1.062,1.009,0.963,1.133,1.09,1.097,1.04,1.034,0.947,1.066,1.082,1.095,1.094,1.041,1.121,1.113,1.071,1.062,1.041,1.04,0.987,1.058,1.058,1.115,1.017,1.007,1.018,1.206,1.126,1.054,1.033,1.025,0.953,1.077,1.097,1.155,1.065,1.047,1.17,1.242,1.133,1.068,1.012,0.996,0.938,,,1.082,1.056,,,1.104,1.06,1.096,1.081
140,1.142,1.15,1.16,1.122,1.12,1.142,1.14,1.113,1.112,1.072,1.073,0.991,1.172,1.164,1.19,1.172,1.154,1.127,1.195,1.149,1.149,1.13,1.092,1.034,1.089,1.073,1.093,1.096,1.052,1.035,1.18,1.139,1.136,1.078,1.08,1.017,1.116,1.14,1.14,1.138,1.086,1.235,1.177,1.128,1.122,1.086,1.081,1.036,1.119,1.223,1.139,1.075,1.052,1.164,1.27,1.156,1.117,1.079,1.076,1.008,1.136,1.151,1.13,1.124,1.101,1.1,1.138,1.126,1.113,1.072,1.046,1.008,,,1.136,1.101,,,1.148,1.093,1.141,1.118
160,1.177,1.198,1.206,1.154,1.165,1.212,1.181,1.152,1.154,1.102,1.102,1.043,1.205,1.196,1.222,1.213,1.191,1.162,1.222,1.192,1.192,1.184,1.155,1.102,1.136,1.115,1.116,1.12,1.082,1.062,1.216,1.173,1.18,1.117,1.116,1.061,1.166,1.18,1.179,1.161,1.181,1.224,1.213,1.177,1.165,1.161,1.116,1.055,1.166,1.161,1.126,1.106,1.137,1.166,1.198,1.197,1.17,1.161,1.11,1.053,1.176,1.201,1.177,1.174,1.152,1.15,1.166,1.162,1.151,1.115,1.091,1.046,,,1.185,1.155,,,1.189,1.134,1.174,1.154
180,1.216,1.234,1.233,1.18,1.188,1.212,1.22,1.198,1.181,1.139,1.139,1.057,1.233,1.224,1.253,1.247,1.227,1.198,1.251,1.234,1.234,1.21,1.172,1.109,1.16,1.142,1.135,1.14,1.1,1.092,1.254,1.222,1.203,1.155,1.158,1.091,1.201,1.222,1.222,1.203,1.168,1.235,1.248,1.207,1.198,1.159,1.152,1.099,1.194,1.194,1.162,1.143,1.116,1.123,1.231,1.221,1.182,1.152,1.15,1.082,1.21,1.228,1.221,1.211,1.19,1.192,1.218,1.201,1.189,1.144,1.124,1.08,,,1.207,1.179,,,1.239,1.186,1.229,1.199
200,1.232,1.257,1.252,1.196,1.222,1.248,1.25,1.229,1.22,1.167,1.174,1.1,1.252,1.238,1.274,1.278,1.253,1.233,1.288,1.259,1.281,1.242,1.219,1.159,1.176,1.16,1.152,1.155,1.119,1.117,1.273,1.246,1.255,1.177,1.182,1.129,1.223,1.246,1.246,1.236,1.196,1.272,1.286,1.233,1.231,1.183,1.196,1.132,1.224,1.23,1.193,1.172,1.16,1.149,1.277,1.257,1.222,1.185,1.184,1.126,1.242,1.258,1.252,1.243,1.268,1.227,1.246,1.229,1.222,1.187,1.162,1.121,,,1.231,1.216,,,1.184,1.136,1.177,1.154
220,1.243,1.271,1.268,1.221,1.239,1.26,1.278,1.247,1.242,1.191,1.208,1.146,1.264,1.247,1.283,1.289,1.268,1.258,1.293,1.278,1.285,1.266,1.248,1.206,1.191,1.18,1.178,1.18,1.14,1.15,1.286,1.266,1.261,1.186,1.205,1.164,1.259,1.283,1.279,1.266,1.252,1.308,1.287,1.272,1.26,1.202,1.208,1.148,1.241,1.257,1.221,1.192,1.223,1.175,1.281,1.278,1.244,1.188,1.196,1.152,1.269,1.282,1.286,1.312,1.288,1.261,1.288,1.252,1.24,1.212,1.196,1.153,,,1.259,1.23,,,1.244,1.184,1.244,1.215
240,1.261,1.287,1.271,1.222,1.25,1.278,1.289,1.263,1.262,1.218,1.214,1.158,1.283,1.257,1.3,1.308,1.288,1.278,1.318,1.302,1.31,1.3,1.264,1.213,1.192,1.179,1.19,1.191,1.156,1.171,1.309,1.294,1.306,1.218,1.221,1.189,1.267,1.286,1.291,1.28,1.239,1.328,1.314,1.28,1.267,1.22,1.229,1.182,1.262,1.274,1.236,1.215,1.194,1.237,1.342,1.297,1.261,1.207,1.214,1.179,1.288,1.301,1.302,1.289,1.277,1.293,1.292,1.276,1.263,1.234,1.233,1.186,,,1.265,1.236,,,1.27,1.218,1.269,1.248
260,1.272,1.299,1.285,1.224,1.257,1.297,1.315,1.283,1.28,1.23,1.242,1.189,1.29,1.261,1.317,1.318,1.307,1.297,1.334,1.322,1.336,1.315,1.293,1.25,1.188,1.189,1.204,1.188,1.163,1.195,1.324,1.308,1.308,1.246,1.239,1.209,1.28,1.311,1.318,1.304,1.252,1.352,1.326,1.295,1.296,1.244,1.248,1.197,1.276,1.294,1.255,1.223,1.259,1.211,1.323,1.303,1.279,1.228,1.23,1.198,1.313,1.318,1.334,1.32,1.402,1.377,1.31,1.294,1.29,1.258,1.256,1.21,,,1.284,1.248,,,1.311,1.251,1.302,1.27
280,1.287,1.324,1.294,1.228,1.268,1.306,1.334,1.301,1.3,1.246,1.258,1.209,1.301,1.265,1.32,1.337,1.308,1.302,1.353,1.335,1.352,1.34,1.306,1.266,1.196,1.182,1.218,1.207,1.167,1.198,1.334,1.319,1.338,1.244,1.243,1.218,1.299,1.325,1.332,1.316,1.268,1.364,1.349,1.299,1.306,1.251,1.258,1.203,1.298,1.314,1.275,1.239,1.214,1.227,1.34,1.328,1.289,1.242,1.244,1.224,1.318,1.344,1.352,1.333,1.326,1.341,1.329,1.316,1.31,1.282,1.275,1.227,,,1.291,1.26,,,1.334,1.268,1.326,1.289
300,1.282,1.33,1.286,1.235,1.286,1.328,1.357,1.328,1.322,1.27,1.28,1.224,1.316,1.256,1.333,1.359,1.328,1.316,1.398,1.35,1.378,1.35,1.315,1.285,1.192,1.189,1.234,1.23,1.191,1.224,1.363,1.325,1.349,1.292,1.27,1.234,1.317,1.342,1.354,1.35,1.291,1.395,1.37,1.317,1.312,1.286,1.283,1.229,1.307,1.323,1.292,1.252,1.227,1.235,1.358,1.321,1.298,1.279,1.267,1.232,1.337,1.348,1.373,1.346,1.334,1.359,1.358,1.321,1.32,1.284,1.292,1.255,,,1.297,1.265,,,1.358,1.293,1.357,1.334
320,1.301,1.332,1.314,1.251,1.287,1.334,1.37,1.333,1.332,1.282,1.289,1.243,1.327,1.27,1.336,1.354,1.33,1.332,1.378,1.35,1.365,1.35,1.345,1.308,1.191,1.179,1.216,1.198,1.179,1.222,1.353,1.335,1.345,1.252,1.272,1.258,1.325,1.354,1.364,1.351,1.306,1.408,1.357,1.347,1.338,1.291,1.296,1.23,1.315,1.473,1.3,1.255,1.238,1.26,1.357,1.342,1.32,1.274,1.279,1.25,1.345,1.373,1.397,1.372,1.359,1.381,1.362,1.336,1.33,1.313,1.32,1.266,,,1.313,1.287,,,1.37,1.302,1.366,1.335
340,1.305,1.354,1.311,1.243,1.291,1.348,1.375,1.336,1.337,1.293,1.31,1.255,1.336,1.272,1.347,1.351,1.335,1.335,1.388,1.356,1.382,1.359,1.341,1.323,1.19,1.182,1.222,1.204,1.164,1.21,1.374,1.348,1.372,1.258,1.276,1.274,1.348,1.377,1.37,1.362,1.313,1.42,1.384,1.345,1.335,1.292,1.312,1.264,1.328,1.35,1.313,1.276,1.25,1.266,1.368,1.345,1.319,1.281,1.296,1.264,1.363,1.391,1.402,1.381,1.364,1.393,1.399,1.366,1.36,1.323,1.338,1.293,,,1.313,1.278,,,1.354,1.297,1.355,1.338
360,1.308,1.354,1.295,1.231,1.289,1.333,1.384,1.352,1.337,1.291,1.306,1.268,1.334,1.265,1.324,1.355,1.323,1.322,1.412,1.349,1.381,1.349,1.322,1.326,1.181,1.158,1.202,1.174,1.145,1.199,1.372,1.33,1.349,1.249,1.266,1.272,1.352,1.367,1.362,1.346,1.298,1.379,1.38,1.322,1.317,1.298,1.307,1.278,1.339,1.357,1.324,1.283,1.255,1.267,1.366,1.332,1.3,1.289,1.297,1.286,1.372,1.381,1.405,1.376,1.363,1.396,1.371,1.332,1.329,1.318,1.339,1.31,,,1.307,1.276,,,1.368,1.327,1.374,1.348
380,1.308,1.358,1.288,1.223,1.279,1.342,1.372,1.344,1.34,1.298,1.309,1.293,1.338,1.248,1.331,1.346,1.317,1.311,1.424,1.343,1.372,1.332,1.313,1.323,1.188,1.146,1.196,1.164,1.134,1.187,1.374,1.325,1.349,1.233,1.249,1.256,1.367,1.376,1.367,1.348,1.295,1.414,1.392,1.321,1.319,1.292,1.306,1.289,1.346,1.365,1.33,1.296,1.271,1.28,1.368,1.325,1.299,1.291,1.302,1.284,1.369,1.385,1.411,1.375,1.36,1.391,1.37,1.333,1.334,1.314,1.347,1.336,,,1.319,1.293,,,1.325,1.274,1.331,1.313
400,1.308,1.338,1.282,1.213,1.258,1.331,1.375,1.339,1.33,1.286,1.312,1.297,1.332,1.242,1.31,1.339,1.305,1.302,1.397,1.35,1.377,1.347,1.315,1.318,1.185,1.132,1.18,1.144,1.117,1.167,1.37,1.327,1.354,1.236,1.26,1.26,1.351,1.365,1.37,1.376,1.324,1.378,1.37,1.317,1.314,1.282,1.303,1.284,1.342,1.36,1.326,1.306,1.284,1.29,1.363,1.326,1.294,1.287,1.295,1.305,1.375,1.389,1.41,1.382,1.356,1.392,1.366,1.332,1.337,1.315,1.344,1.343,,,1.309,1.288,,,1.397,1.342,1.408,1.39
420,1.298,1.337,1.268,1.197,1.244,1.323,1.364,1.328,1.328,1.279,1.3,1.3,1.322,1.237,1.301,1.325,1.296,1.303,1.38,1.34,1.365,1.324,1.305,1.32,1.177,1.111,1.15,1.126,1.089,1.152,1.351,1.325,1.334,1.239,1.249,1.26,1.344,1.359,1.345,1.327,1.27,1.393,1.422,1.32,1.31,1.277,1.292,1.282,1.332,1.358,1.316,1.283,1.271,1.315,1.401,1.326,1.293,1.27,1.282,1.292,1.372,1.386,1.413,1.371,1.358,1.394,1.362,1.332,1.336,1.313,1.344,1.351,,,1.295,1.283,,,1.406,1.354,1.414,1.398
440,1.302,1.34,1.259,1.186,1.233,1.323,1.378,1.334,1.333,1.281,1.292,1.293,1.333,1.21,1.288,1.33,1.282,1.278,1.404,1.335,1.36,1.298,1.287,1.312,1.149,1.096,1.147,1.105,1.08,1.128,1.358,1.313,1.325,1.237,1.228,1.246,1.334,1.366,1.343,1.335,1.267,1.392,1.379,1.308,1.292,1.274,1.282,1.277,1.335,1.35,1.311,1.271,1.249,1.299,1.361,1.316,1.282,1.275,1.287,1.28,1.368,1.38,1.402,1.364,1.339,1.379,1.368,1.324,1.327,1.302,1.328,1.349,,,1.282,1.264,,,1.395,1.351,1.418,1.403
460,1.299,1.337,1.259,1.176,1.216,1.307,1.367,1.326,1.326,1.279,1.286,1.299,1.317,1.215,1.277,1.311,1.273,1.275,1.39,1.344,1.365,1.326,1.304,1.318,1.148,1.086,1.123,1.079,1.053,1.122,1.356,1.35,1.347,1.252,1.234,1.257,1.335,1.37,1.36,1.338,1.252,1.382,1.37,1.316,1.309,1.273,1.271,1.271,1.335,1.353,1.307,1.265,1.236,1.267,1.355,1.321,1.291,1.271,1.275,1.288,1.374,1.388,1.404,1.406,1.334,1.379,1.359,1.335,1.336,1.314,1.337,1.354,,,1.281,1.274,,,1.402,1.36,1.428,1.408
480,1.288,1.332,1.244,1.166,1.21,1.304,1.408,1.34,1.335,1.303,1.279,1.29,1.33,1.204,1.282,1.318,1.268,1.258,1.41,1.339,1.362,1.312,1.28,1.31,1.137,1.066,1.131,1.068,1.048,1.109,1.352,1.313,1.337,1.223,1.223,1.255,1.319,1.391,1.375,1.351,1.248,1.397,1.381,1.304,1.298,1.27,1.273,1.28,1.341,1.362,1.307,1.259,1.235,1.29,1.374,1.312,1.281,1.271,1.271,1.29,1.373,1.381,1.4,1.361,1.33,1.372,1.363,1.328,1.337,1.306,1.337,1.357,,,1.269,1.258,,,1.385,1.342,1.414,1.386
500,1.288,1.333,1.232,1.151,1.187,1.286,1.384,1.333,1.328,1.317,1.277,1.293,1.332,1.192,1.265,1.341,1.258,1.259,1.417,1.333,1.365,1.3,1.272,1.303,1.13,1.05,1.125,1.029,1.034,1.085,1.359,1.309,1.333,1.22,1.214,1.248,1.334,1.415,1.362,1.34,1.244,1.397,1.379,1.305,1.295,1.27,1.258,1.272,1.331,1.377,1.306,1.261,1.222,1.26,1.367,1.299,1.272,1.267,1.259,1.288,1.377,1.379,1.397,1.352,1.314,1.367,1.371,1.318,1.331,1.306,1.322,1.356,,,1.264,1.256,,,1.39,1.35,1.425,1.406
520,1.274,1.317,1.222,1.135,1.17,1.27,1.384,1.339,1.319,1.271,1.275,1.294,1.324,1.178,1.235,1.305,1.25,1.244,1.422,1.323,1.357,1.297,1.264,1.296,1.106,1.024,1.122,0.996,0.997,1.058,1.344,1.296,1.32,1.199,1.19,1.226,1.321,1.38,1.352,1.336,1.218,1.38,1.371,1.29,1.282,1.255,1.242,1.26,1.319,1.351,1.287,1.244,1.208,1.244,1.403,1.295,1.262,1.258,1.247,1.282,1.367,1.376,1.389,1.344,1.303,1.356,1.368,1.318,1.325,1.298,1.315,1.352,,,1.244,1.239,,,1.39,1.354,1.416,1.405
