time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.034,0.01,0.007,0.006,-0.001,0.011,-0.00075,0.006,0.02,0.01,0.016,0.016,0.015,0.002,0.013,0.014,0.007,0.02,0.003,0.009,0.00065,0.006,0.099,0.073,0.02,0.012,0.007,0.006,0.002,0.016,0.008,0.014,5e-05,0.008,-0.004,0.039,-0.005,-0.007,0.004,0.016,-0.006,0.005,0.016,0.001,-0.00055,0.004,-0.002,0.012,-0.005,0.012,0.005,-0.004,-0.005,0.014,0.006,0.003,0.008,-0.001,0.015,0.014,-0.005,0.014,0.002,0.00085,0.003,-0.00025,-0.003,0.00065,0.003,-0.002,0.003,0.008,-0.002,0.023,0.018,0.004,0.006,0.002,0.01,-0.001,0.013,0.002,0.012,0.019,,,0.049,0.043,,,0.006,0.082,0.056,0.001
20,0.03,0.008,0.003,0.124,0.022,0.025,0.006,0.006,0.01,0.01,0.011,0.016,0.016,0.008,0.006,0.01,0.014,0.021,0.013,0.015,0.015,0.016,0.049,0.226,0.016,0.011,0.007,0.009,0.019,0.019,0.016,0.015,0.01,0.013,0.015,0.023,0.016,0.007,0.007,0.013,0.013,0.016,0.016,0.012,0.01,0.016,0.012,0.022,0.011,0.011,0.007,0.01,0.012,0.01,0.016,0.012,0.012,0.015,0.023,0.021,0.012,0.014,0.011,0.014,0.014,0.011,0.017,0.014,0.011,0.014,0.018,0.018,0.016,0.026,0.015,0.015,0.014,0.013,0.021,0.014,0.01,0.018,0.037,0.018,,,0.03,0.026,,,0.002,-0.035,-0.033,-0.052
40,0.04,0.01,0.005,0.008,0.027,0.035,0.008,0.008,0.012,0.012,0.013,0.02,0.022,0.012,0.01,0.014,0.024,0.025,0.017,0.019,0.022,0.018,0.092,0.216,0.021,0.014,0.011,0.01,0.022,0.024,0.02,0.018,0.012,0.015,0.014,0.024,0.023,0.011,0.012,0.016,0.015,0.019,0.021,0.016,0.013,0.019,0.016,0.022,0.016,0.015,0.011,0.013,0.014,0.014,0.02,0.015,0.016,0.02,0.047,0.021,0.017,0.021,0.014,0.016,0.018,0.014,0.021,0.017,0.011,0.015,0.016,0.02,0.021,0.031,0.019,0.022,0.018,0.017,0.026,0.018,0.013,0.024,0.038,0.023,,,0.045,0.037,,,0.002,-0.032,-0.034,-0.059
60,0.062,0.015,0.01,0.015,0.04,0.053,0.016,0.013,0.02,0.028,0.019,0.025,0.035,0.039,0.018,0.023,0.026,0.036,0.024,0.027,0.026,0.025,0.052,0.227,0.039,0.022,0.018,0.018,0.032,0.032,0.028,0.024,0.018,0.02,0.016,0.023,0.034,0.02,0.018,0.024,0.024,0.03,0.03,0.023,0.019,0.027,0.023,0.028,0.022,0.021,0.016,0.018,0.019,0.019,0.028,0.021,0.021,0.027,0.059,0.024,0.024,0.034,0.021,0.025,0.025,0.021,0.027,0.021,0.014,0.017,0.015,0.018,0.03,0.044,0.028,0.031,0.026,0.025,0.036,0.026,0.02,0.032,0.042,0.029,,,0.072,0.056,,,0.06,0.014,0.006,-0.026
80,0.105,0.024,0.019,0.024,0.069,0.089,0.026,0.021,0.034,0.032,0.03,0.04,0.056,0.082,0.032,0.036,0.042,0.06,0.04,0.043,0.046,0.04,0.07,0.225,0.056,0.037,0.036,0.034,0.048,0.053,0.043,0.041,0.028,0.031,0.025,0.023,0.118,0.034,0.032,0.041,0.041,0.05,0.046,0.037,0.03,0.04,0.035,0.041,0.033,0.032,0.025,0.064,0.03,0.028,0.038,0.03,0.03,0.038,0.065,0.033,0.042,0.055,0.035,0.038,0.036,0.032,0.039,0.029,0.017,0.019,0.017,0.019,0.045,0.066,0.044,0.048,0.039,0.037,0.052,0.042,0.031,0.048,0.058,0.045,,,0.111,0.088,,,0.134,0.053,0.041,-0.007
100,0.176,0.046,0.037,0.049,0.12,0.153,0.05,0.041,0.063,0.055,0.048,0.063,0.099,0.075,0.061,0.066,0.074,0.105,0.069,0.074,0.075,0.069,0.093,0.234,0.099,0.064,0.06,0.061,0.08,0.087,0.073,0.064,0.047,0.049,0.034,0.022,0.097,0.063,0.057,0.071,0.072,0.083,0.074,0.058,0.046,0.062,0.052,0.058,0.049,0.047,0.035,0.041,0.044,0.042,0.055,0.044,0.041,0.052,0.076,0.05,0.072,0.088,0.055,0.063,0.055,0.047,0.054,0.04,0.022,0.021,0.02,0.018,0.074,0.104,0.068,0.071,0.059,0.056,0.076,0.064,0.049,0.124,0.075,0.064,,,0.181,0.145,,,0.217,0.095,0.062,-0.008
120,0.288,0.082,0.071,0.078,0.206,0.259,0.092,0.075,0.116,0.097,0.084,0.105,0.171,0.115,0.109,0.114,0.143,0.18,0.116,0.128,0.124,0.11,0.144,0.248,0.167,0.11,0.107,0.105,0.136,0.149,0.121,0.106,0.077,0.077,0.045,0.024,0.164,0.114,0.106,0.124,0.129,0.138,0.124,0.094,0.073,0.093,0.08,0.084,0.074,0.074,0.059,0.063,0.066,0.063,0.083,0.068,0.062,0.081,0.101,0.069,0.126,0.148,0.094,0.103,0.086,0.073,0.103,0.07,0.031,0.024,0.018,0.02,0.126,0.158,0.11,0.114,0.091,0.088,0.113,0.099,0.079,0.103,0.102,0.09,,,0.287,0.236,,,0.371,0.226,0.171,0.056
140,0.394,0.141,0.126,0.138,0.318,0.369,0.162,0.13,0.198,0.167,0.14,0.171,0.281,0.199,0.187,0.195,0.209,0.288,0.197,0.206,0.204,0.182,0.189,0.276,0.271,0.189,0.187,0.189,0.232,0.251,0.201,0.177,0.128,0.124,0.064,0.023,0.27,0.199,0.184,0.216,0.218,0.243,0.213,0.158,0.122,0.154,0.129,0.133,0.117,0.117,0.094,0.103,0.106,0.098,0.127,0.106,0.092,0.125,0.138,0.107,0.213,0.246,0.16,0.172,0.138,0.145,0.141,0.075,0.039,0.027,0.018,0.019,0.211,0.256,0.184,0.19,0.148,0.143,0.176,0.164,0.128,0.159,0.145,0.132,,,0.404,0.336,,,0.433,0.281,0.22,0.046
160,0.521,0.233,0.213,0.232,0.433,0.482,0.261,0.214,0.299,0.28,0.221,0.259,0.383,0.311,0.29,0.296,0.317,0.384,0.298,0.312,0.325,0.282,0.256,0.305,0.37,0.3,0.308,0.303,0.344,0.352,0.308,0.286,0.214,0.198,0.098,0.024,0.366,0.301,0.286,0.32,0.317,0.34,0.308,0.253,0.196,0.236,0.2,0.204,0.183,0.236,0.198,0.166,0.17,0.203,0.256,0.17,0.145,0.195,0.199,0.169,0.316,0.366,0.275,0.263,0.222,0.217,0.221,0.107,0.056,0.033,0.02,0.019,0.313,0.355,0.278,0.282,0.234,0.217,0.267,0.242,0.187,0.244,0.221,0.204,,,0.509,0.441,,,0.573,0.41,0.336,0.133
180,0.649,0.321,0.306,0.322,0.539,0.582,0.351,0.309,0.395,0.356,0.322,0.352,0.502,0.402,0.387,0.396,0.417,0.5,0.394,0.408,0.421,0.376,0.35,0.333,0.482,0.401,0.403,0.408,0.456,0.461,0.406,0.363,0.301,0.279,0.136,0.024,0.482,0.403,0.397,0.432,0.44,0.46,0.416,0.335,0.282,0.315,0.288,0.287,0.273,0.288,0.245,0.258,0.262,0.25,0.329,0.264,0.233,0.29,0.303,0.265,0.418,0.464,0.351,0.348,0.305,0.258,0.242,0.15,0.063,0.034,0.02,0.019,0.404,0.459,0.366,0.369,0.323,0.313,0.353,0.335,0.281,0.331,0.302,0.29,,,0.63,0.545,,,0.729,0.522,0.441,0.216
200,0.83,0.426,0.407,0.431,0.679,0.696,0.457,0.398,0.488,0.442,0.386,0.422,0.629,0.511,0.498,0.504,0.519,0.617,0.498,0.515,0.51,0.474,0.442,0.41,0.606,0.528,0.537,0.538,0.583,0.582,0.513,0.465,0.378,0.345,0.185,0.024,0.589,0.513,0.517,0.551,0.558,0.57,0.518,0.428,0.356,0.394,0.354,0.347,0.348,0.361,0.325,0.344,0.347,0.335,0.39,0.344,0.317,0.371,0.367,0.337,0.517,0.567,0.461,0.462,0.395,0.335,0.304,0.196,0.083,0.037,0.02,0.02,0.507,0.574,0.481,0.474,0.397,0.382,0.432,0.405,0.35,0.398,0.376,0.35,,,0.765,0.676,,,0.864,0.667,0.566,0.308
220,0.976,0.525,0.52,0.556,0.861,0.841,0.578,0.496,0.582,0.542,0.495,0.518,0.809,0.635,0.62,0.628,0.64,0.779,0.615,0.639,0.624,0.589,0.504,0.459,0.779,0.662,0.674,0.687,0.755,0.741,0.656,0.592,0.492,0.455,0.247,0.024,0.759,0.671,0.671,0.725,0.73,0.741,0.655,0.536,0.467,0.531,0.469,0.458,0.46,0.479,0.434,0.459,0.456,0.443,0.502,0.451,0.423,0.512,0.489,0.459,0.658,0.706,0.564,0.558,0.499,0.438,0.388,0.25,0.112,0.044,0.023,0.02,0.638,0.727,0.597,0.595,0.512,0.504,0.561,0.527,0.465,0.52,0.472,0.456,,,0.882,0.836,,,0.952,0.843,0.732,0.414
240,1.052,0.661,0.674,0.709,0.95,0.95,0.709,0.585,0.676,0.605,0.557,0.562,0.935,0.783,0.781,0.796,0.797,0.9,0.749,0.767,0.742,0.702,0.6,0.512,0.894,0.856,0.941,0.907,0.95,0.899,0.798,0.71,0.577,0.516,0.289,0.024,0.886,0.818,0.841,0.882,0.883,0.897,0.795,0.635,0.543,0.581,0.536,0.57,0.556,0.586,0.544,0.57,0.579,0.545,0.616,0.587,0.558,0.604,0.582,0.552,0.803,0.855,0.689,0.682,0.59,0.501,0.448,0.298,0.185,0.05,0.024,0.019,0.779,0.871,0.739,0.72,0.612,0.599,0.651,0.624,0.542,0.607,0.553,0.525,,,0.946,0.923,,,0.979,0.907,0.842,0.512
260,1.113,0.812,0.828,0.891,1.033,1.022,0.846,0.693,0.784,0.695,0.625,0.636,1.032,0.896,0.922,0.928,0.946,1.038,0.916,0.94,0.894,0.854,0.718,0.56,0.991,1.017,1.042,1.072,1.105,1.042,0.975,0.878,0.724,0.634,0.367,0.025,0.986,0.982,0.98,1.009,1.0,1.043,0.953,0.804,0.652,0.693,0.634,0.641,0.7,0.74,0.684,0.731,0.73,0.711,0.791,0.725,0.669,0.771,0.76,0.71,0.935,0.966,0.834,0.826,0.728,0.602,0.548,0.342,0.171,0.055,0.024,0.021,0.918,0.973,0.884,0.878,0.748,0.695,0.799,0.755,0.664,0.728,0.671,0.646,,,1.012,0.982,,,1.038,0.988,0.959,0.659
280,1.214,0.914,0.935,1.002,1.086,1.08,0.933,0.852,0.932,0.806,0.717,0.732,1.083,0.957,1.024,1.007,1.038,1.091,1.007,1.04,1.002,0.973,0.837,0.677,1.036,1.053,1.069,1.088,1.087,1.204,1.113,0.957,0.867,0.763,0.404,0.025,1.047,0.998,1.012,1.025,1.023,1.077,1.072,0.937,0.802,0.827,0.751,0.74,0.848,0.888,0.842,0.89,0.851,0.886,0.942,0.856,0.812,0.899,0.892,0.856,0.999,1.048,0.954,0.938,0.866,0.729,0.611,0.394,0.203,0.064,0.025,0.019,0.976,1.105,1.019,1.019,0.892,0.822,0.877,0.875,0.784,0.848,0.781,0.738,,,1.041,1.014,,,1.09,1.042,0.993,0.788
300,1.263,0.97,0.983,1.025,1.112,1.13,0.97,0.979,1.049,0.896,0.8,0.798,1.133,0.993,1.024,1.008,1.033,1.106,1.009,1.041,1.026,1.014,0.978,0.736,1.082,1.058,1.07,1.109,1.159,1.16,1.124,1.027,0.962,0.868,0.442,0.025,1.076,1.035,1.034,1.036,1.026,1.085,1.087,1.02,0.919,0.945,0.881,0.866,0.946,0.981,0.946,0.977,0.968,0.993,0.987,0.944,0.904,0.997,0.962,0.932,1.032,1.089,1.041,1.028,0.961,0.858,0.692,0.431,0.222,0.073,0.027,0.02,1.024,1.144,1.071,1.095,0.992,0.941,0.958,0.974,0.872,0.952,0.871,0.829,,,1.082,1.041,,,1.087,1.068,1.013,0.882
320,1.298,1.011,1.04,1.072,1.198,1.197,1.025,1.097,1.167,1.008,0.888,0.884,1.175,1.038,1.097,1.093,1.127,1.186,1.088,1.129,1.08,1.082,1.04,0.784,1.147,1.115,1.121,1.16,1.191,1.184,1.17,1.063,1.041,0.959,0.491,0.026,1.14,1.08,1.08,1.09,1.092,1.146,1.148,1.123,1.028,1.048,1.012,0.99,1.028,1.046,1.029,1.059,1.038,1.031,1.06,1.021,0.99,1.025,1.035,1.009,1.094,1.133,1.099,1.091,1.055,0.983,0.847,0.477,0.253,0.083,0.028,0.022,1.075,1.198,1.13,1.101,1.089,1.043,1.061,1.098,1.013,1.067,1.003,0.939,,,1.136,1.109,,,1.144,1.123,1.074,0.963
340,1.27,1.065,1.088,1.079,1.262,1.24,1.148,1.211,1.268,1.158,1.001,0.989,1.202,1.095,1.125,1.116,1.205,1.268,1.167,1.199,1.146,1.162,1.071,0.793,1.174,1.161,1.164,1.22,1.203,1.226,1.188,1.098,1.071,1.016,0.533,0.025,1.196,1.13,1.167,1.151,1.156,1.173,1.198,1.158,1.117,1.114,1.083,1.045,1.093,1.106,1.079,1.107,1.068,1.06,1.137,1.059,1.036,1.077,1.079,1.055,1.143,1.173,1.141,1.157,1.111,1.058,0.94,0.536,0.286,0.095,0.03,0.022,1.129,1.231,1.188,1.185,1.141,1.11,1.15,1.19,1.125,1.174,1.114,1.043,,,1.164,1.125,,,1.171,1.138,1.138,1.03
360,1.283,1.108,1.107,1.145,1.294,1.286,1.146,1.269,1.313,1.266,1.104,1.071,1.25,1.129,1.162,1.149,1.232,1.271,1.237,1.262,1.21,1.237,1.124,0.816,1.222,1.171,1.173,1.195,1.247,1.289,1.251,1.135,1.11,1.048,0.597,0.027,1.242,1.154,1.17,1.169,1.197,1.23,1.24,1.178,1.164,1.141,1.138,1.114,1.129,1.162,1.137,1.151,1.128,1.119,1.166,1.118,1.152,1.153,1.142,1.113,1.184,1.206,1.17,1.164,1.14,1.108,1.026,0.626,0.372,0.108,0.031,0.021,1.176,1.248,1.2,1.212,1.176,1.151,1.188,1.24,1.199,1.228,1.18,1.122,,,1.212,1.151,,,1.207,1.181,1.248,1.111
380,1.357,1.151,1.168,1.162,1.372,1.303,1.158,1.292,1.344,1.328,1.183,1.142,1.283,1.159,1.22,1.199,1.246,1.28,1.227,1.27,1.21,1.231,1.18,0.998,1.268,1.231,1.238,1.283,1.312,1.275,1.271,1.177,1.15,1.083,0.649,0.025,1.257,1.197,1.21,1.228,1.232,1.239,1.259,1.238,1.197,1.178,1.167,1.155,1.167,1.188,1.152,1.178,1.151,1.161,1.203,1.14,1.115,1.149,1.158,1.136,1.227,1.23,1.209,1.197,1.17,1.134,1.098,0.675,0.331,0.11,0.03,0.02,1.217,1.259,1.247,1.366,1.22,1.18,1.222,1.25,1.245,1.317,1.297,1.204,,,1.206,1.152,,,1.198,1.205,1.322,1.153
