time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,32.0,16.0,23.0,9.0,17.0,16.0,17.0,13.0,7.0,11.0,11.0,15.0,23.0,32.0,27.0,28.0,27.0,25.0,24.0,30.0,31.0,31.0,25.0,23.0,26.0,17.0,18.0,11.0,27.0,16.0,27.0,9.0,9.0,8.0,10.0,26.0,22.0,15.0,8.0,18.0,11.0,3.0,11.0,8.0,5.0,1.0,4.0,-6.0,7.0,25.0,23.0,20.0,19.0,16.0,15.0,19.0,14.0,14.0,7.0,5.0,14.0,20.0,18.0,19.0,13.0,18.0,22.0,14.0,14.0,17.0,13.0,19.0,,,24.0,4.0,,,14.0,7.0,626.0,481.0
20,27.5,20.5,20.5,21.5,22.5,21.5,24.5,19.5,14.5,14.5,22.5,21.5,25.5,27.5,25.5,26.5,23.5,31.5,21.5,32.5,28.5,25.5,23.5,29.5,21.5,14.5,12.5,13.5,12.5,12.5,13.5,11.5,12.5,16.5,15.5,22.5,19.5,12.5,10.5,15.5,10.5,10.5,8.5,0.5,8.5,9.5,11.5,14.5,19.5,14.5,14.5,14.5,14.5,20.5,16.5,16.5,15.5,14.5,14.5,21.5,20.5,16.5,16.5,22.5,20.5,19.5,18.5,16.5,8.5,18.5,17.5,16.5,,,27.5,5.5,,,26.0,21.0,393.0,340.0
40,31.5,23.5,20.5,16.5,15.5,20.5,18.5,17.5,15.5,17.5,17.5,16.5,27.5,23.5,22.5,24.5,21.5,30.5,21.5,21.5,22.5,26.5,20.5,21.5,22.5,16.5,25.5,33.5,27.5,35.5,36.5,34.5,44.5,33.5,39.5,34.5,13.5,12.5,10.5,13.5,3.5,6.5,5.5,8.5,2.5,7.5,2.5,5.5,23.5,34.5,43.5,43.5,40.5,48.5,40.5,54.5,51.5,54.5,59.5,59.5,22.5,14.5,16.5,15.5,21.5,19.5,12.5,20.5,16.5,25.5,26.5,39.5,,,31.5,5.5,,,18.0,9.0,515.0,467.0
60,34.0,17.0,19.0,13.0,13.0,18.0,20.0,13.0,14.0,15.0,20.0,17.0,21.0,24.0,16.0,21.0,17.0,20.0,18.0,22.0,23.0,19.0,15.0,25.0,16.0,14.0,32.0,54.0,55.0,71.0,76.0,73.0,92.0,75.0,91.0,62.0,10.0,8.0,4.0,3.0,6.0,5.0,3.0,0.0,3.0,3.0,2.0,6.0,16.0,94.0,102.0,112.0,108.0,135.0,110.0,131.0,129.0,138.0,159.0,161.0,18.0,15.0,11.0,12.0,13.0,14.0,13.0,14.0,19.0,40.0,50.0,73.0,,,31.0,9.0,,,26.5,22.5,668.5,622.5
80,26.5,14.5,17.5,13.5,15.5,12.5,20.5,19.5,15.5,12.5,15.5,23.5,18.5,23.5,19.5,11.5,15.5,20.5,14.5,18.5,19.5,17.5,15.5,21.5,20.5,10.5,38.5,75.5,90.5,128.5,130.5,133.5,167.5,137.5,184.5,104.5,11.5,6.5,3.5,5.5,0.5,1.5,1.5,2.5,-0.5,-0.5,1.5,6.5,14.5,201.5,235.5,257.5,259.5,321.5,272.5,305.5,305.5,317.5,388.5,372.5,13.5,17.5,16.5,11.5,12.5,16.5,9.5,14.5,28.5,47.5,88.5,150.5,,,27.5,10.5,,,31.0,27.0,832.0,780.0
100,30.0,19.0,12.0,11.0,20.0,16.0,26.0,16.0,22.0,20.0,62.0,95.0,22.0,26.0,23.0,22.0,20.0,30.0,19.0,27.0,30.0,21.0,14.0,31.0,20.0,21.0,48.0,105.0,142.0,217.0,217.0,239.0,301.0,246.0,331.0,176.0,10.0,10.0,5.0,11.0,12.0,11.0,5.0,6.0,5.0,1.0,8.0,6.0,23.0,428.0,544.0,613.0,602.0,748.0,632.0,697.0,708.0,723.0,870.0,834.0,18.0,24.0,24.0,18.0,14.0,12.0,16.0,20.0,34.0,81.0,169.0,311.0,,,38.0,14.0,,,34.5,23.5,912.5,900.5
120,45.0,35.0,27.0,17.0,24.0,24.0,29.0,27.0,35.0,56.0,276.0,364.0,29.0,28.0,27.0,31.0,29.0,32.0,23.0,33.0,35.0,30.0,28.0,35.0,32.0,28.0,58.0,148.0,216.0,365.0,360.0,408.0,514.0,396.0,557.0,277.0,22.0,15.0,15.0,16.0,12.0,15.0,10.0,18.0,11.0,7.0,16.0,19.0,27.0,736.0,963.0,1166.0,1168.0,1414.0,1213.0,1337.0,1362.0,1412.0,1694.0,1595.0,28.0,25.0,24.0,24.0,20.0,26.0,22.0,27.0,43.0,104.0,244.0,474.0,,,50.0,19.0,,,46.0,29.0,1093.0,1096.0
140,48.0,33.0,34.0,16.0,32.0,26.0,41.0,38.0,112.0,192.0,902.0,1102.0,32.0,38.0,32.0,35.0,32.0,32.0,27.0,34.0,42.0,33.0,32.0,34.0,28.0,28.0,73.0,200.0,347.0,624.0,593.0,700.0,901.0,674.0,916.0,394.0,25.0,15.0,20.0,12.0,11.0,13.0,12.0,6.0,13.0,9.0,15.0,17.0,24.0,1074.0,1520.0,1918.0,1959.0,2382.0,2069.0,2267.0,2304.0,2396.0,2831.0,2672.0,27.0,24.0,28.0,33.0,27.0,31.0,24.0,25.0,55.0,127.0,332.0,684.0,,,53.0,34.0,,,57.0,44.0,1364.0,1346.0
160,56.0,49.0,57.0,30.0,62.0,82.0,461.0,403.0,1050.0,942.0,2891.0,3171.0,49.0,49.0,40.0,46.0,49.0,53.0,40.0,49.0,53.0,49.0,43.0,49.0,47.0,46.0,101.0,351.0,619.0,1130.0,1063.0,1277.0,1620.0,1176.0,1497.0,553.0,37.0,28.0,27.0,24.0,22.0,30.0,22.0,29.0,23.0,23.0,27.0,24.0,40.0,1671.0,2368.0,3142.0,3231.0,3963.0,3444.0,3768.0,3795.0,3951.0,4664.0,4310.0,49.0,45.0,41.0,44.0,46.0,46.0,43.0,49.0,75.0,196.0,531.0,1074.0,,,71.0,46.0,,,71.5,62.5,1724.5,1703.5
180,99.0,89.0,123.0,88.0,285.0,1282.0,3867.0,3445.0,4738.0,3848.0,7178.0,7499.0,69.0,73.0,71.0,66.0,65.0,71.0,65.0,67.0,76.0,70.0,63.0,67.0,63.0,66.0,200.0,721.0,1191.0,2026.0,1949.0,2196.0,2723.0,1961.0,2417.0,752.0,50.0,39.0,47.0,40.0,39.0,40.0,35.0,40.0,33.0,40.0,41.0,50.0,55.0,2783.0,3924.0,5228.0,5343.0,6536.0,5670.0,6140.0,6157.0,6369.0,7408.0,6739.0,65.0,68.0,56.0,57.0,59.0,64.0,61.0,70.0,108.0,350.0,943.0,1859.0,,,90.0,70.0,,,105.0,99.0,2238.0,2296.0
