time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,23,32,28,25,30,31,23,23,17,17,7,11,14,20,19,18,14,17,19,23,19,15,14,7,,,24,4,,,14,7,626,481
20,25.5,27.5,26.5,31.5,32.5,25.5,29.5,20.5,22.5,24.5,14.5,22.5,20.5,16.5,22.5,19.5,16.5,18.5,16.5,14.5,14.5,16.5,15.5,14.5,,,27.5,5.5,,,26,21,393,340
40,27.5,23.5,24.5,30.5,21.5,26.5,21.5,20.5,15.5,18.5,15.5,17.5,22.5,14.5,15.5,19.5,20.5,25.5,39.5,43.5,40.5,40.5,51.5,59.5,,,31.5,5.5,,,18,9,515,467
60,21,24,21,20,22,19,25,19,13,20,14,20,18,15,12,14,14,40,73,102,108,110,129,159,,,31,9,,,26.5,22.5,668.5,622.5
80,18.5,23.5,11.5,20.5,18.5,17.5,21.5,17.5,15.5,20.5,15.5,15.5,13.5,17.5,11.5,16.5,14.5,47.5,150.5,235.5,259.5,272.5,305.5,388.5,,,27.5,10.5,,,31,27,832,780
100,22,26,22,30,27,21,31,12,20,26,22,62,18,24,18,12,20,81,311,544,602,632,708,870,,,38,14,,,34.5,23.5,912.5,900.5
120,29,28,31,32,33,30,35,27,24,29,35,276,28,25,24,26,27,104,474,963,1168,1213,1362,1694,,,50,19,,,46,29,1093,1096
140,32,38,35,32,34,33,34,34,32,41,112,902,27,24,33,31,25,127,684,1520,1959,2069,2304,2831,,,53,34,,,57,44,1364,1346
160,49,49,46,53,49,49,49,57,62,461,1050,2891,49,45,44,46,49,196,1074,2368,3231,3444,3795,4664,,,71,46,,,71.5,62.5,1724.5,1703.5
180,69,73,66,71,67,70,67,123,285,3867,4738,7178,65,68,57,64,70,350,1859,3924,5343,5670,6157,7408,,,90,70,,,105,99,2238,2296
200,117,120,111,111,123,117,108,485,1988,9931,10581,12946,102,101,92,100,106,649,2869,6007,9145,9294,10017,11522,,,133,107,,,146.5,139.5,3102.5,3159.5
220,196.5,206.5,187.5,188.5,206.5,194.5,202.5,1116.5,6676.5,18151.5,17985.5,19868.5,154.5,152.5,148.5,151.5,188.5,1093.5,3478.5,7030.5,14288.5,15245.5,16026.5,17598.5,,,177.5,151.5,,,184,181,4265,4350
240,272.5,272.5,253.5,259.5,282.5,275.5,308.5,1627.5,12671.5,27744.5,26608.5,28245.5,226.5,226.5,217.5,235.5,319.5,1650.5,3742.5,7011.5,17471.5,22970.5,23896.5,25435.5,,,241.5,206.5,,,252.5,240.5,5629.5,5802.5
260,352.5,345.5,319.5,335.5,347.5,347.5,401.5,2080.5,18006.5,38739.5,36262.5,37585.5,320.5,300.5,300.5,322.5,476.5,2061.5,3852.5,6934.5,18286.5,31548.5,32485.5,34047.5,,,275.5,242.5,,,308,288,6658,6987
280,429.5,427.5,394.5,409.5,431.5,436.5,507.5,2649.5,23558.5,50837.5,46599.5,47669.5,388.5,363.5,364.5,375.5,609.5,2348.5,3859.5,6808.5,18482.5,39275.5,42694.5,43856.5,,,304.5,277.5,,,341.5,335.5,7386.5,7901.5
300,520,499,477,495,522,553,684,3128,28693,65164,58030,58572,455,430,431,467,751,2493,3906,6785,18421,44142,54143,54733,,,353,323,,,390,371,8196,8777
320,581,563,553,557,588,637,821,3491,32580,79661,70058,70027,529,493,489,542,869,2601,3947,6825,18336,46515,67811,67444,,,377,352,,,421,407,8894,9669
340,649,616,607,621,654,709,924,3751,35792,95465,83643,82608,597,558,550,619,998,2693,4008,6811,18309,48233,81930,81979,,,424,382,,,459.5,446.5,9808.5,10425.5
360,700,664,670,672,700,767,1021,3910,38032,109354,96954,95355,666,629,631,688,1132,2762,4090,6906,18314,49290,94379,96641,,,456,410,,,491.5,486.5,10474.5,11079.5
380,751,713,723,716,748,821,1083,3997,39438,120479,111572,107489,729,676,685,766,1238,2821,4147,6883,18349,50484,104024,109406,,,482,437,,,525,520,10794,11609
400,789,747,769,757,787,860,1132,4101,40472,130468,126373,121095,787,721,745,831,1299,2882,4174,6900,18454,50985,112630,118934,,,515,465,,,542,540,11313,12217
420,833.5,774.5,783.5,799.5,808.5,896.5,1173.5,4190.5,41297.5,138942.5,140398.5,132599.5,832.5,756.5,784.5,876.5,1358.5,2896.5,4222.5,6917.5,18439.5,51570.5,118705.5,128100.5,,,537.5,495.5,,,586.5,576.5,11592.5,12594.5
440,866.5,806.5,819.5,829.5,841.5,938.5,1218.5,4255.5,41892.5,146686.5,152945.5,147389.5,873.5,807.5,821.5,932.5,1419.5,2929.5,4242.5,6946.5,18484.5,51825.5,122855.5,135867.5,,,562.5,521.5,,,602,591,11844,13045
460,896.5,837.5,860.5,851.5,874.5,970.5,1262.5,4279.5,42552.5,154281.5,164188.5,159687.5,917.5,839.5,860.5,963.5,1457.5,2914.5,4264.5,7015.5,18465.5,51868.5,124935.5,142655.5,,,587.5,541.5,,,633.5,619.5,12294.5,13487.5
480,926.5,862.5,879.5,888.5,901.5,1001.5,1302.5,4341.5,42967.5,160189.5,175156.5,173112.5,951.5,867.5,889.5,1006.5,1512.5,2968.5,4325.5,7043.5,18477.5,52150.5,127994.5,151063.5,,,608.5,564.5,,,640.5,635.5,12737.5,13881.5
500,950,877,906,903,932,1017,1340,4378,43332,166141,184052,186310,988,892,920,1033,1529,2996,4331,7052,18498,51958,128469,157861,,,630,583,,,663.5,652.5,12861.5,14238.5
520,975.5,889.5,915.5,932.5,952.5,1052.5,1355.5,4428.5,43693.5,172433.5,194808.5,200334.5,1033.5,915.5,937.5,1057.5,1574.5,3035.5,4390.5,7116.5,18687.5,52097.5,129340.5,164548.5,,,647.5,600.5,,,684,675,13217,14631
540,1000,917,952,953,968,1080,1389,4479,44061,176931,203555,213366,1052,941,957,1083,1602,3050,4420,7078,18746,52249,130068,169425,,,664,605,,,698.5,682.5,13509.5,14886.5
560,1002.5,917.5,954.5,957.5,980.5,1080.5,1399.5,4502.5,44428.5,180263.5,210703.5,225945.5,1063.5,945.5,970.5,1088.5,1604.5,3036.5,4446.5,7084.5,18590.5,52333.5,130027.5,173295.5,,,682.5,615.5,,,709.5,696.5,13909.5,15145.5
580,1031,951,967,983,1002,1118,1441,4528,44520,182585,218233,236299,1072,965,997,1113,1621,3062,4463,7170,18746,52643,131156,177038,,,685,641,,,719.5,715.5,13853.5,15447.5
600,1049,973,996,988,1014,1127,1458,4548,44813,186221,226263,246777,1085,982,1014,1139,1639,3075,4478,7162,18764,52552,131855,177914,,,704,649,,,730.5,727.5,14126.5,15719.5
620,1050,981,1009,1012,1038,1160,1464,4604,44922,189015,233832,254416,1101,997,1039,1139,1657,3064,4455,7183,18846,52396,132602,178984,,,715,658,,,754.5,738.5,14190.5,15968.5
640,1080,984,1018,1031,1046,1162,1487,4626,45069,192274,241177,259513,1127,1010,1038,1163,1685,3105,4497,7208,18892,52742,133610,181829,,,731,683,,,770.5,755.5,14472.5,16202.5
660,1099.5,1001.5,1031.5,1038.5,1062.5,1183.5,1496.5,4631.5,45142.5,193527.5,246516.5,259509.5,1138.5,1013.5,1053.5,1178.5,1701.5,3126.5,4531.5,7235.5,18791.5,52634.5,134229.5,183054.5,,,743.5,681.5,,,775,757,14526,16295
680,1108,1014,1046,1047,1087,1185,1526,4685,45489,194414,249449,259509,1170,1040,1059,1197,1699,3143,4549,7226,18795,52853,134972,185888,,,755,690,,,796,780,14528,16539
700,1119,1021,1061,1067,1102,1203,1528,4712,45719,197970,252704,259508,1168,1047,1081,1186,1716,3139,4559,7269,18928,52880,135356,188123,,,770,707,,,808,781,14893,16528
720,1124,1023,1062,1070,1106,1224,1559,4729,45773,199459,255271,259503,1182,1056,1081,1204,1734,3165,4553,7293,19012,52828,135771,189973,,,781,722,,,809.5,804.5,14758.5,16599.5
740,1144.5,1042.5,1072.5,1086.5,1117.5,1237.5,1565.5,4762.5,45989.5,200956.5,258765.5,259500.5,1195.5,1057.5,1084.5,1228.5,1757.5,3176.5,4581.5,7252.5,18989.5,53292.5,136681.5,193176.5,,,793.5,719.5,,,817,807,14717,16857
760,1160.5,1067.5,1092.5,1102.5,1138.5,1254.5,1588.5,4797.5,45998.5,201961.5,259359.5,259501.5,1205.5,1067.5,1100.5,1235.5,1759.5,3196.5,4607.5,7317.5,19053.5,53370.5,137049.5,195443.5,,,800.5,732.5,,,834.5,819.5,14895.5,16847.5
780,1171.5,1071.5,1100.5,1121.5,1151.5,1272.5,1612.5,4769.5,46135.5,203663.5,259499.5,259499.5,1209.5,1082.5,1114.5,1240.5,1777.5,3204.5,4612.5,7251.5,19021.5,53383.5,138219.5,197764.5,,,820.5,751.5,,,839.5,835.5,15255.5,17025.5
