time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.029,0.028,0.061,0.028,0.028,0.03,0.03,0.066,0.03,0.027,0.041,0.028,0.006,0.028,0.011,0.02,0.03,0.025,0.06,0.029,0.035,0.021,0.032,0.021,0.008,0.039,0.059,0.025,0.061,0.028,0.06,0.004,0.0007,0.02,0.002,0.011,0.018,0.003,0.016,0.048,0.009,0.01,-0.0008,0.003,0.006,0.011,0.026,0.036,0.0005,0.024,0.045,0.027,0.018,-0.0007,0.02,0.022,0.027,0.029,-0.003,0.0,0.016,0.034,0.024,0.015,0.013,0.03,0.022,0.026,0.038,0.029,0.011,0.036,,,0.037,0.024,,,0.031,0.046,0.035,0.02
20,0.027,0.034,0.03,0.179,0.027,0.017,0.022,0.024,0.015,0.027,0.029,0.025,0.032,0.019,0.017,0.016,0.018,0.017,0.022,0.02,0.021,0.014,0.037,0.035,0.018,0.02,0.029,0.017,0.01,0.021,0.019,0.023,0.024,0.036,0.019,0.018,0.021,0.018,0.016,0.015,0.014,0.015,0.019,0.016,0.017,0.018,0.014,0.018,0.015,0.018,0.022,0.042,0.014,0.026,0.024,0.026,0.023,0.018,0.016,0.02,0.035,0.02,0.018,0.028,0.022,0.019,0.021,0.02,0.02,0.016,0.016,0.024,,,0.078,0.031,,,0.102,0.056,0.023,0.06
40,-2.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,-6.911,-7.363,-7.566,-7.694
60,0.04,0.04,0.034,0.02,0.03,0.027,0.031,0.03,0.031,0.024,0.038,0.042,0.031,0.028,0.024,0.025,0.03,0.028,0.03,0.034,0.041,0.032,0.048,0.038,0.033,0.033,0.03,0.026,0.018,0.025,0.027,0.025,0.027,0.037,0.025,0.018,0.03,0.028,0.024,0.026,0.022,0.026,0.025,0.024,0.024,0.025,0.025,0.026,0.023,0.03,0.027,0.04,0.022,0.029,0.03,0.032,0.029,0.03,0.027,0.029,0.043,0.032,0.029,0.03,0.028,0.034,0.035,0.03,0.028,0.027,0.028,0.037,,,0.082,0.053,,,0.035,0.075,0.04,0.038
80,0.058,0.065,0.052,0.028,0.047,0.042,0.05,0.047,0.05,0.036,0.057,0.058,0.046,0.043,0.037,0.039,0.045,0.044,0.043,0.051,0.055,0.042,0.058,0.05,0.049,0.055,0.042,0.04,0.033,0.036,0.041,0.038,0.042,0.047,0.033,0.022,0.042,0.039,0.037,0.041,0.037,0.041,0.043,0.039,0.037,0.038,0.038,0.042,0.036,0.168,0.04,0.052,0.035,0.162,0.209,0.166,0.044,0.043,0.042,0.04,0.057,0.049,0.047,0.047,0.043,0.05,0.188,0.157,0.043,0.042,0.04,0.053,,,0.113,0.083,,,0.065,0.099,0.057,0.22
100,0.094,0.1,0.093,0.055,0.081,0.07,0.081,0.076,0.083,0.063,0.087,0.092,0.076,0.075,0.064,0.068,0.07,0.073,0.071,0.082,0.091,0.07,0.089,0.076,0.073,0.085,0.071,0.068,0.057,0.06,0.065,0.061,0.066,0.066,0.048,0.028,0.069,0.066,0.066,0.071,0.061,0.07,0.07,0.066,0.066,0.062,0.063,0.069,0.061,0.07,0.063,0.077,0.056,0.069,0.064,0.072,0.156,0.066,0.065,0.06,0.086,0.08,0.076,0.078,0.074,0.086,0.084,0.08,0.071,0.07,0.067,0.08,,,0.166,0.13,,,0.117,0.147,0.093,0.129
120,0.168,0.16,0.156,0.094,0.131,0.12,0.139,0.126,0.138,0.106,0.148,0.155,0.126,0.123,0.106,0.115,0.119,0.12,0.121,0.139,0.15,0.117,0.13,0.119,0.131,0.154,0.111,0.114,0.096,0.098,0.106,0.098,0.098,0.094,0.067,0.031,0.111,0.107,0.109,0.122,0.108,0.118,0.111,0.109,0.105,0.104,0.104,0.11,0.102,0.114,0.202,0.113,0.093,0.237,0.27,0.193,0.1,0.118,0.098,0.087,0.148,0.134,0.166,0.13,0.128,0.301,0.388,0.208,0.118,0.118,0.114,0.124,,,0.254,0.212,,,0.202,0.223,0.156,0.226
140,0.284,0.266,0.249,0.165,0.227,0.208,0.228,0.218,0.232,0.185,0.236,0.258,0.209,0.212,0.186,0.195,0.201,0.206,0.205,0.238,0.25,0.21,0.212,0.197,0.216,0.244,0.184,0.195,0.16,0.167,0.177,0.162,0.159,0.146,0.104,0.043,0.18,0.178,0.183,0.219,0.176,0.268,0.19,0.179,0.174,0.172,0.171,0.181,0.173,0.268,0.167,0.17,0.143,0.327,0.272,0.16,0.153,0.146,0.147,0.129,0.239,0.22,0.213,0.216,0.207,0.226,0.221,0.217,0.191,0.194,0.19,0.195,,,0.365,0.321,,,0.302,0.337,0.251,0.446
160,0.394,0.384,0.36,0.269,0.343,0.313,0.336,0.332,0.354,0.284,0.335,0.358,0.332,0.339,0.305,0.316,0.316,0.325,0.324,0.36,0.371,0.322,0.311,0.301,0.328,0.364,0.303,0.306,0.262,0.268,0.278,0.256,0.25,0.22,0.152,0.052,0.282,0.282,0.29,0.31,0.356,0.305,0.29,0.29,0.278,0.268,0.267,0.278,0.277,0.289,0.26,0.262,0.29,0.424,0.228,0.244,0.235,0.221,0.226,0.194,0.359,0.336,0.326,0.352,0.325,0.342,0.334,0.388,0.307,0.297,0.295,0.299,,,0.503,0.435,,,0.43,0.434,0.351,0.457
180,0.53,0.507,0.488,0.364,0.455,0.422,0.448,0.43,0.447,0.371,0.421,0.437,0.432,0.447,0.403,0.417,0.417,0.427,0.428,0.47,0.494,0.424,0.412,0.401,0.461,0.476,0.397,0.405,0.353,0.359,0.369,0.348,0.342,0.316,0.221,0.067,0.382,0.379,0.389,0.418,0.376,0.392,0.385,0.386,0.374,0.374,0.362,0.377,0.386,0.388,0.361,0.36,0.329,0.359,0.327,0.342,0.414,0.357,0.314,0.272,0.476,0.451,0.437,0.442,0.438,0.464,0.45,0.437,0.419,0.408,0.397,0.393,,,0.617,0.545,,,0.538,0.554,0.464,0.468
