time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,29.5,46.5,39.5,43.5,44.5,48.5,37.5,27.5,25.5,17.5,18.5,24.5,26.5,20.5,17.5,21.5,11.5,30.5,22.5,27.5,18.5,15.5,20.5,15.5,17.5,15.5,11.5,11.5,10.5,12.5,1.5,4.5,6.5,-0.5,11.5,7.5,12.5,12.5,7.5,12.5,5.5,3.5,2.5,4.5,3.5,-3.5,1.5,5.5,22.5,21.5,20.5,10.5,10.5,10.5,10.5,6.5,12.5,12.5,10.5,19.5,8.5,17.5,20.5,15.5,9.5,12.5,8.5,-0.5,9.5,7.5,15.5,14.5,,,7.5,14.5,,,18.5,24.5,395.5,430.5
20,36.5,33.5,36.5,40.5,30.5,37.5,35.5,24.5,18.5,19.5,22.5,26.5,24.5,23.5,18.5,21.5,16.5,21.5,16.5,17.5,18.5,17.5,18.5,12.5,15.5,12.5,9.5,8.5,4.5,7.5,4.5,-6.5,0.5,7.5,7.5,-2.5,17.5,12.5,5.5,12.5,6.5,12.5,7.5,3.5,2.5,1.5,4.5,0.5,19.5,11.5,7.5,12.5,12.5,6.5,13.5,4.5,3.5,8.5,6.5,1.5,13.5,12.5,6.5,18.5,9.5,5.5,3.5,3.5,7.5,8.5,11.5,9.5,,,12.5,14.5,,,23.0,29.0,336.0,384.0
40,34.5,35.5,33.5,40.5,40.5,38.5,33.5,23.5,20.5,19.5,24.5,19.5,22.5,16.5,19.5,19.5,18.5,20.5,25.5,13.5,18.5,18.5,16.5,18.5,16.5,15.5,17.5,27.5,22.5,20.5,21.5,19.5,11.5,16.5,13.5,2.5,12.5,11.5,5.5,10.5,13.5,6.5,6.5,-2.5,4.5,6.5,1.5,7.5,23.5,28.5,26.5,32.5,21.5,27.5,27.5,23.5,25.5,34.5,28.5,5.5,13.5,10.5,19.5,11.5,15.5,9.5,1.5,3.5,10.5,7.5,15.5,4.5,,,13.5,11.5,,,27.0,27.0,450.0,491.0
60,39.0,42.0,42.0,37.0,38.0,40.0,39.0,20.0,20.0,21.0,22.0,21.0,26.0,20.0,17.0,23.0,11.0,17.0,15.0,21.0,18.0,18.0,20.0,14.0,16.0,12.0,29.0,44.0,51.0,58.0,54.0,50.0,54.0,49.0,52.0,5.0,11.0,5.0,10.0,6.0,8.0,4.0,3.0,1.0,0.0,5.0,0.0,2.0,23.0,69.0,77.0,84.0,81.0,84.0,80.0,86.0,85.0,92.0,99.0,4.0,15.0,17.0,15.0,22.0,14.0,8.0,8.0,4.0,17.0,26.0,46.0,7.0,,,16.0,19.0,,,26.0,26.0,602.0,666.0
80,35.5,37.5,30.5,39.5,36.5,42.5,35.5,21.5,17.5,18.5,21.5,18.5,22.5,18.5,15.5,19.5,13.5,12.5,15.5,15.5,12.5,9.5,12.5,13.5,10.5,14.5,39.5,64.5,82.5,110.5,103.5,95.5,104.5,110.5,117.5,-1.5,15.5,5.5,3.5,3.5,1.5,4.5,-4.5,-2.5,1.5,-4.5,-4.5,1.5,22.5,148.5,171.5,188.5,183.5,193.5,195.5,199.5,202.5,221.5,233.5,3.5,10.5,11.5,12.5,10.5,8.5,5.5,5.5,4.5,21.5,45.5,83.5,4.5,,,13.5,11.5,,,30.0,36.0,743.0,817.0
100,37.0,42.0,42.0,39.0,35.0,37.0,35.0,26.0,26.0,26.0,54.0,28.0,25.0,28.0,22.0,24.0,19.0,20.0,19.0,16.0,13.0,16.0,21.0,13.0,17.0,15.0,46.0,96.0,135.0,172.0,176.0,163.0,174.0,179.0,220.0,1.0,16.0,11.0,11.0,12.0,7.0,6.0,1.0,-1.0,3.0,7.0,6.0,3.0,21.0,330.0,379.0,439.0,430.0,449.0,439.0,453.0,451.0,491.0,499.0,7.0,21.0,18.0,16.0,18.0,19.0,10.0,11.0,9.0,32.0,80.0,170.0,9.0,,,22.0,14.0,,,38.5,38.5,901.5,977.5
120,38.0,45.0,38.0,39.0,40.0,44.0,40.0,28.0,29.0,51.0,183.0,65.0,27.0,20.0,22.0,19.0,20.0,17.0,18.0,16.0,16.0,17.0,16.0,17.0,17.0,22.0,58.0,124.0,188.0,254.0,272.0,252.0,283.0,298.0,362.0,7.0,19.0,10.0,7.0,11.0,6.0,10.0,5.0,4.0,0.0,-2.0,5.0,4.0,22.0,609.0,774.0,892.0,866.0,921.0,924.0,930.0,936.0,972.0,1001.0,9.0,21.0,19.0,22.0,26.0,25.0,11.0,4.0,7.0,37.0,112.0,270.0,11.0,,,24.0,23.0,,,34.5,35.5,1063.5,1158.5
140,51.5,55.5,48.5,53.5,49.5,55.5,46.5,50.5,77.5,143.5,591.5,183.5,44.5,33.5,30.5,30.5,21.5,26.5,23.5,26.5,23.5,26.5,25.5,30.5,28.5,27.5,74.5,165.5,292.5,433.5,455.5,424.5,489.5,494.5,585.5,10.5,26.5,22.5,17.5,22.5,10.5,19.5,9.5,9.5,9.5,13.5,11.5,4.5,31.5,944.5,1267.5,1522.5,1534.5,1633.5,1646.5,1672.5,1667.5,1735.5,1798.5,20.5,29.5,30.5,30.5,25.5,23.5,20.5,16.5,23.5,59.5,142.5,369.5,20.5,,,30.5,37.5,,,53.5,56.5,1328.5,1449.5
160,60.5,65.5,58.5,66.5,59.5,75.5,91.5,218.5,389.5,610.5,1750.5,513.5,44.5,37.5,34.5,32.5,30.5,37.5,33.5,32.5,27.5,32.5,33.5,31.5,35.5,32.5,86.5,254.5,501.5,768.5,816.5,759.5,873.5,859.5,951.5,11.5,37.5,24.5,23.5,27.5,21.5,20.5,26.5,11.5,10.5,13.5,11.5,16.5,39.5,1383.5,1932.5,2406.5,2447.5,2641.5,2619.5,2714.5,2670.5,2801.5,2861.5,27.5,44.5,37.5,37.5,39.5,39.5,30.5,26.5,31.5,71.5,196.5,514.5,29.5,,,41.5,41.5,,,64.0,59.0,1673.0,1824.0
180,80.0,93.0,95.0,113.0,162.0,783.0,1668.0,2665.0,2902.0,3081.0,4912.0,1643.0,69.0,62.0,53.0,59.0,48.0,56.0,51.0,49.0,48.0,45.0,48.0,53.0,53.0,45.0,153.0,478.0,935.0,1396.0,1476.0,1379.0,1514.0,1505.0,1565.0,20.0,47.0,38.0,39.0,33.0,33.0,37.0,32.0,27.0,28.0,31.0,25.0,28.0,57.0,2170.0,3006.0,3844.0,3918.0,4214.0,4187.0,4307.0,4264.0,4404.0,4532.0,35.0,63.0,56.0,53.0,56.0,50.0,47.0,42.0,51.0,107.0,323.0,876.0,51.0,,,61.0,61.0,,,91.5,87.5,2264.5,2469.5
