time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,116.0,145.0,135.0,143.0,135.0,170.0,120.0,84.0,91.0,79.0,64.0,77.0,104.0,106.0,65.0,83.0,25.0,100.0,83.0,95.0,63.0,58.0,52.0,49.0,64.0,75.0,15.0,44.0,10.0,57.0,0.0,1.0,10.0,-21.0,44.0,15.0,56.0,39.0,37.0,36.0,31.0,41.0,30.0,9.0,24.0,4.0,13.0,29.0,82.0,83.0,65.0,36.0,49.0,67.0,48.0,41.0,62.0,66.0,39.0,83.0,60.0,74.0,70.0,69.0,23.0,40.0,28.0,20.0,42.0,34.0,39.0,40.0,,,37.0,25.0,,,77.0,76.0,1342.0,1615.0
20,103.5,153.5,155.5,147.5,144.5,165.5,143.5,87.5,75.5,90.5,88.5,81.5,92.5,83.5,90.5,94.5,58.5,77.5,91.5,89.5,72.5,59.5,51.5,46.5,61.5,31.5,51.5,36.5,29.5,23.5,8.5,-0.5,3.5,7.5,24.5,-5.5,57.5,44.5,44.5,47.5,50.5,41.5,27.5,19.5,21.5,13.5,4.5,15.5,96.5,45.5,52.5,78.5,64.5,52.5,38.5,15.5,42.5,53.5,46.5,34.5,68.5,61.5,63.5,59.5,58.5,24.5,6.5,4.5,50.5,44.5,44.5,33.5,,,45.5,69.5,,,83.0,87.0,1362.0,1543.0
40,128.0,153.0,145.0,158.0,139.0,147.0,137.0,82.0,71.0,70.0,91.0,85.0,96.0,75.0,74.0,84.0,59.0,79.0,61.0,81.0,47.0,67.0,67.0,43.0,70.0,53.0,58.0,82.0,81.0,97.0,73.0,66.0,75.0,61.0,78.0,1.0,50.0,35.0,33.0,27.0,27.0,10.0,18.0,-3.0,3.0,22.0,11.0,2.0,82.0,99.0,107.0,127.0,119.0,111.0,111.0,129.0,118.0,134.0,161.0,10.0,54.0,59.0,70.0,72.0,49.0,18.0,18.0,32.0,49.0,46.0,55.0,26.0,,,66.0,56.0,,,91.5,107.5,1795.5,1978.5
60,109.5,135.5,135.5,135.5,134.5,143.5,134.5,96.5,53.5,57.5,80.5,78.5,97.5,91.5,81.5,65.5,67.5,66.5,53.5,67.5,52.5,64.5,57.5,54.5,68.5,25.5,134.5,181.5,181.5,223.5,234.5,201.5,209.5,218.5,214.5,2.5,55.5,21.5,26.5,20.5,9.5,13.5,6.5,5.5,-2.5,-11.5,16.5,8.5,71.5,289.5,314.5,357.5,321.5,363.5,361.5,359.5,376.5,406.5,396.5,45.5,53.5,46.5,62.5,53.5,54.5,33.5,17.5,23.5,72.5,115.5,179.5,38.5,,,69.5,76.5,,,100.5,111.5,2420.5,2707.5
80,114.0,130.0,146.0,145.0,146.0,152.0,129.0,66.0,64.0,74.0,96.0,83.0,82.0,89.0,82.0,69.0,40.0,71.0,60.0,45.0,57.0,59.0,55.0,56.0,56.0,55.0,164.0,296.0,356.0,422.0,437.0,405.0,432.0,423.0,476.0,2.0,52.0,31.0,25.0,36.0,-1.0,20.0,12.0,6.0,3.0,-7.0,-9.0,9.0,81.0,607.0,705.0,811.0,775.0,812.0,831.0,821.0,845.0,923.0,950.0,15.0,65.0,62.0,55.0,50.0,45.0,48.0,29.0,29.0,88.0,183.0,360.0,29.0,,,75.0,65.0,,,121.0,113.0,3051.0,3324.0
100,133.5,146.5,123.5,152.5,129.5,158.5,159.5,95.5,69.5,91.5,218.5,118.5,102.5,78.5,64.5,64.5,64.5,90.5,48.5,49.5,60.5,46.5,53.5,59.5,49.5,58.5,191.5,382.5,525.5,673.5,696.5,660.5,723.5,730.5,888.5,5.5,66.5,33.5,25.5,35.5,18.5,24.5,0.5,-7.5,10.5,13.5,-5.5,13.5,75.5,1375.5,1612.5,1825.5,1778.5,1868.5,1869.5,1896.5,1894.5,2033.5,2095.5,44.5,69.5,59.5,79.5,63.5,65.5,21.5,12.5,37.5,140.5,312.5,704.5,40.5,,,87.5,76.5,,,144.0,150.0,3598.0,3930.0
120,150.0,154.0,162.0,159.0,154.0,159.0,153.0,111.0,116.0,193.0,778.0,250.0,106.0,99.0,87.0,97.0,61.0,78.0,72.0,72.0,71.0,58.0,69.0,55.0,69.0,66.0,213.0,488.0,753.0,1061.0,1113.0,1030.0,1181.0,1198.0,1464.0,11.0,56.0,52.0,33.0,34.0,36.0,30.0,11.0,-7.0,12.0,8.0,21.0,24.0,82.0,2497.0,3141.0,3635.0,3628.0,3811.0,3811.0,3906.0,3918.0,4076.0,4201.0,40.0,82.0,71.0,84.0,83.0,76.0,53.0,40.0,67.0,173.0,464.0,1076.0,52.0,,,77.0,99.0,,,175.0,175.0,4354.0,4720.0
140,166.0,207.0,179.0,192.0,183.0,206.0,207.0,200.0,316.0,630.0,2488.0,742.0,129.0,124.0,121.0,106.0,92.0,101.0,96.0,114.0,94.0,89.0,87.0,79.0,111.0,119.0,289.0,683.0,1186.0,1736.0,1871.0,1753.0,1994.0,2029.0,2378.0,30.0,106.0,72.0,67.0,72.0,54.0,52.0,59.0,47.0,34.0,38.0,54.0,45.0,104.0,3851.0,5182.0,6248.0,6257.0,6717.0,6722.0,6932.0,6833.0,7173.0,7359.0,66.0,124.0,129.0,110.0,114.0,91.0,83.0,52.0,95.0,236.0,597.0,1511.0,87.0,,,119.0,121.0,,,210.5,208.5,5399.5,5836.5
160,243.5,258.5,232.5,231.5,212.5,284.5,435.5,1100.5,1855.5,2765.5,7487.5,2179.5,190.5,162.5,151.5,138.5,137.5,142.5,149.5,150.5,139.5,134.5,131.5,139.5,141.5,138.5,378.5,1070.5,2058.5,3127.5,3331.5,3107.5,3558.5,3541.5,3873.5,67.5,139.5,82.5,96.5,83.5,75.5,97.5,93.5,67.5,73.5,70.5,67.5,67.5,185.5,5664.5,7879.5,9817.5,10057.5,10776.5,10729.5,11018.5,10931.5,11389.5,11791.5,90.5,161.5,168.5,133.5,151.5,152.5,138.5,128.5,134.5,299.5,790.5,2112.5,134.5,,,179.5,172.5,,,264.0,276.0,6830.0,7366.0
180,328.0,396.0,393.0,449.0,705.0,3548.0,7506.0,11593.0,12515.0,13179.0,20606.0,6902.0,267.0,214.0,221.0,218.0,202.0,215.0,214.0,205.0,183.0,201.0,185.0,196.0,201.0,187.0,628.0,2006.0,3875.0,5759.0,6129.0,5688.0,6285.0,6201.0,6363.0,97.0,209.0,168.0,140.0,158.0,153.0,136.0,117.0,102.0,112.0,120.0,124.0,102.0,236.0,8986.0,12238.0,15758.0,16239.0,17192.0,17182.0,17614.0,17461.0,18050.0,18534.0,143.0,261.0,204.0,217.0,217.0,206.0,180.0,162.0,192.0,438.0,1311.0,3602.0,180.0,,,240.0,255.0,,,396.5,383.5,9174.5,10102.5
