time,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,pRhaB/Rha_0,pRhaB/Rha_1,pSalTTC/Sal_0,pSalTTC/Sal_1,pPhlF/DAPG_0,pPhlF/DAPG_1,pLuxB/AHL_0,pLuxB/AHL_1,pCymRC/Cuma_0,pCymRC/Cuma_1,pCin/OHC14_0,pCin/OHC14_1,pBAD/Ara_0,pBAD/Ara_1,Blank_Kan_0,Blank_Kan_1,negative-control-kan_0,negative-control-kan_1,Blank_Amp_0,Blank_Amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,-13.5,-11.5,-17.5,-15.5,-15.5,-23.5,-22.5,-30.5,-32.5,-28.5,-24.5,-27.5,-4.5,-5.5,-10.5,-5.5,-12.5,-14.5,-20.5,-18.5,-15.5,-20.5,-17.5,-13.5,-15.5,-10.5,-20.5,-10.5,-17.5,-19.5,-17.5,-24.5,-22.5,-21.5,-31.5,-16.5,-15.5,-15.5,-12.5,-13.5,-15.5,-9.5,-19.5,-22.5,-21.5,-20.5,-25.5,-16.5,-9.5,-9.5,-19.5,-17.5,-23.5,-20.5,-19.5,-17.5,-26.5,-21.5,-24.5,-18.5,-11.5,-13.5,-17.5,-26.5,-20.5,-23.5,-22.5,-21.5,-20.5,-27.5,-28.5,-28.5,-12.5,-21.5,-15.5,-12.5,1226.5,1129.5,-12.5,-9.5,-6.5,2.5,-17.5,0.5,-1.5,2.5,,,-12.5,-9.5,,,4.0,15.0,307.0,322.0
20,-11.5,-15.5,-16.5,-24.5,-18.5,-15.5,-23.5,-15.5,-24.5,-18.5,-24.5,-18.5,-3.5,-10.5,-12.5,-13.5,-15.5,-7.5,-10.5,-8.5,-15.5,-15.5,-11.5,-6.5,-12.5,-8.5,-15.5,-14.5,-12.5,-5.5,-10.5,-19.5,-19.5,-17.5,-18.5,-19.5,-10.5,-12.5,-7.5,-15.5,-20.5,-6.5,-23.5,-14.5,-22.5,-18.5,-22.5,-11.5,-15.5,-11.5,-13.5,-13.5,-9.5,-10.5,-13.5,-12.5,-14.5,-18.5,-18.5,-15.5,-9.5,-7.5,-14.5,-11.5,-21.5,-17.5,-18.5,-17.5,-20.5,-17.5,-17.5,-13.5,-17.5,-14.5,-15.5,-13.5,1467.5,665.5,-13.5,-9.5,-2.5,-6.5,-14.5,-3.5,0.5,2.5,,,-2.5,-5.5,,,2.5,4.5,325.5,277.5
40,-7.0,-24.0,-17.0,-19.0,-20.0,-19.0,-21.0,-21.0,-19.0,-25.0,-21.0,-21.0,-5.0,-10.0,-11.0,-8.0,-16.0,-9.0,-7.0,-14.0,-14.0,-10.0,-15.0,-8.0,-16.0,-12.0,-14.0,-12.0,-15.0,-13.0,-18.0,-17.0,-20.0,-19.0,-16.0,-18.0,-15.0,-13.0,-14.0,-14.0,-22.0,-14.0,-20.0,-12.0,-22.0,-15.0,-19.0,-12.0,-10.0,-11.0,-15.0,-13.0,-14.0,-19.0,-16.0,-17.0,-22.0,-16.0,-19.0,-21.0,-12.0,-12.0,-13.0,-15.0,-18.0,-15.0,-19.0,-20.0,-18.0,-22.0,-16.0,-29.0,-13.0,-20.0,-14.0,-16.0,1529.0,700.0,-15.0,-13.0,-2.0,-5.0,-15.0,-2.0,4.0,5.0,,,-9.0,-6.0,,,7.5,11.5,426.5,372.5
60,-9.5,-10.5,-14.5,-16.5,-20.5,-15.5,-20.5,-21.5,-23.5,-15.5,-24.5,-20.5,-5.5,-5.5,-11.5,-17.5,-20.5,-11.5,-15.5,-10.5,-8.5,-13.5,-9.5,-5.5,-15.5,-13.5,-17.5,-14.5,-17.5,-11.5,-15.5,-14.5,-19.5,-19.5,-18.5,-17.5,-16.5,-13.5,-18.5,-10.5,-26.5,-12.5,-15.5,-22.5,-18.5,-21.5,-21.5,-11.5,-11.5,-12.5,-15.5,-14.5,-16.5,-18.5,-16.5,-17.5,-17.5,-19.5,-20.5,-15.5,-10.5,-15.5,-14.5,-17.5,-24.5,-19.5,-22.5,-22.5,-20.5,-19.5,-23.5,-19.5,-14.5,-16.5,-12.5,-11.5,1675.5,782.5,-13.5,-12.5,-8.5,-5.5,-16.5,-4.5,-2.5,2.5,,,-6.5,-10.5,,,12.0,13.0,563.0,483.0
80,-10.0,-10.0,-17.0,-16.0,-19.0,-15.0,-19.0,-17.0,-20.0,-12.0,-16.0,-17.0,-3.0,-5.0,-10.0,-9.0,-15.0,-12.0,-9.0,-11.0,-11.0,-6.0,-7.0,-2.0,-15.0,-10.0,-15.0,-16.0,-15.0,-11.0,-13.0,-13.0,-14.0,-16.0,-15.0,-11.0,-14.0,-16.0,-13.0,-15.0,-23.0,-10.0,-11.0,-14.0,-17.0,-13.0,-18.0,-8.0,-17.0,-12.0,-12.0,-17.0,-16.0,-16.0,-9.0,-12.0,-17.0,-17.0,-11.0,-16.0,-11.0,-10.0,-13.0,-16.0,-19.0,-14.0,-15.0,-17.0,-22.0,-19.0,-13.0,-9.0,-10.0,-13.0,-12.0,-12.0,1894.0,917.0,-16.0,-5.0,-7.0,0.0,-14.0,-3.0,1.0,13.0,,,-4.0,-7.0,,,13.0,13.0,704.0,605.0
100,-9.5,-11.5,-11.5,-16.5,-22.5,-12.5,-10.5,-16.5,-15.5,-15.5,-15.5,-17.5,-0.5,-3.5,-5.5,-8.5,-2.5,-5.5,1.5,-1.5,-2.5,-6.5,-8.5,0.5,-10.5,-10.5,-5.5,-9.5,-15.5,-11.5,-8.5,-11.5,-5.5,-11.5,-13.5,-3.5,-10.5,-6.5,-9.5,-9.5,-11.5,-9.5,-7.5,-9.5,-16.5,-3.5,-12.5,1.5,-8.5,-5.5,-14.5,-8.5,-16.5,-7.5,-10.5,-9.5,-11.5,-10.5,-8.5,-6.5,-5.5,-10.5,-8.5,-18.5,-13.5,-12.5,-12.5,-10.5,-14.5,-15.5,-15.5,-11.5,-6.5,-12.5,-6.5,-3.5,2269.5,1117.5,-9.5,-3.5,-5.5,0.5,-12.5,0.5,6.5,11.5,,,0.5,0.5,,,17.5,19.5,830.5,731.5
120,-7.5,-0.5,-9.5,-9.5,-11.5,-6.5,-6.5,-0.5,-9.5,-10.5,-10.5,-7.5,-0.5,0.5,-1.5,-1.5,-3.5,1.5,1.5,3.5,2.5,-1.5,0.5,1.5,-7.5,-6.5,-3.5,-5.5,-4.5,-4.5,-4.5,-4.5,-9.5,-4.5,-4.5,-2.5,-6.5,-6.5,-9.5,-7.5,-18.5,-8.5,-6.5,3.5,-10.5,-3.5,-11.5,5.5,-6.5,-7.5,-10.5,-8.5,-10.5,-9.5,-6.5,-3.5,-6.5,-3.5,-3.5,-0.5,-8.5,-7.5,-4.5,-14.5,-10.5,-13.5,-12.5,-6.5,-9.5,-14.5,-7.5,-2.5,-1.5,-11.5,-3.5,0.5,2833.5,1445.5,-9.5,-3.5,1.5,0.5,-12.5,0.5,11.5,15.5,,,4.5,4.5,,,21.5,27.5,972.5,858.5
140,-0.5,-0.5,0.5,-0.5,-5.5,-5.5,1.5,3.5,-1.5,-0.5,1.5,2.5,4.5,8.5,7.5,-10.5,-8.5,-7.5,8.5,15.5,14.5,5.5,1.5,15.5,-5.5,-2.5,-7.5,-4.5,-4.5,-2.5,8.5,6.5,3.5,5.5,2.5,8.5,-6.5,-1.5,-3.5,-3.5,-14.5,-4.5,3.5,4.5,-2.5,1.5,1.5,12.5,-2.5,-8.5,-6.5,-0.5,-3.5,-8.5,6.5,1.5,5.5,8.5,2.5,5.5,-0.5,-0.5,-9.5,-9.5,-10.5,-4.5,1.5,-0.5,-1.5,-3.5,0.5,5.5,2.5,-4.5,1.5,0.5,3556.5,1872.5,-3.5,-0.5,-0.5,-1.5,-12.5,5.5,12.5,21.5,,,10.5,5.5,,,40.0,45.0,1190.0,1050.0
160,13.0,14.0,12.0,13.0,1.0,16.0,29.0,25.0,14.0,17.0,18.0,23.0,18.0,17.0,15.0,11.0,9.0,10.0,34.0,28.0,27.0,29.0,29.0,40.0,10.0,13.0,16.0,14.0,11.0,13.0,19.0,24.0,23.0,18.0,26.0,25.0,11.0,11.0,9.0,8.0,-3.0,10.0,24.0,24.0,23.0,26.0,21.0,33.0,3.0,10.0,4.0,11.0,9.0,6.0,23.0,20.0,25.0,28.0,20.0,23.0,13.0,9.0,9.0,8.0,2.0,14.0,12.0,19.0,11.0,14.0,15.0,31.0,20.0,15.0,18.0,18.0,4409.0,2379.0,10.0,21.0,12.0,11.0,1.0,11.0,24.0,34.0,,,27.0,23.0,,,54.0,58.0,1474.0,1343.0
180,35.5,37.5,34.5,34.5,23.5,38.5,52.5,54.5,48.5,47.5,46.5,46.5,43.5,38.5,36.5,31.5,24.5,33.5,52.5,61.5,61.5,55.5,54.5,61.5,26.5,29.5,30.5,31.5,35.5,41.5,47.5,50.5,48.5,49.5,49.5,53.5,25.5,27.5,24.5,24.5,26.5,26.5,48.5,49.5,37.5,54.5,60.5,62.5,29.5,28.5,24.5,32.5,30.5,105.5,49.5,53.5,48.5,56.5,60.5,85.5,26.5,22.5,26.5,17.5,17.5,213.5,39.5,45.5,40.5,38.5,43.5,61.5,44.5,34.5,34.5,35.5,5315.5,2964.5,37.5,43.5,28.5,23.5,19.5,28.5,47.5,59.5,,,42.5,35.5,,,83.0,85.0,1974.0,1754.0
