time,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,pRhaB/Rha_0,pRhaB/Rha_1,pSalTTC/Sal_0,pSalTTC/Sal_1,pPhlF/DAPG_0,pPhlF/DAPG_1,pLuxB/AHL_0,pLuxB/AHL_1,pCymRC/Cuma_0,pCymRC/Cuma_1,pCin/OHC14_0,pCin/OHC14_1,pBAD/Ara_0,pBAD/Ara_1,Blank_Kan_0,Blank_Kan_1,negative-control-kan_0,negative-control-kan_1,Blank_Amp_0,Blank_Amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,-75.0,-49.0,-69.0,-76.0,-95.0,-81.0,-100.0,-99.0,-104.0,-103.0,-100.0,-96.0,-15.0,-33.0,-50.0,-17.0,-70.0,-69.0,-70.0,-74.0,-63.0,-99.0,-68.0,-36.0,-51.0,-50.0,-63.0,-56.0,-87.0,-57.0,-78.0,-83.0,-89.0,-91.0,-109.0,-89.0,-31.0,-49.0,-48.0,-72.0,-66.0,-51.0,-77.0,-94.0,-94.0,-68.0,-98.0,-77.0,-24.0,-52.0,-61.0,-68.0,-67.0,-63.0,-72.0,-63.0,-87.0,-83.0,-85.0,-83.0,-44.0,-42.0,-61.0,-77.0,-90.0,-80.0,-90.0,-80.0,-92.0,-85.0,-98.0,-97.0,-54.0,-81.0,-35.0,-39.0,4975.0,4600.0,-38.0,-24.0,-21.0,2.0,-46.0,-20.0,-6.0,23.0,,,-52.0,-49.0,,,33.0,57.0,1224.0,1143.0
20,-78.5,-67.5,-84.5,-70.5,-98.5,-80.5,-105.5,-109.5,-99.5,-100.5,-97.5,-104.5,-48.5,-55.5,-56.5,-39.5,-70.5,-43.5,-64.5,-56.5,-57.5,-82.5,-80.5,-64.5,-71.5,-65.5,-70.5,-65.5,-69.5,-74.5,-84.5,-86.5,-69.5,-88.5,-86.5,-84.5,-49.5,-67.5,-70.5,-66.5,-92.5,-64.5,-56.5,-69.5,-95.5,-69.5,-92.5,-61.5,-70.5,-38.5,-56.5,-58.5,-75.5,-62.5,-79.5,-79.5,-82.5,-88.5,-76.5,-81.5,-43.5,-38.5,-68.5,-69.5,-69.5,-62.5,-105.5,-103.5,-106.5,-98.5,-87.5,-84.5,-58.5,-88.5,-39.5,-30.5,5883.5,2594.5,-56.5,-50.5,-34.5,-38.5,-84.5,-32.5,-2.5,8.5,,,-40.5,-33.5,,,34.5,37.5,1311.5,1150.5
40,-80.5,-78.5,-89.5,-93.5,-90.5,-93.5,-80.5,-125.5,-115.5,-101.5,-107.5,-88.5,-39.5,-41.5,-36.5,-54.5,-78.5,-45.5,-62.5,-57.5,-70.5,-74.5,-67.5,-39.5,-72.5,-42.5,-68.5,-77.5,-90.5,-75.5,-76.5,-70.5,-80.5,-70.5,-89.5,-72.5,-60.5,-58.5,-65.5,-53.5,-101.5,-42.5,-65.5,-67.5,-96.5,-74.5,-84.5,-75.5,-74.5,-63.5,-74.5,-69.5,-70.5,-78.5,-79.5,-77.5,-90.5,-98.5,-64.5,-72.5,-54.5,-63.5,-62.5,-81.5,-68.5,-78.5,-90.5,-77.5,-95.5,-106.5,-108.5,-75.5,-43.5,-73.5,-71.5,-39.5,6125.5,2810.5,-49.5,-39.5,-38.5,-49.5,-54.5,4.5,-13.5,18.5,,,-20.5,-28.5,,,40.5,37.5,1730.5,1504.5
60,-64.5,-49.5,-62.5,-66.5,-78.5,-86.5,-81.5,-84.5,-103.5,-85.5,-104.5,-87.5,-17.5,-45.5,-36.5,-37.5,-45.5,-66.5,-44.5,-45.5,-41.5,-37.5,-31.5,-15.5,-51.5,-49.5,-53.5,-74.5,-53.5,-56.5,-75.5,-64.5,-45.5,-65.5,-79.5,-50.5,-44.5,-38.5,-62.5,-61.5,-73.5,-41.5,-71.5,-53.5,-70.5,-46.5,-66.5,-35.5,-38.5,-27.5,-52.5,-63.5,-78.5,-52.5,-46.5,-48.5,-62.5,-67.5,-49.5,-48.5,-37.5,-36.5,-63.5,-72.5,-64.5,-74.5,-75.5,-72.5,-62.5,-72.5,-72.5,-65.5,-45.5,-60.5,-39.5,-18.5,6732.5,3156.5,-57.5,-22.5,-36.5,-24.5,-36.5,-16.5,13.5,14.5,,,-26.5,-9.5,,,47.5,54.5,2296.5,1966.5
80,-45.5,-61.5,-61.5,-79.5,-72.5,-71.5,-76.5,-93.5,-85.5,-68.5,-69.5,-68.5,-14.5,-48.5,-50.5,-44.5,-56.5,-49.5,-47.5,-29.5,-35.5,-40.5,-52.5,-21.5,-66.5,-55.5,-50.5,-45.5,-55.5,-41.5,-59.5,-76.5,-63.5,-43.5,-56.5,-51.5,-48.5,-37.5,-70.5,-53.5,-88.5,-47.5,-61.5,-51.5,-81.5,-37.5,-78.5,-27.5,-64.5,-35.5,-51.5,-51.5,-66.5,-42.5,-56.5,-46.5,-56.5,-62.5,-72.5,-57.5,-36.5,-34.5,-48.5,-67.5,-62.5,-60.5,-71.5,-76.5,-62.5,-68.5,-87.5,-54.5,-19.5,-40.5,-42.5,-17.5,7630.5,3692.5,-60.5,-22.5,-34.5,0.5,-51.5,16.5,10.5,35.5,,,-18.5,-6.5,,,63.0,68.0,2857.0,2465.0
100,-49.0,-70.0,-63.0,-74.0,-73.0,-71.0,-49.0,-57.0,-81.0,-45.0,-70.0,-44.0,-12.0,-31.0,-39.0,-42.0,-62.0,-44.0,-34.0,-42.0,-28.0,-41.0,-39.0,-13.0,-55.0,-40.0,-64.0,-44.0,-80.0,-69.0,-44.0,-55.0,-79.0,-61.0,-54.0,-56.0,-53.0,-44.0,-63.0,-48.0,-78.0,-66.0,-71.0,-44.0,-64.0,-42.0,-56.0,-25.0,-43.0,-42.0,-61.0,-62.0,-75.0,-56.0,-48.0,-33.0,-46.0,-61.0,-42.0,-40.0,-33.0,-42.0,-68.0,-74.0,-74.0,-60.0,-78.0,-67.0,-62.0,-59.0,-63.0,-51.0,-38.0,-57.0,-39.0,-28.0,9207.0,4545.0,-57.0,-10.0,-24.0,-25.0,-59.0,8.0,16.0,11.0,,,-21.0,-7.0,,,57.0,76.0,3329.0,2932.0
120,-42.5,-31.5,-46.5,-52.5,-55.5,-40.5,-46.5,-34.5,-48.5,-45.5,-37.5,-48.5,-13.5,-18.5,-28.5,-34.5,-51.5,-47.5,-13.5,-16.5,6.5,-25.5,-7.5,7.5,-40.5,-19.5,-43.5,-33.5,-47.5,-38.5,-27.5,-17.5,-32.5,-33.5,-38.5,-6.5,-36.5,-31.5,-51.5,-42.5,-58.5,-51.5,-27.5,-18.5,-26.5,-20.5,-36.5,14.5,-43.5,-19.5,-37.5,-56.5,-62.5,-38.5,-22.5,-17.5,-3.5,-32.5,-32.5,-5.5,-36.5,-22.5,-35.5,-65.5,-38.5,-57.5,-53.5,-20.5,-42.5,-39.5,-44.5,-1.5,-11.5,-54.5,-16.5,-6.5,11511.5,5867.5,-46.5,-5.5,-8.5,1.5,-47.5,16.5,8.5,36.5,,,21.5,-17.5,,,94.5,105.5,3924.5,3465.5
140,-18.0,11.0,-14.0,-18.0,-42.0,-13.0,15.0,9.0,-17.0,1.0,-13.0,0.0,31.0,16.0,0.0,-5.0,-39.0,-30.0,38.0,37.0,23.0,26.0,10.0,58.0,-28.0,-11.0,-44.0,-11.0,-21.0,-2.0,6.0,24.0,14.0,13.0,8.0,35.0,1.0,-28.0,-38.0,-20.0,-51.0,-15.0,20.0,11.0,-23.0,40.0,5.0,55.0,-8.0,-6.0,-39.0,-16.0,-27.0,-30.0,7.0,17.0,12.0,23.0,19.0,15.0,5.0,-32.0,-23.0,-40.0,-37.0,-21.0,21.0,19.0,-18.0,-1.0,1.0,45.0,14.0,-3.0,7.0,11.0,14424.0,7533.0,-25.0,-5.0,12.0,-1.0,-45.0,13.0,34.0,82.0,,,33.0,35.0,,,163.0,179.0,4797.0,4255.0
160,49.0,53.0,46.0,32.0,20.0,41.0,97.0,113.0,52.0,89.0,68.0,70.0,76.0,75.0,75.0,55.0,48.0,52.0,94.0,123.0,126.0,112.0,111.0,121.0,32.0,64.0,33.0,37.0,55.0,60.0,101.0,85.0,78.0,101.0,93.0,106.0,57.0,45.0,37.0,41.0,15.0,45.0,111.0,105.0,67.0,109.0,78.0,153.0,35.0,56.0,23.0,55.0,34.0,38.0,94.0,100.0,81.0,87.0,80.0,110.0,56.0,47.0,31.0,32.0,15.0,88.0,74.0,97.0,65.0,64.0,77.0,115.0,78.0,54.0,75.0,74.0,17839.0,9672.0,50.0,83.0,63.0,64.0,24.0,70.0,108.0,144.0,,,95.0,85.0,,,209.0,231.0,6014.0,5410.0
180,102.5,124.5,110.5,104.5,78.5,136.5,185.5,206.5,165.5,170.5,174.5,174.5,134.5,134.5,140.5,126.5,92.5,89.5,201.5,207.5,219.5,214.5,220.5,226.5,85.5,99.5,90.5,89.5,126.5,149.5,172.5,200.5,184.5,196.5,186.5,213.5,93.5,91.5,94.5,86.5,86.5,68.5,194.5,194.5,161.5,206.5,207.5,224.5,83.5,100.5,99.5,127.5,98.5,486.5,212.5,217.5,195.5,201.5,241.5,338.5,109.5,91.5,83.5,70.5,64.5,950.5,153.5,172.5,168.5,159.5,155.5,258.5,163.5,128.5,134.5,139.5,21453.5,12073.5,137.5,159.5,90.5,84.5,62.5,92.5,196.5,238.5,,,182.5,161.5,,,340.0,362.0,7937.0,7146.0
