time,e11x32STPhoRadA_00,e11x32STPhoRadA_01,e11x32STPhoRadA_02,e11x32STPhoRadA_03,e11x32STPhoRadA_04,e11x32STPhoRadA_05,e32x30SspGyrB_00,e32x30SspGyrB_01,e32x30SspGyrB_02,e32x30SspGyrB_03,e32x30SspGyrB_04,e32x30SspGyrB_05,e11x32STPhoRadA_10,e11x32STPhoRadA_11,e11x32STPhoRadA_12,e11x32STPhoRadA_13,e11x32STPhoRadA_14,e11x32STPhoRadA_15,e32x30SspGyrB_10,e32x30SspGyrB_11,e32x30SspGyrB_12,e32x30SspGyrB_13,e32x30SspGyrB_14,e32x30SspGyrB_15,e11x32STPhoRadA_20,e11x32STPhoRadA_21,e11x32STPhoRadA_22,e11x32STPhoRadA_23,e11x32STPhoRadA_24,e11x32STPhoRadA_25,e32x30SspGyrB_20,e32x30SspGyrB_21,e32x30SspGyrB_22,e32x30SspGyrB_23,e32x30SspGyrB_24,e32x30SspGyrB_25,e11x32STPhoRadA_30,e11x32STPhoRadA_31,e11x32STPhoRadA_32,e11x32STPhoRadA_33,e11x32STPhoRadA_34,e11x32STPhoRadA_35,e32x30SspGyrB_30,e32x30SspGyrB_31,e32x30SspGyrB_32,e32x30SspGyrB_33,e32x30SspGyrB_34,e32x30SspGyrB_35,e11x32STPhoRadA_40,e11x32STPhoRadA_41,e11x32STPhoRadA_42,e11x32STPhoRadA_43,e11x32STPhoRadA_44,e11x32STPhoRadA_45,e32x30SspGyrB_40,e32x30SspGyrB_41,e32x30SspGyrB_42,e32x30SspGyrB_43,e32x30SspGyrB_44,e32x30SspGyrB_45,e11x32STPhoRadA_50,e11x32STPhoRadA_51,e11x32STPhoRadA_52,e11x32STPhoRadA_53,e11x32STPhoRadA_54,e11x32STPhoRadA_55,e32x30SspGyrB_50,e32x30SspGyrB_51,e32x30SspGyrB_52,e32x30SspGyrB_53,e32x30SspGyrB_54,e32x30SspGyrB_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,17.0,11.0,9.0,9.0,9.0,8.0,14.0,8.0,15.0,18.0,8.0,11.0,19.0,22.0,15.0,15.0,13.0,14.0,27.0,18.0,21.0,21.0,25.0,18.0,20.0,20.0,23.0,12.0,14.0,16.0,18.0,8.0,21.0,15.0,16.0,18.0,14.0,15.0,15.0,13.0,8.0,8.0,17.0,13.0,25.0,16.0,22.0,10.0,17.0,21.0,30.0,13.0,13.0,22.0,15.0,21.0,14.0,17.0,19.0,12.0,16.0,15.0,18.0,14.0,12.0,15.0,16.0,17.0,20.0,19.0,15.0,8.0,,,8.0,10.0,,,4.0,13.0,283.0,295.0
20,11.0,6.0,6.0,1.0,4.0,0.0,1.0,2.0,-2.0,3.0,-2.0,2.0,10.0,13.0,8.0,-1.0,11.0,8.0,17.0,8.0,7.0,9.0,12.0,10.0,16.0,16.0,6.0,9.0,8.0,12.0,5.0,9.0,5.0,13.0,14.0,12.0,3.0,6.0,8.0,10.0,-1.0,1.0,8.0,4.0,16.0,7.0,8.0,8.0,5.0,10.0,7.0,3.0,3.0,7.0,2.0,6.0,1.0,6.0,8.0,9.0,9.0,4.0,6.0,3.0,5.0,1.0,11.0,5.0,5.0,4.0,0.0,4.0,,,7.0,10.0,,,3.5,12.5,292.5,305.5
40,11.0,22.0,4.0,9.0,11.0,4.0,7.0,7.0,7.0,6.0,10.0,7.0,17.0,18.0,8.0,12.0,15.0,12.0,15.0,17.0,13.0,18.0,13.0,12.0,15.0,18.0,19.0,14.0,8.0,13.0,9.0,11.0,11.0,5.0,13.0,21.0,8.0,7.0,4.0,12.0,3.0,7.0,11.0,8.0,13.0,12.0,14.0,13.0,10.0,12.0,10.0,6.0,5.0,7.0,20.0,12.0,7.0,9.0,11.0,14.0,13.0,6.0,11.0,10.0,10.0,0.0,8.0,4.0,14.0,10.0,7.0,10.0,,,18.0,16.0,,,7.0,12.0,384.0,385.0
60,16.0,11.0,9.0,11.0,2.0,3.0,7.0,4.0,4.0,5.0,8.0,7.0,15.0,12.0,14.0,3.0,8.0,9.0,19.0,13.0,11.0,12.0,10.0,11.0,18.0,17.0,12.0,13.0,6.0,6.0,14.0,7.0,4.0,7.0,3.0,17.0,4.0,2.0,4.0,8.0,2.0,6.0,4.0,9.0,9.0,4.0,11.0,6.0,7.0,6.0,7.0,9.0,11.0,4.0,8.0,8.0,6.0,11.0,8.0,6.0,11.0,6.0,3.0,5.0,1.0,7.0,11.0,0.0,6.0,6.0,3.0,13.0,,,10.0,17.0,,,10.0,13.0,520.0,524.0
80,13.5,-0.5,5.5,8.5,2.5,5.5,3.5,3.5,7.5,0.5,5.5,8.5,13.5,11.5,7.5,5.5,13.5,3.5,14.5,14.5,3.5,11.5,11.5,6.5,12.5,11.5,13.5,9.5,8.5,9.5,7.5,6.5,6.5,6.5,7.5,18.5,7.5,8.5,7.5,8.5,-1.5,0.5,14.5,6.5,10.5,11.5,7.5,7.5,11.5,5.5,8.5,4.5,5.5,3.5,9.5,6.5,9.5,8.5,4.5,11.5,17.5,8.5,9.5,5.5,7.5,4.5,12.5,8.5,4.5,8.5,8.5,12.5,,,8.5,11.5,,,8.5,18.5,658.5,669.5
100,22.0,12.0,10.0,7.0,4.0,6.0,8.0,12.0,6.0,8.0,10.0,13.0,22.0,16.0,12.0,8.0,15.0,17.0,24.0,16.0,16.0,14.0,15.0,19.0,18.0,20.0,11.0,13.0,13.0,10.0,17.0,11.0,16.0,14.0,14.0,21.0,15.0,12.0,11.0,10.0,5.0,5.0,11.0,12.0,13.0,14.0,20.0,20.0,13.0,9.0,16.0,11.0,9.0,9.0,9.0,15.0,11.0,15.0,15.0,16.0,11.0,19.0,10.0,12.0,4.0,14.0,13.0,13.0,11.0,15.0,8.0,13.0,,,16.0,21.0,,,12.5,15.5,793.5,817.5
120,20.5,13.5,13.5,12.5,14.5,8.5,14.5,21.5,16.5,8.5,18.5,15.5,24.5,16.5,12.5,11.5,15.5,15.5,26.5,21.5,20.5,20.5,21.5,18.5,24.5,21.5,13.5,19.5,6.5,11.5,22.5,17.5,12.5,15.5,24.5,25.5,16.5,7.5,13.5,10.5,6.5,6.5,16.5,11.5,19.5,18.5,21.5,20.5,17.5,7.5,13.5,11.5,13.5,14.5,13.5,19.5,18.5,23.5,16.5,21.5,19.5,11.5,17.5,9.5,12.5,11.5,22.5,13.5,12.5,15.5,12.5,25.5,,,21.5,31.5,,,13.5,26.5,954.5,1021.5
140,27.0,20.0,13.0,19.0,15.0,15.0,24.0,23.0,17.0,17.0,22.0,23.0,28.0,23.0,15.0,12.0,22.0,16.0,34.0,27.0,28.0,25.0,25.0,30.0,24.0,22.0,16.0,16.0,17.0,20.0,24.0,19.0,15.0,18.0,18.0,32.0,11.0,18.0,15.0,10.0,8.0,9.0,24.0,21.0,16.0,22.0,26.0,31.0,17.0,17.0,14.0,16.0,15.0,18.0,22.0,19.0,23.0,22.0,19.0,28.0,22.0,16.0,11.0,10.0,14.0,16.0,18.0,19.0,21.0,19.0,17.0,35.0,,,32.0,30.0,,,37.5,40.5,1180.5,1332.5
160,36.0,27.0,26.0,29.0,32.0,28.0,36.0,37.0,32.0,26.0,35.0,42.0,35.0,32.0,27.0,24.0,31.0,26.0,53.0,45.0,34.0,41.0,39.0,43.0,41.0,35.0,30.0,27.0,28.0,28.0,38.0,38.0,28.0,31.0,30.0,46.0,31.0,30.0,27.0,27.0,21.0,21.0,35.0,33.0,31.0,37.0,31.0,51.0,34.0,27.0,27.0,28.0,34.0,25.0,36.0,30.0,31.0,32.0,29.0,57.0,29.0,28.0,30.0,23.0,29.0,30.0,40.0,37.0,28.0,37.0,29.0,66.0,,,40.0,49.0,,,47.5,44.5,1526.5,1747.5
180,46.0,39.0,40.0,35.0,35.0,36.0,47.0,53.0,45.0,39.0,47.0,48.0,46.0,39.0,37.0,35.0,40.0,39.0,70.0,63.0,68.0,76.0,63.0,81.0,48.0,45.0,41.0,39.0,36.0,48.0,52.0,49.0,48.0,63.0,51.0,60.0,38.0,34.0,39.0,54.0,51.0,70.0,57.0,58.0,67.0,101.0,68.0,165.0,40.0,40.0,44.0,43.0,66.0,98.0,55.0,57.0,73.0,91.0,51.0,129.0,43.0,42.0,38.0,54.0,92.0,129.0,49.0,73.0,94.0,132.0,78.0,217.0,,,55.0,68.0,,,80.5,71.5,2008.5,2404.5
