time,e11x32STPhoRadA_00,e11x32STPhoRadA_01,e11x32STPhoRadA_02,e11x32STPhoRadA_03,e11x32STPhoRadA_04,e11x32STPhoRadA_05,e32x30SspGyrB_00,e32x30SspGyrB_01,e32x30SspGyrB_02,e32x30SspGyrB_03,e32x30SspGyrB_04,e32x30SspGyrB_05,e11x32STPhoRadA_10,e11x32STPhoRadA_11,e11x32STPhoRadA_12,e11x32STPhoRadA_13,e11x32STPhoRadA_14,e11x32STPhoRadA_15,e32x30SspGyrB_10,e32x30SspGyrB_11,e32x30SspGyrB_12,e32x30SspGyrB_13,e32x30SspGyrB_14,e32x30SspGyrB_15,e11x32STPhoRadA_20,e11x32STPhoRadA_21,e11x32STPhoRadA_22,e11x32STPhoRadA_23,e11x32STPhoRadA_24,e11x32STPhoRadA_25,e32x30SspGyrB_20,e32x30SspGyrB_21,e32x30SspGyrB_22,e32x30SspGyrB_23,e32x30SspGyrB_24,e32x30SspGyrB_25,e11x32STPhoRadA_30,e11x32STPhoRadA_31,e11x32STPhoRadA_32,e11x32STPhoRadA_33,e11x32STPhoRadA_34,e11x32STPhoRadA_35,e32x30SspGyrB_30,e32x30SspGyrB_31,e32x30SspGyrB_32,e32x30SspGyrB_33,e32x30SspGyrB_34,e32x30SspGyrB_35,e11x32STPhoRadA_40,e11x32STPhoRadA_41,e11x32STPhoRadA_42,e11x32STPhoRadA_43,e11x32STPhoRadA_44,e11x32STPhoRadA_45,e32x30SspGyrB_40,e32x30SspGyrB_41,e32x30SspGyrB_42,e32x30SspGyrB_43,e32x30SspGyrB_44,e32x30SspGyrB_45,e11x32STPhoRadA_50,e11x32STPhoRadA_51,e11x32STPhoRadA_52,e11x32STPhoRadA_53,e11x32STPhoRadA_54,e11x32STPhoRadA_55,e32x30SspGyrB_50,e32x30SspGyrB_51,e32x30SspGyrB_52,e32x30SspGyrB_53,e32x30SspGyrB_54,e32x30SspGyrB_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,59.5,38.5,21.5,21.5,33.5,9.5,32.5,11.5,63.5,23.5,31.5,42.5,95.5,110.5,53.5,52.5,45.5,73.5,106.5,55.5,91.5,89.5,102.5,51.5,94.5,79.5,92.5,69.5,67.5,58.5,66.5,54.5,66.5,70.5,67.5,84.5,43.5,81.5,44.5,77.5,34.5,43.5,74.5,56.5,87.5,78.5,89.5,63.5,76.5,88.5,107.5,60.5,52.5,95.5,74.5,91.5,86.5,77.5,93.5,48.5,64.5,63.5,73.5,44.5,69.5,58.5,76.5,57.5,56.5,61.5,55.5,47.5,,,48.5,37.5,,,-11.0,25.0,1078.0,1157.0
20,34.0,46.0,16.0,29.0,15.0,9.0,19.0,23.0,8.0,21.0,24.0,20.0,66.0,51.0,64.0,20.0,52.0,34.0,84.0,61.0,47.0,37.0,53.0,53.0,66.0,64.0,69.0,50.0,37.0,64.0,53.0,51.0,44.0,40.0,47.0,70.0,50.0,28.0,44.0,42.0,25.0,45.0,49.0,34.0,54.0,65.0,54.0,43.0,38.0,56.0,49.0,35.0,60.0,39.0,53.0,30.0,45.0,64.0,49.0,49.0,27.0,47.0,37.0,33.0,37.0,32.0,61.0,36.0,31.0,40.0,17.0,46.0,,,56.0,64.0,,,25.5,37.5,1185.5,1234.5
40,39.5,15.5,1.5,-3.5,2.5,-6.5,21.5,-2.5,5.5,4.5,8.5,19.5,67.5,36.5,28.5,10.5,38.5,41.5,55.5,26.5,37.5,24.5,22.5,22.5,62.5,40.5,52.5,20.5,16.5,26.5,20.5,28.5,7.5,17.5,20.5,47.5,20.5,25.5,33.5,27.5,-13.5,16.5,23.5,16.5,26.5,30.5,48.5,29.5,23.5,23.5,17.5,36.5,15.5,35.5,28.5,18.5,36.5,42.5,34.5,22.5,52.5,45.5,13.5,29.5,25.5,10.5,29.5,0.5,31.5,24.5,3.5,31.5,,,40.5,50.5,,,25.5,35.5,1553.5,1588.5
60,51.5,41.5,25.5,24.5,32.5,5.5,41.5,18.5,24.5,21.5,39.5,16.5,72.5,56.5,32.5,17.5,38.5,25.5,65.5,43.5,34.5,36.5,46.5,83.5,70.5,44.5,42.5,42.5,41.5,38.5,35.5,45.5,32.5,54.5,48.5,75.5,39.5,34.5,26.5,30.5,20.5,25.5,38.5,35.5,41.5,46.5,68.5,52.5,67.5,64.5,18.5,28.5,44.5,46.5,47.5,55.5,45.5,51.5,56.5,63.5,40.5,49.5,50.5,23.5,43.5,28.5,43.5,26.5,27.5,44.5,44.5,64.5,,,60.5,63.5,,,31.0,43.0,2109.0,2114.0
80,34.0,36.0,9.0,18.0,13.0,17.0,15.0,12.0,24.0,2.0,31.0,40.0,81.0,59.0,19.0,24.0,38.0,25.0,69.0,49.0,52.0,43.0,58.0,43.0,64.0,39.0,45.0,32.0,31.0,34.0,29.0,44.0,30.0,31.0,58.0,63.0,41.0,35.0,29.0,38.0,10.0,17.0,33.0,24.0,44.0,41.0,56.0,36.0,39.0,34.0,37.0,39.0,43.0,29.0,47.0,33.0,25.0,30.0,40.0,52.0,48.0,46.0,19.0,15.0,37.0,31.0,28.0,23.0,25.0,30.0,19.0,38.0,,,52.0,57.0,,,49.5,52.5,2667.5,2706.5
100,44.0,25.0,25.0,37.0,26.0,32.0,29.0,31.0,42.0,3.0,35.0,37.0,58.0,46.0,36.0,11.0,49.0,43.0,79.0,47.0,19.0,48.0,60.0,61.0,70.0,55.0,51.0,17.0,28.0,31.0,45.0,40.0,25.0,39.0,51.0,80.0,24.0,33.0,28.0,42.0,17.0,22.0,23.0,53.0,45.0,45.0,55.0,60.0,51.0,55.0,28.0,44.0,32.0,31.0,46.0,49.0,41.0,58.0,51.0,65.0,40.0,49.0,25.0,32.0,28.0,26.0,55.0,37.0,25.0,42.0,28.0,51.0,,,66.0,64.0,,,61.5,70.5,3183.5,3302.5
120,57.0,51.0,39.0,25.0,41.0,31.0,56.0,34.0,45.0,39.0,56.0,72.0,80.0,52.0,46.0,40.0,55.0,40.0,83.0,60.0,55.0,86.0,72.0,77.0,81.0,66.0,60.0,51.0,60.0,38.0,65.0,39.0,56.0,37.0,58.0,99.0,46.0,48.0,38.0,45.0,11.0,32.0,60.0,69.0,46.0,56.0,72.0,69.0,68.0,45.0,53.0,35.0,47.0,34.0,60.0,71.0,51.0,76.0,64.0,63.0,63.0,61.0,50.0,24.0,47.0,40.0,78.0,50.0,37.0,57.0,51.0,86.0,,,90.0,94.0,,,101.0,114.0,3828.0,4144.0
140,70.5,64.5,39.5,54.5,38.5,39.5,59.5,55.5,52.5,48.5,76.5,76.5,86.5,92.5,45.5,50.5,63.5,55.5,130.5,87.5,77.5,67.5,86.5,92.5,101.5,86.5,70.5,57.5,51.5,59.5,87.5,73.5,57.5,77.5,57.5,110.5,51.5,64.5,57.5,66.5,25.5,42.5,87.5,83.5,59.5,62.5,82.5,123.5,63.5,58.5,60.5,53.5,51.5,81.5,86.5,67.5,72.5,81.5,76.5,90.5,93.5,71.5,53.5,50.5,41.5,35.5,79.5,74.5,86.5,74.5,65.5,149.5,,,100.5,129.5,,,142.5,150.5,4780.5,5335.5
160,146.5,100.5,96.5,75.5,94.5,77.5,141.5,124.5,117.5,106.5,102.5,127.5,130.5,139.5,99.5,82.5,95.5,99.5,188.5,178.5,148.5,153.5,132.5,169.5,146.5,116.5,118.5,117.5,84.5,101.5,142.5,150.5,110.5,132.5,111.5,141.5,114.5,96.5,88.5,107.5,66.5,80.5,131.5,134.5,118.5,115.5,143.5,205.5,110.5,107.5,121.5,96.5,112.5,121.5,148.5,134.5,116.5,135.5,109.5,199.5,110.5,111.5,102.5,90.5,105.5,122.5,158.5,121.5,104.5,134.5,125.5,241.5,,,137.5,204.5,,,244.5,223.5,6194.5,7075.5
180,176.0,161.0,132.0,154.0,128.0,130.0,184.0,186.0,185.0,165.0,178.0,180.0,166.0,192.0,142.0,132.0,157.0,165.0,268.0,247.0,262.0,294.0,248.0,346.0,189.0,175.0,148.0,167.0,156.0,190.0,214.0,216.0,203.0,232.0,180.0,257.0,169.0,146.0,167.0,214.0,252.0,320.0,228.0,260.0,297.0,480.0,322.0,710.0,177.0,185.0,171.0,202.0,310.0,437.0,217.0,235.0,330.0,430.0,225.0,577.0,169.0,168.0,205.0,226.0,439.0,597.0,225.0,321.0,437.0,624.0,357.0,937.0,,,226.0,274.0,,,307.5,291.5,8133.5,9766.5
