time,e11x32STPhoRadA_00,e11x32STPhoRadA_01,e11x32STPhoRadA_02,e11x32STPhoRadA_03,e11x32STPhoRadA_04,e11x32STPhoRadA_05,e32x30SspGyrB_00,e32x30SspGyrB_01,e32x30SspGyrB_02,e32x30SspGyrB_03,e32x30SspGyrB_04,e32x30SspGyrB_05,e11x32STPhoRadA_10,e11x32STPhoRadA_11,e11x32STPhoRadA_12,e11x32STPhoRadA_13,e11x32STPhoRadA_14,e11x32STPhoRadA_15,e32x30SspGyrB_10,e32x30SspGyrB_11,e32x30SspGyrB_12,e32x30SspGyrB_13,e32x30SspGyrB_14,e32x30SspGyrB_15,e11x32STPhoRadA_20,e11x32STPhoRadA_21,e11x32STPhoRadA_22,e11x32STPhoRadA_23,e11x32STPhoRadA_24,e11x32STPhoRadA_25,e32x30SspGyrB_20,e32x30SspGyrB_21,e32x30SspGyrB_22,e32x30SspGyrB_23,e32x30SspGyrB_24,e32x30SspGyrB_25,e11x32STPhoRadA_30,e11x32STPhoRadA_31,e11x32STPhoRadA_32,e11x32STPhoRadA_33,e11x32STPhoRadA_34,e11x32STPhoRadA_35,e32x30SspGyrB_30,e32x30SspGyrB_31,e32x30SspGyrB_32,e32x30SspGyrB_33,e32x30SspGyrB_34,e32x30SspGyrB_35,e11x32STPhoRadA_40,e11x32STPhoRadA_41,e11x32STPhoRadA_42,e11x32STPhoRadA_43,e11x32STPhoRadA_44,e11x32STPhoRadA_45,e32x30SspGyrB_40,e32x30SspGyrB_41,e32x30SspGyrB_42,e32x30SspGyrB_43,e32x30SspGyrB_44,e32x30SspGyrB_45,e11x32STPhoRadA_50,e11x32STPhoRadA_51,e11x32STPhoRadA_52,e11x32STPhoRadA_53,e11x32STPhoRadA_54,e11x32STPhoRadA_55,e32x30SspGyrB_50,e32x30SspGyrB_51,e32x30SspGyrB_52,e32x30SspGyrB_53,e32x30SspGyrB_54,e32x30SspGyrB_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,0.002,0.007,-0.002,0.008,-0.01,0.016,0.022,0.002,0.017,0.009,0.019,0.01,0.011,0.001,-0.011,0.001,-0.014,-0.002,0.002,0.01,-0.006,-0.004,0.061,0.021,-0.014,-0.012,0.006,0.005,-0.00065,-0.007,0.017,0.001,0.03,0.002,0.028,0.016,0.004,0.004,0.017,-0.002,-0.016,-0.016,0.01,-0.00045,0.026,0.024,0.012,0.01,0.017,0.021,0.056,-0.004,-0.002,0.033,0.017,0.005,0.004,0.017,0.032,0.042,0.032,0.04,0.04,0.025,0.025,0.027,0.024,0.009,0.015,0.008,0.027,0.014,,,0.007,0.017,,,-0.071,-0.074,-0.074,-0.078
20,0.013,0.106,0.02,0.015,0.016,0.009,0.02,0.014,0.008,0.015,0.014,0.016,0.015,0.022,0.002,0.004,0.006,0.004,0.017,0.009,0.005,0.051,0.011,0.014,0.003,0.003,0.007,0.005,0.008,0.014,0.015,0.014,0.003,0.004,0.003,0.021,0.002,0.008,0.008,0.006,0.0009,0.003,0.009,0.005,0.014,0.007,0.007,0.009,0.002,0.002,0.005,0.002,0.004,0.018,0.01,0.008,0.002,0.005,-0.0007,0.005,0.014,0.007,0.006,0.012,0.006,0.008,0.012,0.005,0.005,0.004,0.006,0.021,,,0.009,0.017,,,0.019,0.019,0.024,0.039
40,0.015,0.025,0.021,0.018,0.007,0.054,0.01,0.011,0.012,0.013,0.013,0.017,0.019,0.042,0.004,0.022,0.005,0.003,0.012,0.01,0.005,0.004,0.01,0.011,0.028,0.07,0.013,0.006,0.008,0.01,0.016,0.01,0.004,0.006,0.004,0.068,0.014,0.017,0.01,0.012,0.004,0.013,0.063,0.008,0.011,0.006,0.007,0.01,0.005,0.004,0.009,0.007,0.006,0.016,0.009,0.007,0.005,0.006,0.001,0.006,0.007,0.012,0.01,0.023,0.007,0.011,0.008,0.004,0.009,0.006,0.01,0.024,,,0.013,0.019,,,0.025,0.014,0.02,0.023
60,0.018,0.027,0.024,0.022,0.013,0.024,0.018,0.018,0.017,0.019,0.021,0.021,0.021,0.034,0.008,0.009,0.01,0.008,0.022,0.019,0.013,0.01,0.018,0.018,0.008,0.016,0.016,0.015,0.014,0.012,0.023,0.016,0.01,0.012,0.01,0.023,0.014,0.019,0.022,0.017,0.01,0.009,0.062,0.012,0.018,0.011,0.01,0.015,0.01,0.011,0.028,0.01,0.01,0.021,0.017,0.011,0.009,0.012,0.005,0.012,0.015,0.02,0.013,0.029,0.011,0.015,0.016,0.01,0.01,0.02,0.016,0.019,,,0.018,0.027,,,0.039,0.038,0.04,0.045
80,0.042,0.045,0.038,0.036,0.028,0.03,0.033,0.036,0.032,0.032,0.034,0.036,0.043,0.055,0.042,0.026,0.026,0.022,0.04,0.034,0.028,0.024,0.03,0.03,0.024,0.028,0.028,0.028,0.025,0.021,0.039,0.028,0.023,0.024,0.02,0.03,0.025,0.093,0.029,0.029,0.022,0.021,0.038,0.026,0.028,0.021,0.021,0.024,0.027,0.025,0.029,0.02,0.021,0.033,0.028,0.023,0.021,0.021,0.014,0.028,0.026,0.035,0.03,0.041,0.028,0.028,0.028,0.022,0.025,0.024,0.026,0.028,,,0.039,0.053,,,0.054,0.052,0.051,0.057
100,0.051,0.057,0.047,0.049,0.034,0.043,0.048,0.051,0.046,0.038,0.039,0.045,0.047,0.063,0.026,0.028,0.029,0.023,0.055,0.047,0.037,0.029,0.033,0.035,0.03,0.028,0.036,0.034,0.034,0.03,0.052,0.04,0.025,0.029,0.022,0.031,0.034,0.044,0.045,0.038,0.032,0.03,0.048,0.032,0.033,0.024,0.02,0.027,0.031,0.031,0.121,0.047,0.044,0.04,0.063,0.033,0.025,0.022,0.012,0.02,0.037,0.045,0.039,0.051,0.033,0.035,0.047,0.031,0.038,0.028,0.024,0.028,,,0.051,0.073,,,0.097,0.09,0.08,0.096
120,0.109,0.109,0.099,0.101,0.088,0.094,0.113,0.114,0.109,0.093,0.095,0.091,0.106,0.127,0.077,0.083,0.086,0.077,0.135,0.118,0.104,0.089,0.085,0.085,0.09,0.083,0.084,0.088,0.089,0.08,0.118,0.101,0.081,0.08,0.073,0.078,0.085,0.094,0.088,0.088,0.089,0.076,0.119,0.092,0.082,0.076,0.068,0.071,0.1,0.094,0.089,0.083,0.09,0.09,0.107,0.087,0.079,0.074,0.058,0.068,0.092,0.102,0.092,0.107,0.09,0.091,0.11,0.091,0.089,0.082,0.07,0.07,,,0.129,0.156,,,0.16,0.143,0.116,0.144
140,0.192,0.178,0.162,0.169,0.148,0.16,0.206,0.197,0.19,0.151,0.145,0.148,0.168,0.19,0.135,0.144,0.145,0.128,0.229,0.204,0.177,0.157,0.142,0.14,0.168,0.15,0.15,0.154,0.15,0.141,0.199,0.175,0.147,0.138,0.12,0.123,0.164,0.173,0.157,0.159,0.148,0.141,0.2,0.164,0.145,0.127,0.114,0.117,0.159,0.15,0.201,0.148,0.158,0.151,0.193,0.201,0.138,0.127,0.098,0.113,0.163,0.174,0.164,0.235,0.208,0.152,0.19,0.166,0.163,0.138,0.115,0.114,,,0.213,0.256,,,0.253,0.23,0.179,0.222
160,0.279,0.264,0.247,0.252,0.231,0.243,0.289,0.29,0.271,0.233,0.221,0.217,0.27,0.299,0.22,0.232,0.24,0.22,0.327,0.304,0.279,0.247,0.222,0.212,0.254,0.247,0.232,0.241,0.243,0.223,0.306,0.269,0.233,0.216,0.192,0.184,0.253,0.253,0.245,0.248,0.237,0.218,0.297,0.257,0.222,0.211,0.18,0.172,0.255,0.249,0.3,0.232,0.249,0.233,0.287,0.241,0.219,0.208,0.157,0.165,0.25,0.271,0.25,0.262,0.251,0.234,0.289,0.248,0.241,0.218,0.178,0.169,,,0.321,0.342,,,0.341,0.321,0.257,0.304
180,0.389,0.37,0.355,0.359,0.337,0.347,0.402,0.41,0.392,0.346,0.335,0.32,0.388,0.42,0.335,0.346,0.353,0.334,0.466,0.445,0.402,0.362,0.33,0.319,0.368,0.359,0.35,0.352,0.351,0.332,0.436,0.387,0.347,0.332,0.305,0.291,0.365,0.366,0.393,0.362,0.352,0.33,0.425,0.375,0.333,0.316,0.291,0.275,0.374,0.401,0.41,0.336,0.365,0.344,0.41,0.358,0.334,0.312,0.26,0.267,0.365,0.382,0.363,0.37,0.364,0.343,0.419,0.364,0.355,0.326,0.28,0.268,,,0.464,0.498,,,0.467,0.437,0.36,0.417
