time,e15x32NpuSspS2_00,e15x32NpuSspS2_01,e15x32NpuSspS2_02,e15x32NpuSspS2_03,e15x32NpuSspS2_04,e15x32NpuSspS2_05,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e15x32NpuSspS2_10,e15x32NpuSspS2_11,e15x32NpuSspS2_12,e15x32NpuSspS2_13,e15x32NpuSspS2_14,e15x32NpuSspS2_15,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e15x32NpuSspS2_20,e15x32NpuSspS2_21,e15x32NpuSspS2_22,e15x32NpuSspS2_23,e15x32NpuSspS2_24,e15x32NpuSspS2_25,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e15x32NpuSspS2_30,e15x32NpuSspS2_31,e15x32NpuSspS2_32,e15x32NpuSspS2_33,e15x32NpuSspS2_34,e15x32NpuSspS2_35,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e15x32NpuSspS2_40,e15x32NpuSspS2_41,e15x32NpuSspS2_42,e15x32NpuSspS2_43,e15x32NpuSspS2_44,e15x32NpuSspS2_45,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e15x32NpuSspS2_50,e15x32NpuSspS2_51,e15x32NpuSspS2_52,e15x32NpuSspS2_53,e15x32NpuSspS2_54,e15x32NpuSspS2_55,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
1360,4855.0,4299.0,4154.0,4190.0,4223.0,4339.0,4422.0,4381.0,4479.0,4501.0,4519.0,4765.0,4790.0,4422.0,4439.0,4549.0,4550.0,4543.0,4435.0,4444.0,4632.0,4814.0,4752.0,5292.0,4689.0,5090.0,5858.0,5858.0,5947.0,6195.0,4374.0,4707.0,8140.0,8774.0,9313.0,11474.0,4854.0,6254.0,9122.0,10068.0,10368.0,11900.0,4474.0,5446.0,25095.0,38704.0,41227.0,70405.0,4824.0,7287.0,10778.0,11991.0,12049.0,12400.0,4495.0,7286.0,35748.0,62901.0,70494.0,80025.0,5079.0,11173.0,11549.0,12599.0,13320.0,13308.0,4512.0,21472.0,41998.0,60948.0,76771.0,97597.0,,,3885.0,3771.0,,,4275.0,4268.0,72041.0,82686.0
1380,4853.5,4288.5,4206.5,4184.5,4266.5,4387.5,4401.5,4429.5,4562.5,4510.5,4587.5,4816.5,4894.5,4394.5,4462.5,4546.5,4598.5,4627.5,4484.5,4468.5,4683.5,4801.5,4824.5,5341.5,4714.5,5126.5,5863.5,5936.5,6071.5,6173.5,4397.5,4786.5,8178.5,8785.5,9319.5,11540.5,4921.5,6254.5,9028.5,10095.5,10351.5,11810.5,4514.5,5467.5,25055.5,38635.5,41226.5,70710.5,4873.5,7277.5,10751.5,12032.5,12015.5,12419.5,4474.5,7272.5,35413.5,62463.5,70220.5,79871.5,5074.5,11140.5,11511.5,12523.5,13280.5,13269.5,4584.5,21475.5,42125.5,61177.5,76446.5,101201.5,,,3936.5,3848.5,,,4351.0,4347.0,71598.0,82765.0
1400,4884.0,4318.0,4185.0,4217.0,4296.0,4385.0,4446.0,4414.0,4562.0,4511.0,4586.0,4825.0,4882.0,4515.0,4475.0,4589.0,4595.0,4635.0,4486.0,4502.0,4709.0,4872.0,4758.0,5361.0,4758.0,5132.0,5907.0,5967.0,6040.0,6252.0,4429.0,4794.0,8145.0,8787.0,9256.0,11512.0,4897.0,6321.0,9149.0,10047.0,10348.0,11944.0,4522.0,5478.0,25010.0,38642.0,41338.0,70497.0,4898.0,7355.0,10789.0,12002.0,12021.0,12439.0,4528.0,7298.0,35449.0,62814.0,70109.0,79168.0,5126.0,11151.0,11550.0,12539.0,13355.0,13349.0,4532.0,21498.0,42312.0,60824.0,75986.0,98846.0,,,3983.0,3833.0,,,4295.5,4345.5,71880.5,83056.5
1420,4971.0,4340.0,4301.0,4222.0,4309.0,4437.0,4473.0,4465.0,4576.0,4570.0,4620.0,4859.0,4925.0,4500.0,4510.0,4592.0,4592.0,4685.0,4533.0,4512.0,4736.0,4887.0,4856.0,5436.0,4785.0,5222.0,5924.0,5992.0,6106.0,6264.0,4445.0,4804.0,8194.0,8844.0,9297.0,11613.0,4947.0,6389.0,9110.0,10032.0,10420.0,11869.0,4546.0,5492.0,25038.0,38498.0,41130.0,70342.0,4953.0,7321.0,10778.0,12123.0,12065.0,12426.0,4539.0,7322.0,35564.0,62350.0,69998.0,79212.0,5154.0,11126.0,11580.0,12603.0,13300.0,13353.0,4601.0,21548.0,41950.0,60737.0,76155.0,100542.0,,,3991.0,3857.0,,,4370.0,4384.0,71807.0,82166.0
0,88.5,78.5,74.5,55.5,63.5,75.5,63.5,73.5,60.5,61.5,65.5,64.5,107.5,94.5,86.5,79.5,96.5,97.5,90.5,82.5,99.5,102.5,82.5,93.5,78.5,83.5,68.5,67.5,80.5,76.5,61.5,71.5,65.5,71.5,75.5,63.5,79.5,88.5,57.5,63.5,84.5,89.5,87.5,77.5,77.5,79.5,71.5,80.5,85.5,77.5,73.5,78.5,75.5,79.5,79.5,64.5,67.5,70.5,-74.5,-252.5,68.5,68.5,67.5,61.5,64.5,63.5,76.5,69.5,65.5,81.5,54.5,-3.5,,,49.5,30.5,,,34.5,41.5,1050.5,883.5
20,70.0,70.0,43.0,52.0,56.0,62.0,53.0,54.0,38.0,62.0,46.0,57.0,75.0,76.0,75.0,67.0,76.0,73.0,67.0,76.0,100.0,87.0,77.0,83.0,66.0,80.0,61.0,56.0,58.0,61.0,47.0,58.0,48.0,55.0,56.0,58.0,57.0,72.0,52.0,67.0,66.0,79.0,67.0,72.0,60.0,65.0,63.0,72.0,62.0,69.0,64.0,66.0,61.0,67.0,62.0,66.0,57.0,68.0,-94.0,-254.0,69.0,65.0,58.0,58.0,76.0,66.0,68.0,67.0,63.0,66.0,51.0,-12.0,,,41.0,30.0,,,38.0,27.0,633.0,584.0
40,71.0,54.0,43.0,44.0,42.0,47.0,29.0,37.0,50.0,47.0,45.0,48.0,80.0,79.0,67.0,53.0,75.0,63.0,64.0,63.0,71.0,66.0,64.0,79.0,50.0,61.0,54.0,50.0,39.0,52.0,37.0,39.0,43.0,36.0,49.0,42.0,66.0,66.0,50.0,56.0,55.0,45.0,51.0,38.0,44.0,52.0,58.0,61.0,59.0,56.0,51.0,53.0,47.0,45.0,46.0,44.0,53.0,60.0,-111.0,-255.0,67.0,54.0,61.0,48.0,63.0,49.0,44.0,57.0,45.0,46.0,41.0,-14.0,,,31.0,23.0,,,45.0,35.0,844.0,789.0
60,84.5,62.5,48.5,55.5,58.5,57.5,53.5,43.5,56.5,45.5,51.5,56.5,79.5,78.5,74.5,57.5,78.5,68.5,72.5,65.5,75.5,75.5,79.5,73.5,67.5,70.5,58.5,43.5,52.5,48.5,50.5,57.5,46.5,55.5,48.5,55.5,57.5,76.5,61.5,54.5,51.5,61.5,75.5,63.5,57.5,73.5,60.5,66.5,81.5,71.5,58.5,45.5,51.5,54.5,66.5,56.5,60.5,57.5,-93.5,-242.5,66.5,58.5,64.5,67.5,70.5,58.5,51.5,64.5,63.5,64.5,58.5,-7.5,,,45.5,26.5,,,46.5,36.5,1121.5,1049.5
80,71.5,63.5,48.5,53.5,53.5,60.5,54.5,47.5,63.5,43.5,59.5,58.5,79.5,73.5,78.5,58.5,77.5,78.5,65.5,77.5,75.5,73.5,68.5,78.5,63.5,61.5,43.5,50.5,51.5,60.5,56.5,56.5,54.5,45.5,47.5,63.5,56.5,72.5,60.5,54.5,56.5,52.5,56.5,48.5,59.5,60.5,67.5,70.5,75.5,58.5,54.5,56.5,55.5,56.5,55.5,53.5,55.5,55.5,-88.5,-241.5,78.5,67.5,62.5,55.5,64.5,66.5,62.5,64.5,55.5,57.5,52.5,-6.5,,,43.5,23.5,,,60.0,47.0,1395.0,1344.0
100,81.5,77.5,65.5,46.5,58.5,67.5,66.5,49.5,64.5,55.5,52.5,62.5,89.5,81.5,82.5,59.5,80.5,72.5,81.5,71.5,85.5,88.5,74.5,90.5,65.5,75.5,60.5,56.5,59.5,51.5,62.5,62.5,46.5,58.5,57.5,62.5,78.5,72.5,55.5,53.5,54.5,68.5,69.5,70.5,58.5,73.5,71.5,71.5,82.5,75.5,60.5,54.5,59.5,53.5,55.5,51.5,63.5,66.5,-92.5,-238.5,74.5,61.5,84.5,63.5,72.5,63.5,66.5,65.5,60.5,66.5,51.5,-11.5,,,57.5,38.5,,,46.5,50.5,1650.5,1623.5
