time,e15x32NpuSspS2_00,e15x32NpuSspS2_01,e15x32NpuSspS2_02,e15x32NpuSspS2_03,e15x32NpuSspS2_04,e15x32NpuSspS2_05,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e15x32NpuSspS2_10,e15x32NpuSspS2_11,e15x32NpuSspS2_12,e15x32NpuSspS2_13,e15x32NpuSspS2_14,e15x32NpuSspS2_15,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e15x32NpuSspS2_20,e15x32NpuSspS2_21,e15x32NpuSspS2_22,e15x32NpuSspS2_23,e15x32NpuSspS2_24,e15x32NpuSspS2_25,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e15x32NpuSspS2_30,e15x32NpuSspS2_31,e15x32NpuSspS2_32,e15x32NpuSspS2_33,e15x32NpuSspS2_34,e15x32NpuSspS2_35,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e15x32NpuSspS2_40,e15x32NpuSspS2_41,e15x32NpuSspS2_42,e15x32NpuSspS2_43,e15x32NpuSspS2_44,e15x32NpuSspS2_45,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e15x32NpuSspS2_50,e15x32NpuSspS2_51,e15x32NpuSspS2_52,e15x32NpuSspS2_53,e15x32NpuSspS2_54,e15x32NpuSspS2_55,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
1400,1.244,1.268,1.263,1.246,1.237,1.224,1.225,1.225,1.332,1.226,1.249,1.241,1.277,1.358,1.322,1.317,1.326,1.301,1.362,1.291,1.319,1.341,1.332,1.342,1.256,1.316,1.285,1.262,1.278,1.303,1.263,1.263,1.268,1.292,1.287,1.291,1.337,1.346,1.31,1.374,1.317,1.369,1.313,1.295,1.306,1.31,1.35,1.323,1.302,1.33,1.344,1.461,1.464,1.372,1.313,1.313,1.324,1.334,0.98,0.7,1.304,1.322,1.336,1.342,1.29,1.358,1.35,1.324,1.336,1.334,1.305,1.072,,,1.335,1.198,,,1.394,1.473,1.414,1.362
1420,1.242,1.27,1.265,1.237,1.244,1.235,1.222,1.232,1.33,1.247,1.253,1.244,1.276,1.356,1.311,1.289,1.317,1.315,1.354,1.282,1.317,1.334,1.336,1.335,1.25,1.295,1.265,1.257,1.263,1.336,1.248,1.257,1.261,1.28,1.286,1.284,1.276,1.318,1.291,1.337,1.322,1.364,1.308,1.297,1.303,1.298,1.338,1.321,1.29,1.363,1.334,1.36,1.361,1.364,1.306,1.404,1.356,1.326,0.974,0.695,1.288,1.325,1.351,1.387,1.377,1.349,1.351,1.315,1.367,1.328,1.308,1.071,,,1.362,1.218,,,1.416,1.48,1.43,1.297
0,128.5,120.5,130.5,108.5,103.5,144.5,114.5,116.5,113.5,105.5,115.5,125.5,165.5,190.5,156.5,142.5,186.5,182.5,170.5,154.5,194.5,185.5,153.5,168.5,126.5,134.5,117.5,131.5,126.5,132.5,121.5,144.5,143.5,137.5,131.5,133.5,149.5,151.5,124.5,125.5,145.5,136.5,164.5,141.5,137.5,165.5,127.5,145.5,138.5,143.5,136.5,127.5,145.5,127.5,137.5,120.5,123.5,129.5,-172.5,-506.5,154.5,133.5,120.5,97.5,114.5,107.5,141.5,118.5,111.5,122.5,116.5,-24.5,,,58.5,56.5,,,73.0,64.0,2001.0,1645.0
20,151.0,126.0,110.0,102.0,122.0,106.0,91.0,100.0,121.0,110.0,112.0,103.0,155.0,170.0,165.0,143.0,156.0,169.0,162.0,177.0,167.0,176.0,147.0,169.0,118.0,127.0,131.0,135.0,115.0,126.0,119.0,120.0,125.0,112.0,139.0,104.0,138.0,169.0,143.0,142.0,126.0,165.0,145.0,138.0,139.0,163.0,125.0,142.0,140.0,165.0,138.0,141.0,127.0,123.0,144.0,120.0,127.0,134.0,-181.0,-484.0,144.0,138.0,124.0,135.0,149.0,153.0,125.0,128.0,129.0,143.0,110.0,-11.0,,,95.0,51.0,,,60.5,60.5,1222.5,1102.5
40,141.0,125.0,104.0,103.0,103.0,109.0,106.0,96.0,111.0,89.0,80.0,108.0,146.0,154.0,133.0,118.0,150.0,144.0,126.0,144.0,151.0,156.0,145.0,162.0,122.0,130.0,119.0,93.0,103.0,113.0,113.0,113.0,110.0,111.0,117.0,113.0,142.0,150.0,126.0,110.0,113.0,123.0,124.0,107.0,105.0,132.0,123.0,136.0,132.0,134.0,129.0,113.0,129.0,136.0,129.0,102.0,110.0,112.0,-191.0,-477.0,151.0,128.0,125.0,115.0,151.0,121.0,111.0,123.0,111.0,122.0,113.0,-18.0,,,80.0,68.0,,,88.0,89.0,1672.0,1539.0
60,110.5,113.5,93.5,90.5,99.5,87.5,76.5,84.5,88.5,88.5,90.5,95.5,135.5,129.5,146.5,95.5,114.5,110.5,121.5,125.5,134.5,127.5,128.5,144.5,113.5,100.5,87.5,105.5,74.5,94.5,93.5,96.5,79.5,79.5,82.5,100.5,116.5,121.5,91.5,86.5,96.5,113.5,97.5,86.5,113.5,113.5,110.5,101.5,113.5,105.5,118.5,92.5,100.5,94.5,116.5,86.5,96.5,94.5,-177.5,-490.5,114.5,108.5,110.5,111.5,116.5,100.5,99.5,98.5,100.5,98.5,90.5,-14.5,,,75.5,44.5,,,97.5,82.5,2162.5,2044.5
80,133.5,120.5,91.5,79.5,83.5,104.5,96.5,95.5,105.5,76.5,95.5,112.5,138.5,145.5,143.5,113.5,135.5,125.5,116.5,137.5,149.5,145.5,144.5,171.5,112.5,122.5,103.5,79.5,64.5,83.5,92.5,94.5,78.5,92.5,112.5,112.5,123.5,148.5,101.5,82.5,93.5,131.5,111.5,109.5,104.5,129.5,124.5,131.5,110.5,132.5,107.5,105.5,93.5,116.5,99.5,92.5,120.5,115.5,-190.5,-488.5,146.5,142.5,117.5,119.5,123.5,121.5,119.5,122.5,116.5,134.5,111.5,-33.5,,,78.5,48.5,,,105.0,83.0,2727.0,2597.0
100,153.0,124.0,96.0,108.0,99.0,108.0,107.0,96.0,115.0,105.0,108.0,105.0,147.0,165.0,124.0,128.0,148.0,134.0,115.0,146.0,143.0,167.0,157.0,170.0,115.0,104.0,127.0,103.0,112.0,106.0,107.0,101.0,81.0,101.0,104.0,126.0,126.0,145.0,105.0,106.0,112.0,113.0,98.0,128.0,105.0,126.0,129.0,115.0,132.0,113.0,119.0,100.0,115.0,108.0,108.0,93.0,111.0,116.0,-190.0,-467.0,154.0,120.0,115.0,100.0,146.0,112.0,127.0,102.0,74.0,127.0,106.0,-12.0,,,94.0,47.0,,,104.0,91.0,3200.0,3145.0
120,173.5,165.5,138.5,127.5,123.5,140.5,112.5,136.5,120.5,105.5,102.5,134.5,180.5,161.5,154.5,134.5,147.5,145.5,152.5,160.5,166.5,169.5,145.5,184.5,138.5,149.5,120.5,98.5,106.5,129.5,132.5,134.5,110.5,123.5,126.5,114.5,138.5,158.5,139.5,122.5,101.5,120.5,150.5,131.5,132.5,152.5,133.5,163.5,141.5,150.5,146.5,108.5,120.5,111.5,144.5,138.5,108.5,145.5,-176.5,-451.5,155.5,147.5,122.5,110.5,166.5,135.5,129.5,130.5,124.5,142.5,102.5,-9.5,,,110.5,76.5,,,138.0,131.0,3865.0,3772.0
140,219.5,173.5,176.5,170.5,176.5,173.5,149.5,136.5,180.5,149.5,160.5,145.5,195.5,201.5,165.5,168.5,191.5,182.5,166.5,135.5,195.5,177.5,167.5,207.5,168.5,161.5,149.5,150.5,152.5,131.5,130.5,134.5,141.5,134.5,134.5,157.5,157.5,193.5,136.5,163.5,151.5,150.5,160.5,144.5,139.5,157.5,159.5,157.5,172.5,170.5,159.5,150.5,145.5,145.5,156.5,140.5,146.5,152.5,-137.5,-410.5,188.5,181.5,162.5,157.5,198.5,151.5,147.5,139.5,112.5,151.5,133.5,37.5,,,179.5,129.5,,,189.5,172.5,4839.5,4753.5
