time,e15x32NpuSspS2_00,e15x32NpuSspS2_01,e15x32NpuSspS2_02,e15x32NpuSspS2_03,e15x32NpuSspS2_04,e15x32NpuSspS2_05,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_02,e16x33NrdA2_03,e16x33NrdA2_04,e16x33NrdA2_05,e15x32NpuSspS2_10,e15x32NpuSspS2_11,e15x32NpuSspS2_12,e15x32NpuSspS2_13,e15x32NpuSspS2_14,e15x32NpuSspS2_15,e16x33NrdA2_10,e16x33NrdA2_11,e16x33NrdA2_12,e16x33NrdA2_13,e16x33NrdA2_14,e16x33NrdA2_15,e15x32NpuSspS2_20,e15x32NpuSspS2_21,e15x32NpuSspS2_22,e15x32NpuSspS2_23,e15x32NpuSspS2_24,e15x32NpuSspS2_25,e16x33NrdA2_20,e16x33NrdA2_21,e16x33NrdA2_22,e16x33NrdA2_23,e16x33NrdA2_24,e16x33NrdA2_25,e15x32NpuSspS2_30,e15x32NpuSspS2_31,e15x32NpuSspS2_32,e15x32NpuSspS2_33,e15x32NpuSspS2_34,e15x32NpuSspS2_35,e16x33NrdA2_30,e16x33NrdA2_31,e16x33NrdA2_32,e16x33NrdA2_33,e16x33NrdA2_34,e16x33NrdA2_35,e15x32NpuSspS2_40,e15x32NpuSspS2_41,e15x32NpuSspS2_42,e15x32NpuSspS2_43,e15x32NpuSspS2_44,e15x32NpuSspS2_45,e16x33NrdA2_40,e16x33NrdA2_41,e16x33NrdA2_42,e16x33NrdA2_43,e16x33NrdA2_44,e16x33NrdA2_45,e15x32NpuSspS2_50,e15x32NpuSspS2_51,e15x32NpuSspS2_52,e15x32NpuSspS2_53,e15x32NpuSspS2_54,e15x32NpuSspS2_55,e16x33NrdA2_50,e16x33NrdA2_51,e16x33NrdA2_52,e16x33NrdA2_53,e16x33NrdA2_54,e16x33NrdA2_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
0,0.045,0.025,-0.0005,0.025,0.036,0.027,0.017,0.015,0.181,0.024,0.011,0.042,0.008,0.015,0.003,0.006,0.016,0.019,0.047,0.011,0.001,0.021,0.026,0.011,0.009,-0.004,-0.004,0.008,-0.002,0.006,0.005,0.006,0.009,0.019,0.016,0.008,0.002,-0.002,0.015,0.025,0.028,-0.002,0.01,0.011,0.008,0.003,0.013,0.018,0.007,0.015,0.004,-0.001,0.043,0.015,0.019,0.015,0.005,0.009,0.004,0.091,0.003,0.001,0.0009,0.0008,0.002,0.009,0.033,0.015,0.01,0.006,0.005,0.048,,,0.035,0.034,,,0.046,0.053,0.052,0.041
20,0.039,0.02,0.018,0.014,0.022,0.026,0.015,0.021,0.164,0.024,0.021,0.021,0.02,0.019,0.007,0.011,0.029,0.031,0.074,0.008,0.008,0.008,0.029,0.018,0.012,0.008,0.007,0.009,0.01,0.011,0.013,0.014,0.018,0.012,0.02,0.019,0.011,0.01,0.014,0.023,0.008,0.011,0.014,0.018,0.015,0.013,0.018,0.028,0.019,0.022,0.019,0.012,0.046,0.018,0.014,0.02,0.018,0.018,0.013,0.101,0.015,0.012,0.014,0.013,0.018,0.019,0.019,0.013,0.02,0.018,0.015,0.035,,,0.034,0.018,,,0.025,0.064,0.038,0.032
40,0.038,0.021,0.019,0.014,0.02,0.026,0.018,0.019,0.157,0.023,0.021,0.022,0.021,0.018,0.009,0.008,0.026,0.03,0.067,0.008,0.009,0.009,0.03,0.018,0.014,0.01,0.006,0.009,0.009,0.01,0.011,0.011,0.01,0.013,0.018,0.02,0.011,0.008,0.014,0.024,0.007,0.01,0.011,0.019,0.014,0.013,0.017,0.027,0.019,0.024,0.018,0.011,0.065,0.018,0.014,0.019,0.017,0.018,0.014,0.1,0.017,0.013,0.017,0.014,0.018,0.019,0.018,0.011,0.019,0.015,0.015,0.034,,,0.037,0.02,,,0.023,0.043,0.036,0.033
60,0.05,0.034,0.037,0.028,0.032,0.036,0.026,0.03,0.175,0.034,0.031,0.033,0.031,0.028,0.017,0.018,0.032,0.04,0.074,0.015,0.016,0.015,0.037,0.026,0.023,0.019,0.017,0.017,0.018,0.019,0.02,0.022,0.019,0.02,0.028,0.028,0.02,0.018,0.023,0.034,0.017,0.02,0.021,0.033,0.025,0.022,0.026,0.036,0.029,0.034,0.028,0.023,0.056,0.027,0.024,0.031,0.112,0.026,0.022,0.108,0.028,0.024,0.026,0.025,0.028,0.03,0.027,0.021,0.107,0.024,0.023,0.046,,,0.047,0.03,,,0.035,0.053,0.044,0.042
80,0.069,0.052,0.047,0.043,0.05,0.055,0.039,0.045,0.187,0.046,0.044,0.046,0.045,0.041,0.032,0.03,0.045,0.051,0.084,0.028,0.025,0.029,0.049,0.037,0.037,0.034,0.03,0.03,0.032,0.032,0.032,0.032,0.027,0.031,0.038,0.038,0.032,0.03,0.035,0.046,0.165,0.031,0.032,0.043,0.034,0.036,0.037,0.049,0.044,0.048,0.15,0.117,0.069,0.038,0.041,0.104,0.126,0.047,0.032,0.12,0.045,0.037,0.041,0.039,0.043,0.043,0.039,0.034,0.073,0.036,0.033,0.054,,,0.07,0.046,,,0.059,0.077,0.063,0.059
100,0.112,0.09,0.084,0.11,0.087,0.095,0.073,0.072,0.218,0.08,0.081,0.08,0.073,0.064,0.057,0.053,0.068,0.076,0.11,0.052,0.047,0.054,0.074,0.064,0.067,0.06,0.057,0.056,0.058,0.06,0.057,0.059,0.049,0.056,0.062,0.063,0.06,0.053,0.06,0.073,0.054,0.054,0.056,0.06,0.059,0.061,0.073,0.073,0.073,0.078,0.072,0.091,0.162,0.064,0.059,0.063,0.062,0.086,0.052,0.142,0.078,0.071,0.073,0.071,0.074,0.069,0.056,0.053,0.057,0.058,0.059,0.074,,,0.108,0.08,,,0.097,0.114,0.098,0.092
120,0.19,0.154,0.148,0.139,0.145,0.157,0.12,0.12,0.27,0.131,0.135,0.131,0.12,0.11,0.1,0.096,0.111,0.12,0.148,0.091,0.086,0.097,0.12,0.103,0.118,0.107,0.101,0.102,0.104,0.103,0.099,0.098,0.086,0.09,0.1,0.103,0.103,0.097,0.099,0.114,0.089,0.094,0.098,0.101,0.094,0.107,0.147,0.114,0.118,0.12,0.112,0.109,0.239,0.184,0.096,0.102,0.101,0.136,0.09,0.176,0.128,0.123,0.127,0.12,0.208,0.119,0.092,0.087,0.091,0.093,0.092,0.11,,,0.172,0.132,,,0.176,0.182,0.153,0.142
140,0.285,0.253,0.248,0.238,0.245,0.254,0.208,0.203,0.356,0.209,0.21,0.211,0.2,0.177,0.181,0.164,0.178,0.194,0.214,0.162,0.163,0.168,0.189,0.17,0.203,0.187,0.178,0.176,0.178,0.179,0.165,0.173,0.152,0.158,0.168,0.169,0.177,0.172,0.168,0.188,0.155,0.159,0.167,0.168,0.161,0.184,0.178,0.184,0.203,0.199,0.191,0.182,0.203,0.17,0.156,0.161,0.164,0.192,0.149,0.289,0.215,0.198,0.211,0.203,0.205,0.198,0.267,0.142,0.161,0.152,0.155,0.173,,,0.269,0.218,,,0.275,0.281,0.247,0.236
160,0.403,0.363,0.348,0.334,0.35,0.362,0.322,0.316,0.473,0.326,0.332,0.327,0.333,0.296,0.3,0.287,0.296,0.312,0.339,0.278,0.264,0.292,0.31,0.276,0.323,0.303,0.296,0.294,0.3,0.301,0.275,0.3,0.259,0.27,0.277,0.282,0.301,0.284,0.284,0.307,0.273,0.273,0.279,0.282,0.271,0.306,0.296,0.299,0.325,0.541,0.39,0.328,0.412,0.366,0.294,0.275,0.33,0.308,0.236,0.28,0.347,0.318,0.338,0.395,0.43,0.316,0.253,0.252,0.308,0.257,0.256,0.262,,,0.377,0.337,,,0.381,0.393,0.348,0.327
180,0.546,0.495,0.482,0.462,0.486,0.485,0.44,0.432,0.582,0.432,0.442,0.429,0.449,0.394,0.405,0.392,0.403,0.408,0.437,0.38,0.375,0.402,0.413,0.387,0.449,0.416,0.408,0.397,0.406,0.4,0.38,0.404,0.366,0.375,0.379,0.383,0.419,0.393,0.389,0.412,0.38,0.367,0.376,0.386,0.381,0.405,0.473,0.401,0.434,0.436,0.414,0.412,0.422,0.394,0.369,0.374,0.377,0.425,0.319,0.341,0.456,0.431,0.454,0.435,0.432,0.449,0.468,0.517,0.362,0.365,0.357,0.352,,,0.522,0.459,,,0.517,0.538,0.482,0.454
