time,e20x32gp411_00,e20x32gp411_01,e20x32gp411_02,e20x32gp411_03,e20x32gp411_04,e20x32gp411_05,e34x30MjaKlbA_00,e34x30MjaKlbA_01,e34x30MjaKlbA_02,e34x30MjaKlbA_03,e34x30MjaKlbA_04,e34x30MjaKlbA_05,e20x32gp411_10,e20x32gp411_11,e20x32gp411_12,e20x32gp411_13,e20x32gp411_14,e20x32gp411_15,e34x30MjaKlbA_10,e34x30MjaKlbA_11,e34x30MjaKlbA_12,e34x30MjaKlbA_13,e34x30MjaKlbA_14,e34x30MjaKlbA_15,e20x32gp411_20,e20x32gp411_21,e20x32gp411_22,e20x32gp411_23,e20x32gp411_24,e20x32gp411_25,e34x30MjaKlbA_20,e34x30MjaKlbA_21,e34x30MjaKlbA_22,e34x30MjaKlbA_23,e34x30MjaKlbA_24,e34x30MjaKlbA_25,e20x32gp411_30,e20x32gp411_31,e20x32gp411_32,e20x32gp411_33,e20x32gp411_34,e20x32gp411_35,e34x30MjaKlbA_30,e34x30MjaKlbA_31,e34x30MjaKlbA_32,e34x30MjaKlbA_33,e34x30MjaKlbA_34,e34x30MjaKlbA_35,e20x32gp411_40,e20x32gp411_41,e20x32gp411_42,e20x32gp411_43,e20x32gp411_44,e20x32gp411_45,e34x30MjaKlbA_40,e34x30MjaKlbA_41,e34x30MjaKlbA_42,e34x30MjaKlbA_43,e34x30MjaKlbA_44,e34x30MjaKlbA_45,e20x32gp411_50,e20x32gp411_51,e20x32gp411_52,e20x32gp411_53,e20x32gp411_54,e20x32gp411_55,e34x30MjaKlbA_50,e34x30MjaKlbA_51,e34x30MjaKlbA_52,e34x30MjaKlbA_53,e34x30MjaKlbA_54,e34x30MjaKlbA_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
480,640.5,657.5,694.5,688.5,704.5,691.5,684.5,694.5,688.5,706.5,717.5,740.5,648.5,999.5,2356.5,3020.5,2758.5,3544.5,702.5,789.5,851.5,847.5,813.5,868.5,671.5,1872.5,6664.5,8787.5,10408.5,12044.5,739.5,1473.5,2000.5,1819.5,1789.5,1928.5,640.5,1520.5,8983.5,15150.5,16780.5,22488.5,739.5,2160.5,6253.5,6284.5,6535.5,9277.5,656.5,2281.5,10486.5,16149.5,17726.5,23369.5,747.5,3222.5,7899.5,8638.5,8757.5,10344.5,638.5,5330.5,10438.5,16003.5,20655.5,24392.5,759.5,8559.5,10729.5,13210.5,9255.5,16796.5,,,541.5,512.5,,,665.0,667.0,12192.0,13248.0
500,668.0,678.0,711.0,706.0,731.0,703.0,697.0,710.0,721.0,734.0,748.0,771.0,683.0,1026.0,2370.0,3024.0,2774.0,3552.0,724.0,810.0,870.0,878.0,840.0,900.0,703.0,1894.0,6676.0,8829.0,10530.0,12012.0,760.0,1489.0,2034.0,1837.0,1826.0,1965.0,659.0,1551.0,9043.0,15144.0,16751.0,22521.0,772.0,2180.0,6273.0,6328.0,6564.0,9377.0,693.0,2309.0,10575.0,16206.0,17798.0,23393.0,770.0,3242.0,7981.0,8617.0,8823.0,10395.0,668.0,5373.0,10572.0,15939.0,20751.0,24432.0,781.0,8604.0,10755.0,13152.0,9328.0,16964.0,,,558.0,542.0,,,680.5,676.5,12413.5,13571.5
520,691.0,703.0,737.0,739.0,746.0,727.0,722.0,724.0,737.0,750.0,772.0,788.0,693.0,1036.0,2392.0,3059.0,2801.0,3588.0,730.0,816.0,880.0,891.0,856.0,928.0,722.0,1922.0,6699.0,8857.0,10584.0,12064.0,768.0,1508.0,2041.0,1860.0,1852.0,1988.0,666.0,1571.0,9110.0,15315.0,16810.0,22641.0,776.0,2211.0,6301.0,6356.0,6591.0,9396.0,705.0,2324.0,10595.0,16319.0,17869.0,23571.0,789.0,3274.0,7966.0,8685.0,8887.0,10476.0,675.0,5429.0,10694.0,16161.0,20984.0,24764.0,787.0,8610.0,10753.0,13236.0,9379.0,17146.0,,,564.0,555.0,,,704.0,688.0,12778.0,13959.0
540,715.0,718.0,755.0,756.0,767.0,746.0,734.0,742.0,753.0,766.0,779.0,814.0,713.0,1052.0,2397.0,3086.0,2814.0,3607.0,748.0,833.0,897.0,906.0,874.0,949.0,723.0,1948.0,6724.0,8944.0,10759.0,12118.0,795.0,1518.0,2059.0,1886.0,1860.0,2008.0,677.0,1587.0,9130.0,15387.0,16996.0,22957.0,801.0,2225.0,6355.0,6391.0,6640.0,9484.0,720.0,2359.0,10690.0,16444.0,18060.0,23755.0,803.0,3253.0,7998.0,8745.0,8881.0,10549.0,703.0,5476.0,10757.0,16349.0,21052.0,24954.0,811.0,8634.0,10785.0,13310.0,9356.0,17281.0,,,589.0,564.0,,,721.0,709.0,13267.0,14255.0
560,734.5,724.5,764.5,784.5,784.5,772.5,746.5,754.5,776.5,775.5,809.5,827.5,727.5,1074.5,2423.5,3122.5,2840.5,3646.5,765.5,854.5,915.5,926.5,897.5,966.5,746.5,1988.5,6781.5,8954.5,10824.5,12173.5,805.5,1533.5,2066.5,1904.5,1875.5,2047.5,698.5,1615.5,9239.5,15509.5,17119.5,23371.5,814.5,2232.5,6363.5,6440.5,6665.5,9518.5,732.5,2382.5,10785.5,16535.5,18239.5,24057.5,822.5,3306.5,8038.5,8772.5,8934.5,10615.5,706.5,5505.5,10741.5,16494.5,21323.5,25215.5,829.5,8694.5,10851.5,13355.5,9394.5,17381.5,,,599.5,578.5,,,729.5,719.5,13414.5,14579.5
580,745.0,732.0,787.0,791.0,800.0,791.0,764.0,769.0,786.0,807.0,824.0,853.0,740.0,1086.0,2447.0,3138.0,2841.0,3651.0,786.0,859.0,931.0,940.0,911.0,990.0,760.0,1989.0,6775.0,8932.0,10943.0,12186.0,818.0,1563.0,2099.0,1918.0,1885.0,2065.0,715.0,1633.0,9230.0,15558.0,17097.0,23254.0,827.0,2262.0,6385.0,6420.0,6677.0,9583.0,758.0,2399.0,10764.0,16631.0,18273.0,24035.0,841.0,3302.0,8057.0,8740.0,8940.0,10653.0,727.0,5511.0,10719.0,16197.0,21341.0,25171.0,858.0,8685.0,10855.0,13323.0,9439.0,17499.0,,,624.0,597.0,,,761.5,736.5,13659.5,14902.5
600,756.0,747.0,797.0,800.0,818.0,794.0,777.0,786.0,804.0,818.0,828.0,872.0,753.0,1092.0,2441.0,3135.0,2835.0,3659.0,800.0,887.0,934.0,957.0,914.0,1007.0,782.0,2003.0,6765.0,8930.0,10934.0,12191.0,832.0,1566.0,2114.0,1933.0,1893.0,2080.0,739.0,1632.0,9241.0,15553.0,17105.0,23420.0,845.0,2267.0,6343.0,6445.0,6704.0,9571.0,769.0,2399.0,10771.0,16527.0,18278.0,24088.0,848.0,3313.0,8049.0,8788.0,8976.0,10704.0,743.0,5480.0,10630.0,16279.0,21429.0,25334.0,860.0,8704.0,10866.0,13465.0,9467.0,17661.0,,,622.0,605.0,,,763.5,747.5,13970.5,15251.5
620,771.0,772.0,819.0,831.0,826.0,814.0,795.0,800.0,813.0,843.0,852.0,889.0,769.0,1106.0,2467.0,3163.0,2858.0,3682.0,809.0,887.0,961.0,980.0,942.0,1029.0,801.0,2055.0,6804.0,8943.0,10994.0,12133.0,844.0,1597.0,2114.0,1936.0,1919.0,2111.0,743.0,1640.0,9213.0,15540.0,17245.0,23343.0,855.0,2284.0,6399.0,6451.0,6693.0,9636.0,785.0,2402.0,10722.0,16488.0,18215.0,24127.0,867.0,3328.0,8019.0,8791.0,8985.0,10793.0,767.0,5485.0,10610.0,16276.0,21316.0,25057.0,875.0,8705.0,10844.0,13365.0,9549.0,17777.0,,,647.0,631.0,,,781.0,765.0,14117.0,15594.0
640,787.0,783.0,830.0,830.0,842.0,832.0,808.0,817.0,825.0,854.0,865.0,912.0,792.0,1123.0,2468.0,3173.0,2864.0,3691.0,820.0,902.0,970.0,981.0,937.0,1035.0,802.0,2049.0,6790.0,8964.0,11106.0,12216.0,863.0,1592.0,2128.0,1954.0,1920.0,2125.0,757.0,1662.0,9256.0,15598.0,17320.0,23612.0,871.0,2314.0,6417.0,6474.0,6711.0,9670.0,801.0,2416.0,10755.0,16578.0,18283.0,24336.0,872.0,3343.0,8077.0,8831.0,9023.0,10805.0,785.0,5524.0,10641.0,16412.0,21564.0,25521.0,875.0,8712.0,10905.0,13432.0,9481.0,17814.0,,,655.0,632.0,,,794.0,773.0,14292.0,15805.0
660,797.5,790.5,839.5,846.5,849.5,852.5,821.5,820.5,840.5,863.5,882.5,924.5,804.5,1131.5,2490.5,3206.5,2894.5,3749.5,826.5,916.5,984.5,995.5,957.5,1051.5,827.5,2087.5,6818.5,9006.5,11220.5,12323.5,874.5,1604.5,2136.5,1969.5,1942.5,2143.5,763.5,1687.5,9339.5,15734.5,17405.5,23704.5,883.5,2310.5,6448.5,6504.5,6740.5,9742.5,806.5,2476.5,10868.5,16734.5,18354.5,24469.5,887.5,3389.5,8110.5,8868.5,9077.5,10913.5,791.5,5513.5,10674.5,16455.5,21758.5,25715.5,888.5,8796.5,10946.5,13420.5,9569.5,17789.5,,,670.5,649.5,,,792.5,777.5,14190.5,15844.5
680,815.0,802.0,844.0,845.0,860.0,857.0,833.0,845.0,850.0,882.0,909.0,949.0,810.0,1140.0,2519.0,3211.0,2912.0,3739.0,846.0,935.0,997.0,1005.0,969.0,1081.0,835.0,2087.0,6829.0,8955.0,11247.0,12350.0,888.0,1624.0,2161.0,1997.0,1983.0,2171.0,775.0,1700.0,9362.0,15613.0,17345.0,23703.0,901.0,2333.0,6464.0,6528.0,6763.0,9855.0,823.0,2468.0,10853.0,16684.0,18399.0,24566.0,893.0,3376.0,8127.0,8933.0,9117.0,10956.0,805.0,5517.0,10655.0,16398.0,21747.0,25614.0,904.0,8767.0,10994.0,13492.0,9619.0,18170.0,,,680.0,663.0,,,822.0,792.0,14387.0,16052.0
700,833.0,817.0,856.0,871.0,885.0,874.0,842.0,859.0,871.0,900.0,917.0,957.0,833.0,1154.0,2522.0,3206.0,2929.0,3771.0,859.0,942.0,1009.0,1026.0,981.0,1101.0,848.0,2130.0,6884.0,8963.0,11356.0,12474.0,901.0,1644.0,2178.0,2011.0,1991.0,2189.0,802.0,1720.0,9406.0,15790.0,17463.0,23853.0,903.0,2358.0,6469.0,6559.0,6799.0,9829.0,830.0,2483.0,10835.0,16718.0,18634.0,24616.0,923.0,3429.0,8153.0,8914.0,9120.0,10962.0,820.0,5566.0,10598.0,16507.0,21993.0,26303.0,926.0,8833.0,11060.0,13500.0,9636.0,18103.0,,,693.0,668.0,,,832.0,800.0,14591.0,16070.0
720,833.0,825.0,865.0,877.0,890.0,887.0,854.0,862.0,883.0,902.0,922.0,980.0,844.0,1169.0,2540.0,3226.0,2948.0,3777.0,871.0,950.0,1017.0,1033.0,1001.0,1107.0,856.0,2125.0,6892.0,8979.0,11427.0,12441.0,906.0,1643.0,2210.0,2026.0,2012.0,2189.0,801.0,1719.0,9413.0,15902.0,17555.0,24020.0,920.0,2362.0,6504.0,6576.0,6840.0,9935.0,848.0,2474.0,10880.0,16758.0,18694.0,24780.0,934.0,3427.0,8136.0,8986.0,9147.0,11016.0,831.0,5568.0,10644.0,16504.0,21948.0,26445.0,931.0,8864.0,10994.0,13579.0,9676.0,18296.0,,,712.0,688.0,,,823.5,816.5,14501.5,16208.5
740,847.0,839.0,882.0,889.0,899.0,891.0,867.0,870.0,887.0,914.0,946.0,999.0,850.0,1176.0,2543.0,3229.0,2968.0,3791.0,877.0,959.0,1037.0,1052.0,1001.0,1117.0,875.0,2137.0,6926.0,8953.0,11517.0,12435.0,910.0,1645.0,2203.0,2028.0,1996.0,2218.0,808.0,1724.0,9370.0,15808.0,17605.0,24026.0,925.0,2372.0,6481.0,6580.0,6812.0,9902.0,857.0,2494.0,10871.0,16734.0,18647.0,24636.0,923.0,3439.0,8157.0,8993.0,9166.0,11105.0,836.0,5554.0,10591.0,16381.0,21804.0,26290.0,947.0,8857.0,11020.0,13522.0,9746.0,18325.0,,,717.0,694.0,,,833.0,811.0,14752.0,16256.0
760,861.0,842.0,885.0,897.0,912.0,900.0,876.0,885.0,902.0,933.0,955.0,1004.0,856.0,1181.0,2557.0,3271.0,2994.0,3848.0,892.0,981.0,1040.0,1057.0,1012.0,1132.0,867.0,2177.0,6947.0,8985.0,11572.0,12474.0,929.0,1675.0,2188.0,2031.0,2023.0,2232.0,814.0,1745.0,9434.0,15932.0,17636.0,24102.0,937.0,2373.0,6498.0,6585.0,6823.0,9959.0,865.0,2528.0,10910.0,16796.0,18707.0,24888.0,948.0,3434.0,8233.0,8974.0,9141.0,11053.0,844.0,5588.0,10697.0,16541.0,21933.0,26289.0,954.0,8953.0,10996.0,13495.0,9717.0,18336.0,,,728.0,694.0,,,839.0,822.0,14731.0,16485.0
780,867.0,842.0,901.0,908.0,920.0,913.0,880.0,899.0,911.0,943.0,962.0,1017.0,863.0,1200.0,2568.0,3253.0,3008.0,3836.0,904.0,986.0,1051.0,1070.0,1026.0,1143.0,886.0,2183.0,6976.0,9019.0,11687.0,12514.0,934.0,1680.0,2216.0,2044.0,2024.0,2253.0,837.0,1752.0,9507.0,15990.0,17745.0,24183.0,948.0,2391.0,6526.0,6573.0,6822.0,9955.0,874.0,2514.0,10922.0,16798.0,18689.0,24941.0,963.0,3436.0,8247.0,8957.0,9154.0,11094.0,865.0,5579.0,10601.0,16424.0,22028.0,26510.0,962.0,8897.0,11007.0,13534.0,9718.0,18336.0,,,739.0,710.0,,,845.5,827.5,14819.5,16391.5
800,887.5,861.5,912.5,925.5,935.5,933.5,896.5,919.5,935.5,947.5,970.5,1037.5,890.5,1204.5,2581.5,3266.5,3010.5,3849.5,917.5,1006.5,1070.5,1071.5,1041.5,1177.5,911.5,2207.5,7014.5,9019.5,11785.5,12474.5,952.5,1699.5,2238.5,2067.5,2039.5,2270.5,845.5,1766.5,9431.5,15934.5,17685.5,24160.5,956.5,2415.5,6535.5,6613.5,6819.5,9972.5,892.5,2536.5,10947.5,16781.5,18645.5,24993.5,979.5,3469.5,8242.5,8961.5,9150.5,11156.5,873.5,5589.5,10587.5,16387.5,21913.5,26419.5,975.5,8929.5,11045.5,13638.5,9658.5,18485.5,,,754.5,722.5,,,856.5,836.5,15009.5,16574.5
820,895.5,882.5,923.5,938.5,946.5,939.5,904.5,926.5,938.5,958.5,994.5,1060.5,890.5,1223.5,2587.5,3277.5,3041.5,3864.5,922.5,1014.5,1080.5,1078.5,1057.5,1172.5,918.5,2205.5,7034.5,9043.5,11849.5,12583.5,967.5,1709.5,2239.5,2075.5,2062.5,2288.5,854.5,1779.5,9504.5,15976.5,17783.5,24280.5,969.5,2401.5,6518.5,6616.5,6885.5,9962.5,903.5,2544.5,10917.5,16936.5,18736.5,25118.5,977.5,3494.5,8240.5,9005.5,9142.5,11087.5,890.5,5581.5,10592.5,16477.5,22143.5,27006.5,986.5,8938.5,11053.5,13539.5,9690.5,18403.5,,,756.5,736.5,,,861.5,844.5,14940.5,16709.5
840,909.5,893.5,925.5,939.5,952.5,953.5,921.5,930.5,948.5,970.5,994.5,1067.5,899.5,1226.5,2609.5,3298.5,3030.5,3849.5,932.5,1021.5,1082.5,1094.5,1057.5,1195.5,923.5,2005.5,7018.5,8953.5,11951.5,12494.5,966.5,1715.5,2239.5,2085.5,2055.5,2293.5,866.5,1774.5,9448.5,15933.5,17858.5,24291.5,983.5,2420.5,6544.5,6591.5,6843.5,9967.5,909.5,2531.5,10880.5,16906.5,18673.5,25076.5,990.5,3479.5,8249.5,8987.5,9175.5,11148.5,901.5,5554.5,10543.5,16368.5,22146.5,26457.5,1004.5,8961.5,11080.5,13657.5,9746.5,18332.5,,,772.5,737.5,,,866.0,849.0,15096.0,16834.0
860,918.0,892.0,938.0,947.0,964.0,967.0,927.0,947.0,958.0,984.0,1021.0,1097.0,914.0,1234.0,2609.0,3298.0,3057.0,3885.0,949.0,1025.0,1104.0,1119.0,1066.0,1206.0,939.0,2028.0,6995.0,8993.0,11946.0,12537.0,977.0,1740.0,2279.0,2083.0,2073.0,2310.0,877.0,1785.0,9472.0,16051.0,17993.0,24276.0,991.0,2432.0,6545.0,6636.0,6901.0,10031.0,919.0,2543.0,10843.0,16966.0,18847.0,25190.0,1016.0,3500.0,8302.0,9012.0,9210.0,11240.0,918.0,5613.0,10578.0,16304.0,22180.0,26557.0,1002.0,8973.0,11062.0,13620.0,9749.0,18463.0,,,774.0,743.0,,,873.0,868.0,15256.0,17004.0
880,932.5,900.5,949.5,958.5,982.5,968.5,943.5,951.5,979.5,1008.5,1032.5,1091.5,935.5,1245.5,2613.5,3306.5,3104.5,3896.5,956.5,1038.5,1105.5,1114.5,1079.5,1223.5,948.5,2009.5,7018.5,9019.5,12069.5,12492.5,988.5,1734.5,2290.5,2096.5,2087.5,2339.5,899.5,1806.5,9503.5,16074.5,18273.5,24253.5,1006.5,2447.5,6569.5,6655.5,6863.5,10017.5,927.5,2563.5,10851.5,16935.5,18682.5,25157.5,1013.5,3504.5,8289.5,9010.5,9182.5,11178.5,932.5,5585.5,10558.5,16303.5,22166.5,26489.5,1022.5,9025.5,11120.5,13602.5,9788.5,18591.5,,,789.5,762.5,,,887.5,866.5,15211.5,17043.5
900,931.0,911.0,968.0,976.0,989.0,984.0,954.0,962.0,995.0,1011.0,1045.0,1108.0,953.0,1264.0,2629.0,3316.0,3105.0,3895.0,960.0,1040.0,1118.0,1132.0,1097.0,1239.0,960.0,2042.0,7037.0,9023.0,12098.0,12579.0,1010.0,1749.0,2293.0,2102.0,2100.0,2339.0,912.0,1813.0,9508.0,16020.0,18177.0,24294.0,1001.0,2452.0,6559.0,6654.0,6878.0,9989.0,935.0,2561.0,10914.0,16899.0,18906.0,25142.0,1037.0,3531.0,8289.0,9024.0,9180.0,11248.0,933.0,5582.0,10536.0,16260.0,22174.0,26482.0,1037.0,8988.0,11068.0,13622.0,9801.0,18598.0,,,801.0,771.0,,,890.0,877.0,15458.0,17247.0
920,941.5,919.5,973.5,978.5,989.5,1002.5,970.5,972.5,1000.5,1024.5,1060.5,1128.5,955.5,1266.5,2624.5,3319.5,3070.5,3895.5,966.5,1059.5,1121.5,1143.5,1101.5,1248.5,972.5,2055.5,7031.5,8990.5,12197.5,12621.5,1009.5,1757.5,2306.5,2116.5,2086.5,2353.5,903.5,1824.5,9488.5,16190.5,18298.5,24399.5,1029.5,2462.5,6571.5,6640.5,6912.5,10015.5,953.5,2573.5,10926.5,16970.5,18768.5,25193.5,1028.5,3541.5,8312.5,8998.5,9208.5,11212.5,943.5,5662.5,10522.5,16391.5,22185.5,26763.5,1038.5,9067.5,11116.5,13600.5,9759.5,18524.5,,,807.5,770.5,,,906.0,885.0,15315.0,17429.0
940,966.0,943.0,984.0,996.0,1010.0,1018.0,973.0,985.0,1009.0,1028.0,1069.0,1137.0,971.0,1279.0,2648.0,3350.0,3124.0,3940.0,980.0,1073.0,1134.0,1152.0,1118.0,1267.0,986.0,2090.0,7088.0,9016.0,12272.0,12676.0,1033.0,1777.0,2305.0,2121.0,2115.0,2371.0,924.0,1841.0,9574.0,16237.0,18449.0,24533.0,1043.0,2488.0,6589.0,6653.0,6892.0,10023.0,970.0,2600.0,10925.0,17070.0,18927.0,25226.0,1049.0,3534.0,8295.0,9020.0,9169.0,11244.0,958.0,5663.0,10630.0,16352.0,22260.0,26807.0,1071.0,9081.0,11118.0,13621.0,9801.0,18744.0,,,810.0,795.0,,,913.0,891.0,15587.0,17519.0
960,961.0,946.0,986.0,1001.0,1018.0,1023.0,984.0,998.0,1020.0,1037.0,1072.0,1156.0,978.0,1289.0,2658.0,3345.0,3094.0,3946.0,1002.0,1084.0,1149.0,1166.0,1125.0,1281.0,995.0,2091.0,7075.0,9046.0,12287.0,12578.0,1042.0,1786.0,2307.0,2128.0,2113.0,2382.0,936.0,1837.0,9560.0,16080.0,18348.0,24327.0,1049.0,2472.0,6594.0,6647.0,6875.0,10051.0,973.0,2593.0,10948.0,17075.0,18881.0,25197.0,1058.0,3550.0,8274.0,8996.0,9159.0,11227.0,972.0,5732.0,10499.0,16287.0,22199.0,26617.0,1058.0,9059.0,11091.0,13627.0,9804.0,18567.0,,,826.0,792.0,,,920.5,901.5,15617.5,17645.5
980,980.5,960.5,991.5,1014.5,1032.5,1051.5,993.5,1010.5,1041.5,1058.5,1084.5,1170.5,992.5,1301.5,2685.5,3349.5,3166.5,3956.5,1008.5,1085.5,1159.5,1174.5,1135.5,1298.5,1005.5,2088.5,7058.5,9050.5,12390.5,12606.5,1047.5,1789.5,2333.5,2149.5,2127.5,2395.5,945.5,1848.5,9603.5,16043.5,18616.5,24604.5,1067.5,2495.5,6592.5,6651.5,6907.5,10113.5,983.5,2602.5,10925.5,16991.5,19053.5,25258.5,1065.5,3564.5,8330.5,9052.5,9212.5,11244.5,992.5,5756.5,10544.5,16236.5,22314.5,26825.5,1066.5,9082.5,11142.5,13698.5,9820.5,18772.5,,,832.5,807.5,,,929.5,916.5,15675.5,17964.5
