time,e20x32gp411_00,e20x32gp411_01,e20x32gp411_02,e20x32gp411_03,e20x32gp411_04,e20x32gp411_05,e34x30MjaKlbA_00,e34x30MjaKlbA_01,e34x30MjaKlbA_02,e34x30MjaKlbA_03,e34x30MjaKlbA_04,e34x30MjaKlbA_05,e20x32gp411_10,e20x32gp411_11,e20x32gp411_12,e20x32gp411_13,e20x32gp411_14,e20x32gp411_15,e34x30MjaKlbA_10,e34x30MjaKlbA_11,e34x30MjaKlbA_12,e34x30MjaKlbA_13,e34x30MjaKlbA_14,e34x30MjaKlbA_15,e20x32gp411_20,e20x32gp411_21,e20x32gp411_22,e20x32gp411_23,e20x32gp411_24,e20x32gp411_25,e34x30MjaKlbA_20,e34x30MjaKlbA_21,e34x30MjaKlbA_22,e34x30MjaKlbA_23,e34x30MjaKlbA_24,e34x30MjaKlbA_25,e20x32gp411_30,e20x32gp411_31,e20x32gp411_32,e20x32gp411_33,e20x32gp411_34,e20x32gp411_35,e34x30MjaKlbA_30,e34x30MjaKlbA_31,e34x30MjaKlbA_32,e34x30MjaKlbA_33,e34x30MjaKlbA_34,e34x30MjaKlbA_35,e20x32gp411_40,e20x32gp411_41,e20x32gp411_42,e20x32gp411_43,e20x32gp411_44,e20x32gp411_45,e34x30MjaKlbA_40,e34x30MjaKlbA_41,e34x30MjaKlbA_42,e34x30MjaKlbA_43,e34x30MjaKlbA_44,e34x30MjaKlbA_45,e20x32gp411_50,e20x32gp411_51,e20x32gp411_52,e20x32gp411_53,e20x32gp411_54,e20x32gp411_55,e34x30MjaKlbA_50,e34x30MjaKlbA_51,e34x30MjaKlbA_52,e34x30MjaKlbA_53,e34x30MjaKlbA_54,e34x30MjaKlbA_55,Blank_Kan_02,Blank_Kan_00,negative-control-kan_01,negative-control-kan_02,Blank_Amp_00,Blank_Amp_01,negative-control-amp_02,negative-control-amp_00,positive-control-amp_01,positive-control-amp_02
160,197.0,169.0,164.0,170.0,174.0,144.0,212.0,222.0,183.0,219.0,230.0,223.0,194.0,171.0,146.0,151.0,175.0,153.0,214.0,229.0,210.0,234.0,185.0,206.0,177.0,202.0,165.0,166.0,176.0,177.0,245.0,230.0,229.0,221.0,233.0,219.0,114.0,123.0,135.0,117.0,135.0,106.0,214.0,212.0,210.0,194.0,219.0,239.0,161.0,170.0,162.0,145.0,161.0,166.0,208.0,238.0,231.0,231.0,220.0,263.0,143.0,157.0,171.0,179.0,169.0,139.0,256.0,241.0,245.0,235.0,262.0,359.0,,,206.0,143.0,,,289.0,259.0,5761.0,6625.0
180,267.5,216.5,222.5,200.5,223.5,193.5,319.5,321.5,290.5,300.5,326.5,300.5,246.5,238.5,212.5,211.5,243.5,271.5,299.5,279.5,287.5,321.5,279.5,289.5,252.5,237.5,246.5,283.5,336.5,534.5,311.5,322.5,329.5,321.5,351.5,324.5,165.5,180.5,207.5,235.5,290.5,590.5,283.5,300.5,364.5,479.5,560.5,737.5,211.5,231.5,269.5,382.5,490.5,1036.5,284.5,335.5,442.5,539.5,622.5,844.5,194.5,216.5,217.5,298.5,399.5,802.5,299.5,378.5,519.5,806.5,918.5,1471.5,,,292.5,173.5,,,412.5,357.5,7824.5,8990.5
200,364.0,312.0,301.0,293.0,319.0,298.0,471.0,474.0,450.0,461.0,442.0,448.0,340.0,361.0,350.0,510.0,515.0,689.0,393.0,403.0,450.0,436.0,410.0,411.0,353.0,393.0,569.0,885.0,1140.0,2166.0,426.0,488.0,591.0,640.0,649.0,600.0,271.0,290.0,484.0,1331.0,1731.0,3471.0,416.0,493.0,1007.0,1533.0,1657.0,2059.0,324.0,357.0,741.0,1813.0,2321.0,4352.0,439.0,587.0,1358.0,1973.0,2195.0,2345.0,278.0,376.0,571.0,1381.0,2521.0,4065.0,431.0,971.0,1707.0,2949.0,2564.0,4155.0,,,383.0,288.0,,,571.0,488.0,10882.0,12471.0
220,491.5,470.5,455.5,424.5,468.5,419.5,663.5,654.5,638.5,651.5,644.5,612.5,501.5,662.5,808.5,1156.5,1201.5,1449.5,579.5,628.5,659.5,649.5,603.5,582.5,505.5,827.5,2337.5,3231.5,3706.5,5248.5,614.5,872.5,1082.5,989.5,980.5,929.5,443.5,691.5,2511.5,5575.5,6410.5,9293.5,636.5,1185.5,2564.5,2853.5,2895.5,3727.5,497.5,895.5,3592.5,6926.5,7984.5,11074.5,635.5,1716.5,3439.5,3829.5,3965.5,4142.5,431.5,1376.5,2846.5,5802.5,8185.5,10276.5,666.5,3682.5,4745.5,6116.5,4457.5,7500.5,,,567.5,397.5,,,748.0,658.0,15101.0,17484.0
240,645.0,633.0,621.0,597.0,618.0,596.0,889.0,907.0,842.0,853.0,852.0,810.0,657.0,1150.0,1818.0,2356.0,2442.0,2738.0,815.0,957.0,945.0,875.0,822.0,804.0,718.0,1807.0,6205.0,7699.0,8073.0,10176.0,839.0,1782.0,1893.0,1596.0,1531.0,1386.0,595.0,1485.0,7350.0,12801.0,13745.0,17577.0,880.0,2901.0,5521.0,4976.0,5026.0,6351.0,665.0,2089.0,9331.0,14923.0,16154.0,20105.0,904.0,4484.0,7186.0,6783.0,6871.0,6979.0,610.0,4134.0,8081.0,13247.0,16653.0,19034.0,946.0,9077.0,10093.0,10959.0,7603.0,12290.0,,,731.0,588.0,,,994.0,905.0,20371.0,22626.0
260,838.5,839.5,819.5,804.5,819.5,770.5,1109.5,1109.5,1071.5,1106.5,1076.5,1054.5,899.5,1809.5,3809.5,4553.5,4627.5,4816.5,1050.5,1390.5,1376.5,1213.5,1152.5,1083.5,941.5,3139.5,12033.5,14509.5,14910.5,16990.5,1148.5,3212.5,3601.5,2792.5,2612.5,2232.5,836.5,2616.5,14598.5,22644.5,23389.5,28086.5,1162.5,5355.5,11246.5,9095.5,8927.5,10542.5,917.5,3723.5,17030.5,25069.5,26827.5,31359.5,1238.5,8176.5,14162.5,12107.5,12065.5,11531.5,838.5,8697.5,16195.5,23633.5,27328.5,29962.5,1288.5,16430.5,18897.5,18608.5,12949.5,18966.5,,,889.5,734.5,,,1208.0,1134.0,24786.0,26634.0
280,1017.5,1033.5,1021.5,1020.5,1023.5,983.5,1290.5,1309.5,1250.5,1316.5,1288.5,1247.5,1107.5,2190.5,5452.5,6739.5,6540.5,7460.5,1275.5,1633.5,1697.5,1584.5,1519.5,1454.5,1128.5,3892.5,15959.5,20205.5,21858.5,25187.5,1357.5,3972.5,5168.5,4244.5,4053.5,3760.5,1045.5,3242.5,19883.5,31451.5,33690.5,40711.5,1424.5,6484.5,16889.5,14478.5,14222.5,17031.5,1127.5,4565.5,22405.5,33207.5,35703.5,43328.5,1475.5,10057.5,20815.5,19148.5,19001.5,18490.5,1076.5,11675.5,22648.5,33496.5,39460.5,43371.5,1533.5,22376.5,27347.5,28058.5,19943.5,28225.5,,,1014.5,891.5,,,1377.5,1305.5,27782.5,29691.5
300,1186.0,1222.0,1242.0,1200.0,1234.0,1183.0,1477.0,1507.0,1448.0,1508.0,1463.0,1465.0,1286.0,2521.0,6511.0,8302.0,7808.0,9276.0,1506.0,1895.0,1956.0,1876.0,1759.0,1791.0,1330.0,4646.0,18714.0,24290.0,26925.0,30799.0,1565.0,4382.0,6042.0,5091.0,4891.0,4823.0,1236.0,3680.0,23255.0,37426.0,39895.0,49899.0,1635.0,7076.0,20029.0,18092.0,18242.0,22563.0,1346.0,5259.0,26247.0,39712.0,42764.0,52489.0,1686.0,11093.0,25047.0,24285.0,24100.0,24733.0,1247.0,13396.0,26436.0,39604.0,47078.0,53916.0,1712.0,26693.0,33125.0,35308.0,25143.0,37468.0,,,1200.0,1027.0,,,1590.5,1490.5,31172.5,33176.5
320,1371.5,1411.5,1464.5,1423.5,1448.5,1392.5,1688.5,1702.5,1641.5,1691.5,1692.5,1652.5,1483.5,2786.5,7207.5,9282.5,8605.5,10555.5,1669.5,2064.5,2196.5,2070.5,2020.5,2056.5,1519.5,5279.5,20951.5,27234.5,30618.5,35173.5,1803.5,4650.5,6463.5,5597.5,5392.5,5442.5,1400.5,4113.5,26239.5,42382.5,45370.5,56951.5,1846.5,7396.5,21804.5,20371.5,20472.5,26320.5,1508.5,6018.5,29784.5,44765.5,48549.5,59706.5,1882.5,11484.5,27420.5,27517.5,27475.5,28992.5,1434.5,15056.5,29837.5,44389.5,53320.5,61200.5,1928.5,29117.5,36550.5,40372.5,28573.5,44431.5,,,1314.5,1176.5,,,1721.0,1643.0,34067.0,36534.0
340,1568.0,1613.0,1701.0,1627.0,1633.0,1580.0,1824.0,1875.0,1831.0,1856.0,1885.0,1893.0,1636.0,2964.0,7785.0,10008.0,9211.0,11438.0,1863.0,2233.0,2387.0,2286.0,2200.0,2254.0,1704.0,5760.0,22610.0,29528.0,33362.0,38565.0,1969.0,4811.0,6733.0,5957.0,5712.0,5921.0,1598.0,4543.0,28864.0,46997.0,50287.0,63908.0,2026.0,7684.0,22720.0,21643.0,22030.0,29007.0,1676.0,6797.0,33047.0,49840.0,53856.0,66886.0,2045.0,11750.0,28765.0,29513.0,29726.0,32261.0,1608.0,16579.0,32868.0,49180.0,59344.0,68430.0,2120.0,30887.0,38565.0,43881.0,30906.0,50214.0,,,1422.0,1285.0,,,1864.5,1812.5,37193.5,39630.5
