time,e11x32NrdA2_0,e11x32NrdJ1_0,e11x32gp411_0,e11x32STPhoRadA_0,e11x33NrdA2_0,e11x32CthTer_0,e11x32NrdA2_1,e11x32NrdJ1_1,e11x32gp411_1,e11x32STPhoRadA_1,e11x33NrdA2_1,e11x32CthTer_1,e15x32gp411_0,e15x30SspGyrB_0,e15x32NpuSspS2_0,e15x30gp418_0,e15x32STIMPDH1_0,e15x30MjaKlbA_0,e15x32gp411_1,e15x30SspGyrB_1,e15x32NpuSspS2_1,e15x30gp418_1,e15x32STIMPDH1_1,e15x30MjaKlbA_1,e16x32M86_0,e16x30STsSspDnaX_0,e16x33NrdA2_0,e16x30STPhoRadA_0,e16x32STPhoRadA_0,e16x33MjaKlbA_0,e16x32M86_1,e16x30STsSspDnaX_1,e16x33NrdA2_1,e16x30STPhoRadA_1,e16x32STPhoRadA_1,e16x33MjaKlbA_1,e17x30STSspDnaXLS7_0,e17x32M86LS1_0,e17x32gp411_0,e17x32NrdA2_0,e17x33NrdA2_0,e17x30NpuSspS1LS2_0,e17x30STSspDnaXLS7_1,e17x32M86LS1_1,e17x32gp411_1,e17x32NrdA2_1,e17x33NrdA2_1,e17x30NpuSspS1LS2_1,e20x30STsSspDnaX_0,e20x32M86_0,e20x30gp418_0,e20x32NrdJ1_0,e20x32gp411_0,e20x32STIMPDH1_0,e20x30STsSspDnaX_1,e20x32M86_1,e20x30gp418_1,e20x32NrdJ1_1,e20x32gp411_1,e20x32STIMPDH1_1,e22x33NrdA2_0,e22x32NrdA2_0,e22x32gp411_0,e22x30STsSspDnaX_0,e22x30gp418_0,e22x30SspGyrB_0,e22x33NrdA2_1,e22x32NrdA2_1,e22x32gp411_1,e22x30STsSspDnaX_1,e22x30gp418_1,e22x30SspGyrB_1,e26x30STPhoRadA_0,e26x32NrdA2_0,e26x30STPhoRadA_1,e26x32NrdA2_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,61.0,64.0,65.0,63.0,55.0,67.0,63.0,72.0,39.0,54.0,43.0,34.0,79.0,93.0,89.0,85.0,73.0,76.0,70.0,58.0,50.0,60.0,55.0,50.0,90.0,87.0,90.0,92.0,92.0,97.0,60.0,48.0,55.0,51.0,44.0,42.0,90.0,77.0,91.0,83.0,93.0,86.0,69.0,55.0,65.0,42.0,55.0,41.0,48.0,64.0,59.0,53.0,54.0,50.0,35.0,44.0,55.0,54.0,63.0,54.0,58.0,80.0,69.0,62.0,68.0,69.0,48.0,40.0,41.0,48.0,43.0,25.0,18.0,29.0,28.0,37.0,,,22.0,25.0,,,17.0,29.0,1894.0,1267.0
20,50.0,63.0,41.0,39.0,35.0,40.0,39.0,34.0,29.0,31.0,30.0,29.0,64.0,68.0,90.0,58.0,54.0,54.0,55.0,42.0,47.0,40.0,46.0,34.0,61.0,61.0,60.0,55.0,51.0,60.0,44.0,53.0,40.0,42.0,41.0,37.0,73.0,72.0,61.0,57.0,61.0,66.0,51.0,46.0,53.0,36.0,35.0,42.0,58.0,56.0,54.0,49.0,57.0,45.0,49.0,37.0,57.0,59.0,55.0,43.0,55.0,69.0,58.0,58.0,59.0,66.0,55.0,57.0,69.0,58.0,45.0,39.0,52.0,52.0,55.0,40.0,,,32.0,22.0,,,26.5,18.5,1317.5,1069.5
40,45.0,37.0,47.0,29.0,21.0,36.0,35.0,23.0,26.0,20.0,20.0,23.0,53.0,63.0,59.0,43.0,43.0,42.0,40.0,37.0,34.0,34.0,31.0,37.0,63.0,43.0,56.0,48.0,46.0,37.0,26.0,22.0,24.0,33.0,21.0,29.0,53.0,59.0,55.0,50.0,50.0,49.0,42.0,26.0,34.0,27.0,30.0,30.0,69.0,35.0,43.0,47.0,34.0,41.0,43.0,34.0,44.0,43.0,42.0,33.0,55.0,63.0,54.0,65.0,53.0,52.0,53.0,49.0,46.0,45.0,35.0,38.0,36.0,46.0,38.0,30.0,,,11.0,13.0,,,29.0,15.0,1823.0,1418.0
60,65.0,41.0,50.0,38.0,30.0,31.0,40.0,36.0,36.0,37.0,29.0,29.0,83.0,63.0,66.0,49.0,54.0,51.0,51.0,43.0,45.0,34.0,43.0,43.0,69.0,71.0,63.0,59.0,64.0,43.0,33.0,40.0,39.0,41.0,46.0,44.0,73.0,60.0,58.0,56.0,60.0,56.0,52.0,44.0,50.0,41.0,40.0,51.0,70.0,50.0,53.0,41.0,49.0,43.0,52.0,43.0,53.0,58.0,60.0,39.0,59.0,67.0,56.0,73.0,66.0,77.0,62.0,59.0,68.0,72.0,45.0,55.0,53.0,67.0,60.0,47.0,,,39.0,26.0,,,33.5,18.5,2411.5,1940.5
80,45.0,29.0,40.0,38.0,31.0,22.0,37.0,37.0,24.0,34.0,24.0,25.0,81.0,69.0,68.0,61.0,65.0,40.0,45.0,37.0,42.0,37.0,40.0,35.0,71.0,58.0,60.0,66.0,58.0,65.0,26.0,41.0,36.0,36.0,37.0,56.0,68.0,50.0,69.0,53.0,56.0,61.0,38.0,22.0,45.0,38.0,38.0,54.0,63.0,51.0,49.0,50.0,48.0,45.0,44.0,31.0,50.0,60.0,54.0,52.0,54.0,65.0,61.0,71.0,67.0,68.0,68.0,60.0,66.0,68.0,46.0,48.0,48.0,63.0,64.0,48.0,,,32.0,23.0,,,27.0,39.0,3009.0,2439.0
100,54.0,52.0,50.0,51.0,46.0,23.0,48.0,29.0,33.0,44.0,33.0,34.0,92.0,76.0,88.0,58.0,72.0,72.0,63.0,38.0,57.0,58.0,56.0,46.0,78.0,85.0,64.0,88.0,68.0,81.0,31.0,45.0,38.0,54.0,47.0,65.0,79.0,66.0,80.0,72.0,75.0,70.0,48.0,29.0,51.0,50.0,45.0,68.0,87.0,56.0,52.0,47.0,43.0,45.0,44.0,50.0,58.0,69.0,83.0,71.0,55.0,57.0,72.0,83.0,80.0,84.0,82.0,69.0,86.0,68.0,51.0,60.0,80.0,86.0,75.0,58.0,,,33.0,37.0,,,43.0,43.0,3555.0,2865.0
120,46.0,49.0,43.0,50.0,46.0,39.0,49.0,41.0,30.0,50.0,36.0,49.0,119.0,82.0,112.0,71.0,99.0,78.0,63.0,45.0,48.0,52.0,53.0,42.0,99.0,91.0,106.0,95.0,101.0,80.0,27.0,48.0,42.0,53.0,53.0,81.0,87.0,78.0,92.0,82.0,72.0,73.0,66.0,33.0,72.0,65.0,39.0,85.0,102.0,64.0,70.0,55.0,52.0,48.0,50.0,59.0,82.0,101.0,97.0,72.0,67.0,67.0,91.0,99.0,103.0,98.0,95.0,87.0,94.0,102.0,68.0,74.0,90.0,117.0,99.0,72.0,,,40.0,45.0,,,52.5,70.5,4113.5,3374.5
140,62.0,40.0,63.0,51.0,43.0,26.0,62.0,40.0,52.0,64.0,43.0,54.0,155.0,101.0,135.0,96.0,113.0,99.0,75.0,54.0,69.0,56.0,67.0,46.0,121.0,105.0,125.0,118.0,118.0,100.0,40.0,54.0,58.0,68.0,78.0,108.0,98.0,88.0,109.0,98.0,99.0,106.0,76.0,42.0,94.0,101.0,76.0,131.0,124.0,75.0,76.0,59.0,58.0,28.0,61.0,68.0,210.0,398.0,439.0,313.0,76.0,61.0,114.0,129.0,121.0,126.0,127.0,112.0,142.0,134.0,87.0,97.0,108.0,147.0,122.0,93.0,,,41.0,43.0,,,73.5,73.5,4879.5,4009.5
160,87.0,65.0,80.0,98.0,80.0,56.0,137.0,58.0,87.0,213.0,70.0,61.0,197.0,128.0,188.0,136.0,168.0,140.0,120.0,90.0,148.0,82.0,103.0,76.0,150.0,141.0,158.0,170.0,158.0,142.0,65.0,64.0,69.0,163.0,176.0,165.0,134.0,114.0,145.0,129.0,131.0,138.0,253.0,54.0,514.0,897.0,227.0,206.0,172.0,96.0,102.0,74.0,72.0,65.0,84.0,114.0,1692.0,2796.0,2447.0,2363.0,84.0,86.0,154.0,166.0,173.0,174.0,270.0,157.0,323.0,268.0,146.0,197.0,164.0,207.0,161.0,128.0,,,68.0,70.0,,,105.5,131.5,6033.5,5121.5
180,104.0,86.0,116.0,129.0,104.0,83.0,778.0,118.0,475.0,745.0,156.0,85.0,280.0,172.0,257.0,167.0,242.0,192.0,544.0,123.0,329.0,112.0,262.0,115.0,206.0,191.0,213.0,232.0,220.0,181.0,85.0,108.0,136.0,912.0,965.0,248.0,171.0,137.0,193.0,181.0,178.0,186.0,1893.0,81.0,1898.0,3268.0,1064.0,360.0,230.0,130.0,137.0,93.0,87.0,88.0,281.0,578.0,4754.0,7306.0,6224.0,6376.0,109.0,121.0,192.0,223.0,232.0,236.0,824.0,384.0,871.0,699.0,322.0,682.0,223.0,281.0,247.0,175.0,,,85.0,82.0,,,135.0,176.0,7877.0,6679.0
