time,e11x32NrdA2_0,e11x32NrdJ1_0,e11x32gp411_0,e11x32STPhoRadA_0,e11x33NrdA2_0,e11x32CthTer_0,e11x32NrdA2_1,e11x32NrdJ1_1,e11x32gp411_1,e11x32STPhoRadA_1,e11x33NrdA2_1,e11x32CthTer_1,e15x32gp411_0,e15x30SspGyrB_0,e15x32NpuSspS2_0,e15x30gp418_0,e15x32STIMPDH1_0,e15x30MjaKlbA_0,e15x32gp411_1,e15x30SspGyrB_1,e15x32NpuSspS2_1,e15x30gp418_1,e15x32STIMPDH1_1,e15x30MjaKlbA_1,e16x32M86_0,e16x30STsSspDnaX_0,e16x33NrdA2_0,e16x30STPhoRadA_0,e16x32STPhoRadA_0,e16x33MjaKlbA_0,e16x32M86_1,e16x30STsSspDnaX_1,e16x33NrdA2_1,e16x30STPhoRadA_1,e16x32STPhoRadA_1,e16x33MjaKlbA_1,e17x30STSspDnaXLS7_0,e17x32M86LS1_0,e17x32gp411_0,e17x32NrdA2_0,e17x33NrdA2_0,e17x30NpuSspS1LS2_0,e17x30STSspDnaXLS7_1,e17x32M86LS1_1,e17x32gp411_1,e17x32NrdA2_1,e17x33NrdA2_1,e17x30NpuSspS1LS2_1,e20x30STsSspDnaX_0,e20x32M86_0,e20x30gp418_0,e20x32NrdJ1_0,e20x32gp411_0,e20x32STIMPDH1_0,e20x30STsSspDnaX_1,e20x32M86_1,e20x30gp418_1,e20x32NrdJ1_1,e20x32gp411_1,e20x32STIMPDH1_1,e22x33NrdA2_0,e22x32NrdA2_0,e22x32gp411_0,e22x30STsSspDnaX_0,e22x30gp418_0,e22x30SspGyrB_0,e22x33NrdA2_1,e22x32NrdA2_1,e22x32gp411_1,e22x30STsSspDnaX_1,e22x30gp418_1,e22x30SspGyrB_1,e26x30STPhoRadA_0,e26x32NrdA2_0,e26x30STPhoRadA_1,e26x32NrdA2_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,94.5,106.5,110.5,96.5,95.5,97.5,101.5,141.5,59.5,92.5,90.5,45.5,158.5,143.5,162.5,138.5,124.5,138.5,120.5,101.5,94.5,84.5,89.5,81.5,143.5,154.5,140.5,167.5,192.5,185.5,99.5,111.5,113.5,105.5,70.5,85.5,119.5,151.5,170.5,137.5,159.5,145.5,106.5,87.5,113.5,88.5,94.5,63.5,82.5,102.5,103.5,83.5,85.5,81.5,91.5,80.5,85.5,68.5,112.5,87.5,106.5,104.5,118.5,88.5,109.5,120.5,84.5,78.5,90.5,82.5,47.5,35.5,25.5,52.5,61.5,47.5,,,36.5,41.5,,,4.5,11.5,3581.5,2321.5
20,84.5,46.5,64.5,51.5,55.5,53.5,72.5,25.5,52.5,54.5,18.5,39.5,116.5,126.5,132.5,94.5,77.5,63.5,79.5,64.5,72.5,73.5,27.5,53.5,109.5,105.5,97.5,94.5,103.5,91.5,49.5,70.5,69.5,80.5,44.5,53.5,116.5,93.5,109.5,110.5,89.5,96.5,85.5,69.5,86.5,57.5,46.5,50.5,104.5,67.5,102.5,117.5,78.5,83.5,70.5,71.5,95.5,72.5,81.5,55.5,106.5,106.5,94.5,106.5,107.5,93.5,79.5,79.5,100.5,105.5,70.5,62.5,66.5,64.5,83.5,72.5,,,25.5,31.5,,,41.5,42.5,2561.5,2084.5
40,102.5,66.5,72.5,51.5,56.5,47.5,68.5,38.5,28.5,58.5,44.5,35.5,136.5,107.5,122.5,108.5,103.5,86.5,96.5,62.5,74.5,67.5,52.5,63.5,107.5,93.5,86.5,93.5,100.5,89.5,60.5,87.5,63.5,51.5,47.5,69.5,116.5,101.5,90.5,102.5,92.5,98.5,55.5,58.5,68.5,40.5,55.5,74.5,104.5,70.5,105.5,90.5,85.5,69.5,79.5,72.5,75.5,83.5,91.5,54.5,103.5,104.5,98.5,116.5,110.5,110.5,95.5,94.5,92.5,104.5,87.5,58.5,90.5,94.5,86.5,72.5,,,34.5,34.5,,,52.5,41.5,3547.5,2800.5
60,102.5,81.5,57.5,63.5,44.5,38.5,50.5,43.5,58.5,39.5,37.5,42.5,141.5,128.5,123.5,97.5,95.5,70.5,70.5,66.5,75.5,81.5,65.5,82.5,111.5,99.5,113.5,83.5,104.5,82.5,40.5,55.5,61.5,53.5,58.5,79.5,118.5,86.5,115.5,92.5,121.5,103.5,74.5,64.5,76.5,72.5,61.5,54.5,115.5,78.5,106.5,70.5,81.5,79.5,66.5,65.5,97.5,81.5,91.5,68.5,105.5,91.5,99.5,120.5,116.5,108.5,115.5,109.5,116.5,116.5,80.5,83.5,88.5,100.5,109.5,82.5,,,36.5,29.5,,,34.5,58.5,4741.5,3782.5
80,81.5,57.5,50.5,46.5,45.5,47.5,25.5,31.5,31.5,26.5,36.5,36.5,136.5,109.5,112.5,89.5,92.5,84.5,82.5,56.5,67.5,73.5,42.5,58.5,121.5,114.5,128.5,105.5,102.5,84.5,46.5,55.5,57.5,61.5,51.5,84.5,115.5,100.5,94.5,91.5,78.5,99.5,55.5,36.5,42.5,47.5,70.5,69.5,109.5,56.5,79.5,92.5,58.5,70.5,55.5,52.5,91.5,78.5,92.5,64.5,97.5,102.5,99.5,139.5,128.5,110.5,99.5,99.5,129.5,122.5,74.5,81.5,96.5,110.5,85.5,71.5,,,33.5,40.5,,,47.5,74.5,5847.5,4705.5
100,119.5,74.5,77.5,77.5,63.5,62.5,87.5,59.5,43.5,72.5,62.5,58.5,180.5,150.5,167.5,124.5,110.5,113.5,109.5,74.5,83.5,97.5,84.5,87.5,165.5,123.5,150.5,140.5,140.5,147.5,49.5,75.5,76.5,75.5,102.5,122.5,139.5,107.5,142.5,112.5,119.5,111.5,98.5,63.5,84.5,82.5,78.5,116.5,163.5,102.5,124.5,80.5,77.5,74.5,94.5,84.5,121.5,131.5,119.5,111.5,122.5,120.5,135.5,159.5,160.5,144.5,132.5,125.5,145.5,157.5,102.5,95.5,137.5,157.5,140.5,102.5,,,48.5,59.5,,,57.0,79.0,6925.0,5514.0
120,102.5,91.5,66.5,75.5,77.5,58.5,77.5,55.5,46.5,67.5,43.5,60.5,228.5,154.5,207.5,138.5,173.5,169.5,116.5,81.5,90.5,81.5,79.5,102.5,189.5,156.5,176.5,181.5,181.5,167.5,71.5,82.5,90.5,112.5,98.5,172.5,171.5,125.5,160.5,143.5,143.5,173.5,106.5,60.5,109.5,113.5,99.5,152.5,198.5,103.5,116.5,93.5,77.5,106.5,102.5,84.5,145.5,182.5,166.5,142.5,135.5,139.5,173.5,197.5,210.5,193.5,176.5,154.5,192.5,201.5,141.5,126.5,173.5,226.5,164.5,119.5,,,41.5,63.5,,,115.5,100.5,7933.5,6490.5
140,150.5,94.5,110.5,137.5,102.5,78.5,131.5,68.5,80.5,146.5,73.5,103.5,293.5,203.5,238.5,174.5,241.5,194.5,156.5,103.5,152.5,121.5,130.5,112.5,229.5,205.5,226.5,244.5,234.5,209.5,92.5,94.5,125.5,136.5,154.5,224.5,209.5,164.5,215.5,203.5,191.5,190.5,161.5,86.5,190.5,222.5,144.5,228.5,231.5,146.5,141.5,118.5,104.5,91.5,127.5,143.5,454.5,834.5,881.5,680.5,135.5,155.5,220.5,235.5,264.5,259.5,253.5,201.5,278.5,288.5,177.5,198.5,222.5,251.5,221.5,174.5,,,71.5,85.5,,,129.0,166.0,9434.0,7837.0
160,160.5,102.5,180.5,183.5,146.5,101.5,264.5,117.5,155.5,424.5,122.5,128.5,409.5,241.5,348.5,254.5,320.5,271.5,265.5,138.5,281.5,178.5,195.5,168.5,295.5,287.5,280.5,324.5,306.5,269.5,125.5,119.5,166.5,300.5,328.5,297.5,259.5,197.5,282.5,254.5,236.5,268.5,531.5,98.5,1040.5,1807.5,468.5,397.5,318.5,205.5,226.5,173.5,129.5,123.5,172.5,231.5,3423.5,5597.5,4893.5,4757.5,173.5,170.5,280.5,320.5,332.5,346.5,513.5,312.5,659.5,518.5,267.5,405.5,329.5,411.5,313.5,215.5,,,117.5,144.5,,,209.0,231.0,11694.0,9947.0
180,206.0,166.0,230.0,245.0,228.0,148.0,1555.0,223.0,976.0,1463.0,314.0,183.0,561.0,334.0,498.0,302.0,452.0,398.0,1075.0,247.0,668.0,248.0,508.0,220.0,376.0,367.0,414.0,451.0,441.0,386.0,182.0,213.0,290.0,1839.0,1978.0,488.0,350.0,260.0,403.0,349.0,346.0,371.0,3857.0,155.0,3757.0,6451.0,2160.0,711.0,438.0,272.0,254.0,218.0,184.0,172.0,588.0,1212.0,9335.0,14361.0,12132.0,12578.0,218.0,250.0,391.0,447.0,467.0,475.0,1608.0,747.0,1693.0,1367.0,661.0,1378.0,440.0,550.0,501.0,312.0,,,168.0,205.0,,,257.5,358.5,15335.5,12901.5
