time,e11x32NrdA2_0,e11x32NrdJ1_0,e11x32gp411_0,e11x32STPhoRadA_0,e11x33NrdA2_0,e11x32CthTer_0,e11x32NrdA2_1,e11x32NrdJ1_1,e11x32gp411_1,e11x32STPhoRadA_1,e11x33NrdA2_1,e11x32CthTer_1,e15x32gp411_0,e15x30SspGyrB_0,e15x32NpuSspS2_0,e15x30gp418_0,e15x32STIMPDH1_0,e15x30MjaKlbA_0,e15x32gp411_1,e15x30SspGyrB_1,e15x32NpuSspS2_1,e15x30gp418_1,e15x32STIMPDH1_1,e15x30MjaKlbA_1,e16x32M86_0,e16x30STsSspDnaX_0,e16x33NrdA2_0,e16x30STPhoRadA_0,e16x32STPhoRadA_0,e16x33MjaKlbA_0,e16x32M86_1,e16x30STsSspDnaX_1,e16x33NrdA2_1,e16x30STPhoRadA_1,e16x32STPhoRadA_1,e16x33MjaKlbA_1,e17x30STSspDnaXLS7_0,e17x32M86LS1_0,e17x32gp411_0,e17x32NrdA2_0,e17x33NrdA2_0,e17x30NpuSspS1LS2_0,e17x30STSspDnaXLS7_1,e17x32M86LS1_1,e17x32gp411_1,e17x32NrdA2_1,e17x33NrdA2_1,e17x30NpuSspS1LS2_1,e20x30STsSspDnaX_0,e20x32M86_0,e20x30gp418_0,e20x32NrdJ1_0,e20x32gp411_0,e20x32STIMPDH1_0,e20x30STsSspDnaX_1,e20x32M86_1,e20x30gp418_1,e20x32NrdJ1_1,e20x32gp411_1,e20x32STIMPDH1_1,e22x33NrdA2_0,e22x32NrdA2_0,e22x32gp411_0,e22x30STsSspDnaX_0,e22x30gp418_0,e22x30SspGyrB_0,e22x33NrdA2_1,e22x32NrdA2_1,e22x32gp411_1,e22x30STsSspDnaX_1,e22x30gp418_1,e22x30SspGyrB_1,e26x30STPhoRadA_0,e26x32NrdA2_0,e26x30STPhoRadA_1,e26x32NrdA2_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,0.022,0.006,-0.0006,0.043,0.014,0.026,0.045,0.016,0.02,0.017,0.013,0.005,0.029,0.008,0.129,0.036,0.007,0.109,0.006,0.027,0.033,0.011,0.067,0.005,0.054,0.08,0.022,0.041,0.181,0.207,0.042,0.007,0.01,-0.0003,0.007,0.01,0.028,0.123,0.238,0.058,0.268,0.117,-0.01,-0.007,0.008,0.007,0.007,0.0004,0.067,0.318,0.11,0.028,0.051,0.004,0.01,0.112,0.149,0.008,0.196,0.203,0.018,0.009,0.002,0.071,0.163,0.006,0.068,0.001,0.026,0.008,-0.002,0.004,0.03,0.006,0.003,-0.0003,,,0.001,0.024,,,0.022,0.006,0.036,0.087
20,0.014,0.011,0.018,0.021,0.017,0.008,0.023,0.012,0.035,0.029,0.026,0.026,0.052,0.029,0.047,0.025,0.048,0.04,0.025,0.013,0.025,0.018,0.031,0.02,0.033,0.025,0.034,0.043,0.042,0.051,0.011,0.008,0.015,0.028,0.029,0.052,0.025,0.03,0.042,0.037,0.037,0.031,0.016,0.008,0.031,0.039,0.025,0.048,0.046,0.024,0.02,0.009,0.01,0.01,0.015,0.024,0.043,0.048,0.052,0.05,0.008,0.009,0.032,0.031,0.038,0.034,0.046,0.032,0.048,0.04,0.027,0.038,0.039,0.053,0.036,0.022,,,0.011,0.014,,,0.019,0.026,0.055,0.045
40,0.016,0.013,0.02,0.03,0.022,0.011,0.027,0.014,0.044,0.035,0.028,0.028,0.065,0.032,0.061,0.031,0.058,0.045,0.026,0.015,0.029,0.02,0.031,0.021,0.039,0.033,0.042,0.053,0.052,0.052,0.012,0.01,0.017,0.032,0.034,0.06,0.029,0.034,0.05,0.044,0.043,0.039,0.02,0.01,0.034,0.045,0.028,0.06,0.054,0.03,0.023,0.01,0.012,0.012,0.017,0.026,0.052,0.055,0.062,0.062,0.011,0.011,0.039,0.04,0.052,0.045,0.052,0.044,0.054,0.046,0.035,0.042,0.048,0.064,0.043,0.028,,,0.014,0.016,,,0.023,0.032,0.067,0.054
60,0.023,0.017,0.027,0.036,0.032,0.015,0.036,0.018,0.051,0.044,0.033,0.035,0.09,0.042,0.085,0.042,0.078,0.06,0.036,0.018,0.041,0.027,0.039,0.026,0.051,0.048,0.058,0.07,0.07,0.068,0.014,0.013,0.021,0.04,0.041,0.077,0.039,0.043,0.063,0.054,0.057,0.055,0.029,0.013,0.047,0.056,0.038,0.08,0.069,0.04,0.029,0.015,0.015,0.015,0.022,0.036,0.066,0.073,0.084,0.072,0.014,0.015,0.05,0.053,0.068,0.064,0.07,0.05,0.072,0.068,0.046,0.054,0.064,0.087,0.058,0.038,,,0.018,0.024,,,0.03,0.042,0.087,0.073
80,0.035,0.026,0.039,0.057,0.049,0.024,0.053,0.026,0.061,0.067,0.045,0.048,0.133,0.06,0.122,0.06,0.112,0.084,0.051,0.026,0.055,0.038,0.053,0.037,0.074,0.07,0.086,0.105,0.101,0.097,0.022,0.02,0.031,0.058,0.057,0.113,0.06,0.059,0.089,0.078,0.081,0.08,0.046,0.019,0.066,0.082,0.056,0.117,0.101,0.12,0.043,0.022,0.022,0.062,0.112,0.111,0.093,0.103,0.119,0.104,0.022,0.023,0.074,0.078,0.098,0.096,0.165,0.116,0.109,0.096,0.069,0.079,0.093,0.13,0.088,0.055,,,0.029,0.037,,,0.049,0.067,0.128,0.103
100,0.052,0.038,0.062,0.093,0.079,0.04,0.085,0.04,0.087,0.107,0.068,0.071,0.211,0.096,0.194,0.096,0.182,0.136,0.082,0.045,0.092,0.06,0.08,0.057,0.117,0.112,0.137,0.166,0.158,0.15,0.035,0.033,0.052,0.089,0.091,0.168,0.094,0.083,0.14,0.122,0.122,0.122,0.072,0.03,0.108,0.128,0.086,0.18,0.154,0.088,0.068,0.036,0.034,0.033,0.052,0.084,0.222,0.163,0.186,0.156,0.034,0.036,0.117,0.127,0.16,0.158,0.162,0.11,0.167,0.152,0.108,0.118,0.156,0.21,0.138,0.09,,,0.049,0.06,,,0.08,0.104,0.194,0.16
120,0.086,0.061,0.11,0.151,0.126,0.064,0.134,0.066,0.134,0.169,0.106,0.107,0.327,0.155,0.302,0.16,0.288,0.222,0.13,0.076,0.15,0.095,0.127,0.089,0.19,0.186,0.229,0.268,0.255,0.233,0.059,0.058,0.088,0.148,0.152,0.272,0.158,0.136,0.223,0.201,0.201,0.202,0.126,0.048,0.182,0.217,0.146,0.286,0.252,0.141,0.167,0.063,0.057,0.092,0.174,0.156,0.235,0.263,0.287,0.251,0.059,0.061,0.258,0.207,0.262,0.384,0.381,0.23,0.268,0.255,0.183,0.195,0.245,0.317,0.23,0.149,,,0.08,0.101,,,0.131,0.177,0.3,0.26
140,0.137,0.1,0.184,0.235,0.21,0.106,0.217,0.106,0.221,0.267,0.165,0.166,0.436,0.256,0.408,0.258,0.395,0.334,0.228,0.13,0.249,0.161,0.205,0.143,0.297,0.285,0.335,0.368,0.36,0.346,0.1,0.095,0.144,0.241,0.238,0.362,0.256,0.212,0.324,0.299,0.303,0.349,0.211,0.084,0.284,0.309,0.236,0.373,0.356,0.293,0.228,0.108,0.093,0.168,0.227,0.226,0.332,0.359,0.388,0.348,0.098,0.102,0.286,0.31,0.366,0.366,0.364,0.283,0.376,0.355,0.283,0.292,0.343,0.426,0.329,0.248,,,0.136,0.169,,,0.208,0.265,0.397,0.344
160,0.225,0.161,0.286,0.331,0.302,0.181,0.32,0.184,0.349,0.361,0.263,0.272,0.548,0.354,0.524,0.346,0.498,0.437,0.318,0.213,0.342,0.255,0.305,0.244,0.398,0.378,0.445,0.483,0.472,0.455,0.172,0.161,0.234,0.326,0.329,0.461,0.36,0.32,0.445,0.406,0.474,0.409,0.305,0.145,0.38,0.416,0.327,0.47,0.468,0.331,0.276,0.183,0.217,0.264,0.234,0.322,0.431,0.486,0.489,0.444,0.163,0.168,0.389,0.412,0.477,0.488,0.467,0.378,0.475,0.458,0.384,0.387,0.456,0.532,0.431,0.334,,,0.222,0.261,,,0.302,0.365,0.509,0.455
180,0.307,0.242,0.385,0.429,0.395,0.262,0.396,0.269,0.427,0.448,0.344,0.337,0.687,0.463,0.656,0.449,0.622,0.544,0.412,0.298,0.44,0.34,0.391,0.322,0.509,0.487,0.551,0.592,0.586,0.571,0.257,0.252,0.322,0.428,0.426,0.553,0.467,0.408,0.542,0.518,0.526,0.5,0.399,0.223,0.476,0.496,0.42,0.559,0.581,0.432,0.362,0.273,0.237,0.249,0.324,0.411,0.578,0.575,0.567,0.525,0.303,0.256,0.499,0.523,0.599,0.6,0.558,0.474,0.572,0.55,0.488,0.479,0.562,0.671,0.525,0.432,,,0.317,0.354,,,0.399,0.468,0.626,0.55
