time,e32x32NrdJ1_0,e32x33NrdJ1_0,e32x30SspGyrB_0,e32x32NrdA2_0,e32x32gp411_0,e32x32gp418_0,e32x32NrdJ1_1,e32x33NrdJ1_1,e32x30SspGyrB_1,e32x32NrdA2_1,e32x32gp411_1,e32x32gp418_1,e33x32STPhoRadA_0,e33x30STPhoRadA_0,e33x30MjaKlbA_0,e33x32NrdA2_0,e33x30SspGyrB_0,e33x33NrdA2_0,e33x32STPhoRadA_1,e33x30STPhoRadA_1,e33x30MjaKlbA_1,e33x32NrdA2_1,e33x30SspGyrB_1,e33x33NrdA2_1,e34x30STNpuSspS2_0,e34x32gp411_0,e34x30SspGyrB_0,e34x30MjaKlbA_0,e34x32STIMPDH1_0,e34x32M86_0,e34x30STNpuSspS2_1,e34x32gp411_1,e34x30SspGyrB_1,e34x30MjaKlbA_1,e34x32STIMPDH1_1,e34x32M86_1,e38x32M86_0,e38x32gp418_0,e38x33MjaKlbA_0,e38x33NrdJ1_0,e38x30NpuSspS1_0,e38x30TerThyXS2_0,e38x32M86_1,e38x32gp418_1,e38x33MjaKlbA_1,e38x33NrdJ1_1,e38x30NpuSspS1_1,e38x30TerThyXS2_1,e41x30STsSspDnaX_0,e41x32NrdA2_0,e41x30SspGyrB_0,e41x32NrdJ1_0,e41x32M86_0,e41x32STPhoRadA_0,e41x30STsSspDnaX_1,e41x32NrdA2_1,e41x30SspGyrB_1,e41x32NrdJ1_1,e41x32M86_1,e41x32STPhoRadA_1,e42x32STIMPDH1_0,e42x32NrdA2_0,e42x32NrdJ1_0,e42x32M86_0,e42x33NrdJ1_0,e42x30SspGyrB_0,e42x32STIMPDH1_1,e42x32NrdA2_1,e42x32NrdJ1_1,e42x32M86_1,e42x33NrdJ1_1,e42x30SspGyrB_1,blank-kan_0,blank-kan_0,negative-control-kan_0,negative-control-kan_0,blank-amp_0,blank-amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,64.5,79.5,67.5,71.5,82.5,79.5,69.5,61.5,70.5,65.5,75.5,60.5,87.5,82.5,61.5,72.5,94.5,82.5,52.5,70.5,84.5,70.5,90.5,58.5,71.5,83.5,64.5,71.5,78.5,78.5,53.5,23.5,45.5,47.5,69.5,68.5,76.5,69.5,51.5,59.5,58.5,65.5,51.5,51.5,51.5,48.5,40.5,51.5,60.5,51.5,57.5,47.5,57.5,62.5,46.5,60.5,45.5,48.5,44.5,65.5,57.5,57.5,48.5,57.5,41.5,39.5,35.5,42.5,45.5,47.5,27.5,27.5,,,33.5,35.5,,,40.0,48.0,906.0,969.0
20,41.5,48.5,34.5,45.5,37.5,40.5,29.5,26.5,25.5,32.5,31.5,30.5,65.5,60.5,60.5,53.5,55.5,60.5,46.5,45.5,45.5,48.5,56.5,49.5,59.5,62.5,49.5,55.5,56.5,52.5,39.5,43.5,46.5,52.5,38.5,56.5,59.5,61.5,47.5,50.5,48.5,41.5,56.5,40.5,52.5,42.5,46.5,44.5,45.5,59.5,56.5,39.5,51.5,58.5,48.5,41.5,37.5,37.5,34.5,33.5,58.5,58.5,58.5,45.5,30.5,51.5,39.5,36.5,40.5,38.5,35.5,24.5,,,13.5,21.5,,,41.0,41.0,587.0,678.0
40,37.5,28.5,33.5,18.5,16.5,25.5,23.5,19.5,13.5,14.5,14.5,15.5,53.5,56.5,40.5,43.5,40.5,38.5,44.5,27.5,33.5,34.5,42.5,32.5,52.5,39.5,39.5,37.5,40.5,38.5,26.5,30.5,24.5,29.5,17.5,35.5,51.5,63.5,34.5,48.5,42.5,33.5,29.5,31.5,42.5,34.5,29.5,47.5,40.5,44.5,34.5,31.5,40.5,44.5,45.5,35.5,17.5,22.5,20.5,15.5,47.5,35.5,44.5,36.5,32.5,37.5,32.5,20.5,35.5,38.5,17.5,18.5,,,8.5,24.5,,,47.0,56.0,786.0,906.0
60,42.5,38.5,31.5,40.5,33.5,25.5,28.5,27.5,28.5,32.5,27.5,24.5,61.5,60.5,48.5,45.5,50.5,49.5,41.5,45.5,42.5,47.5,55.5,44.5,50.5,51.5,47.5,48.5,41.5,44.5,39.5,30.5,40.5,41.5,27.5,39.5,64.5,56.5,37.5,54.5,45.5,36.5,46.5,35.5,32.5,46.5,46.5,40.5,53.5,54.5,46.5,38.5,48.5,50.5,42.5,39.5,26.5,36.5,26.5,29.5,58.5,51.5,47.5,42.5,31.5,46.5,39.5,24.5,37.5,41.5,31.5,27.5,,,19.5,31.5,,,40.0,47.0,1043.0,1196.0
80,44.0,48.0,44.0,47.0,39.0,38.0,31.0,37.0,31.0,39.0,34.0,41.0,83.0,73.0,52.0,62.0,48.0,57.0,44.0,46.0,50.0,55.0,53.0,41.0,58.0,58.0,60.0,48.0,34.0,50.0,46.0,51.0,52.0,44.0,36.0,38.0,72.0,70.0,47.0,48.0,53.0,49.0,51.0,46.0,39.0,42.0,37.0,48.0,54.0,62.0,52.0,50.0,57.0,45.0,31.0,36.0,32.0,40.0,29.0,31.0,58.0,54.0,62.0,41.0,35.0,49.0,35.0,29.0,33.0,36.0,35.0,32.0,,,24.0,29.0,,,38.5,54.5,1289.5,1497.5
100,48.5,47.5,53.5,48.5,41.5,46.5,30.5,41.5,35.5,35.5,43.5,36.5,57.5,77.5,70.5,50.5,69.5,47.5,43.5,52.5,51.5,34.5,48.5,56.5,59.5,78.5,61.5,61.5,43.5,49.5,56.5,46.5,47.5,43.5,26.5,54.5,72.5,64.5,58.5,46.5,41.5,59.5,43.5,54.5,42.5,41.5,48.5,56.5,55.5,56.5,55.5,52.5,51.5,44.5,43.5,46.5,37.5,35.5,35.5,38.5,66.5,56.5,56.5,44.5,38.5,51.5,29.5,28.5,36.5,33.5,30.5,34.5,,,12.5,17.5,,,51.0,52.0,1524.0,1814.0
120,53.5,51.5,55.5,51.5,51.5,48.5,33.5,30.5,50.5,40.5,40.5,50.5,83.5,76.5,62.5,51.5,65.5,70.5,53.5,49.5,53.5,55.5,63.5,47.5,67.5,60.5,70.5,69.5,59.5,56.5,48.5,43.5,57.5,49.5,51.5,63.5,83.5,80.5,53.5,62.5,58.5,49.5,53.5,45.5,40.5,53.5,45.5,56.5,62.5,72.5,65.5,51.5,66.5,48.5,46.5,49.5,45.5,51.5,35.5,35.5,72.5,59.5,60.5,48.5,39.5,50.5,41.5,34.5,41.5,41.5,44.5,32.5,,,29.5,34.5,,,64.5,76.5,1836.5,2154.5
140,68.5,68.5,73.5,75.5,71.5,73.5,63.5,47.5,67.5,61.5,62.5,63.5,94.5,88.5,67.5,74.5,75.5,63.5,66.5,70.5,55.5,70.5,65.5,71.5,81.5,79.5,81.5,77.5,77.5,67.5,61.5,56.5,66.5,71.5,68.5,75.5,91.5,82.5,66.5,68.5,66.5,58.5,70.5,53.5,55.5,59.5,63.5,74.5,72.5,80.5,72.5,56.5,61.5,56.5,55.5,64.5,51.5,60.5,46.5,45.5,76.5,70.5,62.5,52.5,49.5,64.5,46.5,40.5,45.5,45.5,47.5,42.5,,,41.5,41.5,,,86.0,91.0,2267.0,2649.0
160,89.5,87.5,98.5,92.5,102.5,95.5,131.5,99.5,179.5,86.5,161.5,90.5,120.5,110.5,101.5,83.5,95.5,95.5,79.5,87.5,83.5,87.5,71.5,77.5,103.5,92.5,110.5,96.5,97.5,95.5,93.5,79.5,95.5,91.5,101.5,90.5,110.5,102.5,77.5,71.5,72.5,80.5,80.5,68.5,66.5,89.5,84.5,76.5,83.5,92.5,100.5,70.5,89.5,76.5,104.5,72.5,83.5,74.5,66.5,73.5,86.5,79.5,90.5,69.5,61.5,79.5,62.5,54.5,69.5,58.5,61.5,57.5,,,59.5,61.5,,,120.5,134.5,2828.5,3368.5
180,138.0,137.0,143.0,145.0,153.0,147.0,1110.0,761.0,1400.0,285.0,1427.0,172.0,154.0,141.0,125.0,106.0,118.0,125.0,130.0,130.0,126.0,111.0,121.0,112.0,144.0,141.0,149.0,142.0,120.0,132.0,174.0,206.0,250.0,228.0,296.0,195.0,150.0,144.0,110.0,120.0,107.0,117.0,125.0,124.0,114.0,167.0,112.0,159.0,122.0,135.0,130.0,112.0,117.0,106.0,322.0,138.0,164.0,292.0,113.0,123.0,118.0,106.0,112.0,97.0,87.0,114.0,101.0,88.0,101.0,103.0,85.0,81.0,,,88.0,91.0,,,153.5,172.5,3783.5,4475.5
